,group,variable,month,TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD INCIADO,TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD INCIADO,TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD CONCLUIDO,TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD CONCLUIDO,TOTALES,TOTALES,TOTALES
MINEROS,chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-05-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
PRESTO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-05-01,2.0,3.0,0.0,0.0,2.0,3.0,5.0
SANTA CRUZ DE LA SIERRA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-05-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
SUCRE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-05-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
VALLEGRANDE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-05-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
LA ASUNTA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-06-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
PRESTO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-06-01,1.0,1.0,0.0,0.0,1.0,1.0,2.0
PUNA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-06-01,1.0,1.0,0.0,0.0,1.0,1.0,2.0
SUCRE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-06-01,1.0,1.0,0.0,2.0,1.0,3.0,4.0
VILLA TUNARI,chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-06-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
VILLA VACA GUZMAN (MUYUPAMPA),chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-06-01,1.0,2.0,0.0,0.0,1.0,2.0,3.0
CAMIRI,chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-07-01,15.0,4.0,0.0,0.0,15.0,4.0,19.0
COCHABAMBA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-07-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
LURIBAY,chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-07-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
MINEROS,chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-07-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
MOROCHATA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-07-01,1.0,3.0,0.0,0.0,1.0,3.0,4.0
PRESTO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-07-01,0.0,0.0,2.0,2.0,2.0,2.0,4.0
SAMAIPATA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-07-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
SUCRE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-07-01,2.0,0.0,1.0,0.0,3.0,0.0,3.0
TORO TORO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-07-01,0.0,0.0,6.0,1.0,6.0,1.0,7.0
VALLEGRANDE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-07-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
VILLA VACA GUZMAN (MUYUPAMPA),chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-07-01,1.0,3.0,0.0,0.0,1.0,3.0,4.0
ZUDAÑEZ,chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-07-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
CAMARGO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-08-01,5.0,2.0,0.0,0.0,5.0,2.0,7.0
COCHABAMBA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-08-01,0.0,2.0,0.0,1.0,0.0,3.0,3.0
EL TORNO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-08-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
PRESTO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-08-01,0.0,3.0,1.0,2.0,1.0,5.0,6.0
PUNA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-08-01,0.0,1.0,1.0,1.0,1.0,2.0,3.0
RAVELO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-08-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
SUCRE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-08-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
TARIJA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-08-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
VILLA VACA GUZMAN (MUYUPAMPA),chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-08-01,0.0,0.0,1.0,2.0,1.0,2.0,3.0
VITICHI,chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-08-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
CAMARGO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-09-01,0.0,0.0,5.0,2.0,5.0,2.0,7.0
CAMIRI,chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-09-01,0.0,0.0,12.0,4.0,12.0,4.0,16.0
COCHABAMBA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-09-01,0.0,2.0,0.0,1.0,0.0,3.0,3.0
LA GUARDIA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-09-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
PADILLA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-09-01,1.0,2.0,0.0,0.0,1.0,2.0,3.0
PUNA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-09-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
RAVELO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-09-01,0.0,2.0,0.0,0.0,0.0,2.0,2.0
SAMAIPATA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-09-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
SAN LUCAS,chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-09-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
SUCRE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-09-01,2.0,4.0,0.0,0.0,2.0,4.0,6.0
TARIJA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-09-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
VILLA SERRANO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-09-01,4.0,3.0,0.0,0.0,4.0,3.0,7.0
VILLA TUNARI,chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-09-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
VILLA VACA GUZMAN (MUYUPAMPA),chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-09-01,0.0,0.0,1.0,3.0,1.0,3.0,4.0
YACUIBA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-09-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
YOTALA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-09-01,2.0,0.0,0.0,0.0,2.0,0.0,2.0
ZUDAÑEZ,chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-09-01,1.0,0.0,1.0,0.0,2.0,0.0,2.0
AZURDUY,chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-10-01,1.0,1.0,0.0,0.0,1.0,1.0,2.0
CAMIRI,chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-10-01,3.0,8.0,0.0,0.0,3.0,8.0,11.0
CHULUMANI (V. DE LA LIBERTAD),chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-10-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
CULPINA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-10-01,1.0,2.0,0.0,0.0,1.0,2.0,3.0
EL TORNO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-10-01,0.0,0.0,0.0,2.0,0.0,2.0,2.0
PADILLA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-10-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
PRESTO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-10-01,0.0,0.0,8.0,4.0,8.0,4.0,12.0
PUERTO VILLARROEL,chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-10-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
SAN LUCAS,chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-10-01,0.0,0.0,0.0,2.0,0.0,2.0,2.0
SUCRE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-10-01,3.0,3.0,0.0,0.0,3.0,3.0,6.0
TARIJA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-10-01,0.0,1.0,1.0,0.0,1.0,1.0,2.0
VILLA CHARCAS,chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-10-01,1.0,3.0,0.0,0.0,1.0,3.0,4.0
VILLA MONTES,chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-10-01,0.0,3.0,0.0,0.0,0.0,3.0,3.0
VILLA SERRANO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-10-01,0.0,2.0,0.0,0.0,0.0,2.0,2.0
VILLA TUNARI,chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-10-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
YACUIBA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-10-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
BERMEJO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-11-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
CHULUMANI (V. DE LA LIBERTAD),chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-11-01,1.0,1.0,0.0,0.0,1.0,1.0,2.0
CULPINA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-11-01,5.0,3.0,0.0,0.0,5.0,3.0,8.0
INCAHUASI,chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-11-01,5.0,4.0,0.0,0.0,5.0,4.0,9.0
LAS CARRERAS,chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-11-01,1.0,1.0,0.0,0.0,1.0,1.0,2.0
PADILLA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-11-01,0.0,0.0,1.0,1.0,1.0,1.0,2.0
SUCRE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-11-01,0.0,0.0,2.0,3.0,2.0,3.0,5.0
VILLA TUNARI,chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-11-01,1.0,1.0,0.0,0.0,1.0,1.0,2.0
ZUDAÑEZ,chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-11-01,0.0,0.0,1.0,1.0,1.0,1.0,2.0
AYOPAYA (V. DE INDEPENDENCIA),chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-12-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
BERMEJO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-12-01,1.0,2.0,0.0,0.0,1.0,2.0,3.0
CAMIRI,chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-12-01,6.0,2.0,3.0,8.0,9.0,10.0,19.0
CHULUMANI (V. DE LA LIBERTAD),chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-12-01,1.0,1.0,0.0,0.0,1.0,1.0,2.0
COCHABAMBA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-12-01,0.0,0.0,0.0,3.0,0.0,3.0,3.0
LAS CARRERAS,chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-12-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
MAIRANA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-12-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
PUERTO VILLARROEL,chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-12-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
RAVELO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-12-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
TARIJA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-12-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
URIONDO (A. CONCEPCION),chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-12-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
VILLA CHARCAS,chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-12-01,0.0,0.0,1.0,3.0,1.0,3.0,4.0
VILLA MONTES,chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-12-01,0.0,0.0,0.0,2.0,0.0,2.0,2.0
VILLA SERRANO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-12-01,0.0,0.0,0.0,2.0,0.0,2.0,2.0
VITICHI,chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-12-01,3.0,1.0,0.0,0.0,3.0,1.0,4.0
