,group,variable,month,TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD INICIADO,TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD INICIADO,TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD CONCLUIDO,TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD CONCLUIDO,TOTALES,TOTALES,TOTALES
SUCRE,chagas,tratamientos rn a menores de 1 ano de edad,2018-03-01,1,2,1,0,2,2,4
TOMINA,chagas,tratamientos rn a menores de 1 ano de edad,2018-03-01,0,1,0,0,0,1,1
VILLA SERRANO,chagas,tratamientos rn a menores de 1 ano de edad,2018-03-01,1,0,0,0,1,0,1
YAMPARAEZ,chagas,tratamientos rn a menores de 1 ano de edad,2018-03-01,0,0,0,1,0,1,1
AZURDUY,chagas,tratamientos rn a menores de 1 ano de edad,2018-04-01,1,0,0,0,1,0,1
GENERAL SAAVEDRA,chagas,tratamientos rn a menores de 1 ano de edad,2018-04-01,0,1,0,0,0,1,1
HUACAYA (VILLA DE HUACAYA),chagas,tratamientos rn a menores de 1 ano de edad,2018-04-01,0,0,2,0,2,0,2
ICLA,chagas,tratamientos rn a menores de 1 ano de edad,2018-04-01,1,0,0,0,1,0,1
MACHARETI,chagas,tratamientos rn a menores de 1 ano de edad,2018-04-01,0,0,0,1,0,1,1
MOJOCOYA,chagas,tratamientos rn a menores de 1 ano de edad,2018-04-01,1,0,0,0,1,0,1
PADILLA,chagas,tratamientos rn a menores de 1 ano de edad,2018-04-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,chagas,tratamientos rn a menores de 1 ano de edad,2018-04-01,1,1,0,0,1,1,2
SOPACHUY,chagas,tratamientos rn a menores de 1 ano de edad,2018-04-01,0,1,0,0,0,1,1
SUCRE,chagas,tratamientos rn a menores de 1 ano de edad,2018-04-01,2,0,1,2,3,2,5
VILLA SERRANO,chagas,tratamientos rn a menores de 1 ano de edad,2018-04-01,0,1,1,0,1,1,2
AZURDUY,chagas,tratamientos rn a menores de 1 ano de edad,2018-05-01,0,0,1,0,1,0,1
FERNANDEZ ALONSO,chagas,tratamientos rn a menores de 1 ano de edad,2018-05-01,1,0,0,0,1,0,1
ICLA,chagas,tratamientos rn a menores de 1 ano de edad,2018-05-01,0,0,1,0,1,0,1
LA ASUNTA,chagas,tratamientos rn a menores de 1 ano de edad,2018-05-01,1,1,0,0,1,1,2
MINEROS,chagas,tratamientos rn a menores de 1 ano de edad,2018-05-01,0,1,0,0,0,1,1
MOJOCOYA,chagas,tratamientos rn a menores de 1 ano de edad,2018-05-01,0,0,1,0,1,0,1
MONTEAGUDO,chagas,tratamientos rn a menores de 1 ano de edad,2018-05-01,1,0,0,0,1,0,1
PADILLA,chagas,tratamientos rn a menores de 1 ano de edad,2018-05-01,0,0,1,0,1,0,1
SAN LUCAS,chagas,tratamientos rn a menores de 1 ano de edad,2018-05-01,1,1,0,0,1,1,2
SOPACHUY,chagas,tratamientos rn a menores de 1 ano de edad,2018-05-01,0,0,0,1,0,1,1
SUCRE,chagas,tratamientos rn a menores de 1 ano de edad,2018-05-01,0,2,2,0,2,2,4
TOMINA,chagas,tratamientos rn a menores de 1 ano de edad,2018-05-01,0,0,0,1,0,1,1
VILLA CHARCAS,chagas,tratamientos rn a menores de 1 ano de edad,2018-05-01,1,2,0,0,1,2,3
VILLA SERRANO,chagas,tratamientos rn a menores de 1 ano de edad,2018-05-01,0,0,0,1,0,1,1
CAPINOTA,chagas,tratamientos rn a menores de 1 ano de edad,2018-06-01,0,0,1,0,1,0,1
CUATRO CAÑADAS,chagas,tratamientos rn a menores de 1 ano de edad,2018-06-01,1,0,0,0,1,0,1
CULPINA,chagas,tratamientos rn a menores de 1 ano de edad,2018-06-01,0,2,0,0,0,2,2
FERNANDEZ ALONSO,chagas,tratamientos rn a menores de 1 ano de edad,2018-06-01,0,0,1,0,1,0,1
LA ASUNTA,chagas,tratamientos rn a menores de 1 ano de edad,2018-06-01,1,0,0,0,1,0,1
MACHARETI,chagas,tratamientos rn a menores de 1 ano de edad,2018-06-01,0,1,0,0,0,1,1
MINEROS,chagas,tratamientos rn a menores de 1 ano de edad,2018-06-01,0,0,0,1,0,1,1
MONTEAGUDO,chagas,tratamientos rn a menores de 1 ano de edad,2018-06-01,0,2,1,0,1,2,3
PRESTO,chagas,tratamientos rn a menores de 1 ano de edad,2018-06-01,0,1,0,0,0,1,1
SACABA,chagas,tratamientos rn a menores de 1 ano de edad,2018-06-01,0,1,0,1,0,2,2
SAN LUCAS,chagas,tratamientos rn a menores de 1 ano de edad,2018-06-01,0,0,1,1,1,1,2
SANTA CRUZ DE LA SIERRA,chagas,tratamientos rn a menores de 1 ano de edad,2018-06-01,1,0,0,0,1,0,1
SUCRE,chagas,tratamientos rn a menores de 1 ano de edad,2018-06-01,1,1,0,2,1,3,4
VILLA CHARCAS,chagas,tratamientos rn a menores de 1 ano de edad,2018-06-01,0,0,1,2,1,2,3
CULPINA,chagas,tratamientos rn a menores de 1 ano de edad,2018-07-01,0,0,0,2,0,2,2
MACHARETI,chagas,tratamientos rn a menores de 1 ano de edad,2018-07-01,0,0,0,1,0,1,1
MONTEAGUDO,chagas,tratamientos rn a menores de 1 ano de edad,2018-07-01,0,0,0,2,0,2,2
MOROCHATA,chagas,tratamientos rn a menores de 1 ano de edad,2018-07-01,0,1,0,0,0,1,1
PRESTO,chagas,tratamientos rn a menores de 1 ano de edad,2018-07-01,0,0,0,1,0,1,1
SAN JULIAN,chagas,tratamientos rn a menores de 1 ano de edad,2018-07-01,0,1,0,0,0,1,1
SUCRE,chagas,tratamientos rn a menores de 1 ano de edad,2018-07-01,3,2,1,1,4,3,7
VILLA TUNARI,chagas,tratamientos rn a menores de 1 ano de edad,2018-07-01,1,0,0,0,1,0,1
YACUIBA,chagas,tratamientos rn a menores de 1 ano de edad,2018-07-01,1,1,0,0,1,1,2
AZURDUY,chagas,tratamientos rn a menores de 1 ano de edad,2018-08-01,1,0,0,0,1,0,1
CARAPARI,chagas,tratamientos rn a menores de 1 ano de edad,2018-08-01,0,1,0,0,0,1,1
CHULUMANI (V. DE LA LIBERTAD),chagas,tratamientos rn a menores de 1 ano de edad,2018-08-01,0,1,0,0,0,1,1
LA ASUNTA,chagas,tratamientos rn a menores de 1 ano de edad,2018-08-01,0,0,0,1,0,1,1
PAMPA GRANDE,chagas,tratamientos rn a menores de 1 ano de edad,2018-08-01,1,0,0,0,1,0,1
SAN JULIAN,chagas,tratamientos rn a menores de 1 ano de edad,2018-08-01,0,0,0,1,0,1,1
SUCRE,chagas,tratamientos rn a menores de 1 ano de edad,2018-08-01,2,2,3,2,5,4,9
VILLA TUNARI,chagas,tratamientos rn a menores de 1 ano de edad,2018-08-01,0,0,1,0,1,0,1
YACUIBA,chagas,tratamientos rn a menores de 1 ano de edad,2018-08-01,0,3,1,0,1,3,4
AZURDUY,chagas,tratamientos rn a menores de 1 ano de edad,2018-09-01,0,0,1,0,1,0,1
CARAPARI,chagas,tratamientos rn a menores de 1 ano de edad,2018-09-01,0,0,0,1,0,1,1
COMARAPA,chagas,tratamientos rn a menores de 1 ano de edad,2018-09-01,1,0,0,0,1,0,1
CULPINA,chagas,tratamientos rn a menores de 1 ano de edad,2018-09-01,0,1,0,0,0,1,1
MINEROS,chagas,tratamientos rn a menores de 1 ano de edad,2018-09-01,1,1,0,0,1,1,2
MONTEAGUDO,chagas,tratamientos rn a menores de 1 ano de edad,2018-09-01,0,1,0,0,0,1,1
SACABA,chagas,tratamientos rn a menores de 1 ano de edad,2018-09-01,1,0,0,0,1,0,1
SUCRE,chagas,tratamientos rn a menores de 1 ano de edad,2018-09-01,0,0,3,1,3,1,4
YACUIBA,chagas,tratamientos rn a menores de 1 ano de edad,2018-09-01,1,1,0,2,1,3,4
CAMARGO,chagas,tratamientos rn a menores de 1 ano de edad,2018-10-01,0,0,1,0,1,0,1
CARAPARI,chagas,tratamientos rn a menores de 1 ano de edad,2018-10-01,0,0,1,0,1,0,1
COCHABAMBA,chagas,tratamientos rn a menores de 1 ano de edad,2018-10-01,0,1,0,0,0,1,1
COTOCA,chagas,tratamientos rn a menores de 1 ano de edad,2018-10-01,1,0,0,0,1,0,1
CULPINA,chagas,tratamientos rn a menores de 1 ano de edad,2018-10-01,0,0,0,1,0,1,1
FERNANDEZ ALONSO,chagas,tratamientos rn a menores de 1 ano de edad,2018-10-01,1,0,0,0,1,0,1
GUAYARAMERIN,chagas,tratamientos rn a menores de 1 ano de edad,2018-10-01,3,0,0,0,3,0,3
MINEROS,chagas,tratamientos rn a menores de 1 ano de edad,2018-10-01,1,2,1,1,2,3,5
MONTEAGUDO,chagas,tratamientos rn a menores de 1 ano de edad,2018-10-01,0,1,0,0,0,1,1
SUCRE,chagas,tratamientos rn a menores de 1 ano de edad,2018-10-01,1,1,0,0,1,1,2
TARABUCO,chagas,tratamientos rn a menores de 1 ano de edad,2018-10-01,1,0,0,0,1,0,1
TARVITA,chagas,tratamientos rn a menores de 1 ano de edad,2018-10-01,1,0,0,0,1,0,1
VILLA MONTES,chagas,tratamientos rn a menores de 1 ano de edad,2018-10-01,3,0,0,0,3,0,3
VILLA TUNARI,chagas,tratamientos rn a menores de 1 ano de edad,2018-10-01,0,1,0,0,0,1,1
VILLA VACA GUZMAN (MUYUPAMPA),chagas,tratamientos rn a menores de 1 ano de edad,2018-10-01,0,1,0,0,0,1,1
VINTO,chagas,tratamientos rn a menores de 1 ano de edad,2018-10-01,2,1,0,0,2,1,3
YACUIBA,chagas,tratamientos rn a menores de 1 ano de edad,2018-10-01,2,1,0,0,2,1,3
YOTALA,chagas,tratamientos rn a menores de 1 ano de edad,2018-10-01,1,0,1,0,2,0,2
ZUDAÑEZ,chagas,tratamientos rn a menores de 1 ano de edad,2018-10-01,1,1,0,0,1,1,2
COCHABAMBA,chagas,tratamientos rn a menores de 1 ano de edad,2018-11-01,0,0,0,1,0,1,1
MACHARETI,chagas,tratamientos rn a menores de 1 ano de edad,2018-11-01,0,1,0,0,0,1,1
MINEROS,chagas,tratamientos rn a menores de 1 ano de edad,2018-11-01,0,0,1,1,1,1,2
MIZQUE,chagas,tratamientos rn a menores de 1 ano de edad,2018-11-01,0,1,0,0,0,1,1
MONTEAGUDO,chagas,tratamientos rn a menores de 1 ano de edad,2018-11-01,0,0,0,1,0,1,1
PADCAYA,chagas,tratamientos rn a menores de 1 ano de edad,2018-11-01,2,0,0,0,2,0,2
SACABA,chagas,tratamientos rn a menores de 1 ano de edad,2018-11-01,1,0,0,0,1,0,1
SUCRE,chagas,tratamientos rn a menores de 1 ano de edad,2018-11-01,1,1,1,1,2,2,4
TARABUCO,chagas,tratamientos rn a menores de 1 ano de edad,2018-11-01,0,0,1,0,1,0,1
TARVITA,chagas,tratamientos rn a menores de 1 ano de edad,2018-11-01,1,0,0,0,1,0,1
VILLA CHARCAS,chagas,tratamientos rn a menores de 1 ano de edad,2018-11-01,1,1,0,0,1,1,2
VILLA TUNARI,chagas,tratamientos rn a menores de 1 ano de edad,2018-11-01,0,0,0,1,0,1,1
VILLA VACA GUZMAN (MUYUPAMPA),chagas,tratamientos rn a menores de 1 ano de edad,2018-11-01,0,0,0,1,0,1,1
ZUDAÑEZ,chagas,tratamientos rn a menores de 1 ano de edad,2018-11-01,0,0,1,1,1,1,2
CHULUMANI (V. DE LA LIBERTAD),chagas,tratamientos rn a menores de 1 ano de edad,2018-12-01,0,0,2,5,2,5,7
MACHARETI,chagas,tratamientos rn a menores de 1 ano de edad,2018-12-01,0,0,0,1,0,1,1
SACABA,chagas,tratamientos rn a menores de 1 ano de edad,2018-12-01,0,2,1,0,1,2,3
SUCRE,chagas,tratamientos rn a menores de 1 ano de edad,2018-12-01,0,0,1,1,1,1,2
TARVITA,chagas,tratamientos rn a menores de 1 ano de edad,2018-12-01,0,0,2,0,2,0,2
VILLA CHARCAS,chagas,tratamientos rn a menores de 1 ano de edad,2018-12-01,0,0,1,1,1,1,2
VILLA MONTES,chagas,tratamientos rn a menores de 1 ano de edad,2018-12-01,0,0,0,1,0,1,1
