,group,variable,month,NUEVAS ANTES DEL 5TO MES DE EMBARAZO CANTIDAD,NUEVAS ANTES DEL 5TO MES DE EMBARAZO CANTIDAD,TOTALES,TOTALES,TOTALES
ENTRE RIOS TRJ,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,34,2,34,2,36
ENTRE RIOS CBBA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,64,0,64,0,64
ESCOMA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,8,0,8,0,8
EUCALIPTUS,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,4,0,4,0,4
EUREKA (SANTOS MERCADO),consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,1,0,1,0,1
EXALTACION,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,2,0,2,0,2
FERNANDEZ ALONSO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,20,0,20,0,20
FILADELFIA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,6,0,6,0,6
GENERAL SAAVEDRA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,27,0,27,0,27
GRAL. J.J. PEREZ (CHARAZANI),consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,10,1,10,1,11
GUANAY,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,14,2,14,2,16
GUAQUI,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,5,2,5,2,7
GUAYARAMERIN,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,88,3,88,3,91
GUTIERREZ,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,7,2,7,2,9
HUACARETA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,14,2,14,2,16
HUACAYA (VILLA DE HUACAYA),consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,4,2,4,2,6
HUACHACALLA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,2,0,2,0,2
HUANUNI,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,66,0,66,0,66
HUARACAJE,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,6,0,6,0,6
HUARINA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,2,0,2,0,2
HUAYLLAMARCA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,1,0,1,0,1
HUMANATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,1,1,1,1,2
ICHOCA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,1,3,1,3,4
ICLA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,6,4,6,4,10
INCAHUASI,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,14,2,14,2,16
INGAVI (HUMAITA),consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,5,0,5,0,5
INQUISIVI,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,5,0,5,0,5
IRUPANA (VILLA DE LANZA),consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,11,0,11,0,11
IXIAMAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,16,0,16,0,16
JESUS DE MACHACA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,21,2,21,2,23
LA ASUNTA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,66,0,66,0,66
LA GUARDIA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,168,0,168,0,168
LA PAZ,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,1560,5,1560,5,1565
LA RIVERA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,1,0,1,0,1
LAGUNILLAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,13,1,13,1,14
LAJA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,17,0,17,0,17
LAS CARRERAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,7,0,7,0,7
LICOMA PAMPA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,2,0,2,0,2
LLALLAGUA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,58,2,58,2,60
LLICA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,1,0,1,0,1
LORETO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,2,0,2,0,2
LURIBAY,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,5,0,5,0,5
MACHACAMARCA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,3,0,3,0,3
MACHARETI,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,12,1,12,1,13
MAGDALENA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,17,2,17,2,19
MAIRANA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,17,0,17,0,17
MALLA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,5,1,5,1,6
MAPIRI,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,18,1,18,1,19
MECAPACA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,4,1,4,1,5
MINEROS,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,45,0,45,0,45
MIZQUE,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,27,2,27,2,29
MOCOMOCO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,11,0,11,0,11
MOJINETE,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,1,0,1,0,1
MOJOCOYA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,7,2,7,2,9
MONTEAGUDO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,45,0,45,0,45
MONTERO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,216,0,216,0,216
MORO MORO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,3,0,3,0,3
MOROCHATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,12,1,12,1,13
NACEBE (SANTA ROSA DEL ABUNA),consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,4,0,4,0,4
NUEVO MANOA (NUEVA ESPERANZA),consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,2,2,2,2,4
OCURI,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,18,2,18,2,20
OKINAWA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,27,0,27,0,27
OMEREQUE,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,5,5,5,5,10
ORURO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,635,5,635,5,640
PADCAYA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,27,1,27,1,28
PADILLA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,19,0,19,0,19
PAILON,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,32,0,32,0,32
PALCA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,9,1,9,1,10
PALOS BLANCOS,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,63,0,63,0,63
PAMPA AULLAGAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,4,0,4,0,4
PAMPA GRANDE,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,22,0,22,0,22
PAPEL PAMPA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,1,0,1,0,1
PASORAPA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,4,0,4,0,4
PATACAMAYA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,1,42,1,42,43
PAZÑA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,8,0,8,0,8
PELECHUCO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,6,1,6,1,7
POCOATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,10,17,10,17,27
POCONA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,12,0,12,0,12
POJO (CBBA),consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,18,0,18,0,18
POOPO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,7,0,7,0,7
PORCO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,11,0,11,0,11
POROMA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,17,3,17,3,20
PORONGO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,9,1,9,1,10
PORTACHUELO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,44,0,44,0,44
PORVENIR,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,12,0,12,0,12
POTOSI,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,406,0,406,0,406
PRESTO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,12,0,12,0,12
PUCARA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,2,0,2,0,2
PUCARANI,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,25,1,25,1,26
PUERTO ACOSTA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,4,0,4,0,4
PUERTO CARABUCO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,9,1,9,1,10
PUERTO GONZALO MORENO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,10,2,10,2,12
PUERTO PEREZ,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,5,0,5,0,5
PUERTO QUIJARRO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,31,0,31,0,31
PUERTO RICO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,8,0,8,0,8
PUERTO SILES,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,1,0,1,0,1
PUERTO SUAREZ,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,44,0,44,0,44
PUERTO VILLARROEL,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,136,0,136,0,136
PUNA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,6,16,6,16,22
PUNATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,52,0,52,0,52
QUIABAYA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,2,0,2,0,2
QUILLACOLLO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,191,0,191,0,191
QUIME,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,4,0,4,0,4
RAVELO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,8,6,8,6,14
REYES,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,11,0,11,0,11
RIBERALTA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,153,4,153,4,157
ROBORE,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,36,0,36,0,36
RURRENABAQUE,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,22,0,22,0,22
SABAYA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,6,0,6,0,6
SACABA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,238,0,238,0,238
SACABAMBA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,7,0,7,0,7
SACACA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,38,1,38,1,39
SAIPINA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,18,0,18,0,18
SALINAS DE GARCI MENDOZA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,9,1,9,1,10
SAMAIPATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,11,0,11,0,11
SAN ANDRES,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,12,2,12,2,14
SAN ANDRES DE MACHACA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,2,6,2,6,8
SAN ANTONIO DE LOMERIO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,10,0,10,0,10
SAN BENITO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,22,0,22,0,22
SAN BORJA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,75,4,75,4,79
SAN BUENA VENTURA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,24,0,24,0,24
SAN CARLOS,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,50,0,50,0,50
SAN IGNACIO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,40,0,40,0,40
SAN IGNACIO DE VELASCO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,97,4,97,4,101
SAN JAVIER(BNI),consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,3,0,3,0,3
SAN JAVIER(STC),consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,22,0,22,0,22
SAN JOAQUIN,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,10,0,10,0,10
SAN JOSE DE CHIQUITOS,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,25,0,25,0,25
SAN JUAN DE YAPACANI,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,31,0,31,0,31
SAN JULIAN,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,98,0,98,0,98
SAN LORENZO(PND),consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,2,0,2,0,2
SAN LORENZO(TJA),consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,23,1,23,1,24
SAN LUCAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,39,24,39,24,63
SAN MATIAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,33,3,33,3,36
SAN MIGUEL DE VELASCO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,22,0,22,0,22
SAN PABLO DE LIPEZ,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,1,1,1,1,2
SAN PEDRO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,27,0,27,0,27
SAN PEDRO DE BUENA VISTA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,20,1,20,1,21
SAN PEDRO DE CURAHUARA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,3,2,3,2,5
SAN PEDRO DE TIQUINA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,4,0,4,0,4
SAN PEDRO(PND),consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,0,2,0,2,2
SAN RAFAEL,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,12,0,12,0,12
SAN RAMON BENI,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,11,0,11,0,11
SAN RAMON SCZ,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,26,0,26,0,26
SANTA ANA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,27,0,27,0,27
SANTA CRUZ DE LA SIERRA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,2945,13,2945,13,2958
SANTA ROSA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,9,0,9,0,9
SANTA ROSA DEL SARA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,16,0,16,0,16
SANTIAGO DE CALLAPA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,3,0,3,0,3
SANTIAGO DE HUARI,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,12,1,12,1,13
SANTIAGO DE HUATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,2,0,2,0,2
SANTIAGO DE MACHACA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,5,0,5,0,5
SANTIVAÑES,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,6,0,6,0,6
SANTUARIO DE QUILLACAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,6,0,6,0,6
SAPAHAQUI,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,4,1,4,1,5
SENA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,5,0,5,0,5
SHINAOTA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,70,0,70,0,70
SICA SICA (VILLA AROMA),consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,23,1,23,1,24
SICAYA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,5,0,5,0,5
SIPE SIPE,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,57,2,57,2,59
SOPACHUY,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,15,0,15,0,15
SORACACHI,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,8,1,8,1,9
SORATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,12,2,12,2,14
SUCRE,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,662,5,662,5,667
TACACHI,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,1,0,1,0,1
TACACOMA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,15,2,15,2,17
