,group,variable,month,REPETIDAS TOTAL 4.3 REPETIDAS,REPETIDAS TOTAL 4.3 REPETIDAS,TOTALES,TOTALES,TOTALES
INQUISIVI,consultas prenatales,repetidas,2010-01-01,20,0,20,0,20
IRUPANA (VILLA DE LANZA),consultas prenatales,repetidas,2010-01-01,60,0,60,0,60
IXIAMAS,consultas prenatales,repetidas,2010-01-01,61,0,61,0,61
JESUS DE MACHACA,consultas prenatales,repetidas,2010-01-01,62,1,62,1,63
LA ASUNTA,consultas prenatales,repetidas,2010-01-01,210,0,210,0,210
LA GUARDIA,consultas prenatales,repetidas,2010-01-01,913,0,913,0,913
LA PAZ,consultas prenatales,repetidas,2010-01-01,7736,4,7736,4,7740
LA RIVERA,consultas prenatales,repetidas,2010-01-01,2,0,2,0,2
LAGUNILLAS,consultas prenatales,repetidas,2010-01-01,48,9,48,9,57
LAJA,consultas prenatales,repetidas,2010-01-01,56,0,56,0,56
LAS CARRERAS,consultas prenatales,repetidas,2010-01-01,22,4,22,4,26
LICOMA PAMPA,consultas prenatales,repetidas,2010-01-01,11,0,11,0,11
LLALLAGUA,consultas prenatales,repetidas,2010-01-01,236,11,236,11,247
LLICA,consultas prenatales,repetidas,2010-01-01,27,3,27,3,30
LORETO,consultas prenatales,repetidas,2010-01-01,2,0,2,0,2
LURIBAY,consultas prenatales,repetidas,2010-01-01,25,0,25,0,25
MACHACAMARCA,consultas prenatales,repetidas,2010-01-01,20,0,20,0,20
MACHARETI,consultas prenatales,repetidas,2010-01-01,45,12,45,12,57
MAGDALENA,consultas prenatales,repetidas,2010-01-01,61,4,61,4,65
MAIRANA,consultas prenatales,repetidas,2010-01-01,66,0,66,0,66
MALLA,consultas prenatales,repetidas,2010-01-01,6,3,6,3,9
MAPIRI,consultas prenatales,repetidas,2010-01-01,99,8,99,8,107
MECAPACA,consultas prenatales,repetidas,2010-01-01,24,16,24,16,40
MINEROS,consultas prenatales,repetidas,2010-01-01,154,0,154,0,154
MIZQUE,consultas prenatales,repetidas,2010-01-01,160,8,160,8,168
MOCOMOCO,consultas prenatales,repetidas,2010-01-01,40,0,40,0,40
MOJINETE,consultas prenatales,repetidas,2010-01-01,3,2,3,2,5
MOJOCOYA,consultas prenatales,repetidas,2010-01-01,36,7,36,7,43
MONTEAGUDO,consultas prenatales,repetidas,2010-01-01,245,8,245,8,253
MONTERO,consultas prenatales,repetidas,2010-01-01,966,0,966,0,966
MORO MORO,consultas prenatales,repetidas,2010-01-01,10,0,10,0,10
MOROCHATA,consultas prenatales,repetidas,2010-01-01,44,7,44,7,51
NACEBE (SANTA ROSA DEL ABUNA),consultas prenatales,repetidas,2010-01-01,9,0,9,0,9
NAZACARA DE PACAJES,consultas prenatales,repetidas,2010-01-01,0,1,0,1,1
NUEVO MANOA (NUEVA ESPERANZA),consultas prenatales,repetidas,2010-01-01,3,0,3,0,3
OCURI,consultas prenatales,repetidas,2010-01-01,72,39,72,39,111
OKINAWA,consultas prenatales,repetidas,2010-01-01,115,0,115,0,115
OMEREQUE,consultas prenatales,repetidas,2010-01-01,16,11,16,11,27
ORURO,consultas prenatales,repetidas,2010-01-01,2409,13,2409,13,2422
PADCAYA,consultas prenatales,repetidas,2010-01-01,98,11,98,11,109
PADILLA,consultas prenatales,repetidas,2010-01-01,86,14,86,14,100
PAILON,consultas prenatales,repetidas,2010-01-01,130,0,130,0,130
PALCA,consultas prenatales,repetidas,2010-01-01,40,3,40,3,43
PALOS BLANCOS,consultas prenatales,repetidas,2010-01-01,241,0,241,0,241
PAMPA AULLAGAS,consultas prenatales,repetidas,2010-01-01,8,0,8,0,8
PAMPA GRANDE,consultas prenatales,repetidas,2010-01-01,68,0,68,0,68
PAPEL PAMPA,consultas prenatales,repetidas,2010-01-01,4,1,4,1,5
PASORAPA,consultas prenatales,repetidas,2010-01-01,9,2,9,2,11
PATACAMAYA,consultas prenatales,repetidas,2010-01-01,1,178,1,178,179
PAZÑA,consultas prenatales,repetidas,2010-01-01,35,5,35,5,40
PELECHUCO,consultas prenatales,repetidas,2010-01-01,19,3,19,3,22
POCOATA,consultas prenatales,repetidas,2010-01-01,58,41,58,41,99
POCONA,consultas prenatales,repetidas,2010-01-01,46,0,46,0,46
POJO (CBBA),consultas prenatales,repetidas,2010-01-01,84,0,84,0,84
POOPO,consultas prenatales,repetidas,2010-01-01,19,0,19,0,19
PORCO,consultas prenatales,repetidas,2010-01-01,69,1,69,1,70
POROMA,consultas prenatales,repetidas,2010-01-01,64,19,64,19,83
PORONGO,consultas prenatales,repetidas,2010-01-01,40,0,40,0,40
PORTACHUELO,consultas prenatales,repetidas,2010-01-01,263,0,263,0,263
PORVENIR,consultas prenatales,repetidas,2010-01-01,23,0,23,0,23
POSTRER VALLE,consultas prenatales,repetidas,2010-01-01,5,0,5,0,5
POTOSI,consultas prenatales,repetidas,2010-01-01,1639,0,1639,0,1639
PRESTO,consultas prenatales,repetidas,2010-01-01,12,29,12,29,41
PUCARA,consultas prenatales,repetidas,2010-01-01,2,1,2,1,3
PUCARANI,consultas prenatales,repetidas,2010-01-01,132,1,132,1,133
PUERTO ACOSTA,consultas prenatales,repetidas,2010-01-01,28,0,28,0,28
PUERTO CARABUCO,consultas prenatales,repetidas,2010-01-01,31,0,31,0,31
PUERTO GONZALO MORENO,consultas prenatales,repetidas,2010-01-01,30,0,30,0,30
PUERTO PEREZ,consultas prenatales,repetidas,2010-01-01,11,0,11,0,11
PUERTO QUIJARRO,consultas prenatales,repetidas,2010-01-01,78,0,78,0,78
PUERTO RICO,consultas prenatales,repetidas,2010-01-01,36,0,36,0,36
PUERTO SILES,consultas prenatales,repetidas,2010-01-01,5,0,5,0,5
PUERTO SUAREZ,consultas prenatales,repetidas,2010-01-01,149,0,149,0,149
PUERTO VILLARROEL,consultas prenatales,repetidas,2010-01-01,537,0,537,0,537
PUNA,consultas prenatales,repetidas,2010-01-01,38,56,38,56,94
PUNATA,consultas prenatales,repetidas,2010-01-01,263,1,263,1,264
QUIABAYA,consultas prenatales,repetidas,2010-01-01,5,0,5,0,5
QUILLACOLLO,consultas prenatales,repetidas,2010-01-01,569,0,569,0,569
QUIME,consultas prenatales,repetidas,2010-01-01,25,1,25,1,26
QUIRUSILLAS,consultas prenatales,repetidas,2010-01-01,7,0,7,0,7
RAVELO,consultas prenatales,repetidas,2010-01-01,41,40,41,40,81
REYES,consultas prenatales,repetidas,2010-01-01,56,0,56,0,56
RIBERALTA,consultas prenatales,repetidas,2010-01-01,850,7,850,7,857
ROBORE,consultas prenatales,repetidas,2010-01-01,115,0,115,0,115
RURRENABAQUE,consultas prenatales,repetidas,2010-01-01,96,0,96,0,96
SABAYA,consultas prenatales,repetidas,2010-01-01,12,2,12,2,14
SACABA,consultas prenatales,repetidas,2010-01-01,924,0,924,0,924
SACABAMBA,consultas prenatales,repetidas,2010-01-01,27,0,27,0,27
SACACA,consultas prenatales,repetidas,2010-01-01,112,14,112,14,126
SAIPINA,consultas prenatales,repetidas,2010-01-01,49,0,49,0,49
SALINAS DE GARCI MENDOZA,consultas prenatales,repetidas,2010-01-01,45,13,45,13,58
SAMAIPATA,consultas prenatales,repetidas,2010-01-01,47,0,47,0,47
SAN AGUSTIN,consultas prenatales,repetidas,2010-01-01,8,0,8,0,8
SAN ANDRES,consultas prenatales,repetidas,2010-01-01,41,5,41,5,46
SAN ANDRES DE MACHACA,consultas prenatales,repetidas,2010-01-01,6,7,6,7,13
SAN ANTONIO DE ESMORUCO,consultas prenatales,repetidas,2010-01-01,5,0,5,0,5
SAN ANTONIO DE LOMERIO,consultas prenatales,repetidas,2010-01-01,42,0,42,0,42
SAN BENITO,consultas prenatales,repetidas,2010-01-01,96,0,96,0,96
SAN BORJA,consultas prenatales,repetidas,2010-01-01,318,9,318,9,327
SAN BUENA VENTURA,consultas prenatales,repetidas,2010-01-01,105,1,105,1,106
SAN CARLOS,consultas prenatales,repetidas,2010-01-01,144,0,144,0,144
SAN IGNACIO,consultas prenatales,repetidas,2010-01-01,158,0,158,0,158
SAN IGNACIO DE VELASCO,consultas prenatales,repetidas,2010-01-01,465,30,465,30,495
SAN JAVIER(BNI),consultas prenatales,repetidas,2010-01-01,12,0,12,0,12
SAN JAVIER(STC),consultas prenatales,repetidas,2010-01-01,123,0,123,0,123
SAN JOAQUIN,consultas prenatales,repetidas,2010-01-01,34,0,34,0,34
SAN JOSE DE CHIQUITOS,consultas prenatales,repetidas,2010-01-01,120,0,120,0,120
SAN JUAN DE YAPACANI,consultas prenatales,repetidas,2010-01-01,90,0,90,0,90
SAN JULIAN,consultas prenatales,repetidas,2010-01-01,217,0,217,0,217
SAN LORENZO(PND),consultas prenatales,repetidas,2010-01-01,10,0,10,0,10
SAN LORENZO(TJA),consultas prenatales,repetidas,2010-01-01,123,5,123,5,128
SAN LUCAS,consultas prenatales,repetidas,2010-01-01,154,62,154,62,216
SAN MATIAS,consultas prenatales,repetidas,2010-01-01,113,3,113,3,116
SAN MIGUEL DE VELASCO,consultas prenatales,repetidas,2010-01-01,78,1,78,1,79
SAN PABLO DE LIPEZ,consultas prenatales,repetidas,2010-01-01,6,2,6,2,8
SAN PEDRO,consultas prenatales,repetidas,2010-01-01,99,0,99,0,99
SAN PEDRO DE BUENA VISTA,consultas prenatales,repetidas,2010-01-01,59,3,59,3,62
SAN PEDRO DE CURAHUARA,consultas prenatales,repetidas,2010-01-01,12,7,12,7,19
SAN PEDRO DE TIQUINA,consultas prenatales,repetidas,2010-01-01,13,2,13,2,15
SAN PEDRO(PND),consultas prenatales,repetidas,2010-01-01,1,0,1,0,1
SAN RAFAEL,consultas prenatales,repetidas,2010-01-01,45,0,45,0,45
SAN RAMON BENI,consultas prenatales,repetidas,2010-01-01,39,0,39,0,39
SAN RAMON SCZ,consultas prenatales,repetidas,2010-01-01,89,0,89,0,89
SANTA ANA,consultas prenatales,repetidas,2010-01-01,180,0,180,0,180
SANTA CRUZ DE LA SIERRA,consultas prenatales,repetidas,2010-01-01,8800,29,8800,29,8829
SANTA ROSA,consultas prenatales,repetidas,2010-01-01,85,0,85,0,85
SANTA ROSA DEL SARA,consultas prenatales,repetidas,2010-01-01,110,3,110,3,113
SANTIAGO DE CALLAPA,consultas prenatales,repetidas,2010-01-01,4,6,4,6,10
SANTIAGO DE HUARI,consultas prenatales,repetidas,2010-01-01,30,13,30,13,43
SANTIAGO DE HUATA,consultas prenatales,repetidas,2010-01-01,13,0,13,0,13
SANTIAGO DE MACHACA,consultas prenatales,repetidas,2010-01-01,7,1,7,1,8
SANTIVAÑES,consultas prenatales,repetidas,2010-01-01,18,2,18,2,20
SANTUARIO DE QUILLACAS,consultas prenatales,repetidas,2010-01-01,13,1,13,1,14
SAPAHAQUI,consultas prenatales,repetidas,2010-01-01,17,2,17,2,19
SENA,consultas prenatales,repetidas,2010-01-01,26,0,26,0,26
SHINAOTA,consultas prenatales,repetidas,2010-01-01,327,0,327,0,327
SICA SICA (VILLA AROMA),consultas prenatales,repetidas,2010-01-01,78,2,78,2,80
SICAYA,consultas prenatales,repetidas,2010-01-01,8,0,8,0,8
SIPE SIPE,consultas prenatales,repetidas,2010-01-01,252,13,252,13,265
SOPACHUY,consultas prenatales,repetidas,2010-01-01,47,1,47,1,48
SORACACHI,consultas prenatales,repetidas,2010-01-01,47,3,47,3,50
SORATA,consultas prenatales,repetidas,2010-01-01,88,11,88,11,99
SUCRE,consultas prenatales,repetidas,2010-01-01,2765,7,2765,7,2772
TACACHI,consultas prenatales,repetidas,2010-01-01,5,0,5,0,5
TACACOMA,consultas prenatales,repetidas,2010-01-01,24,2,24,2,26
TACOBAMBA,consultas prenatales,repetidas,2010-01-01,20,2,20,2,22
TACOPAYA,consultas prenatales,repetidas,2010-01-01,37,6,37,6,43
TAHUA,consultas prenatales,repetidas,2010-01-01,4,0,4,0,4
TAPACARI,consultas prenatales,repetidas,2010-01-01,116,19,116,19,135
TARABUCO,consultas prenatales,repetidas,2010-01-01,101,26,101,26,127
TARACO,consultas prenatales,repetidas,2010-01-01,10,2,10,2,12
TARATA,consultas prenatales,repetidas,2010-01-01,54,0,54,0,54
TARIJA,consultas prenatales,repetidas,2010-01-01,1647,2,1647,2,1649
TARVITA,consultas prenatales,repetidas,2010-01-01,64,26,64,26,90
TEOPONTE,consultas prenatales,repetidas,2010-01-01,37,5,37,5,42
TIAWANACU,consultas prenatales,repetidas,2010-01-01,54,8,54,8,62
TINGUIPAYA,consultas prenatales,repetidas,2010-01-01,24,0,24,0,24
TIPUANI,consultas prenatales,repetidas,2010-01-01,81,15,81,15,96
TIQUIPAYA,consultas prenatales,repetidas,2010-01-01,414,0,414,0,414
TIRAQUE (CBBA),consultas prenatales,repetidas,2010-01-01,89,1,89,1,90
TITO YUPANQUI (PARQUIPUJIO),consultas prenatales,repetidas,2010-01-01,3,1,3,1,4
TOCO,consultas prenatales,repetidas,2010-01-01,29,0,29,0,29
TODOS SANTOS,consultas prenatales,repetidas,2010-01-01,2,0,2,0,2
TOLATA,consultas prenatales,repetidas,2010-01-01,19,0,19,0,19
TOLEDO,consultas prenatales,repetidas,2010-01-01,26,2,26,2,28
TOMAVE,consultas prenatales,repetidas,2010-01-01,28,3,28,3,31
TOMINA,consultas prenatales,repetidas,2010-01-01,42,5,42,5,47
TORO TORO,consultas prenatales,repetidas,2010-01-01,18,0,18,0,18
TOTORA(CBBA),consultas prenatales,repetidas,2010-01-01,136,0,136,0,136
TOTORA(ORR),consultas prenatales,repetidas,2010-01-01,20,5,20,5,25
TRIGAL,consultas prenatales,repetidas,2010-01-01,10,1,10,1,11
TRINIDAD,consultas prenatales,repetidas,2010-01-01,815,0,815,0,815
TUPIZA,consultas prenatales,repetidas,2010-01-01,223,11,223,11,234
TURCO,consultas prenatales,repetidas,2010-01-01,6,3,6,3,9
UMALA,consultas prenatales,repetidas,2010-01-01,17,11,17,11,28
UNCIA,consultas prenatales,repetidas,2010-01-01,108,10,108,10,118
URIONDO (A. CONCEPCION),consultas prenatales,repetidas,2010-01-01,95,0,95,0,95
URUBICHA,consultas prenatales,repetidas,2010-01-01,45,0,45,0,45
UYUNI,consultas prenatales,repetidas,2010-01-01,192,3,192,3,195
VACAS,consultas prenatales,repetidas,2010-01-01,58,0,58,0,58
VALLEGRANDE,consultas prenatales,repetidas,2010-01-01,98,0,98,0,98
VIACHA,consultas prenatales,repetidas,2010-01-01,234,1,234,1,235
VILA VILA,consultas prenatales,repetidas,2010-01-01,18,0,18,0,18
VILLA CHARCAS,consultas prenatales,repetidas,2010-01-01,51,35,51,35,86
VILLA MONTES,consultas prenatales,repetidas,2010-01-01,413,5,413,5,418
VILLA NUEVA (LOMA ALTA),consultas prenatales,repetidas,2010-01-01,15,1,15,1,16
VILLA RIVERO,consultas prenatales,repetidas,2010-01-01,18,0,18,0,18
VILLA SERRANO,consultas prenatales,repetidas,2010-01-01,67,19,67,19,86
VILLA TUNARI,consultas prenatales,repetidas,2010-01-01,580,5,580,5,585
VILLA VACA GUZMAN (MUYUPAMPA),consultas prenatales,repetidas,2010-01-01,45,10,45,10,55
VILLAZON,consultas prenatales,repetidas,2010-01-01,379,4,379,4,383
VINTO,consultas prenatales,repetidas,2010-01-01,292,0,292,0,292
VITICHI,consultas prenatales,repetidas,2010-01-01,41,6,41,6,47
WALDO BALLIVIAN,consultas prenatales,repetidas,2010-01-01,8,0,8,0,8
WARNES,consultas prenatales,repetidas,2010-01-01,568,0,568,0,568
YACO,consultas prenatales,repetidas,2010-01-01,25,1,25,1,26
YACUIBA,consultas prenatales,repetidas,2010-01-01,483,2,483,2,485
YAMPARAEZ,consultas prenatales,repetidas,2010-01-01,30,3,30,3,33
YANACACHI,consultas prenatales,repetidas,2010-01-01,18,0,18,0,18
YAPACANI,consultas prenatales,repetidas,2010-01-01,302,7,302,7,309
YOCALLA,consultas prenatales,repetidas,2010-01-01,25,1,25,1,26
YOTALA,consultas prenatales,repetidas,2010-01-01,61,1,61,1,62
YUNCHARA,consultas prenatales,repetidas,2010-01-01,6,29,6,29,35
ZUDAÑEZ,consultas prenatales,repetidas,2010-01-01,35,3,35,3,38
ACACIO,consultas prenatales,repetidas,2010-02-01,26,0,26,0,26
ACHACACHI,consultas prenatales,repetidas,2010-02-01,234,7,234,7,241
ACHOCALLA,consultas prenatales,repetidas,2010-02-01,47,1,47,1,48
AIQUILE,consultas prenatales,repetidas,2010-02-01,208,0,208,0,208
ALALAY,consultas prenatales,repetidas,2010-02-01,6,5,6,5,11
ALCALA,consultas prenatales,repetidas,2010-02-01,4,14,4,14,18
ALTO BENI,consultas prenatales,repetidas,2010-02-01,38,8,38,8,46
ANCORAIMES,consultas prenatales,repetidas,2010-02-01,22,5,22,5,27
ANDAMARCA,consultas prenatales,repetidas,2010-02-01,18,2,18,2,20
ANTEQUERA,consultas prenatales,repetidas,2010-02-01,12,2,12,2,14
ANZALDO,consultas prenatales,repetidas,2010-02-01,18,3,18,3,21
APOLO,consultas prenatales,repetidas,2010-02-01,76,5,76,5,81
ARAMPAMPA,consultas prenatales,repetidas,2010-02-01,17,4,17,4,21
ARANI,consultas prenatales,repetidas,2010-02-01,57,2,57,2,59
ARBIETO,consultas prenatales,repetidas,2010-02-01,40,3,40,3,43
ARQUE,consultas prenatales,repetidas,2010-02-01,42,0,42,0,42
ASCENCION DE GUARAYOS,consultas prenatales,repetidas,2010-02-01,222,0,222,0,222
ATOCHA,consultas prenatales,repetidas,2010-02-01,50,0,50,0,50
AUCAPATA,consultas prenatales,repetidas,2010-02-01,5,0,5,0,5
