,group,variable,month,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO CANTIDAD,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO CANTIDAD,TOTALES,TOTALES,TOTALES
EL VILLAR,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,2,1,2,1,3
ENTRE RIOS TRJ,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,16,2,16,2,18
ENTRE RIOS CBBA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,44,0,44,0,44
ESCOMA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,10,0,10,0,10
EUCALIPTUS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,1,1,1,1,2
FERNANDEZ ALONSO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,4,0,4,0,4
FILADELFIA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,7,0,7,0,7
GENERAL SAAVEDRA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,6,1,6,1,7
GRAL. J.J. PEREZ (CHARAZANI),consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,13,0,13,0,13
GUANAY,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,9,1,9,1,10
GUAQUI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,3,1,3,1,4
GUAYARAMERIN,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,41,1,41,1,42
GUTIERREZ,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,9,1,9,1,10
HUACARETA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,7,0,7,0,7
HUACAYA (VILLA DE HUACAYA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,2,2,2,2,4
HUACHACALLA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,1,0,1,0,1
HUANUNI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,14,0,14,0,14
HUARACAJE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,3,0,3,0,3
HUARINA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,4,0,4,0,4
HUAYLLAMARCA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,4,0,4,0,4
HUMANATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,2,1,2,1,3
ICHOCA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,1,0,1,0,1
INCAHUASI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,5,3,5,3,8
INGAVI (HUMAITA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,3,0,3,0,3
INQUISIVI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,6,3,6,3,9
IRUPANA (VILLA DE LANZA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,12,0,12,0,12
IXIAMAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,1,1,1,1,2
JESUS DE MACHACA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,1,0,1,0,1
LA ASUNTA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,67,0,67,0,67
LA GUARDIA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,67,0,67,0,67
LA PAZ,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,1409,1,1409,1,1410
LAGUNILLAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,2,3,2,3,5
LAJA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,16,0,16,0,16
LICOMA PAMPA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,2,0,2,0,2
LLALLAGUA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,35,6,35,6,41
LLICA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,5,0,5,0,5
LORETO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,5,0,5,0,5
LURIBAY,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,3,1,3,1,4
MACHACAMARCA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,4,0,4,0,4
MACHARETI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,0,1,0,1,1
MAGDALENA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,1,4,1,4,5
MAIRANA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,6,0,6,0,6
MALLA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,3,1,3,1,4
MAPIRI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,6,2,6,2,8
MECAPACA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,1,0,1,0,1
MINEROS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,19,0,19,0,19
MIZQUE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,26,1,26,1,27
MOCOMOCO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,7,1,7,1,8
MOJOCOYA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,0,1,0,1,1
MONTEAGUDO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,15,1,15,1,16
MONTERO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,87,0,87,0,87
MORO MORO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,1,0,1,0,1
MOROCHATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,10,2,10,2,12
NACEBE (SANTA ROSA DEL ABUNA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,1,0,1,0,1
NAZACARA DE PACAJES,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,0,1,0,1,1
OCURI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,5,0,5,0,5
OKINAWA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,10,0,10,0,10
OMEREQUE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,3,3,3,3,6
ORURO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,628,1,628,1,629
PADCAYA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,8,0,8,0,8
PADILLA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,6,0,6,0,6
PAILON,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,14,0,14,0,14
PALCA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,12,1,12,1,13
PALOS BLANCOS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,12,0,12,0,12
PAMPA AULLAGAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,1,0,1,0,1
PAMPA GRANDE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,6,0,6,0,6
PAPEL PAMPA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,3,0,3,0,3
PASORAPA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,1,0,1,0,1
PATACAMAYA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,0,26,0,26,26
PAZÑA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,4,0,4,0,4
PELECHUCO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,6,1,6,1,7
POCOATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,8,10,8,10,18
POCONA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,9,0,9,0,9
POJO (CBBA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,7,0,7,0,7
PORCO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,9,0,9,0,9
POROMA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,1,4,1,4,5
PORONGO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,5,1,5,1,6
PORTACHUELO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,15,0,15,0,15
PORVENIR,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,2,0,2,0,2
POTOSI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,507,0,507,0,507
PRESTO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,3,5,3,5,8
PUCARANI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,30,3,30,3,33
PUERTO ACOSTA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,7,0,7,0,7
PUERTO CARABUCO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,7,0,7,0,7
PUERTO GONZALO MORENO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,3,0,3,0,3
PUERTO PEREZ,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,5,0,5,0,5
PUERTO QUIJARRO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,21,0,21,0,21
PUERTO RICO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,5,0,5,0,5
PUERTO SUAREZ,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,20,0,20,0,20
PUERTO VILLARROEL,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,110,0,110,0,110
PUNA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,3,11,3,11,14
PUNATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,48,0,48,0,48
QUIABAYA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,0,2,0,2,2
QUILLACOLLO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,152,0,152,0,152
QUIME,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,4,0,4,0,4
RAVELO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,3,8,3,8,11
REYES,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,8,0,8,0,8
RIBERALTA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,165,6,165,6,171
ROBORE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,2,0,2,0,2
RURRENABAQUE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,32,2,32,2,34
SABAYA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,5,1,5,1,6
SACABA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,199,0,199,0,199
SACABAMBA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,3,0,3,0,3
SACACA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,19,1,19,1,20
SAIPINA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,13,0,13,0,13
SALINAS DE GARCI MENDOZA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,5,3,5,3,8
SAMAIPATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,11,0,11,0,11
SAN AGUSTIN,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,2,0,2,0,2
SAN ANDRES,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,10,2,10,2,12
SAN ANDRES DE MACHACA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,1,1,1,1,2
SAN ANTONIO DE ESMORUCO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,2,0,2,0,2
SAN ANTONIO DE LOMERIO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,2,0,2,0,2
SAN BENITO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,11,0,11,0,11
SAN BORJA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,44,7,44,7,51
SAN BUENA VENTURA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,13,1,13,1,14
SAN CARLOS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,15,0,15,0,15
SAN IGNACIO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,28,0,28,0,28
SAN IGNACIO DE VELASCO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,67,7,67,7,74
SAN JAVIER(BNI),consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,2,0,2,0,2
SAN JAVIER(STC),consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,10,0,10,0,10
SAN JOAQUIN,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,4,0,4,0,4
SAN JOSE DE CHIQUITOS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,20,0,20,0,20
SAN JUAN DE YAPACANI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,13,0,13,0,13
SAN JULIAN,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,33,0,33,0,33
SAN LORENZO(PND),consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,2,0,2,0,2
SAN LORENZO(TJA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,18,1,18,1,19
SAN LUCAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,22,16,22,16,38
SAN MATIAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,7,1,7,1,8
SAN MIGUEL DE VELASCO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,3,1,3,1,4
SAN PABLO DE LIPEZ,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,6,0,6,0,6
SAN PEDRO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,5,0,5,0,5
SAN PEDRO DE BUENA VISTA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,11,4,11,4,15
SAN PEDRO DE CURAHUARA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,5,1,5,1,6
SAN PEDRO DE TIQUINA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,2,1,2,1,3
SAN RAFAEL,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,3,0,3,0,3
SAN RAMON BENI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,1,0,1,0,1
SAN RAMON SCZ,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,2,0,2,0,2
SANTA ANA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,29,0,29,0,29
SANTA CRUZ DE LA SIERRA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,2773,19,2773,19,2792
SANTA ROSA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,4,0,4,0,4
SANTA ROSA DEL SARA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,6,0,6,0,6
SANTIAGO DE HUARI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,1,0,1,0,1
SANTIAGO DE HUATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,3,0,3,0,3
SANTIVAÑES,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,3,0,3,0,3
SANTUARIO DE QUILLACAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,3,1,3,1,4
SAPAHAQUI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,4,1,4,1,5
SENA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,1,1,1,1,2
SHINAOTA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,29,0,29,0,29
SICA SICA (VILLA AROMA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,18,1,18,1,19
SICAYA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,1,0,1,0,1
SIPE SIPE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,35,0,35,0,35
SOPACHUY,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,3,0,3,0,3
SORACACHI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,6,1,6,1,7
SORATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,8,2,8,2,10
SUCRE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,166,2,166,2,168
TACACHI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,2,0,2,0,2
TACACOMA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,5,0,5,0,5
TACOBAMBA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,4,0,4,0,4
TACOPAYA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,12,0,12,0,12
TAPACARI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,19,1,19,1,20
TARABUCO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,6,2,6,2,8
TARACO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,1,0,1,0,1
