,group,variable,month,MUJERES CON 4TA CONSULTA PRENATAL TOTAL 4.4 MUJERES CON 4TA CONSULTA PRENATAL,MUJERES CON 4TA CONSULTA PRENATAL TOTAL 4.4 MUJERES CON 4TA CONSULTA PRENATAL,TOTALES,TOTALES,TOTALES
ENTRE RIOS CBBA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,24,0,24,0,24
ESCOMA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,1,0,1,0,1
EUCALIPTUS,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,8,0,8,0,8
EUREKA (SANTOS MERCADO),consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,1,0,1,0,1
EXALTACION,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,1,0,1,0,1
FERNANDEZ ALONSO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,19,0,19,0,19
FILADELFIA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,1,0,1,0,1
GENERAL SAAVEDRA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,15,0,15,0,15
GRAL. J.J. PEREZ (CHARAZANI),consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,11,1,11,1,12
GUANAY,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,12,0,12,0,12
GUAQUI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,3,3,3,3,6
GUAYARAMERIN,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,76,8,76,8,84
GUTIERREZ,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,8,2,8,2,10
HUACARETA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,3,1,3,1,4
HUACAYA (VILLA DE HUACAYA),consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,0,1,0,1,1
HUANUNI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,56,0,56,0,56
HUARACAJE,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,10,0,10,0,10
HUARINA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,3,0,3,0,3
HUAYLLAMARCA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,3,0,3,0,3
HUMANATA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,2,1,2,1,3
ICHOCA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,4,2,4,2,6
ICLA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,4,4,4,4,8
INCAHUASI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,12,0,12,0,12
INQUISIVI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,4,0,4,0,4
IRUPANA (VILLA DE LANZA),consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,14,0,14,0,14
IXIAMAS,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,20,0,20,0,20
JESUS DE MACHACA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,12,0,12,0,12
LA ASUNTA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,81,0,81,0,81
LA GUARDIA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,78,0,78,0,78
LA PAZ,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,972,3,972,3,975
LA RIVERA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,1,0,1,0,1
LAGUNILLAS,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,6,4,6,4,10
LAJA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,9,0,9,0,9
LAS CARRERAS,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,5,0,5,0,5
LICOMA PAMPA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,2,0,2,0,2
LLALLAGUA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,48,0,48,0,48
LLICA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,5,2,5,2,7
LURIBAY,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,9,0,9,0,9
MACHACAMARCA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,11,0,11,0,11
MACHARETI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,9,1,9,1,10
MAGDALENA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,14,1,14,1,15
MAIRANA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,11,0,11,0,11
MALLA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,2,0,2,0,2
MAPIRI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,7,0,7,0,7
MECAPACA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,6,7,6,7,13
MINEROS,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,37,0,37,0,37
MIZQUE,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,24,1,24,1,25
MOCOMOCO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,13,0,13,0,13
MOJINETE,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,0,1,0,1,1
MOJOCOYA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,10,2,10,2,12
MONTEAGUDO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,49,0,49,0,49
MONTERO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,174,0,174,0,174
MORO MORO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,3,0,3,0,3
MOROCHATA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,16,1,16,1,17
OCURI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,19,6,19,6,25
OKINAWA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,24,0,24,0,24
OMEREQUE,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,5,5,5,5,10
ORURO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,448,2,448,2,450
PADCAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,23,4,23,4,27
PADILLA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,14,1,14,1,15
PAILON,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,20,0,20,0,20
PALCA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,11,0,11,0,11
PALOS BLANCOS,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,49,0,49,0,49
PAMPA GRANDE,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,13,0,13,0,13
PAPEL PAMPA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,1,0,1,0,1
PATACAMAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,0,19,0,19,19
PAZÑA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,4,1,4,1,5
PELECHUCO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,5,0,5,0,5
POCOATA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,8,8,8,8,16
POCONA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,15,0,15,0,15
POJO (CBBA),consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,14,0,14,0,14
POOPO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,3,0,3,0,3
PORCO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,9,0,9,0,9
POROMA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,19,2,19,2,21
PORONGO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,1,0,1,0,1
PORTACHUELO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,47,0,47,0,47
PORVENIR,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,13,0,13,0,13
POTOSI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,286,0,286,0,286
PRESTO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,8,3,8,3,11
PUCARA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,1,1,1,1,2
PUCARANI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,28,0,28,0,28
PUERTO ACOSTA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,6,0,6,0,6
PUERTO CARABUCO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,4,0,4,0,4
PUERTO GONZALO MORENO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,7,0,7,0,7
PUERTO PEREZ,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,3,0,3,0,3
PUERTO QUIJARRO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,15,0,15,0,15
PUERTO RICO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,3,0,3,0,3
PUERTO SUAREZ,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,28,0,28,0,28
PUERTO VILLARROEL,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,115,0,115,0,115
PUNA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,12,15,12,15,27
PUNATA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,38,0,38,0,38
QUILLACOLLO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,142,0,142,0,142
QUIME,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,7,0,7,0,7
QUIRUSILLAS,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,1,0,1,0,1
RAVELO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,5,11,5,11,16
REYES,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,15,0,15,0,15
RIBERALTA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,171,5,171,5,176
ROBORE,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,22,0,22,0,22
RURRENABAQUE,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,35,0,35,0,35
SABAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,4,1,4,1,5
SACABA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,133,0,133,0,133
SACABAMBA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,10,0,10,0,10
SACACA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,20,3,20,3,23
SAIPINA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,10,0,10,0,10
SALINAS DE GARCI MENDOZA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,16,1,16,1,17
SAMAIPATA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,3,0,3,0,3
SAN AGUSTIN,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,2,0,2,0,2
SAN ANDRES,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,8,4,8,4,12
SAN ANDRES DE MACHACA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,1,2,1,2,3
SAN ANTONIO DE ESMORUCO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,2,0,2,0,2
SAN ANTONIO DE LOMERIO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,14,0,14,0,14
SAN BENITO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,16,0,16,0,16
SAN BORJA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,106,0,106,0,106
SAN BUENA VENTURA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,29,0,29,0,29
SAN CARLOS,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,28,0,28,0,28
SAN IGNACIO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,49,0,49,0,49
SAN IGNACIO DE VELASCO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,86,10,86,10,96
SAN JAVIER(BNI),consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,4,0,4,0,4
SAN JAVIER(STC),consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,18,0,18,0,18
SAN JOAQUIN,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,10,0,10,0,10
SAN JOSE DE CHIQUITOS,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,23,0,23,0,23
SAN JUAN DE YAPACANI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,25,0,25,0,25
SAN JULIAN,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,68,0,68,0,68
SAN LORENZO(PND),consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,3,0,3,0,3
SAN LORENZO(TJA),consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,27,1,27,1,28
SAN LUCAS,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,31,17,31,17,48
SAN MATIAS,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,11,0,11,0,11
SAN MIGUEL DE VELASCO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,19,0,19,0,19
SAN PABLO DE LIPEZ,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,2,0,2,0,2
SAN PEDRO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,21,0,21,0,21
SAN PEDRO DE BUENA VISTA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,11,0,11,0,11
SAN PEDRO DE TIQUINA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,1,0,1,0,1
SAN PEDRO(PND),consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,1,0,1,0,1
SAN RAFAEL,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,7,0,7,0,7
SAN RAMON BENI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,25,0,25,0,25
SAN RAMON SCZ,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,27,0,27,0,27
SANTA ANA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,46,0,46,0,46
SANTA CRUZ DE LA SIERRA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,1781,1,1781,1,1782
SANTA ROSA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,24,0,24,0,24
SANTA ROSA DEL SARA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,27,1,27,1,28
SANTIAGO DE CALLAPA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,1,1,1,1,2
SANTIAGO DE HUARI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,8,3,8,3,11
SANTIAGO DE HUATA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,2,0,2,0,2
SANTIAGO DE MACHACA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,2,0,2,0,2
SANTIVAÑES,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,5,1,5,1,6
SANTUARIO DE QUILLACAS,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,1,0,1,0,1
SAPAHAQUI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,4,1,4,1,5
SENA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,8,0,8,0,8
SHINAOTA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,41,0,41,0,41
SICA SICA (VILLA AROMA),consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,27,0,27,0,27
SICAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,1,0,1,0,1
SIPE SIPE,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,65,7,65,7,72
SOPACHUY,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,8,0,8,0,8
SORACACHI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,10,0,10,0,10
SORATA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,7,4,7,4,11
SUCRE,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,592,4,592,4,596
TACACHI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,3,0,3,0,3
TACACOMA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,11,1,11,1,12
TACOBAMBA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,5,2,5,2,7
TACOPAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,11,2,11,2,13
TAPACARI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,24,4,24,4,28
TARABUCO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,20,7,20,7,27
TARACO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,9,0,9,0,9
TARATA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,20,0,20,0,20
TARIJA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,231,1,231,1,232
TARVITA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,17,4,17,4,21
TEOPONTE,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,6,1,6,1,7
TIAWANACU,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,8,3,8,3,11
TINGUIPAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,7,0,7,0,7
TIPUANI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,19,4,19,4,23
