,group,variable,month,Nº DE PERSONAS CON ESQUEMA REDUCIDO COMPLETO CANTIDAD,Nº DE PERSONAS CON ESQUEMA REDUCIDO COMPLETO CANTIDAD,TOTALES,TOTALES,TOTALES
SAN PEDRO DE BUENA VISTA,rabia,no de personas con esquema reducido completo,2022-01-01,1,2,1,2,3
SAN RAMON SCZ,rabia,no de personas con esquema reducido completo,2022-01-01,0,2,0,2,2
SANTA CRUZ DE LA SIERRA,rabia,no de personas con esquema reducido completo,2022-01-01,104,93,104,93,197
SANTA ROSA DEL SARA,rabia,no de personas con esquema reducido completo,2022-01-01,2,1,2,1,3
SIPE SIPE,rabia,no de personas con esquema reducido completo,2022-01-01,1,3,1,3,4
SUCRE,rabia,no de personas con esquema reducido completo,2022-01-01,37,29,37,29,66
TARIJA,rabia,no de personas con esquema reducido completo,2022-01-01,5,4,5,4,9
TIQUIPAYA,rabia,no de personas con esquema reducido completo,2022-01-01,6,2,6,2,8
TOLATA,rabia,no de personas con esquema reducido completo,2022-01-01,1,0,1,0,1
TRINIDAD,rabia,no de personas con esquema reducido completo,2022-01-01,7,3,7,3,10
UYUNI,rabia,no de personas con esquema reducido completo,2022-01-01,1,1,1,1,2
VALLEGRANDE,rabia,no de personas con esquema reducido completo,2022-01-01,2,0,2,0,2
VIACHA,rabia,no de personas con esquema reducido completo,2022-01-01,1,1,1,1,2
VILLA RIVERO,rabia,no de personas con esquema reducido completo,2022-01-01,1,0,1,0,1
VINTO,rabia,no de personas con esquema reducido completo,2022-01-01,2,1,2,1,3
WARNES,rabia,no de personas con esquema reducido completo,2022-01-01,8,8,8,8,16
YOTALA,rabia,no de personas con esquema reducido completo,2022-01-01,0,1,0,1,1
ACHOCALLA,rabia,no de personas con esquema reducido completo,2022-02-01,0,2,0,2,2
ARBIETO,rabia,no de personas con esquema reducido completo,2022-02-01,0,1,0,1,1
ARQUE,rabia,no de personas con esquema reducido completo,2022-02-01,1,0,1,0,1
BOYUIBE,rabia,no de personas con esquema reducido completo,2022-02-01,0,1,0,1,1
BUENA VISTA,rabia,no de personas con esquema reducido completo,2022-02-01,0,2,0,2,2
CABEZAS,rabia,no de personas con esquema reducido completo,2022-02-01,1,1,1,1,2
CAJUATA,rabia,no de personas con esquema reducido completo,2022-02-01,0,1,0,1,1
CAPINOTA,rabia,no de personas con esquema reducido completo,2022-02-01,1,1,1,1,2
CARANAVI,rabia,no de personas con esquema reducido completo,2022-02-01,2,2,2,2,4
CLIZA,rabia,no de personas con esquema reducido completo,2022-02-01,2,0,2,0,2
COCHABAMBA,rabia,no de personas con esquema reducido completo,2022-02-01,40,29,40,29,69
COLCAPIRHUA,rabia,no de personas con esquema reducido completo,2022-02-01,1,2,1,2,3
COMARAPA,rabia,no de personas con esquema reducido completo,2022-02-01,1,1,1,1,2
CORIPATA,rabia,no de personas con esquema reducido completo,2022-02-01,1,0,1,0,1
COTOCA,rabia,no de personas con esquema reducido completo,2022-02-01,4,7,4,7,11
CUATRO CAÑADAS,rabia,no de personas con esquema reducido completo,2022-02-01,1,2,1,2,3
DESAGUADERO,rabia,no de personas con esquema reducido completo,2022-02-01,1,0,1,0,1
EL ALTO,rabia,no de personas con esquema reducido completo,2022-02-01,22,13,22,13,35
EL TORNO,rabia,no de personas con esquema reducido completo,2022-02-01,1,2,1,2,3
EUCALIPTUS,rabia,no de personas con esquema reducido completo,2022-02-01,0,1,0,1,1
FERNANDEZ ALONSO,rabia,no de personas con esquema reducido completo,2022-02-01,1,0,1,0,1
GENERAL SAAVEDRA,rabia,no de personas con esquema reducido completo,2022-02-01,0,1,0,1,1
HUACARETA,rabia,no de personas con esquema reducido completo,2022-02-01,1,0,1,0,1
HUARINA,rabia,no de personas con esquema reducido completo,2022-02-01,0,1,0,1,1
IXIAMAS,rabia,no de personas con esquema reducido completo,2022-02-01,1,0,1,0,1
LA GUARDIA,rabia,no de personas con esquema reducido completo,2022-02-01,9,7,9,7,16
LA PAZ,rabia,no de personas con esquema reducido completo,2022-02-01,53,40,53,40,93
MAIRANA,rabia,no de personas con esquema reducido completo,2022-02-01,4,1,4,1,5
MAPIRI,rabia,no de personas con esquema reducido completo,2022-02-01,0,1,0,1,1
MONTERO,rabia,no de personas con esquema reducido completo,2022-02-01,1,1,1,1,2
OKINAWA,rabia,no de personas con esquema reducido completo,2022-02-01,0,1,0,1,1
ORURO,rabia,no de personas con esquema reducido completo,2022-02-01,9,5,9,5,14
PADILLA,rabia,no de personas con esquema reducido completo,2022-02-01,0,1,0,1,1
PORTACHUELO,rabia,no de personas con esquema reducido completo,2022-02-01,3,2,3,2,5
PUNATA,rabia,no de personas con esquema reducido completo,2022-02-01,1,0,1,0,1
QUILLACOLLO,rabia,no de personas con esquema reducido completo,2022-02-01,6,2,6,2,8
REYES,rabia,no de personas con esquema reducido completo,2022-02-01,1,0,1,0,1
RURRENABAQUE,rabia,no de personas con esquema reducido completo,2022-02-01,1,0,1,0,1
SACABA,rabia,no de personas con esquema reducido completo,2022-02-01,2,3,2,3,5
SAIPINA,rabia,no de personas con esquema reducido completo,2022-02-01,2,0,2,0,2
SAN BORJA,rabia,no de personas con esquema reducido completo,2022-02-01,1,0,1,0,1
SAN BUENA VENTURA,rabia,no de personas con esquema reducido completo,2022-02-01,0,3,0,3,3
SAN IGNACIO DE VELASCO,rabia,no de personas con esquema reducido completo,2022-02-01,0,1,0,1,1
SAN JOSE DE CHIQUITOS,rabia,no de personas con esquema reducido completo,2022-02-01,1,0,1,0,1
SAN JULIAN,rabia,no de personas con esquema reducido completo,2022-02-01,1,1,1,1,2
SAN PEDRO,rabia,no de personas con esquema reducido completo,2022-02-01,0,1,0,1,1
SAN RAMON SCZ,rabia,no de personas con esquema reducido completo,2022-02-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,rabia,no de personas con esquema reducido completo,2022-02-01,98,90,98,90,188
SIPE SIPE,rabia,no de personas con esquema reducido completo,2022-02-01,5,3,5,3,8
SUCRE,rabia,no de personas con esquema reducido completo,2022-02-01,40,29,40,29,69
TARATA,rabia,no de personas con esquema reducido completo,2022-02-01,0,1,0,1,1
TARIJA,rabia,no de personas con esquema reducido completo,2022-02-01,21,13,21,13,34
TIQUIPAYA,rabia,no de personas con esquema reducido completo,2022-02-01,2,3,2,3,5
TOCO,rabia,no de personas con esquema reducido completo,2022-02-01,1,0,1,0,1
TOLATA,rabia,no de personas con esquema reducido completo,2022-02-01,2,0,2,0,2
TRINIDAD,rabia,no de personas con esquema reducido completo,2022-02-01,11,9,11,9,20
UYUNI,rabia,no de personas con esquema reducido completo,2022-02-01,0,1,0,1,1
VALLEGRANDE,rabia,no de personas con esquema reducido completo,2022-02-01,1,1,1,1,2
VIACHA,rabia,no de personas con esquema reducido completo,2022-02-01,0,2,0,2,2
VILLA RIVERO,rabia,no de personas con esquema reducido completo,2022-02-01,1,0,1,0,1
WARNES,rabia,no de personas con esquema reducido completo,2022-02-01,11,7,11,7,18
YANACACHI,rabia,no de personas con esquema reducido completo,2022-02-01,1,0,1,0,1
ACHOCALLA,rabia,no de personas con esquema reducido completo,2022-03-01,0,2,0,2,2
APOLO,rabia,no de personas con esquema reducido completo,2022-03-01,0,1,0,1,1
ARBIETO,rabia,no de personas con esquema reducido completo,2022-03-01,1,1,1,1,2
BUENA VISTA,rabia,no de personas con esquema reducido completo,2022-03-01,2,0,2,0,2
CABEZAS,rabia,no de personas con esquema reducido completo,2022-03-01,1,1,1,1,2
CAIROMA,rabia,no de personas con esquema reducido completo,2022-03-01,1,0,1,0,1
CAMIRI,rabia,no de personas con esquema reducido completo,2022-03-01,1,0,1,0,1
CHIMORE,rabia,no de personas con esquema reducido completo,2022-03-01,2,1,2,1,3
CLIZA,rabia,no de personas con esquema reducido completo,2022-03-01,1,0,1,0,1
COCHABAMBA,rabia,no de personas con esquema reducido completo,2022-03-01,56,36,56,36,92
COLCAPIRHUA,rabia,no de personas con esquema reducido completo,2022-03-01,1,1,1,1,2
"COLCHA ""K""",rabia,no de personas con esquema reducido completo,2022-03-01,0,1,0,1,1
COLPA BELGICA,rabia,no de personas con esquema reducido completo,2022-03-01,1,0,1,0,1
COLQUENCHA,rabia,no de personas con esquema reducido completo,2022-03-01,1,1,1,1,2
COLQUIRI,rabia,no de personas con esquema reducido completo,2022-03-01,1,0,1,0,1
COMARAPA,rabia,no de personas con esquema reducido completo,2022-03-01,0,2,0,2,2
CONCEPCION,rabia,no de personas con esquema reducido completo,2022-03-01,1,2,1,2,3
COPACABANA,rabia,no de personas con esquema reducido completo,2022-03-01,0,1,0,1,1
COROICO,rabia,no de personas con esquema reducido completo,2022-03-01,0,2,0,2,2
COTOCA,rabia,no de personas con esquema reducido completo,2022-03-01,6,5,6,5,11
CUATRO CAÑADAS,rabia,no de personas con esquema reducido completo,2022-03-01,3,5,3,5,8
DESAGUADERO,rabia,no de personas con esquema reducido completo,2022-03-01,0,1,0,1,1
EL ALTO,rabia,no de personas con esquema reducido completo,2022-03-01,34,47,34,47,81
EL TORNO,rabia,no de personas con esquema reducido completo,2022-03-01,8,6,8,6,14
EUCALIPTUS,rabia,no de personas con esquema reducido completo,2022-03-01,3,0,3,0,3
FERNANDEZ ALONSO,rabia,no de personas con esquema reducido completo,2022-03-01,1,0,1,0,1
GUANAY,rabia,no de personas con esquema reducido completo,2022-03-01,1,0,1,0,1
ICLA,rabia,no de personas con esquema reducido completo,2022-03-01,1,0,1,0,1
IRUPANA (VILLA DE LANZA),rabia,no de personas con esquema reducido completo,2022-03-01,1,0,1,0,1
JESUS DE MACHACA,rabia,no de personas con esquema reducido completo,2022-03-01,1,0,1,0,1
LA ASUNTA,rabia,no de personas con esquema reducido completo,2022-03-01,1,0,1,0,1
LA GUARDIA,rabia,no de personas con esquema reducido completo,2022-03-01,14,8,14,8,22
LA PAZ,rabia,no de personas con esquema reducido completo,2022-03-01,54,72,54,72,126
LURIBAY,rabia,no de personas con esquema reducido completo,2022-03-01,1,0,1,0,1
MAIRANA,rabia,no de personas con esquema reducido completo,2022-03-01,0,1,0,1,1
MINEROS,rabia,no de personas con esquema reducido completo,2022-03-01,1,0,1,0,1
MONTERO,rabia,no de personas con esquema reducido completo,2022-03-01,5,2,5,2,7
OKINAWA,rabia,no de personas con esquema reducido completo,2022-03-01,3,0,3,0,3
ORURO,rabia,no de personas con esquema reducido completo,2022-03-01,13,11,13,11,24
PAILON,rabia,no de personas con esquema reducido completo,2022-03-01,1,0,1,0,1
POOPO,rabia,no de personas con esquema reducido completo,2022-03-01,2,2,2,2,4
PORONGO,rabia,no de personas con esquema reducido completo,2022-03-01,2,0,2,0,2
PORTACHUELO,rabia,no de personas con esquema reducido completo,2022-03-01,5,3,5,3,8
QUILLACOLLO,rabia,no de personas con esquema reducido completo,2022-03-01,6,4,6,4,10
REYES,rabia,no de personas con esquema reducido completo,2022-03-01,1,0,1,0,1
SACABA,rabia,no de personas con esquema reducido completo,2022-03-01,3,5,3,5,8
SAIPINA,rabia,no de personas con esquema reducido completo,2022-03-01,1,0,1,0,1
SAN BORJA,rabia,no de personas con esquema reducido completo,2022-03-01,3,0,3,0,3
SAN IGNACIO DE VELASCO,rabia,no de personas con esquema reducido completo,2022-03-01,2,0,2,0,2
SAN JOSE DE CHIQUITOS,rabia,no de personas con esquema reducido completo,2022-03-01,1,0,1,0,1
SAN JUAN DE YAPACANI,rabia,no de personas con esquema reducido completo,2022-03-01,2,2,2,2,4
SAN MIGUEL DE VELASCO,rabia,no de personas con esquema reducido completo,2022-03-01,0,1,0,1,1
SAN PEDRO,rabia,no de personas con esquema reducido completo,2022-03-01,0,1,0,1,1
SAN RAMON SCZ,rabia,no de personas con esquema reducido completo,2022-03-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,rabia,no de personas con esquema reducido completo,2022-03-01,114,132,114,132,246
SIPE SIPE,rabia,no de personas con esquema reducido completo,2022-03-01,2,1,2,1,3
SUCRE,rabia,no de personas con esquema reducido completo,2022-03-01,48,0,48,0,48
TARIJA,rabia,no de personas con esquema reducido completo,2022-03-01,10,11,10,11,21
TEOPONTE,rabia,no de personas con esquema reducido completo,2022-03-01,1,1,1,1,2
TIAHUANACU,rabia,no de personas con esquema reducido completo,2022-03-01,1,0,1,0,1
TIPUANI,rabia,no de personas con esquema reducido completo,2022-03-01,0,1,0,1,1
TIQUIPAYA,rabia,no de personas con esquema reducido completo,2022-03-01,6,3,6,3,9
TOLATA,rabia,no de personas con esquema reducido completo,2022-03-01,1,1,1,1,2
TRINIDAD,rabia,no de personas con esquema reducido completo,2022-03-01,15,7,15,7,22
UNCIA,rabia,no de personas con esquema reducido completo,2022-03-01,1,0,1,0,1
UYUNI,rabia,no de personas con esquema reducido completo,2022-03-01,1,0,1,0,1
VIACHA,rabia,no de personas con esquema reducido completo,2022-03-01,3,3,3,3,6
VILLA TUNARI,rabia,no de personas con esquema reducido completo,2022-03-01,1,0,1,0,1
VINTO,rabia,no de personas con esquema reducido completo,2022-03-01,0,2,0,2,2
WARNES,rabia,no de personas con esquema reducido completo,2022-03-01,9,8,9,8,17
YANACACHI,rabia,no de personas con esquema reducido completo,2022-03-01,2,1,2,1,3
YAPACANI,rabia,no de personas con esquema reducido completo,2022-03-01,2,1,2,1,3
ANCORAIMES,rabia,no de personas con esquema reducido completo,2022-04-01,0,1,0,1,1
ARBIETO,rabia,no de personas con esquema reducido completo,2022-04-01,1,2,1,2,3
BUENA VISTA,rabia,no de personas con esquema reducido completo,2022-04-01,2,0,2,0,2
"CAIZA ""D""",rabia,no de personas con esquema reducido completo,2022-04-01,1,0,1,0,1
CALAMARCA,rabia,no de personas con esquema reducido completo,2022-04-01,1,0,1,0,1
CAMIRI,rabia,no de personas con esquema reducido completo,2022-04-01,0,1,0,1,1
CARANAVI,rabia,no de personas con esquema reducido completo,2022-04-01,2,1,2,1,3
CHULUMANI (V. DE LA LIBERTAD),rabia,no de personas con esquema reducido completo,2022-04-01,2,0,2,0,2
CLIZA,rabia,no de personas con esquema reducido completo,2022-04-01,0,1,0,1,1
COBIJA,rabia,no de personas con esquema reducido completo,2022-04-01,1,0,1,0,1
COCHABAMBA,rabia,no de personas con esquema reducido completo,2022-04-01,60,33,60,33,93
COLCAPIRHUA,rabia,no de personas con esquema reducido completo,2022-04-01,4,4,4,4,8
COLQUIRI,rabia,no de personas con esquema reducido completo,2022-04-01,1,0,1,0,1
COMARAPA,rabia,no de personas con esquema reducido completo,2022-04-01,2,0,2,0,2
CORO CORO,rabia,no de personas con esquema reducido completo,2022-04-01,0,1,0,1,1
COROICO,rabia,no de personas con esquema reducido completo,2022-04-01,1,0,1,0,1
COTOCA,rabia,no de personas con esquema reducido completo,2022-04-01,3,5,3,5,8
CUATRO CAÑADAS,rabia,no de personas con esquema reducido completo,2022-04-01,1,3,1,3,4
DESAGUADERO,rabia,no de personas con esquema reducido completo,2022-04-01,2,2,2,2,4
EL ALTO,rabia,no de personas con esquema reducido completo,2022-04-01,27,24,27,24,51
EL TORNO,rabia,no de personas con esquema reducido completo,2022-04-01,10,2,10,2,12
EUCALIPTUS,rabia,no de personas con esquema reducido completo,2022-04-01,1,1,1,1,2
GENERAL SAAVEDRA,rabia,no de personas con esquema reducido completo,2022-04-01,1,0,1,0,1
GUANAY,rabia,no de personas con esquema reducido completo,2022-04-01,1,1,1,1,2
IRUPANA (VILLA DE LANZA),rabia,no de personas con esquema reducido completo,2022-04-01,1,0,1,0,1
LA GUARDIA,rabia,no de personas con esquema reducido completo,2022-04-01,12,10,12,10,22
LA PAZ,rabia,no de personas con esquema reducido completo,2022-04-01,69,55,69,55,124
LAJA,rabia,no de personas con esquema reducido completo,2022-04-01,1,2,1,2,3
MAIRANA,rabia,no de personas con esquema reducido completo,2022-04-01,0,1,0,1,1
MAPIRI,rabia,no de personas con esquema reducido completo,2022-04-01,1,0,1,0,1
MINEROS,rabia,no de personas con esquema reducido completo,2022-04-01,1,1,1,1,2
MONTERO,rabia,no de personas con esquema reducido completo,2022-04-01,4,4,4,4,8
OKINAWA,rabia,no de personas con esquema reducido completo,2022-04-01,1,0,1,0,1
ORURO,rabia,no de personas con esquema reducido completo,2022-04-01,12,11,12,11,23
PALOS BLANCOS,rabia,no de personas con esquema reducido completo,2022-04-01,1,0,1,0,1
POOPO,rabia,no de personas con esquema reducido completo,2022-04-01,5,1,5,1,6
PORONGO,rabia,no de personas con esquema reducido completo,2022-04-01,3,1,3,1,4
PORTACHUELO,rabia,no de personas con esquema reducido completo,2022-04-01,0,1,0,1,1
PUERTO VILLARROEL,rabia,no de personas con esquema reducido completo,2022-04-01,1,0,1,0,1
QUILLACOLLO,rabia,no de personas con esquema reducido completo,2022-04-01,4,6,4,6,10
QUIME,rabia,no de personas con esquema reducido completo,2022-04-01,0,1,0,1,1
REYES,rabia,no de personas con esquema reducido completo,2022-04-01,2,0,2,0,2
ROBORE,rabia,no de personas con esquema reducido completo,2022-04-01,1,1,1,1,2
SACABA,rabia,no de personas con esquema reducido completo,2022-04-01,8,4,8,4,12
SAIPINA,rabia,no de personas con esquema reducido completo,2022-04-01,1,0,1,0,1
SAMAIPATA,rabia,no de personas con esquema reducido completo,2022-04-01,1,0,1,0,1
SAN ANDRES,rabia,no de personas con esquema reducido completo,2022-04-01,0,1,0,1,1
SAN BUENA VENTURA,rabia,no de personas con esquema reducido completo,2022-04-01,1,1,1,1,2
SAN IGNACIO,rabia,no de personas con esquema reducido completo,2022-04-01,2,1,2,1,3
SAN IGNACIO DE VELASCO,rabia,no de personas con esquema reducido completo,2022-04-01,2,3,2,3,5
SAN JOSE DE CHIQUITOS,rabia,no de personas con esquema reducido completo,2022-04-01,1,0,1,0,1
SAN JUAN DE YAPACANI,rabia,no de personas con esquema reducido completo,2022-04-01,0,1,0,1,1
SAN PEDRO,rabia,no de personas con esquema reducido completo,2022-04-01,1,1,1,1,2
SAN RAMON BENI,rabia,no de personas con esquema reducido completo,2022-04-01,1,1,1,1,2
SAN RAMON SCZ,rabia,no de personas con esquema reducido completo,2022-04-01,2,1,2,1,3
SANTA CRUZ DE LA SIERRA,rabia,no de personas con esquema reducido completo,2022-04-01,86,102,86,102,188
SAPAHAQUI,rabia,no de personas con esquema reducido completo,2022-04-01,1,1,1,1,2
SICAYA,rabia,no de personas con esquema reducido completo,2022-04-01,1,0,1,0,1
SIPE SIPE,rabia,no de personas con esquema reducido completo,2022-04-01,4,4,4,4,8
SORATA,rabia,no de personas con esquema reducido completo,2022-04-01,0,1,0,1,1
SUCRE,rabia,no de personas con esquema reducido completo,2022-04-01,40,34,40,34,74
TARATA,rabia,no de personas con esquema reducido completo,2022-04-01,1,0,1,0,1
TARIJA,rabia,no de personas con esquema reducido completo,2022-04-01,8,12,8,12,20
TEOPONTE,rabia,no de personas con esquema reducido completo,2022-04-01,1,0,1,0,1
TIAHUANACU,rabia,no de personas con esquema reducido completo,2022-04-01,0,1,0,1,1
TIPUANI,rabia,no de personas con esquema reducido completo,2022-04-01,1,0,1,0,1
TIQUIPAYA,rabia,no de personas con esquema reducido completo,2022-04-01,2,3,2,3,5
TOCO,rabia,no de personas con esquema reducido completo,2022-04-01,0,1,0,1,1
TOLATA,rabia,no de personas con esquema reducido completo,2022-04-01,1,0,1,0,1
TRINIDAD,rabia,no de personas con esquema reducido completo,2022-04-01,3,3,3,3,6
UMALA,rabia,no de personas con esquema reducido completo,2022-04-01,1,0,1,0,1
UYUNI,rabia,no de personas con esquema reducido completo,2022-04-01,0,1,0,1,1
VALLEGRANDE,rabia,no de personas con esquema reducido completo,2022-04-01,0,3,0,3,3
VIACHA,rabia,no de personas con esquema reducido completo,2022-04-01,1,2,1,2,3
VILLA RIVERO,rabia,no de personas con esquema reducido completo,2022-04-01,1,0,1,0,1
VILLAZON,rabia,no de personas con esquema reducido completo,2022-04-01,1,0,1,0,1
VINTO,rabia,no de personas con esquema reducido completo,2022-04-01,1,1,1,1,2
WARNES,rabia,no de personas con esquema reducido completo,2022-04-01,9,10,9,10,19
YANACACHI,rabia,no de personas con esquema reducido completo,2022-04-01,2,1,2,1,3
YAPACANI,rabia,no de personas con esquema reducido completo,2022-04-01,0,2,0,2,2
ACHACACHI,rabia,no de personas con esquema reducido completo,2022-05-01,1,0,1,0,1
ACHOCALLA,rabia,no de personas con esquema reducido completo,2022-05-01,1,0,1,0,1
AIQUILE,rabia,no de personas con esquema reducido completo,2022-05-01,0,1,0,1,1
ARBIETO,rabia,no de personas con esquema reducido completo,2022-05-01,0,2,0,2,2
ATOCHA,rabia,no de personas con esquema reducido completo,2022-05-01,0,1,0,1,1
BERMEJO,rabia,no de personas con esquema reducido completo,2022-05-01,1,0,1,0,1
BUENA VISTA,rabia,no de personas con esquema reducido completo,2022-05-01,1,1,1,1,2
CABEZAS,rabia,no de personas con esquema reducido completo,2022-05-01,0,1,0,1,1
CAMIRI,rabia,no de personas con esquema reducido completo,2022-05-01,0,1,0,1,1
CARANAVI,rabia,no de personas con esquema reducido completo,2022-05-01,4,0,4,0,4
COCHABAMBA,rabia,no de personas con esquema reducido completo,2022-05-01,48,38,48,38,86
COLCAPIRHUA,rabia,no de personas con esquema reducido completo,2022-05-01,2,3,2,3,5
"COLCHA ""K""",rabia,no de personas con esquema reducido completo,2022-05-01,1,2,1,2,3
COLOMI,rabia,no de personas con esquema reducido completo,2022-05-01,1,1,1,1,2
COLQUIRI,rabia,no de personas con esquema reducido completo,2022-05-01,0,3,0,3,3
COMARAPA,rabia,no de personas con esquema reducido completo,2022-05-01,2,1,2,1,3
CONCEPCION,rabia,no de personas con esquema reducido completo,2022-05-01,2,0,2,0,2
COPACABANA,rabia,no de personas con esquema reducido completo,2022-05-01,1,1,1,1,2
COROICO,rabia,no de personas con esquema reducido completo,2022-05-01,2,1,2,1,3
COTOCA,rabia,no de personas con esquema reducido completo,2022-05-01,8,3,8,3,11
CUATRO CAÑADAS,rabia,no de personas con esquema reducido completo,2022-05-01,2,2,2,2,4
DESAGUADERO,rabia,no de personas con esquema reducido completo,2022-05-01,1,0,1,0,1
EL ALTO,rabia,no de personas con esquema reducido completo,2022-05-01,31,37,31,37,68
EL TORNO,rabia,no de personas con esquema reducido completo,2022-05-01,4,10,4,10,14
GENERAL SAAVEDRA,rabia,no de personas con esquema reducido completo,2022-05-01,1,0,1,0,1
LA ASUNTA,rabia,no de personas con esquema reducido completo,2022-05-01,2,0,2,0,2
LA GUARDIA,rabia,no de personas con esquema reducido completo,2022-05-01,6,7,6,7,13
LA PAZ,rabia,no de personas con esquema reducido completo,2022-05-01,64,57,64,57,121
LAJA,rabia,no de personas con esquema reducido completo,2022-05-01,1,0,1,0,1
MAIRANA,rabia,no de personas con esquema reducido completo,2022-05-01,1,0,1,0,1
MAPIRI,rabia,no de personas con esquema reducido completo,2022-05-01,1,1,1,1,2
MONTERO,rabia,no de personas con esquema reducido completo,2022-05-01,4,1,4,1,5
OKINAWA,rabia,no de personas con esquema reducido completo,2022-05-01,1,1,1,1,2
ORURO,rabia,no de personas con esquema reducido completo,2022-05-01,11,12,11,12,23
PAILON,rabia,no de personas con esquema reducido completo,2022-05-01,1,1,1,1,2
PORONGO,rabia,no de personas con esquema reducido completo,2022-05-01,1,0,1,0,1
PORTACHUELO,rabia,no de personas con esquema reducido completo,2022-05-01,1,2,1,2,3
POTOSI,rabia,no de personas con esquema reducido completo,2022-05-01,1,0,1,0,1
PUCARANI,rabia,no de personas con esquema reducido completo,2022-05-01,1,1,1,1,2
PUERTO VILLARROEL,rabia,no de personas con esquema reducido completo,2022-05-01,0,1,0,1,1
