,group,variable,month,Nº DE PERSONAS CON VACUNA ANTIRRÁBICA CANTIDAD,Nº DE PERSONAS CON VACUNA ANTIRRÁBICA CANTIDAD,TOTALES,TOTALES,TOTALES
PELECHUCO,rabia,no de personas con vacuna antirrabica,2022-01-01,0,1,0,1,1
POOPO,rabia,no de personas con vacuna antirrabica,2022-01-01,1,0,1,0,1
PORONGO,rabia,no de personas con vacuna antirrabica,2022-01-01,3,1,3,1,4
PORTACHUELO,rabia,no de personas con vacuna antirrabica,2022-01-01,4,3,4,3,7
POTOSI,rabia,no de personas con vacuna antirrabica,2022-01-01,253,19,253,19,272
PUCARANI,rabia,no de personas con vacuna antirrabica,2022-01-01,1,0,1,0,1
PUERTO CARABUCO,rabia,no de personas con vacuna antirrabica,2022-01-01,0,1,0,1,1
QUILLACOLLO,rabia,no de personas con vacuna antirrabica,2022-01-01,10,6,10,6,16
ROBORE,rabia,no de personas con vacuna antirrabica,2022-01-01,0,1,0,1,1
SACABA,rabia,no de personas con vacuna antirrabica,2022-01-01,6,4,6,4,10
SAIPINA,rabia,no de personas con vacuna antirrabica,2022-01-01,1,1,1,1,2
SAMAIPATA,rabia,no de personas con vacuna antirrabica,2022-01-01,1,0,1,0,1
SAN ANDRES,rabia,no de personas con vacuna antirrabica,2022-01-01,0,1,0,1,1
SAN BORJA,rabia,no de personas con vacuna antirrabica,2022-01-01,5,3,5,3,8
SAN BUENA VENTURA,rabia,no de personas con vacuna antirrabica,2022-01-01,0,4,0,4,4
SAN CARLOS,rabia,no de personas con vacuna antirrabica,2022-01-01,1,2,1,2,3
SAN IGNACIO,rabia,no de personas con vacuna antirrabica,2022-01-01,2,3,2,3,5
SAN JAVIER(STC),rabia,no de personas con vacuna antirrabica,2022-01-01,0,1,0,1,1
SAN JUAN DE YAPACANI,rabia,no de personas con vacuna antirrabica,2022-01-01,3,0,3,0,3
SAN JULIAN,rabia,no de personas con vacuna antirrabica,2022-01-01,1,1,1,1,2
SANTA CRUZ DE LA SIERRA,rabia,no de personas con vacuna antirrabica,2022-01-01,289,285,289,285,574
SAPAHAQUI,rabia,no de personas con vacuna antirrabica,2022-01-01,1,0,1,0,1
SIPE SIPE,rabia,no de personas con vacuna antirrabica,2022-01-01,6,3,6,3,9
SORATA,rabia,no de personas con vacuna antirrabica,2022-01-01,0,1,0,1,1
SUCRE,rabia,no de personas con vacuna antirrabica,2022-01-01,70,51,70,51,121
TARATA,rabia,no de personas con vacuna antirrabica,2022-01-01,1,5,1,5,6
TARIJA,rabia,no de personas con vacuna antirrabica,2022-01-01,21,15,21,15,36
TIQUIPAYA,rabia,no de personas con vacuna antirrabica,2022-01-01,3,5,3,5,8
TIRAQUE (CBBA),rabia,no de personas con vacuna antirrabica,2022-01-01,1,0,1,0,1
TOCO,rabia,no de personas con vacuna antirrabica,2022-01-01,2,0,2,0,2
TOLATA,rabia,no de personas con vacuna antirrabica,2022-01-01,2,2,2,2,4
TRINIDAD,rabia,no de personas con vacuna antirrabica,2022-01-01,24,19,24,19,43
UNCIA,rabia,no de personas con vacuna antirrabica,2022-01-01,1,0,1,0,1
UYUNI,rabia,no de personas con vacuna antirrabica,2022-01-01,1,1,1,1,2
VALLEGRANDE,rabia,no de personas con vacuna antirrabica,2022-01-01,2,2,2,2,4
VIACHA,rabia,no de personas con vacuna antirrabica,2022-01-01,4,3,4,3,7
VILLA MONTES,rabia,no de personas con vacuna antirrabica,2022-01-01,1,0,1,0,1
VILLA RIVERO,rabia,no de personas con vacuna antirrabica,2022-01-01,1,0,1,0,1
VILLA TUNARI,rabia,no de personas con vacuna antirrabica,2022-01-01,1,0,1,0,1
VILLAZON,rabia,no de personas con vacuna antirrabica,2022-01-01,4,1,4,1,5
WARNES,rabia,no de personas con vacuna antirrabica,2022-01-01,14,16,14,16,30
YAPACANI,rabia,no de personas con vacuna antirrabica,2022-01-01,2,3,2,3,5
YOTALA,rabia,no de personas con vacuna antirrabica,2022-01-01,0,1,0,1,1
ACACIO,rabia,no de personas con vacuna antirrabica,2022-02-01,1,1,1,1,2
ACHACACHI,rabia,no de personas con vacuna antirrabica,2022-02-01,2,0,2,0,2
ACHOCALLA,rabia,no de personas con vacuna antirrabica,2022-02-01,2,4,2,4,6
ARBIETO,rabia,no de personas con vacuna antirrabica,2022-02-01,1,3,1,3,4
ASCENCION DE GUARAYOS,rabia,no de personas con vacuna antirrabica,2022-02-01,0,1,0,1,1
BUENA VISTA,rabia,no de personas con vacuna antirrabica,2022-02-01,0,2,0,2,2
CABEZAS,rabia,no de personas con vacuna antirrabica,2022-02-01,0,1,0,1,1
CAIROMA,rabia,no de personas con vacuna antirrabica,2022-02-01,1,0,1,0,1
CALAMARCA,rabia,no de personas con vacuna antirrabica,2022-02-01,1,0,1,0,1
CAMIRI,rabia,no de personas con vacuna antirrabica,2022-02-01,1,0,1,0,1
CARANAVI,rabia,no de personas con vacuna antirrabica,2022-02-01,0,1,0,1,1
CARAPARI,rabia,no de personas con vacuna antirrabica,2022-02-01,3,2,3,2,5
CHALLAPATA,rabia,no de personas con vacuna antirrabica,2022-02-01,0,3,0,3,3
CHULUMANI (V. DE LA LIBERTAD),rabia,no de personas con vacuna antirrabica,2022-02-01,1,1,1,1,2
CKOCHAS,rabia,no de personas con vacuna antirrabica,2022-02-01,0,1,0,1,1
CLIZA,rabia,no de personas con vacuna antirrabica,2022-02-01,3,2,3,2,5
COCHABAMBA,rabia,no de personas con vacuna antirrabica,2022-02-01,84,63,84,63,147
COLCAPIRHUA,rabia,no de personas con vacuna antirrabica,2022-02-01,3,0,3,0,3
COLOMI,rabia,no de personas con vacuna antirrabica,2022-02-01,0,1,0,1,1
COLQUIRI,rabia,no de personas con vacuna antirrabica,2022-02-01,0,1,0,1,1
COMARAPA,rabia,no de personas con vacuna antirrabica,2022-02-01,1,1,1,1,2
CONCEPCION,rabia,no de personas con vacuna antirrabica,2022-02-01,1,0,1,0,1
COPACABANA,rabia,no de personas con vacuna antirrabica,2022-02-01,1,1,1,1,2
CORIPATA,rabia,no de personas con vacuna antirrabica,2022-02-01,0,1,0,1,1
COROICO,rabia,no de personas con vacuna antirrabica,2022-02-01,0,3,0,3,3
COTOCA,rabia,no de personas con vacuna antirrabica,2022-02-01,10,8,10,8,18
CUATRO CAÑADAS,rabia,no de personas con vacuna antirrabica,2022-02-01,1,1,1,1,2
DESAGUADERO,rabia,no de personas con vacuna antirrabica,2022-02-01,2,1,2,1,3
EL ALTO,rabia,no de personas con vacuna antirrabica,2022-02-01,63,44,63,44,107
EL TORNO,rabia,no de personas con vacuna antirrabica,2022-02-01,13,9,13,9,22
ENTRE RIOS CBBA,rabia,no de personas con vacuna antirrabica,2022-02-01,1,0,1,0,1
EUCALIPTUS,rabia,no de personas con vacuna antirrabica,2022-02-01,0,1,0,1,1
FERNANDEZ ALONSO,rabia,no de personas con vacuna antirrabica,2022-02-01,1,0,1,0,1
GENERAL SAAVEDRA,rabia,no de personas con vacuna antirrabica,2022-02-01,0,1,0,1,1
GUANAY,rabia,no de personas con vacuna antirrabica,2022-02-01,1,1,1,1,2
HUACARETA,rabia,no de personas con vacuna antirrabica,2022-02-01,1,0,1,0,1
HUANUNI,rabia,no de personas con vacuna antirrabica,2022-02-01,9,1,9,1,10
IRUPANA (VILLA DE LANZA),rabia,no de personas con vacuna antirrabica,2022-02-01,1,0,1,0,1
IXIAMAS,rabia,no de personas con vacuna antirrabica,2022-02-01,1,0,1,0,1
LA ASUNTA,rabia,no de personas con vacuna antirrabica,2022-02-01,2,0,2,0,2
LA GUARDIA,rabia,no de personas con vacuna antirrabica,2022-02-01,20,11,20,11,31
LA PAZ,rabia,no de personas con vacuna antirrabica,2022-02-01,85,139,85,139,224
LAJA,rabia,no de personas con vacuna antirrabica,2022-02-01,1,0,1,0,1
LURIBAY,rabia,no de personas con vacuna antirrabica,2022-02-01,1,0,1,0,1
MAPIRI,rabia,no de personas con vacuna antirrabica,2022-02-01,0,1,0,1,1
MINEROS,rabia,no de personas con vacuna antirrabica,2022-02-01,1,1,1,1,2
MONTERO,rabia,no de personas con vacuna antirrabica,2022-02-01,7,3,7,3,10
OKINAWA,rabia,no de personas con vacuna antirrabica,2022-02-01,0,1,0,1,1
ORURO,rabia,no de personas con vacuna antirrabica,2022-02-01,31,18,31,18,49
PAILON,rabia,no de personas con vacuna antirrabica,2022-02-01,1,0,1,0,1
PALOS BLANCOS,rabia,no de personas con vacuna antirrabica,2022-02-01,1,0,1,0,1
PATACAMAYA,rabia,no de personas con vacuna antirrabica,2022-02-01,2,0,2,0,2
PORCO,rabia,no de personas con vacuna antirrabica,2022-02-01,1,0,1,0,1
PORONGO,rabia,no de personas con vacuna antirrabica,2022-02-01,2,1,2,1,3
PORTACHUELO,rabia,no de personas con vacuna antirrabica,2022-02-01,3,2,3,2,5
POTOSI,rabia,no de personas con vacuna antirrabica,2022-02-01,241,178,241,178,419
QUILLACOLLO,rabia,no de personas con vacuna antirrabica,2022-02-01,5,8,5,8,13
REYES,rabia,no de personas con vacuna antirrabica,2022-02-01,1,0,1,0,1
RURRENABAQUE,rabia,no de personas con vacuna antirrabica,2022-02-01,1,0,1,0,1
SACABA,rabia,no de personas con vacuna antirrabica,2022-02-01,8,7,8,7,15
SAIPINA,rabia,no de personas con vacuna antirrabica,2022-02-01,0,2,0,2,2
SAN ANDRES,rabia,no de personas con vacuna antirrabica,2022-02-01,0,1,0,1,1
SAN BORJA,rabia,no de personas con vacuna antirrabica,2022-02-01,3,2,3,2,5
SAN BUENA VENTURA,rabia,no de personas con vacuna antirrabica,2022-02-01,3,0,3,0,3
SAN CARLOS,rabia,no de personas con vacuna antirrabica,2022-02-01,0,3,0,3,3
SAN IGNACIO,rabia,no de personas con vacuna antirrabica,2022-02-01,2,3,2,3,5
SAN IGNACIO DE VELASCO,rabia,no de personas con vacuna antirrabica,2022-02-01,2,2,2,2,4
SAN JAVIER(STC),rabia,no de personas con vacuna antirrabica,2022-02-01,6,1,6,1,7
SAN JOSE DE CHIQUITOS,rabia,no de personas con vacuna antirrabica,2022-02-01,1,0,1,0,1
SAN JUAN DE YAPACANI,rabia,no de personas con vacuna antirrabica,2022-02-01,2,1,2,1,3
SAN JULIAN,rabia,no de personas con vacuna antirrabica,2022-02-01,1,1,1,1,2
SAN PEDRO,rabia,no de personas con vacuna antirrabica,2022-02-01,0,1,0,1,1
SAN RAMON BENI,rabia,no de personas con vacuna antirrabica,2022-02-01,2,1,2,1,3
SANTA CRUZ DE LA SIERRA,rabia,no de personas con vacuna antirrabica,2022-02-01,285,292,285,292,577
SANTIVAÑES,rabia,no de personas con vacuna antirrabica,2022-02-01,1,1,1,1,2
SIPE SIPE,rabia,no de personas con vacuna antirrabica,2022-02-01,2,2,2,2,4
SORATA,rabia,no de personas con vacuna antirrabica,2022-02-01,0,1,0,1,1
SUCRE,rabia,no de personas con vacuna antirrabica,2022-02-01,61,43,61,43,104
TARABUCO,rabia,no de personas con vacuna antirrabica,2022-02-01,1,0,1,0,1
TARIJA,rabia,no de personas con vacuna antirrabica,2022-02-01,25,15,25,15,40
TIAHUANACU,rabia,no de personas con vacuna antirrabica,2022-02-01,1,1,1,1,2
TIQUIPAYA,rabia,no de personas con vacuna antirrabica,2022-02-01,6,3,6,3,9
TOCO,rabia,no de personas con vacuna antirrabica,2022-02-01,0,1,0,1,1
TOLATA,rabia,no de personas con vacuna antirrabica,2022-02-01,2,1,2,1,3
TRINIDAD,rabia,no de personas con vacuna antirrabica,2022-02-01,26,27,26,27,53
UNCIA,rabia,no de personas con vacuna antirrabica,2022-02-01,1,0,1,0,1
UYUNI,rabia,no de personas con vacuna antirrabica,2022-02-01,1,1,1,1,2
VALLEGRANDE,rabia,no de personas con vacuna antirrabica,2022-02-01,2,1,2,1,3
VIACHA,rabia,no de personas con vacuna antirrabica,2022-02-01,2,5,2,5,7
VILLA TUNARI,rabia,no de personas con vacuna antirrabica,2022-02-01,1,1,1,1,2
VINTO,rabia,no de personas con vacuna antirrabica,2022-02-01,0,1,0,1,1
WARNES,rabia,no de personas con vacuna antirrabica,2022-02-01,17,8,17,8,25
YAMPARAEZ,rabia,no de personas con vacuna antirrabica,2022-02-01,0,1,0,1,1
YANACACHI,rabia,no de personas con vacuna antirrabica,2022-02-01,2,1,2,1,3
YAPACANI,rabia,no de personas con vacuna antirrabica,2022-02-01,1,1,1,1,2
YOTALA,rabia,no de personas con vacuna antirrabica,2022-02-01,1,0,1,0,1
ACHACACHI,rabia,no de personas con vacuna antirrabica,2022-03-01,0,1,0,1,1
ACHOCALLA,rabia,no de personas con vacuna antirrabica,2022-03-01,1,0,1,0,1
APOLO,rabia,no de personas con vacuna antirrabica,2022-03-01,0,1,0,1,1
ARBIETO,rabia,no de personas con vacuna antirrabica,2022-03-01,2,3,2,3,5
ASCENCION DE GUARAYOS,rabia,no de personas con vacuna antirrabica,2022-03-01,2,1,2,1,3
BETANZOS,rabia,no de personas con vacuna antirrabica,2022-03-01,0,1,0,1,1
BUENA VISTA,rabia,no de personas con vacuna antirrabica,2022-03-01,2,0,2,0,2
CABEZAS,rabia,no de personas con vacuna antirrabica,2022-03-01,1,1,1,1,2
CAMARGO,rabia,no de personas con vacuna antirrabica,2022-03-01,0,1,0,1,1
CAMIRI,rabia,no de personas con vacuna antirrabica,2022-03-01,0,1,0,1,1
CAPINOTA,rabia,no de personas con vacuna antirrabica,2022-03-01,1,2,1,2,3
CARANAVI,rabia,no de personas con vacuna antirrabica,2022-03-01,2,4,2,4,6
CARAPARI,rabia,no de personas con vacuna antirrabica,2022-03-01,0,1,0,1,1
CARMEN RIVERO TORREZ,rabia,no de personas con vacuna antirrabica,2022-03-01,1,1,1,1,2
CHALLAPATA,rabia,no de personas con vacuna antirrabica,2022-03-01,4,4,4,4,8
CHUA COCANI,rabia,no de personas con vacuna antirrabica,2022-03-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),rabia,no de personas con vacuna antirrabica,2022-03-01,1,0,1,0,1
CHUMA,rabia,no de personas con vacuna antirrabica,2022-03-01,0,1,0,1,1
CKOCHAS,rabia,no de personas con vacuna antirrabica,2022-03-01,0,1,0,1,1
CLIZA,rabia,no de personas con vacuna antirrabica,2022-03-01,0,1,0,1,1
COCHABAMBA,rabia,no de personas con vacuna antirrabica,2022-03-01,142,77,142,77,219
COLCAPIRHUA,rabia,no de personas con vacuna antirrabica,2022-03-01,7,11,7,11,18
COLPA BELGICA,rabia,no de personas con vacuna antirrabica,2022-03-01,2,0,2,0,2
COLQUENCHA,rabia,no de personas con vacuna antirrabica,2022-03-01,1,1,1,1,2
COMARAPA,rabia,no de personas con vacuna antirrabica,2022-03-01,1,0,1,0,1
CONCEPCION,rabia,no de personas con vacuna antirrabica,2022-03-01,2,3,2,3,5
CORIPATA,rabia,no de personas con vacuna antirrabica,2022-03-01,0,1,0,1,1
COROICO,rabia,no de personas con vacuna antirrabica,2022-03-01,2,0,2,0,2
COTOCA,rabia,no de personas con vacuna antirrabica,2022-03-01,8,9,8,9,17
CUATRO CAÑADAS,rabia,no de personas con vacuna antirrabica,2022-03-01,4,6,4,6,10
CURAHUARA DE CARANGAS,rabia,no de personas con vacuna antirrabica,2022-03-01,1,0,1,0,1
DESAGUADERO,rabia,no de personas con vacuna antirrabica,2022-03-01,1,2,1,2,3
EL ALTO,rabia,no de personas con vacuna antirrabica,2022-03-01,90,96,90,96,186
EL TORNO,rabia,no de personas con vacuna antirrabica,2022-03-01,20,9,20,9,29
ENTRE RIOS CBBA,rabia,no de personas con vacuna antirrabica,2022-03-01,1,0,1,0,1
EUCALIPTUS,rabia,no de personas con vacuna antirrabica,2022-03-01,3,0,3,0,3
FERNANDEZ ALONSO,rabia,no de personas con vacuna antirrabica,2022-03-01,1,0,1,0,1
GAIOC JATUN AYLLU YURA,rabia,no de personas con vacuna antirrabica,2022-03-01,1,1,1,1,2
GUANAY,rabia,no de personas con vacuna antirrabica,2022-03-01,2,0,2,0,2
HUANUNI,rabia,no de personas con vacuna antirrabica,2022-03-01,24,11,24,11,35
ICLA,rabia,no de personas con vacuna antirrabica,2022-03-01,1,0,1,0,1
IRUPANA (VILLA DE LANZA),rabia,no de personas con vacuna antirrabica,2022-03-01,1,0,1,0,1
LA ASUNTA,rabia,no de personas con vacuna antirrabica,2022-03-01,1,0,1,0,1
LA GUARDIA,rabia,no de personas con vacuna antirrabica,2022-03-01,27,19,27,19,46
LA PAZ,rabia,no de personas con vacuna antirrabica,2022-03-01,165,200,165,200,365
LAJA,rabia,no de personas con vacuna antirrabica,2022-03-01,1,2,1,2,3
MAIRANA,rabia,no de personas con vacuna antirrabica,2022-03-01,1,2,1,2,3
MINEROS,rabia,no de personas con vacuna antirrabica,2022-03-01,1,0,1,0,1
MONTEAGUDO,rabia,no de personas con vacuna antirrabica,2022-03-01,1,0,1,0,1
MONTERO,rabia,no de personas con vacuna antirrabica,2022-03-01,6,4,6,4,10
OKINAWA,rabia,no de personas con vacuna antirrabica,2022-03-01,3,2,3,2,5
ORURO,rabia,no de personas con vacuna antirrabica,2022-03-01,54,35,54,35,89
PADILLA,rabia,no de personas con vacuna antirrabica,2022-03-01,1,1,1,1,2
PAILON,rabia,no de personas con vacuna antirrabica,2022-03-01,3,2,3,2,5
PALOS BLANCOS,rabia,no de personas con vacuna antirrabica,2022-03-01,1,1,1,1,2
PAMPA GRANDE,rabia,no de personas con vacuna antirrabica,2022-03-01,1,0,1,0,1
PATACAMAYA,rabia,no de personas con vacuna antirrabica,2022-03-01,1,3,1,3,4
POOPO,rabia,no de personas con vacuna antirrabica,2022-03-01,2,2,2,2,4
PORONGO,rabia,no de personas con vacuna antirrabica,2022-03-01,3,0,3,0,3
PORTACHUELO,rabia,no de personas con vacuna antirrabica,2022-03-01,5,3,5,3,8
POTOSI,rabia,no de personas con vacuna antirrabica,2022-03-01,331,394,331,394,725
PUCARANI,rabia,no de personas con vacuna antirrabica,2022-03-01,0,1,0,1,1
QUILLACOLLO,rabia,no de personas con vacuna antirrabica,2022-03-01,15,18,15,18,33
QUIME,rabia,no de personas con vacuna antirrabica,2022-03-01,0,1,0,1,1
REYES,rabia,no de personas con vacuna antirrabica,2022-03-01,1,0,1,0,1
SACABA,rabia,no de personas con vacuna antirrabica,2022-03-01,13,11,13,11,24
SAIPINA,rabia,no de personas con vacuna antirrabica,2022-03-01,1,1,1,1,2
SAN BORJA,rabia,no de personas con vacuna antirrabica,2022-03-01,7,1,7,1,8
SAN BUENA VENTURA,rabia,no de personas con vacuna antirrabica,2022-03-01,1,3,1,3,4
SAN CARLOS,rabia,no de personas con vacuna antirrabica,2022-03-01,0,1,0,1,1
SAN IGNACIO,rabia,no de personas con vacuna antirrabica,2022-03-01,11,13,11,13,24
SAN IGNACIO DE VELASCO,rabia,no de personas con vacuna antirrabica,2022-03-01,2,1,2,1,3
SAN JAVIER(STC),rabia,no de personas con vacuna antirrabica,2022-03-01,1,0,1,0,1
SAN JOSE DE CHIQUITOS,rabia,no de personas con vacuna antirrabica,2022-03-01,1,0,1,0,1
SAN MIGUEL DE VELASCO,rabia,no de personas con vacuna antirrabica,2022-03-01,0,1,0,1,1
SAN PEDRO DE MACHA,rabia,no de personas con vacuna antirrabica,2022-03-01,1,0,1,0,1
SAN PEDRO DE QUEMES,rabia,no de personas con vacuna antirrabica,2022-03-01,1,0,1,0,1
SAN RAMON BENI,rabia,no de personas con vacuna antirrabica,2022-03-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,rabia,no de personas con vacuna antirrabica,2022-03-01,346,294,346,294,640
SANTA ROSA DEL SARA,rabia,no de personas con vacuna antirrabica,2022-03-01,1,2,1,2,3
SICAYA,rabia,no de personas con vacuna antirrabica,2022-03-01,1,0,1,0,1
SIPE SIPE,rabia,no de personas con vacuna antirrabica,2022-03-01,5,7,5,7,12
SORATA,rabia,no de personas con vacuna antirrabica,2022-03-01,0,1,0,1,1
SUCRE,rabia,no de personas con vacuna antirrabica,2022-03-01,75,56,75,56,131
TARATA,rabia,no de personas con vacuna antirrabica,2022-03-01,1,2,1,2,3
TARIJA,rabia,no de personas con vacuna antirrabica,2022-03-01,11,15,11,15,26
TEOPONTE,rabia,no de personas con vacuna antirrabica,2022-03-01,1,1,1,1,2
TIPUANI,rabia,no de personas con vacuna antirrabica,2022-03-01,1,2,1,2,3
TIQUIPAYA,rabia,no de personas con vacuna antirrabica,2022-03-01,11,10,11,10,21
TOLATA,rabia,no de personas con vacuna antirrabica,2022-03-01,3,0,3,0,3
TOLEDO,rabia,no de personas con vacuna antirrabica,2022-03-01,1,0,1,0,1
TRINIDAD,rabia,no de personas con vacuna antirrabica,2022-03-01,29,18,29,18,47
TUPIZA,rabia,no de personas con vacuna antirrabica,2022-03-01,1,1,1,1,2
UNCIA,rabia,no de personas con vacuna antirrabica,2022-03-01,1,1,1,1,2
UYUNI,rabia,no de personas con vacuna antirrabica,2022-03-01,3,4,3,4,7
VALLEGRANDE,rabia,no de personas con vacuna antirrabica,2022-03-01,0,5,0,5,5
VIACHA,rabia,no de personas con vacuna antirrabica,2022-03-01,9,19,9,19,28
VILLA RIVERO,rabia,no de personas con vacuna antirrabica,2022-03-01,1,1,1,1,2
VILLA TUNARI,rabia,no de personas con vacuna antirrabica,2022-03-01,0,1,0,1,1
VILLAZON,rabia,no de personas con vacuna antirrabica,2022-03-01,1,0,1,0,1
VINTO,rabia,no de personas con vacuna antirrabica,2022-03-01,1,3,1,3,4
WARNES,rabia,no de personas con vacuna antirrabica,2022-03-01,11,15,11,15,26
YACUIBA,rabia,no de personas con vacuna antirrabica,2022-03-01,0,1,0,1,1
YAMPARAEZ,rabia,no de personas con vacuna antirrabica,2022-03-01,0,1,0,1,1
YANACACHI,rabia,no de personas con vacuna antirrabica,2022-03-01,2,1,2,1,3
YAPACANI,rabia,no de personas con vacuna antirrabica,2022-03-01,5,2,5,2,7
YOTALA,rabia,no de personas con vacuna antirrabica,2022-03-01,1,0,1,0,1
ACHACACHI,rabia,no de personas con vacuna antirrabica,2022-04-01,1,0,1,0,1
ACHOCALLA,rabia,no de personas con vacuna antirrabica,2022-04-01,1,2,1,2,3
AIQUILE,rabia,no de personas con vacuna antirrabica,2022-04-01,0,1,0,1,1
ANCORAIMES,rabia,no de personas con vacuna antirrabica,2022-04-01,0,1,0,1,1
ARBIETO,rabia,no de personas con vacuna antirrabica,2022-04-01,0,2,0,2,2
ASCENCION DE GUARAYOS,rabia,no de personas con vacuna antirrabica,2022-04-01,3,2,3,2,5
ATOCHA,rabia,no de personas con vacuna antirrabica,2022-04-01,0,1,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),rabia,no de personas con vacuna antirrabica,2022-04-01,1,0,1,0,1
BAURES,rabia,no de personas con vacuna antirrabica,2022-04-01,0,2,0,2,2
BETANZOS,rabia,no de personas con vacuna antirrabica,2022-04-01,2,1,2,1,3
BUENA VISTA,rabia,no de personas con vacuna antirrabica,2022-04-01,3,0,3,0,3
"CAIZA ""D""",rabia,no de personas con vacuna antirrabica,2022-04-01,1,0,1,0,1
CAMIRI,rabia,no de personas con vacuna antirrabica,2022-04-01,0,1,0,1,1
CAPINOTA,rabia,no de personas con vacuna antirrabica,2022-04-01,2,2,2,2,4
CARANAVI,rabia,no de personas con vacuna antirrabica,2022-04-01,5,1,5,1,6
CARAPARI,rabia,no de personas con vacuna antirrabica,2022-04-01,1,1,1,1,2
CARMEN RIVERO TORREZ,rabia,no de personas con vacuna antirrabica,2022-04-01,1,0,1,0,1
