municipality,group,variable,month,Antirrábica canina,TOTAL
CALAMARCA,otras vacunaciones,antirrabica canina,2009-03-01,53,53
CAMARGO,otras vacunaciones,antirrabica canina,2009-03-01,10,10
CAPINOTA,otras vacunaciones,antirrabica canina,2009-03-01,194,194
CARACOLLO,otras vacunaciones,antirrabica canina,2009-03-01,72,72
CARANAVI,otras vacunaciones,antirrabica canina,2009-03-01,79,79
CARMEN RIVERO TORREZ,otras vacunaciones,antirrabica canina,2009-03-01,11,11
CHALLAPATA,otras vacunaciones,antirrabica canina,2009-03-01,18,18
CHARAÑA,otras vacunaciones,antirrabica canina,2009-03-01,12,12
CHIMORE,otras vacunaciones,antirrabica canina,2009-03-01,27,27
CHUMA,otras vacunaciones,antirrabica canina,2009-03-01,123,123
CLIZA,otras vacunaciones,antirrabica canina,2009-03-01,3071,3071
COCHABAMBA,otras vacunaciones,antirrabica canina,2009-03-01,1877,1877
COLCAPIRHUA,otras vacunaciones,antirrabica canina,2009-03-01,1999,1999
COLOMI,otras vacunaciones,antirrabica canina,2009-03-01,21,21
COLPA BELGICA,otras vacunaciones,antirrabica canina,2009-03-01,27,27
COLQUENCHA,otras vacunaciones,antirrabica canina,2009-03-01,2,2
COLQUIRI,otras vacunaciones,antirrabica canina,2009-03-01,63,63
COMARAPA,otras vacunaciones,antirrabica canina,2009-03-01,986,986
COPACABANA,otras vacunaciones,antirrabica canina,2009-03-01,6,6
CORIPATA,otras vacunaciones,antirrabica canina,2009-03-01,17,17
COROICO,otras vacunaciones,antirrabica canina,2009-03-01,9,9
CORQUE,otras vacunaciones,antirrabica canina,2009-03-01,24,24
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,antirrabica canina,2009-03-01,446,446
CULPINA,otras vacunaciones,antirrabica canina,2009-03-01,93,93
EL ALTO,otras vacunaciones,antirrabica canina,2009-03-01,7947,7947
EL PUENTE(STC),otras vacunaciones,antirrabica canina,2009-03-01,30,30
EL TORNO,otras vacunaciones,antirrabica canina,2009-03-01,30,30
EUCALIPTUS,otras vacunaciones,antirrabica canina,2009-03-01,1,1
GENERAL SAAVEDRA,otras vacunaciones,antirrabica canina,2009-03-01,3076,3076
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,antirrabica canina,2009-03-01,23,23
HUANUNI,otras vacunaciones,antirrabica canina,2009-03-01,62,62
ICHOCA,otras vacunaciones,antirrabica canina,2009-03-01,5,5
INQUISIVI,otras vacunaciones,antirrabica canina,2009-03-01,9,9
JESUS DE MACHACA,otras vacunaciones,antirrabica canina,2009-03-01,24,24
LA ASUNTA,otras vacunaciones,antirrabica canina,2009-03-01,56,56
LA PAZ,otras vacunaciones,antirrabica canina,2009-03-01,1078,1078
LAGUNILLAS,otras vacunaciones,antirrabica canina,2009-03-01,50,50
LAJA,otras vacunaciones,antirrabica canina,2009-03-01,39,39
LAS CARRERAS,otras vacunaciones,antirrabica canina,2009-03-01,6,6
LURIBAY,otras vacunaciones,antirrabica canina,2009-03-01,7,7
MAGDALENA,otras vacunaciones,antirrabica canina,2009-03-01,30,30
MECAPACA,otras vacunaciones,antirrabica canina,2009-03-01,30,30
MINEROS,otras vacunaciones,antirrabica canina,2009-03-01,3,3
MIZQUE,otras vacunaciones,antirrabica canina,2009-03-01,1049,1049
MOCOMOCO,otras vacunaciones,antirrabica canina,2009-03-01,174,174
MONTERO,otras vacunaciones,antirrabica canina,2009-03-01,2489,2489
MOROCHATA,otras vacunaciones,antirrabica canina,2009-03-01,5890,5890
OCURI,otras vacunaciones,antirrabica canina,2009-03-01,29,29
OMEREQUE,otras vacunaciones,antirrabica canina,2009-03-01,185,185
ORURO,otras vacunaciones,antirrabica canina,2009-03-01,11,11
PADCAYA,otras vacunaciones,antirrabica canina,2009-03-01,586,586
PALCA,otras vacunaciones,antirrabica canina,2009-03-01,22,22
PAPEL PAMPA,otras vacunaciones,antirrabica canina,2009-03-01,20,20
PATACAMAYA,otras vacunaciones,antirrabica canina,2009-03-01,8,8
PAZÑA,otras vacunaciones,antirrabica canina,2009-03-01,22,22
PELECHUCO,otras vacunaciones,antirrabica canina,2009-03-01,4,4
POCONA,otras vacunaciones,antirrabica canina,2009-03-01,425,425
POJO (CBBA),otras vacunaciones,antirrabica canina,2009-03-01,97,97
PORTACHUELO,otras vacunaciones,antirrabica canina,2009-03-01,12,12
POTOSI,otras vacunaciones,antirrabica canina,2009-03-01,333,333
PUCARANI,otras vacunaciones,antirrabica canina,2009-03-01,53,53
PUERTO ACOSTA,otras vacunaciones,antirrabica canina,2009-03-01,145,145
PUERTO CARABUCO,otras vacunaciones,antirrabica canina,2009-03-01,140,140
PUERTO PEREZ,otras vacunaciones,antirrabica canina,2009-03-01,65,65
PUERTO QUIJARRO,otras vacunaciones,antirrabica canina,2009-03-01,118,118
PUERTO VILLARROEL,otras vacunaciones,antirrabica canina,2009-03-01,177,177
PUNATA,otras vacunaciones,antirrabica canina,2009-03-01,10891,10891
QUILLACOLLO,otras vacunaciones,antirrabica canina,2009-03-01,12316,12316
RAVELO,otras vacunaciones,antirrabica canina,2009-03-01,5,5
ROBORE,otras vacunaciones,antirrabica canina,2009-03-01,36,36
SABAYA,otras vacunaciones,antirrabica canina,2009-03-01,6,6
SACABA,otras vacunaciones,antirrabica canina,2009-03-01,420,420
SACABAMBA,otras vacunaciones,antirrabica canina,2009-03-01,159,159
SAN ANDRES DE MACHACA,otras vacunaciones,antirrabica canina,2009-03-01,13,13
SAN BENITO,otras vacunaciones,antirrabica canina,2009-03-01,2608,2608
SAN BUENA VENTURA,otras vacunaciones,antirrabica canina,2009-03-01,54,54
SAN IGNACIO DE VELASCO,otras vacunaciones,antirrabica canina,2009-03-01,1256,1256
SAN JULIAN,otras vacunaciones,antirrabica canina,2009-03-01,1,1
SAN LORENZO(PND),otras vacunaciones,antirrabica canina,2009-03-01,52,52
SAN MIGUEL DE VELASCO,otras vacunaciones,antirrabica canina,2009-03-01,220,220
SAN RAFAEL,otras vacunaciones,antirrabica canina,2009-03-01,47,47
SAN RAMON,otras vacunaciones,antirrabica canina,2009-03-01,10,10
SANTA ANA,otras vacunaciones,antirrabica canina,2009-03-01,2662,2662
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antirrabica canina,2009-03-01,8957,8957
SANTA ROSA DEL SARA,otras vacunaciones,antirrabica canina,2009-03-01,1,1
SANTIVAÑES,otras vacunaciones,antirrabica canina,2009-03-01,39,39
SICA SICA (VILLA AROMA),otras vacunaciones,antirrabica canina,2009-03-01,21,21
SICAYA,otras vacunaciones,antirrabica canina,2009-03-01,316,316
SIPE SIPE,otras vacunaciones,antirrabica canina,2009-03-01,5543,5543
SORATA,otras vacunaciones,antirrabica canina,2009-03-01,24,24
SUCRE,otras vacunaciones,antirrabica canina,2009-03-01,31,31
TACACHI,otras vacunaciones,antirrabica canina,2009-03-01,75,75
TACACOMA,otras vacunaciones,antirrabica canina,2009-03-01,3,3
TACOPAYA,otras vacunaciones,antirrabica canina,2009-03-01,4,4
TAPACARI,otras vacunaciones,antirrabica canina,2009-03-01,16,16
TARACO,otras vacunaciones,antirrabica canina,2009-03-01,22,22
TARATA,otras vacunaciones,antirrabica canina,2009-03-01,1137,1137
TARIJA,otras vacunaciones,antirrabica canina,2009-03-01,104,104
TIAWANACU,otras vacunaciones,antirrabica canina,2009-03-01,54,54
TINGUIPAYA,otras vacunaciones,antirrabica canina,2009-03-01,11,11
TIPUANI,otras vacunaciones,antirrabica canina,2009-03-01,6,6
TIQUIPAYA,otras vacunaciones,antirrabica canina,2009-03-01,11282,11282
TIRAQUE (CBBA),otras vacunaciones,antirrabica canina,2009-03-01,2630,2630
TITO YUPANQUI (PARQUIPUJIO),otras vacunaciones,antirrabica canina,2009-03-01,5,5
TOCO,otras vacunaciones,antirrabica canina,2009-03-01,1329,1329
TOLATA,otras vacunaciones,antirrabica canina,2009-03-01,2018,2018
TOLEDO,otras vacunaciones,antirrabica canina,2009-03-01,3,3
TOTORA(CBBA),otras vacunaciones,antirrabica canina,2009-03-01,98,98
TUPIZA,otras vacunaciones,antirrabica canina,2009-03-01,2,2
TURCO,otras vacunaciones,antirrabica canina,2009-03-01,15,15
UMALA,otras vacunaciones,antirrabica canina,2009-03-01,6,6
