municipality,group,variable,month,Antirrábica humana esquema completo,TOTAL
EL TORNO,otras vacunaciones,antirrabica humana esquema completo,2009-02-01,33,33
ENTRE RIOS,otras vacunaciones,antirrabica humana esquema completo,2009-02-01,2,2
ENTRE RIOS,otras vacunaciones,antirrabica humana esquema completo,2009-02-01,1,1
GENERAL SAAVEDRA,otras vacunaciones,antirrabica humana esquema completo,2009-02-01,1,1
GUAQUI,otras vacunaciones,antirrabica humana esquema completo,2009-02-01,2,2
HUANUNI,otras vacunaciones,antirrabica humana esquema completo,2009-02-01,2,2
LA GUARDIA,otras vacunaciones,antirrabica humana esquema completo,2009-02-01,3,3
LA PAZ,otras vacunaciones,antirrabica humana esquema completo,2009-02-01,63,63
MAIRANA,otras vacunaciones,antirrabica humana esquema completo,2009-02-01,1,1
MINEROS,otras vacunaciones,antirrabica humana esquema completo,2009-02-01,20,20
MONTERO,otras vacunaciones,antirrabica humana esquema completo,2009-02-01,16,16
PAILON,otras vacunaciones,antirrabica humana esquema completo,2009-02-01,2,2
POTOSI,otras vacunaciones,antirrabica humana esquema completo,2009-02-01,3,3
PUERTO QUIJARRO,otras vacunaciones,antirrabica humana esquema completo,2009-02-01,2,2
PUERTO VILLARROEL,otras vacunaciones,antirrabica humana esquema completo,2009-02-01,3,3
PUNATA,otras vacunaciones,antirrabica humana esquema completo,2009-02-01,1,1
QUILLACOLLO,otras vacunaciones,antirrabica humana esquema completo,2009-02-01,1,1
SACABA,otras vacunaciones,antirrabica humana esquema completo,2009-02-01,2,2
SAN JULIAN,otras vacunaciones,antirrabica humana esquema completo,2009-02-01,5,5
SANTA ANA,otras vacunaciones,antirrabica humana esquema completo,2009-02-01,6,6
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antirrabica humana esquema completo,2009-02-01,82,82
SUCRE,otras vacunaciones,antirrabica humana esquema completo,2009-02-01,39,39
TARABUCO,otras vacunaciones,antirrabica humana esquema completo,2009-02-01,1,1
TARATA,otras vacunaciones,antirrabica humana esquema completo,2009-02-01,2,2
TIQUIPAYA,otras vacunaciones,antirrabica humana esquema completo,2009-02-01,1,1
TUPIZA,otras vacunaciones,antirrabica humana esquema completo,2009-02-01,2,2
VILLA MONTES,otras vacunaciones,antirrabica humana esquema completo,2009-02-01,1,1
WARNES,otras vacunaciones,antirrabica humana esquema completo,2009-02-01,1,1
YACUIBA,otras vacunaciones,antirrabica humana esquema completo,2009-02-01,14,14
AIQUILE,otras vacunaciones,antirrabica humana esquema completo,2009-03-01,2,2
ALCALA,otras vacunaciones,antirrabica humana esquema completo,2009-03-01,1,1
ASCENCION DE GUARAYOS,otras vacunaciones,antirrabica humana esquema completo,2009-03-01,3,3
BERMEJO,otras vacunaciones,antirrabica humana esquema completo,2009-03-01,2,2
CAPINOTA,otras vacunaciones,antirrabica humana esquema completo,2009-03-01,1,1
CARAPARI,otras vacunaciones,antirrabica humana esquema completo,2009-03-01,3,3
CHALLAPATA,otras vacunaciones,antirrabica humana esquema completo,2009-03-01,1,1
COCHABAMBA,otras vacunaciones,antirrabica humana esquema completo,2009-03-01,50,50
COMARAPA,otras vacunaciones,antirrabica humana esquema completo,2009-03-01,1,1
CUATRO CAÑADAS,otras vacunaciones,antirrabica humana esquema completo,2009-03-01,1,1
EL ALTO,otras vacunaciones,antirrabica humana esquema completo,2009-03-01,1,1
EL TORNO,otras vacunaciones,antirrabica humana esquema completo,2009-03-01,50,50
ENTRE RIOS,otras vacunaciones,antirrabica humana esquema completo,2009-03-01,1,1
FERNANDEZ ALONSO,otras vacunaciones,antirrabica humana esquema completo,2009-03-01,1,1
LA GUARDIA,otras vacunaciones,antirrabica humana esquema completo,2009-03-01,8,8
LA PAZ,otras vacunaciones,antirrabica humana esquema completo,2009-03-01,74,74
LAJA,otras vacunaciones,antirrabica humana esquema completo,2009-03-01,1,1
MONTERO,otras vacunaciones,antirrabica humana esquema completo,2009-03-01,7,7
PORVENIR,otras vacunaciones,antirrabica humana esquema completo,2009-03-01,1,1
POTOSI,otras vacunaciones,antirrabica humana esquema completo,2009-03-01,10,10
PUERTO SUAREZ,otras vacunaciones,antirrabica humana esquema completo,2009-03-01,2,2
PUERTO VILLARROEL,otras vacunaciones,antirrabica humana esquema completo,2009-03-01,1,1
SACABA,otras vacunaciones,antirrabica humana esquema completo,2009-03-01,16,16
SAN JUAN DE YAPACANI,otras vacunaciones,antirrabica humana esquema completo,2009-03-01,1,1
SAN JULIAN,otras vacunaciones,antirrabica humana esquema completo,2009-03-01,3,3
SAN MIGUEL DE VELASCO,otras vacunaciones,antirrabica humana esquema completo,2009-03-01,1,1
SAN RAMON,otras vacunaciones,antirrabica humana esquema completo,2009-03-01,6,6
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antirrabica humana esquema completo,2009-03-01,93,93
SIPE SIPE,otras vacunaciones,antirrabica humana esquema completo,2009-03-01,1,1
SUCRE,otras vacunaciones,antirrabica humana esquema completo,2009-03-01,49,49
TOCO,otras vacunaciones,antirrabica humana esquema completo,2009-03-01,2,2
VIACHA,otras vacunaciones,antirrabica humana esquema completo,2009-03-01,1,1
VINTO,otras vacunaciones,antirrabica humana esquema completo,2009-03-01,1,1
WARNES,otras vacunaciones,antirrabica humana esquema completo,2009-03-01,6,6
YAPACANI,otras vacunaciones,antirrabica humana esquema completo,2009-03-01,1,1
ARAMPAMPA,otras vacunaciones,antirrabica humana esquema completo,2009-04-01,1,1
ARBIETO,otras vacunaciones,antirrabica humana esquema completo,2009-04-01,1,1
ASCENCION DE GUARAYOS,otras vacunaciones,antirrabica humana esquema completo,2009-04-01,2,2
BERMEJO,otras vacunaciones,antirrabica humana esquema completo,2009-04-01,3,3
CAMIRI,otras vacunaciones,antirrabica humana esquema completo,2009-04-01,2,2
CAPINOTA,otras vacunaciones,antirrabica humana esquema completo,2009-04-01,1,1
COCHABAMBA,otras vacunaciones,antirrabica humana esquema completo,2009-04-01,30,30
COLCAPIRHUA,otras vacunaciones,antirrabica humana esquema completo,2009-04-01,2,2
COMARAPA,otras vacunaciones,antirrabica humana esquema completo,2009-04-01,1,1
COTOCA,otras vacunaciones,antirrabica humana esquema completo,2009-04-01,3,3
CUATRO CAÑADAS,otras vacunaciones,antirrabica humana esquema completo,2009-04-01,2,2
EL ALTO,otras vacunaciones,antirrabica humana esquema completo,2009-04-01,4,4
EL TORNO,otras vacunaciones,antirrabica humana esquema completo,2009-04-01,23,23
ENTRE RIOS,otras vacunaciones,antirrabica humana esquema completo,2009-04-01,1,1
LA GUARDIA,otras vacunaciones,antirrabica humana esquema completo,2009-04-01,17,17
LA PAZ,otras vacunaciones,antirrabica humana esquema completo,2009-04-01,10,10
MAIRANA,otras vacunaciones,antirrabica humana esquema completo,2009-04-01,1,1
MINEROS,otras vacunaciones,antirrabica humana esquema completo,2009-04-01,1,1
MIZQUE,otras vacunaciones,antirrabica humana esquema completo,2009-04-01,1,1
MONTERO,otras vacunaciones,antirrabica humana esquema completo,2009-04-01,23,23
PAILON,otras vacunaciones,antirrabica humana esquema completo,2009-04-01,8,8
PORONGO,otras vacunaciones,antirrabica humana esquema completo,2009-04-01,6,6
POTOSI,otras vacunaciones,antirrabica humana esquema completo,2009-04-01,11,11
PUERTO QUIJARRO,otras vacunaciones,antirrabica humana esquema completo,2009-04-01,50,50
PUERTO SUAREZ,otras vacunaciones,antirrabica humana esquema completo,2009-04-01,2,2
PUNATA,otras vacunaciones,antirrabica humana esquema completo,2009-04-01,2,2
SACABA,otras vacunaciones,antirrabica humana esquema completo,2009-04-01,15,15
SAMAIPATA,otras vacunaciones,antirrabica humana esquema completo,2009-04-01,1,1
SAN CARLOS,otras vacunaciones,antirrabica humana esquema completo,2009-04-01,1,1
SAN JUAN DE YAPACANI,otras vacunaciones,antirrabica humana esquema completo,2009-04-01,1,1
SAN JULIAN,otras vacunaciones,antirrabica humana esquema completo,2009-04-01,3,3
SAN RAMON,otras vacunaciones,antirrabica humana esquema completo,2009-04-01,10,10
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antirrabica humana esquema completo,2009-04-01,117,117
SUCRE,otras vacunaciones,antirrabica humana esquema completo,2009-04-01,37,37
TARATA,otras vacunaciones,antirrabica humana esquema completo,2009-04-01,1,1
TIQUIPAYA,otras vacunaciones,antirrabica humana esquema completo,2009-04-01,5,5
TOCO,otras vacunaciones,antirrabica humana esquema completo,2009-04-01,2,2
URUBICHA,otras vacunaciones,antirrabica humana esquema completo,2009-04-01,1,1
VINTO,otras vacunaciones,antirrabica humana esquema completo,2009-04-01,5,5
WARNES,otras vacunaciones,antirrabica humana esquema completo,2009-04-01,2,2
YACUIBA,otras vacunaciones,antirrabica humana esquema completo,2009-04-01,14,14
AIQUILE,otras vacunaciones,antirrabica humana esquema completo,2009-05-01,1,1
ASCENCION DE GUARAYOS,otras vacunaciones,antirrabica humana esquema completo,2009-05-01,1,1
BERMEJO,otras vacunaciones,antirrabica humana esquema completo,2009-05-01,2,2
CAMIRI,otras vacunaciones,antirrabica humana esquema completo,2009-05-01,1,1
CAPINOTA,otras vacunaciones,antirrabica humana esquema completo,2009-05-01,2,2
CARANAVI,otras vacunaciones,antirrabica humana esquema completo,2009-05-01,2,2
CARAPARI,otras vacunaciones,antirrabica humana esquema completo,2009-05-01,3,3
CLIZA,otras vacunaciones,antirrabica humana esquema completo,2009-05-01,4,4
COCHABAMBA,otras vacunaciones,antirrabica humana esquema completo,2009-05-01,32,32
COLCAPIRHUA,otras vacunaciones,antirrabica humana esquema completo,2009-05-01,3,3
COMARAPA,otras vacunaciones,antirrabica humana esquema completo,2009-05-01,1,1
COTOCA,otras vacunaciones,antirrabica humana esquema completo,2009-05-01,3,3
EL ALTO,otras vacunaciones,antirrabica humana esquema completo,2009-05-01,3,3
EL TORNO,otras vacunaciones,antirrabica humana esquema completo,2009-05-01,14,14
ENTRE RIOS,otras vacunaciones,antirrabica humana esquema completo,2009-05-01,1,1
ENTRE RIOS,otras vacunaciones,antirrabica humana esquema completo,2009-05-01,2,2
GENERAL SAAVEDRA,otras vacunaciones,antirrabica humana esquema completo,2009-05-01,1,1
LA GUARDIA,otras vacunaciones,antirrabica humana esquema completo,2009-05-01,8,8
LA PAZ,otras vacunaciones,antirrabica humana esquema completo,2009-05-01,60,60
MINEROS,otras vacunaciones,antirrabica humana esquema completo,2009-05-01,1,1
MONTERO,otras vacunaciones,antirrabica humana esquema completo,2009-05-01,10,10
PAMPA GRANDE,otras vacunaciones,antirrabica humana esquema completo,2009-05-01,1,1
POCONA,otras vacunaciones,antirrabica humana esquema completo,2009-05-01,1,1
PORTACHUELO,otras vacunaciones,antirrabica humana esquema completo,2009-05-01,1,1
POTOSI,otras vacunaciones,antirrabica humana esquema completo,2009-05-01,7,7
PUERTO SUAREZ,otras vacunaciones,antirrabica humana esquema completo,2009-05-01,1,1
PUERTO VILLARROEL,otras vacunaciones,antirrabica humana esquema completo,2009-05-01,1,1
PUNATA,otras vacunaciones,antirrabica humana esquema completo,2009-05-01,2,2
QUILLACOLLO,otras vacunaciones,antirrabica humana esquema completo,2009-05-01,1,1
ROBORE,otras vacunaciones,antirrabica humana esquema completo,2009-05-01,1,1
SACABA,otras vacunaciones,antirrabica humana esquema completo,2009-05-01,1,1
SAMAIPATA,otras vacunaciones,antirrabica humana esquema completo,2009-05-01,2,2
SAN BUENA VENTURA,otras vacunaciones,antirrabica humana esquema completo,2009-05-01,1,1
SAN CARLOS,otras vacunaciones,antirrabica humana esquema completo,2009-05-01,1,1
SAN RAMON,otras vacunaciones,antirrabica humana esquema completo,2009-05-01,5,5
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antirrabica humana esquema completo,2009-05-01,77,77
SUCRE,otras vacunaciones,antirrabica humana esquema completo,2009-05-01,43,43
TARABUCO,otras vacunaciones,antirrabica humana esquema completo,2009-05-01,1,1
TRINIDAD,otras vacunaciones,antirrabica humana esquema completo,2009-05-01,76,76
TUPIZA,otras vacunaciones,antirrabica humana esquema completo,2009-05-01,2,2
WARNES,otras vacunaciones,antirrabica humana esquema completo,2009-05-01,1,1
YACUIBA,otras vacunaciones,antirrabica humana esquema completo,2009-05-01,7,7
YAPACANI,otras vacunaciones,antirrabica humana esquema completo,2009-05-01,1,1
AIQUILE,otras vacunaciones,antirrabica humana esquema completo,2009-06-01,1,1
ARBIETO,otras vacunaciones,antirrabica humana esquema completo,2009-06-01,1,1
BERMEJO,otras vacunaciones,antirrabica humana esquema completo,2009-06-01,6,6
BUENA VISTA,otras vacunaciones,antirrabica humana esquema completo,2009-06-01,1,1
CAMIRI,otras vacunaciones,antirrabica humana esquema completo,2009-06-01,1,1
CARANAVI,otras vacunaciones,antirrabica humana esquema completo,2009-06-01,1,1
CARAPARI,otras vacunaciones,antirrabica humana esquema completo,2009-06-01,2,2
CHACARILLA,otras vacunaciones,antirrabica humana esquema completo,2009-06-01,1,1
COCHABAMBA,otras vacunaciones,antirrabica humana esquema completo,2009-06-01,33,33
COLCAPIRHUA,otras vacunaciones,antirrabica humana esquema completo,2009-06-01,2,2
COTOCA,otras vacunaciones,antirrabica humana esquema completo,2009-06-01,2,2
EL ALTO,otras vacunaciones,antirrabica humana esquema completo,2009-06-01,6,6
EL TORNO,otras vacunaciones,antirrabica humana esquema completo,2009-06-01,12,12
LA GUARDIA,otras vacunaciones,antirrabica humana esquema completo,2009-06-01,5,5
LA PAZ,otras vacunaciones,antirrabica humana esquema completo,2009-06-01,65,65
MINEROS,otras vacunaciones,antirrabica humana esquema completo,2009-06-01,1,1
MONTERO,otras vacunaciones,antirrabica humana esquema completo,2009-06-01,17,17
PALCA,otras vacunaciones,antirrabica humana esquema completo,2009-06-01,1,1
PAMPA GRANDE,otras vacunaciones,antirrabica humana esquema completo,2009-06-01,1,1
PORONGO,otras vacunaciones,antirrabica humana esquema completo,2009-06-01,2,2
QUILLACOLLO,otras vacunaciones,antirrabica humana esquema completo,2009-06-01,1,1
SACABA,otras vacunaciones,antirrabica humana esquema completo,2009-06-01,5,5
SAN JULIAN,otras vacunaciones,antirrabica humana esquema completo,2009-06-01,7,7
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antirrabica humana esquema completo,2009-06-01,91,91
SIPE SIPE,otras vacunaciones,antirrabica humana esquema completo,2009-06-01,3,3
SUCRE,otras vacunaciones,antirrabica humana esquema completo,2009-06-01,25,25
TIQUIPAYA,otras vacunaciones,antirrabica humana esquema completo,2009-06-01,3,3
TIRAQUE (CBBA),otras vacunaciones,antirrabica humana esquema completo,2009-06-01,1,1
TOLATA,otras vacunaciones,antirrabica humana esquema completo,2009-06-01,1,1
TOMAVE,otras vacunaciones,antirrabica humana esquema completo,2009-06-01,2,2
TUPIZA,otras vacunaciones,antirrabica humana esquema completo,2009-06-01,1,1
VILLA MONTES,otras vacunaciones,antirrabica humana esquema completo,2009-06-01,1,1
VILLA RIVERO,otras vacunaciones,antirrabica humana esquema completo,2009-06-01,1,1
VILLA TUNARI,otras vacunaciones,antirrabica humana esquema completo,2009-06-01,1,1
VINTO,otras vacunaciones,antirrabica humana esquema completo,2009-06-01,4,4
WARNES,otras vacunaciones,antirrabica humana esquema completo,2009-06-01,2,2
YACUIBA,otras vacunaciones,antirrabica humana esquema completo,2009-06-01,14,14
YAPACANI,otras vacunaciones,antirrabica humana esquema completo,2009-06-01,1,1
BERMEJO,otras vacunaciones,antirrabica humana esquema completo,2009-07-01,6,6
CABEZAS,otras vacunaciones,antirrabica humana esquema completo,2009-07-01,2,2
CARAPARI,otras vacunaciones,antirrabica humana esquema completo,2009-07-01,1,1
CHARAGUA,otras vacunaciones,antirrabica humana esquema completo,2009-07-01,3,3
COCHABAMBA,otras vacunaciones,antirrabica humana esquema completo,2009-07-01,41,41
COLQUECHACA,otras vacunaciones,antirrabica humana esquema completo,2009-07-01,1,1
COTOCA,otras vacunaciones,antirrabica humana esquema completo,2009-07-01,5,5
EL ALTO,otras vacunaciones,antirrabica humana esquema completo,2009-07-01,2,2
EL TORNO,otras vacunaciones,antirrabica humana esquema completo,2009-07-01,4,4
LA GUARDIA,otras vacunaciones,antirrabica humana esquema completo,2009-07-01,10,10
LA PAZ,otras vacunaciones,antirrabica humana esquema completo,2009-07-01,49,49
MAIRANA,otras vacunaciones,antirrabica humana esquema completo,2009-07-01,2,2
MINEROS,otras vacunaciones,antirrabica humana esquema completo,2009-07-01,3,3
MOJOCOYA,otras vacunaciones,antirrabica humana esquema completo,2009-07-01,1,1
MONTERO,otras vacunaciones,antirrabica humana esquema completo,2009-07-01,11,11
PADILLA,otras vacunaciones,antirrabica humana esquema completo,2009-07-01,2,2
PORONGO,otras vacunaciones,antirrabica humana esquema completo,2009-07-01,1,1
POTOSI,otras vacunaciones,antirrabica humana esquema completo,2009-07-01,3,3
PUERTO SUAREZ,otras vacunaciones,antirrabica humana esquema completo,2009-07-01,3,3
QUILLACOLLO,otras vacunaciones,antirrabica humana esquema completo,2009-07-01,3,3
SACABA,otras vacunaciones,antirrabica humana esquema completo,2009-07-01,5,5
SAMAIPATA,otras vacunaciones,antirrabica humana esquema completo,2009-07-01,2,2
SAN BORJA,otras vacunaciones,antirrabica humana esquema completo,2009-07-01,3,3
SAN JULIAN,otras vacunaciones,antirrabica humana esquema completo,2009-07-01,2,2
SAN LORENZO(TJA),otras vacunaciones,antirrabica humana esquema completo,2009-07-01,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antirrabica humana esquema completo,2009-07-01,56,56
SUCRE,otras vacunaciones,antirrabica humana esquema completo,2009-07-01,45,45
TIQUIPAYA,otras vacunaciones,antirrabica humana esquema completo,2009-07-01,1,1
TRINIDAD,otras vacunaciones,antirrabica humana esquema completo,2009-07-01,1,1
VILLA MONTES,otras vacunaciones,antirrabica humana esquema completo,2009-07-01,1,1
VINTO,otras vacunaciones,antirrabica humana esquema completo,2009-07-01,1,1
WARNES,otras vacunaciones,antirrabica humana esquema completo,2009-07-01,2,2
YACUIBA,otras vacunaciones,antirrabica humana esquema completo,2009-07-01,8,8
AIQUILE,otras vacunaciones,antirrabica humana esquema completo,2009-08-01,2,2
ASCENCION DE GUARAYOS,otras vacunaciones,antirrabica humana esquema completo,2009-08-01,3,3
BERMEJO,otras vacunaciones,antirrabica humana esquema completo,2009-08-01,3,3
BUENA VISTA,otras vacunaciones,antirrabica humana esquema completo,2009-08-01,1,1
CARAPARI,otras vacunaciones,antirrabica humana esquema completo,2009-08-01,3,3
CLIZA,otras vacunaciones,antirrabica humana esquema completo,2009-08-01,1,1
COCHABAMBA,otras vacunaciones,antirrabica humana esquema completo,2009-08-01,44,44
COMARAPA,otras vacunaciones,antirrabica humana esquema completo,2009-08-01,1,1
COTOCA,otras vacunaciones,antirrabica humana esquema completo,2009-08-01,1,1
CUATRO CAÑADAS,otras vacunaciones,antirrabica humana esquema completo,2009-08-01,3,3
EL ALTO,otras vacunaciones,antirrabica humana esquema completo,2009-08-01,4,4
EL TORNO,otras vacunaciones,antirrabica humana esquema completo,2009-08-01,32,32
ENTRE RIOS,otras vacunaciones,antirrabica humana esquema completo,2009-08-01,1,1
FERNANDEZ ALONSO,otras vacunaciones,antirrabica humana esquema completo,2009-08-01,1,1
HUANUNI,otras vacunaciones,antirrabica humana esquema completo,2009-08-01,2,2
JESUS DE MACHACA,otras vacunaciones,antirrabica humana esquema completo,2009-08-01,50,50
LA GUARDIA,otras vacunaciones,antirrabica humana esquema completo,2009-08-01,5,5
LA PAZ,otras vacunaciones,antirrabica humana esquema completo,2009-08-01,47,47
MIZQUE,otras vacunaciones,antirrabica humana esquema completo,2009-08-01,1,1
MONTERO,otras vacunaciones,antirrabica humana esquema completo,2009-08-01,12,12
ORURO,otras vacunaciones,antirrabica humana esquema completo,2009-08-01,1,1
POROMA,otras vacunaciones,antirrabica humana esquema completo,2009-08-01,2,2
POTOSI,otras vacunaciones,antirrabica humana esquema completo,2009-08-01,6,6
PUERTO QUIJARRO,otras vacunaciones,antirrabica humana esquema completo,2009-08-01,1,1
PUERTO SUAREZ,otras vacunaciones,antirrabica humana esquema completo,2009-08-01,3,3
PUNATA,otras vacunaciones,antirrabica humana esquema completo,2009-08-01,1,1
QUILLACOLLO,otras vacunaciones,antirrabica humana esquema completo,2009-08-01,1,1
SACABA,otras vacunaciones,antirrabica humana esquema completo,2009-08-01,8,8
SAN IGNACIO DE VELASCO,otras vacunaciones,antirrabica humana esquema completo,2009-08-01,1,1
SAN JUAN DE YAPACANI,otras vacunaciones,antirrabica humana esquema completo,2009-08-01,1,1
SAN RAMON,otras vacunaciones,antirrabica humana esquema completo,2009-08-01,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antirrabica humana esquema completo,2009-08-01,67,67
SANTA ROSA DEL SARA,otras vacunaciones,antirrabica humana esquema completo,2009-08-01,2,2
SANTIAGO DE HUARI,otras vacunaciones,antirrabica humana esquema completo,2009-08-01,1,1
SORACACHI,otras vacunaciones,antirrabica humana esquema completo,2009-08-01,1,1
SUCRE,otras vacunaciones,antirrabica humana esquema completo,2009-08-01,157,157
TAPACARI,otras vacunaciones,antirrabica humana esquema completo,2009-08-01,1,1
TIQUIPAYA,otras vacunaciones,antirrabica humana esquema completo,2009-08-01,2,2
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,antirrabica humana esquema completo,2009-08-01,1,1
VILLAZON,otras vacunaciones,antirrabica humana esquema completo,2009-08-01,11,11
VINTO,otras vacunaciones,antirrabica humana esquema completo,2009-08-01,4,4
WARNES,otras vacunaciones,antirrabica humana esquema completo,2009-08-01,5,5
YACUIBA,otras vacunaciones,antirrabica humana esquema completo,2009-08-01,5,5
AIQUILE,otras vacunaciones,antirrabica humana esquema completo,2009-09-01,3,3
ARAMPAMPA,otras vacunaciones,antirrabica humana esquema completo,2009-09-01,1,1
ASCENCION DE GUARAYOS,otras vacunaciones,antirrabica humana esquema completo,2009-09-01,2,2
BERMEJO,otras vacunaciones,antirrabica humana esquema completo,2009-09-01,6,6
CAMIRI,otras vacunaciones,antirrabica humana esquema completo,2009-09-01,1,1
CAPINOTA,otras vacunaciones,antirrabica humana esquema completo,2009-09-01,1,1
CARANAVI,otras vacunaciones,antirrabica humana esquema completo,2009-09-01,1,1
CHACARILLA,otras vacunaciones,antirrabica humana esquema completo,2009-09-01,1,1
CLIZA,otras vacunaciones,antirrabica humana esquema completo,2009-09-01,2,2
COCHABAMBA,otras vacunaciones,antirrabica humana esquema completo,2009-09-01,31,31
COLCAPIRHUA,otras vacunaciones,antirrabica humana esquema completo,2009-09-01,7,7
COLQUECHACA,otras vacunaciones,antirrabica humana esquema completo,2009-09-01,1,1
COTOCA,otras vacunaciones,antirrabica humana esquema completo,2009-09-01,3,3
CUATRO CAÑADAS,otras vacunaciones,antirrabica humana esquema completo,2009-09-01,2,2
EL ALTO,otras vacunaciones,antirrabica humana esquema completo,2009-09-01,2,2
EL TORNO,otras vacunaciones,antirrabica humana esquema completo,2009-09-01,19,19
ENTRE RIOS,otras vacunaciones,antirrabica humana esquema completo,2009-09-01,2,2
ENTRE RIOS,otras vacunaciones,antirrabica humana esquema completo,2009-09-01,2,2
LA GUARDIA,otras vacunaciones,antirrabica humana esquema completo,2009-09-01,14,14
LA PAZ,otras vacunaciones,antirrabica humana esquema completo,2009-09-01,65,65
MINEROS,otras vacunaciones,antirrabica humana esquema completo,2009-09-01,1,1
MONTERO,otras vacunaciones,antirrabica humana esquema completo,2009-09-01,18,18
PAILON,otras vacunaciones,antirrabica humana esquema completo,2009-09-01,2,2
PALOS BLANCOS,otras vacunaciones,antirrabica humana esquema completo,2009-09-01,1,1
PAMPA GRANDE,otras vacunaciones,antirrabica humana esquema completo,2009-09-01,1,1
PORONGO,otras vacunaciones,antirrabica humana esquema completo,2009-09-01,1,1
POTOSI,otras vacunaciones,antirrabica humana esquema completo,2009-09-01,9,9
PUERTO QUIJARRO,otras vacunaciones,antirrabica humana esquema completo,2009-09-01,4,4
PUERTO SUAREZ,otras vacunaciones,antirrabica humana esquema completo,2009-09-01,3,3
PUERTO VILLARROEL,otras vacunaciones,antirrabica humana esquema completo,2009-09-01,2,2
PUNATA,otras vacunaciones,antirrabica humana esquema completo,2009-09-01,6,6
