,group,variable,month,TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD INCIADO,TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD INCIADO,TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD CONCLUIDO,TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD CONCLUIDO,TOTALES,TOTALES
ICLA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2020-02-01,0.0,0.0,1.0,1.0,1.0,1.0
PAMPA GRANDE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2020-02-01,0.0,1.0,0.0,0.0,0.0,1.0
TAPACARI,chagas,tratamientos 5 anos a menores de 15 anos de edad,2020-02-01,1.0,1.0,0.0,0.0,1.0,1.0
TARIJA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2020-02-01,0.0,0.0,1.0,0.0,1.0,0.0
VALLEGRANDE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2020-02-01,0.0,1.0,0.0,0.0,0.0,1.0
YACUIBA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2020-02-01,9.0,7.0,0.0,0.0,9.0,7.0
ANZALDO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2020-03-01,0.0,1.0,0.0,0.0,0.0,1.0
COCHABAMBA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2020-03-01,0.0,0.0,1.0,0.0,1.0,0.0
CUEVO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2020-03-01,0.0,0.0,1.0,7.0,1.0,7.0
MOROCHATA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2020-03-01,1.0,0.0,0.0,0.0,1.0,0.0
PAMPA GRANDE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2020-03-01,1.0,0.0,0.0,0.0,1.0,0.0
SUCRE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2020-03-01,0.0,0.0,0.0,1.0,0.0,1.0
VALLEGRANDE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2020-03-01,0.0,1.0,0.0,0.0,0.0,1.0
ANZALDO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2020-04-01,0.0,0.0,0.0,1.0,0.0,1.0
CARAPARI,chagas,tratamientos 5 anos a menores de 15 anos de edad,2020-04-01,0.0,0.0,1.0,0.0,1.0,0.0
COCHABAMBA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2020-04-01,0.0,0.0,0.0,1.0,0.0,1.0
MOROCHATA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2020-04-01,0.0,0.0,1.0,0.0,1.0,0.0
TAPACARI,chagas,tratamientos 5 anos a menores de 15 anos de edad,2020-04-01,0.0,0.0,1.0,1.0,1.0,1.0
VALLEGRANDE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2020-04-01,0.0,0.0,0.0,1.0,0.0,1.0
VILLA TUNARI,chagas,tratamientos 5 anos a menores de 15 anos de edad,2020-04-01,0.0,0.0,0.0,1.0,0.0,1.0
YACUIBA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2020-04-01,0.0,0.0,5.0,6.0,5.0,6.0
ANZALDO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2020-05-01,1.0,0.0,0.0,0.0,1.0,0.0
COBIJA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2020-05-01,0.0,0.0,0.0,0.0,0.0,0.0
MONTERO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2020-05-01,0.0,0.0,0.0,0.0,0.0,0.0
POJO (CBBA),chagas,tratamientos 5 anos a menores de 15 anos de edad,2020-05-01,0.0,0.0,0.0,1.0,0.0,1.0
YACUIBA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2020-05-01,0.0,0.0,1.0,3.0,1.0,3.0
ANZALDO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2020-06-01,0.0,0.0,1.0,0.0,1.0,0.0
HUACAYA (VILLA DE HUACAYA),chagas,tratamientos 5 anos a menores de 15 anos de edad,2020-06-01,1.0,0.0,0.0,0.0,1.0,0.0
COBIJA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2020-08-01,0.0,0.0,0.0,0.0,0.0,0.0
EUREKA (SANTOS MERCADO),chagas,tratamientos 5 anos a menores de 15 anos de edad,2020-08-01,2.0,0.0,0.0,0.0,2.0,0.0
HUACAYA (VILLA DE HUACAYA),chagas,tratamientos 5 anos a menores de 15 anos de edad,2020-08-01,0.0,1.0,1.0,0.0,1.0,1.0
HUACAYA (VILLA DE HUACAYA),chagas,tratamientos 5 anos a menores de 15 anos de edad,2020-09-01,0.0,2.0,0.0,0.0,0.0,2.0
SACABA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2020-09-01,2.0,2.0,0.0,0.0,2.0,2.0
HUACAYA (VILLA DE HUACAYA),chagas,tratamientos 5 anos a menores de 15 anos de edad,2020-10-01,0.0,0.0,0.0,1.0,0.0,1.0
PAMPA GRANDE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2020-10-01,0.0,1.0,0.0,0.0,0.0,1.0
RIBERALTA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2020-10-01,1.0,0.0,0.0,0.0,1.0,0.0
HUACAYA (VILLA DE HUACAYA),chagas,tratamientos 5 anos a menores de 15 anos de edad,2020-11-01,0.0,0.0,0.0,2.0,0.0,2.0
SENA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2020-11-01,0.0,2.0,0.0,0.0,0.0,2.0
TARIJA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2020-11-01,1.0,0.0,0.0,0.0,1.0,0.0
