,group,variable,month,TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD INICIADO,TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD INICIADO,TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD CONCLUIDO,TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD CONCLUIDO,TOTALES,TOTALES
TARABUCO,chagas,tratamientos rn a menores de 1 ano de edad,2020-03-01,0,0,0,1,0,1
VILLA CHARCAS,chagas,tratamientos rn a menores de 1 ano de edad,2020-03-01,2,0,0,0,2,0
VILLA TUNARI,chagas,tratamientos rn a menores de 1 ano de edad,2020-03-01,0,1,0,0,0,1
CULPINA,chagas,tratamientos rn a menores de 1 ano de edad,2020-04-01,0,1,0,0,0,1
MACHARETI,chagas,tratamientos rn a menores de 1 ano de edad,2020-04-01,0,0,0,1,0,1
POROMA,chagas,tratamientos rn a menores de 1 ano de edad,2020-04-01,0,0,1,0,1,0
TARABUCO,chagas,tratamientos rn a menores de 1 ano de edad,2020-04-01,1,0,0,0,1,0
VILLA CHARCAS,chagas,tratamientos rn a menores de 1 ano de edad,2020-04-01,0,0,2,0,2,0
COBIJA,chagas,tratamientos rn a menores de 1 ano de edad,2020-05-01,0,0,0,0,0,0
CULPINA,chagas,tratamientos rn a menores de 1 ano de edad,2020-05-01,0,0,0,1,0,1
MONTERO,chagas,tratamientos rn a menores de 1 ano de edad,2020-05-01,0,0,0,0,0,0
SUCRE,chagas,tratamientos rn a menores de 1 ano de edad,2020-05-01,0,0,0,1,0,1
TARABUCO,chagas,tratamientos rn a menores de 1 ano de edad,2020-05-01,0,0,1,0,1,0
YACUIBA,chagas,tratamientos rn a menores de 1 ano de edad,2020-05-01,0,1,0,0,0,1
AIQUILE,chagas,tratamientos rn a menores de 1 ano de edad,2020-06-01,1,0,0,0,1,0
MACHARETI,chagas,tratamientos rn a menores de 1 ano de edad,2020-06-01,0,1,0,0,0,1
SAN LUCAS,chagas,tratamientos rn a menores de 1 ano de edad,2020-06-01,0,1,0,0,0,1
SOPACHUY,chagas,tratamientos rn a menores de 1 ano de edad,2020-06-01,1,0,0,0,1,0
TARABUCO,chagas,tratamientos rn a menores de 1 ano de edad,2020-06-01,1,0,0,0,1,0
YACUIBA,chagas,tratamientos rn a menores de 1 ano de edad,2020-06-01,0,1,0,0,0,1
CULPINA,chagas,tratamientos rn a menores de 1 ano de edad,2020-07-01,0,1,0,0,0,1
MACHARETI,chagas,tratamientos rn a menores de 1 ano de edad,2020-07-01,0,0,0,1,0,1
SAN LUCAS,chagas,tratamientos rn a menores de 1 ano de edad,2020-07-01,0,0,0,1,0,1
SOPACHUY,chagas,tratamientos rn a menores de 1 ano de edad,2020-07-01,0,0,1,0,1,0
TARABUCO,chagas,tratamientos rn a menores de 1 ano de edad,2020-07-01,0,2,0,0,0,2
COBIJA,chagas,tratamientos rn a menores de 1 ano de edad,2020-08-01,0,0,0,0,0,0
CULPINA,chagas,tratamientos rn a menores de 1 ano de edad,2020-08-01,0,0,0,1,0,1
MONTERO,chagas,tratamientos rn a menores de 1 ano de edad,2020-08-01,0,0,0,1,0,1
TARABUCO,chagas,tratamientos rn a menores de 1 ano de edad,2020-08-01,0,0,1,2,1,2
ALCALA,chagas,tratamientos rn a menores de 1 ano de edad,2020-09-01,1,0,0,0,1,0
PADILLA,chagas,tratamientos rn a menores de 1 ano de edad,2020-09-01,1,0,0,0,1,0
TAPACARI,chagas,tratamientos rn a menores de 1 ano de edad,2020-09-01,0,1,0,0,0,1
YOTALA,chagas,tratamientos rn a menores de 1 ano de edad,2020-09-01,0,1,0,0,0,1
ALCALA,chagas,tratamientos rn a menores de 1 ano de edad,2020-10-01,0,0,1,0,1,0
MINEROS,chagas,tratamientos rn a menores de 1 ano de edad,2020-10-01,2,0,1,0,3,0
MONTEAGUDO,chagas,tratamientos rn a menores de 1 ano de edad,2020-10-01,1,0,0,0,1,0
PADILLA,chagas,tratamientos rn a menores de 1 ano de edad,2020-10-01,0,0,1,0,1,0
SAN LUCAS,chagas,tratamientos rn a menores de 1 ano de edad,2020-10-01,1,0,0,0,1,0
SUCRE,chagas,tratamientos rn a menores de 1 ano de edad,2020-10-01,0,1,0,0,0,1
YACUIBA,chagas,tratamientos rn a menores de 1 ano de edad,2020-10-01,1,0,1,0,2,0
YAMPARAEZ,chagas,tratamientos rn a menores de 1 ano de edad,2020-10-01,1,0,0,0,1,0
YOTALA,chagas,tratamientos rn a menores de 1 ano de edad,2020-10-01,1,2,0,1,1,3
LA ASUNTA,chagas,tratamientos rn a menores de 1 ano de edad,2020-11-01,1,0,0,0,1,0
MACHARETI,chagas,tratamientos rn a menores de 1 ano de edad,2020-11-01,0,1,0,0,0,1
MINEROS,chagas,tratamientos rn a menores de 1 ano de edad,2020-11-01,0,0,1,0,1,0
MONTEAGUDO,chagas,tratamientos rn a menores de 1 ano de edad,2020-11-01,0,0,1,0,1,0
SACABA,chagas,tratamientos rn a menores de 1 ano de edad,2020-11-01,0,1,0,0,0,1
SAN LUCAS,chagas,tratamientos rn a menores de 1 ano de edad,2020-11-01,0,0,1,0,1,0
SUCRE,chagas,tratamientos rn a menores de 1 ano de edad,2020-11-01,0,0,0,1,0,1
TAPACARI,chagas,tratamientos rn a menores de 1 ano de edad,2020-11-01,0,0,0,1,0,1
YACUIBA,chagas,tratamientos rn a menores de 1 ano de edad,2020-11-01,0,0,1,0,1,0
YAMPARAEZ,chagas,tratamientos rn a menores de 1 ano de edad,2020-11-01,0,0,1,0,1,0
YOTALA,chagas,tratamientos rn a menores de 1 ano de edad,2020-11-01,0,0,1,2,1,2
EL TORNO,chagas,tratamientos rn a menores de 1 ano de edad,2020-12-01,0,1,0,0,0,1
LA ASUNTA,chagas,tratamientos rn a menores de 1 ano de edad,2020-12-01,0,0,1,0,1,0
MACHARETI,chagas,tratamientos rn a menores de 1 ano de edad,2020-12-01,0,0,0,1,0,1
NACEBE (SANTA ROSA DEL ABUNA),chagas,tratamientos rn a menores de 1 ano de edad,2020-12-01,1,0,4,0,5,0
SACABA,chagas,tratamientos rn a menores de 1 ano de edad,2020-12-01,0,0,1,0,1,0
YOTALA,chagas,tratamientos rn a menores de 1 ano de edad,2020-12-01,0,1,0,0,0,1
