municipality,group,variable,month,10.3. Nº de comunidades que participaron en el CAI de establecimiento,TOTAL
MINEROS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,1,1
MOJINETE,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,15,15
MORO MORO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,3,3
MOROCHATA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,2,2
OKINAWA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,4,4
PADCAYA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,8,8
PALCA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,3,3
PALOS BLANCOS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,14,14
PATACAMAYA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,8,8
POCOATA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,10,10
POCONA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,6,6
POJO (CBBA),actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,9,9
PORONGO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,3,3
PORTACHUELO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,2,2
POTOSI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,10,10
PUCARANI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,7,7
PUERTO ACOSTA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,4,4
PUERTO CARABUCO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,8,8
PUERTO PEREZ,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,1,1
PUERTO RICO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,1,1
QUILLACOLLO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,10,10
QUIME,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,1,1
RIBERALTA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,13,13
SABAYA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,18,18
SACABA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,2,2
SACABAMBA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,2,2
SAN BENITO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,5,5
SAN BORJA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,14,14
SAN CARLOS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,66,66
SAN JULIAN,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,30,30
SAN LORENZO(PND),actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,12,12
SAN LUCAS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,4,4
SAN PEDRO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,7,7
SAN PEDRO DE BUENA VISTA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,1,1
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,5,5
SANTA ROSA DEL SARA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,5,5
SANTIAGO DE CALLAPA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,8,8
SANTIAGO DE HUARI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,44,44
SANTIAGO DE HUATA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,2,2
SANTIAGO DE MACHACA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,2,2
SANTIVAÑES,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,5,5
SANTUARIO DE QUILLACAS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,7,7
SAPAHAQUI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,2,2
SENA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,1,1
SICA SICA (VILLA AROMA),actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,2,2
SORACACHI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,8,8
SORATA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,9,9
SUCRE,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,9,9
TACOPAYA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,36,36
TAPACARI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,3,3
TARACO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,25,25
TARIJA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,3,3
TIAWANACU,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,4,4
TIQUIPAYA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,6,6
TIRAQUE (CBBA),actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,8,8
TOLATA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,1,1
TRIGAL,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,12,12
TUPIZA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,3,3
UNCIA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,15,15
VIACHA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,24,24
VILA VILA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,12,12
VILLA CHARCAS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,7,7
VILLA TUNARI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,21,21
VILLA VACA GUZMAN (MUYUPAMPA),actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,2,2
VILLAZON,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,4,4
VITICHI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,6,6
WARNES,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,10,10
YAPACANI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,10,10
ACHACACHI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,9,9
ACHOCALLA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,5,5
ANCORAIMES,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,13,13
ANTEQUERA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,6,6
ANZALDO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,1,1
APOLO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,2,2
ARANI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,12,12
ARBIETO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,11,11
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,9,9
AUCAPATA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,10,10
AYATA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,8,8
AYO AYO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,1,1
BERMEJO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,5,5
BETANZOS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,8,8
BOYUIBE,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,1,1
CABEZAS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,5,5
CALAMARCA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,5,5
CAPINOTA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,1,1
CARACOLLO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,11,11
CHAYANTA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,5,5
CHIPAYA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,10,10
CHUA COCANI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,12,12
CHUMA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,7,7
CLIZA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,1,1
COBIJA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,2,2
COCAPATA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,1,1
COCHABAMBA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,2,2
COLOMI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,1,1
COLQUENCHA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,4,4
COLQUIRI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,8,8
COMBAYA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,2,2
CONCEPCION,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,6,6
CORQUE,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,10,10
COTOCA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,2,2
CUATRO CAÑADAS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,2,2
CUEVO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,5,5
CULPINA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,4,4
DESAGUADERO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,4,4
EL ALTO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,44,44
EL TORNO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,6,6
EUCALIPTUS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,1,1
FERNANDEZ ALONSO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,3,3
GENERAL SAAVEDRA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,5,5
GRAL. J.J. PEREZ (CHARAZANI),actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,15,15
GUANAY,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,1,1
GUAQUI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,6,6
GUAYARAMERIN,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,3,3
GUTIERREZ,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,1,1
HUARINA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,1,1
HUATAJATA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,7,7
ICHOCA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,2,2
JESUS DE MACHACA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,9,9
LA PAZ,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,42,42
LAGUNILLAS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,39,39
LAJA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,1,1
LICOMA PAMPA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,3,3
MACHACAMARCA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,6,6
MOJOCOYA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,1,1
MONTERO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,17,17
MORO MORO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,3,3
MOROCHATA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,13,13
OKINAWA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,2,2
PADCAYA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,1,1
PAILON,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,5,5
PALOS BLANCOS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,3,3
PAPEL PAMPA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,8,8
PATACAMAYA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,8,8
POCONA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,8,8
POJO (CBBA),actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,9,9
PORCO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,5,5
PORONGO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,7,7
POTOSI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,26,26
PUCARANI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,3,3
PUERTO PEREZ,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,4,4
PUERTO VILLARROEL,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,29,29
QUIABAYA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,10,10
QUILLACOLLO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,7,7
RIBERALTA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,11,11
SACABA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,9,9
SACABAMBA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,4,4
SALINAS DE GARCI MENDOZA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,12,12
SAN AGUSTIN,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,12,12
SAN BORJA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,7,7
SAN CARLOS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,50,50
SAN IGNACIO DE VELASCO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,9,9
SAN JULIAN,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,31,31
SAN LUCAS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,8,8
SAN MATIAS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,7,7
SAN PEDRO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,5,5
SAN PEDRO DE BUENA VISTA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,1,1
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,5,5
SANTA ROSA DEL SARA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,1,1
SANTIAGO DE CALLAPA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,8,8
SANTIAGO DE HUARI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,6,6
SANTIAGO DE HUATA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,3,3
SICA SICA (VILLA AROMA),actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,3,3
SORACACHI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,3,3
SORATA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,16,16
SUCRE,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,1,1
TACACOMA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,14,14
TAPACARI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,21,21
TARACO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,8,8
TARATA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,11,11
TARIJA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,10,10
TINGUIPAYA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,4,4
TIRAQUE (CBBA),actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,7,7
TITO YUPANQUI (PARQUIPUJIO),actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,1,1
TOCO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,1,1
TOLATA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,2,2
TOTORA(ORR),actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,8,8
TRIGAL,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,13,13
