municipality,group,variable,month,10.2. Nº de CAI de establecimiento,TOTAL
VILA VILA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,1,1
VILLA CHARCAS,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,2,2
VILLA MONTES,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,1,1
VILLA TUNARI,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,2,2
VILLA VACA GUZMAN (MUYUPAMPA),actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,1,1
VILLAZON,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,1,1
VITICHI,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,1,1
WARNES,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,8,8
YAPACANI,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,1,1
ACHACACHI,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,10,10
ACHOCALLA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,3,3
ALTO BENI,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,2,2
ANCORAIMES,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,3,3
ANTEQUERA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,2,2
ANZALDO,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,1,1
APOLO,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,2,2
ARANI,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,5,5
ARBIETO,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,1,1
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,1,1
AUCAPATA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,6,6
AYATA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,3,3
AYO AYO,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,1,1
BETANZOS,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,3,3
BOYUIBE,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,1,1
BUENA VISTA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,3,3
CABEZAS,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,4,4
CAJUATA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,2,2
CALAMARCA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,5,5
CAMIRI,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,1,1
CAPINOTA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,1,1
CARACOLLO,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,4,4
CHARAGUA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,2,2
CHAYANTA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,1,1
CHIPAYA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,1,1
CHUA COCANI,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,1,1
CHUMA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,7,7
CHUQUIHUTA AYLLU JUCUMANI,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,1,1
CLIZA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,1,1
COBIJA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,3,3
COCAPATA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,1,1
COCHABAMBA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,3,3
COLOMI,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,1,1
COLPA BELGICA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,1,1
COLQUENCHA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,3,3
COLQUIRI,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,1,1
COMBAYA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,3,3
CONCEPCION,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,3,3
COPACABANA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,1,1
CORIPATA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,1,1
COROICO,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,1,1
CORQUE,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,1,1
COTAGAITA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,3,3
COTOCA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,4,4
CUATRO CAÑADAS,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,3,3
CUEVO,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,1,1
CULPINA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,1,1
DESAGUADERO,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,1,1
EL ALTO,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,51,51
EL TORNO,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,6,6
ESCOMA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,1,1
EUCALIPTUS,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,1,1
FERNANDEZ ALONSO,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,4,4
GENERAL SAAVEDRA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,2,2
GRAL. J.J. PEREZ (CHARAZANI),actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,6,6
GUANAY,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,2,2
GUAQUI,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,3,3
GUAYARAMERIN,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,4,4
GUTIERREZ,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,3,3
HUARINA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,1,1
HUATAJATA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,2,2
HUMANATA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,1,1
ICHOCA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,3,3
INQUISIVI,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,1,1
IRUPANA (VILLA DE LANZA),actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,1,1
JESUS DE MACHACA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,2,2
LA GUARDIA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,1,1
LA PAZ,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,45,45
LAGUNILLAS,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,2,2
LAJA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,1,1
LICOMA PAMPA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,1,1
MACHACAMARCA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,1,1
MAGDALENA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,1,1
MAPIRI,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,2,2
MONTERO,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,5,5
MORO MORO,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,2,2
MOROCHATA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,1,1
OKINAWA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,1,1
PADCAYA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,1,1
PAILON,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,1,1
PALOS BLANCOS,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,2,2
PAMPA GRANDE,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,1,1
PAPEL PAMPA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,2,2
PATACAMAYA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,3,3
POCONA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,9,9
POJO (CBBA),actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,2,2
PORCO,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,1,1
PORONGO,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,5,5
PORVENIR,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,1,1
POTOSI,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,10,10
PUCARANI,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,3,3
PUERTO ACOSTA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,1,1
PUERTO PEREZ,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,4,4
PUERTO VILLARROEL,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,11,11
QUIABAYA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,1,1
QUILLACOLLO,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,4,4
QUIME,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,1,1
RIBERALTA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,5,5
SACABA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,6,6
SACABAMBA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,1,1
SALINAS DE GARCI MENDOZA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,2,2
SAN AGUSTIN,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,2,2
SAN ANTONIO DE LOMERIO,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,1,1
SAN BORJA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,1,1
SAN CARLOS,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,2,2
SAN IGNACIO DE VELASCO,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,3,3
SAN JAVIER(STC),actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,1,1
SAN JUAN DE YAPACANI,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,1,1
SAN JULIAN,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,15,15
SAN LUCAS,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,1,1
SAN MATIAS,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,1,1
SAN PEDRO,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,4,4
SAN PEDRO DE BUENA VISTA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,1,1
SAN RAMON BENI,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,1,1
SAN RAMON SCZ,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,1,1
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,32,32
SANTA ROSA DEL SARA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,2,2
SANTIAGO DE CALLAPA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,2,2
SANTIAGO DE HUARI,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,1,1
SANTIAGO DE HUATA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,2,2
SENA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,1,1
SHINAOTA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,1,1
SICA SICA (VILLA AROMA),actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,4,4
SORACACHI,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,1,1
SORATA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,3,3
SUCRE,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,1,1
TACACOMA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-02-01,1,1
