municipality,group,variable,month,10.8. N° de autoevaluciones para acreditación del establecimiento,TOTAL
TUPIZA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-01-01,1,1
VILLA TUNARI,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-01-01,1,1
WARNES,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-01-01,1,1
YUNCHARA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-01-01,1,1
ZUDAÑEZ,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-01-01,1,1
ACHACACHI,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-02-01,2,2
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-02-01,1,1
ATOCHA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-02-01,1,1
BUENA VISTA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-02-01,1,1
"CAIZA ""D""",actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-02-01,4,4
CARAPARI,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-02-01,2,2
CHARAGUA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-02-01,4,4
CHUA COCANI,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-02-01,1,1
COCHABAMBA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-02-01,1,1
COLQUECHACA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-02-01,1,1
COMBAYA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-02-01,1,1
CUATRO CAÑADAS,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-02-01,6,6
EL ALTO,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-02-01,6,6
HUARINA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-02-01,1,1
HUATAJATA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-02-01,1,1
ICLA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-02-01,1,1
LA PAZ,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-02-01,1,1
LAGUNILLAS,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-02-01,1,1
MACHARETI,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-02-01,3,3
MOJOCOYA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-02-01,1,1
MONTERO,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-02-01,2,2
POCOATA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-02-01,1,1
POTOSI,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-02-01,1,1
PRESTO,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-02-01,1,1
PUERTO ACOSTA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-02-01,1,1
PUERTO CARABUCO,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-02-01,1,1
RAVELO,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-02-01,1,1
SAN BENITO,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-02-01,1,1
SAN IGNACIO DE VELASCO,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-02-01,1,1
SAN JUAN DE YAPACANI,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-02-01,9,9
SAN JULIAN,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-02-01,2,2
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-02-01,2,2
SHINAOTA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-02-01,2,2
SORATA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-02-01,1,1
SUCRE,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-02-01,1,1
TACACOMA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-02-01,1,1
TAHUA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-02-01,2,2
TINGUIPAYA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-02-01,3,3
TOLATA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-02-01,1,1
TOLEDO,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-02-01,13,13
TORO TORO,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-02-01,1,1
YACO,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-02-01,1,1
ACACIO,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-03-01,1,1
APOLO,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-03-01,1,1
ARAMPAMPA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-03-01,1,1
ATOCHA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-03-01,1,1
AYATA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-03-01,2,2
BERMEJO,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-03-01,5,5
CARAPARI,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-03-01,2,2
CHALLAPATA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-03-01,1,1
CHARAGUA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-03-01,1,1
CKOCHAS,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-03-01,3,3
CLIZA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-03-01,1,1
COCHABAMBA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-03-01,2,2
COLQUECHACA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-03-01,3,3
EL ALTO,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-03-01,1,1
ENTRE RIOS TRJ,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-03-01,1,1
ESCOMA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-03-01,1,1
HUACARETA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-03-01,1,1
HUANUNI,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-03-01,1,1
HUARINA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-03-01,1,1
HUATAJATA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-03-01,1,1
INCAHUASI,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-03-01,1,1
LA PAZ,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-03-01,4,4
LLALLAGUA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-03-01,1,1
MONTERO,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-03-01,5,5
PADCAYA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-03-01,1,1
POCOATA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-03-01,1,1
PUNA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-03-01,3,3
SAN IGNACIO DE VELASCO,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-03-01,1,1
SAN JUAN DE YAPACANI,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-03-01,1,1
SAN PEDRO,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-03-01,1,1
SAN PEDRO DE BUENA VISTA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-03-01,1,1
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-03-01,7,7
SANTIVAÑES,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-03-01,2,2
SHINAOTA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-03-01,1,1
SORATA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-03-01,1,1
SUCRE,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-03-01,2,2
TAPACARI,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-03-01,1,1
TARIJA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-03-01,5,5
TINGUIPAYA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-03-01,1,1
TOMAVE,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-03-01,1,1
TORO TORO,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-03-01,2,2
UNCIA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-03-01,2,2
YACUIBA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-03-01,3,3
APOLO,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-04-01,1,1
ARAMPAMPA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-04-01,1,1
AZURDUY,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-04-01,1,1
CARAPARI,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-04-01,3,3
CHARAGUA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-04-01,1,1
CKOCHAS,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-04-01,1,1
COCHABAMBA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-04-01,1,1
CUEVO,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-04-01,1,1
EL ALTO,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-04-01,3,3
EL PUENTE(TJA),actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-04-01,1,1
GENERAL SAAVEDRA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-04-01,1,1
HUACARETA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-04-01,2,2
HUANUNI,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-04-01,1,1
LA PAZ,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-04-01,6,6
LLALLAGUA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-04-01,1,1
MACHARETI,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-04-01,1,1
MOCOMOCO,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-04-01,1,1
MOJINETE,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-04-01,3,3
MONTEAGUDO,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-04-01,2,2
MONTERO,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-04-01,2,2
PADCAYA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-04-01,1,1
PADILLA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-04-01,2,2
PAZÑA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-04-01,2,2
PUERTO RICO,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-04-01,1,1
RAVELO,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-04-01,1,1
SACABA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-04-01,1,1
SACACA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-04-01,2,2
SAN ANDRES DE MACHACA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-04-01,1,1
SAN JULIAN,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-04-01,80,80
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-04-01,1,1
SANTUARIO DE QUILLACAS,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-04-01,2,2
SHINAOTA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-04-01,1,1
SORATA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-04-01,1,1
SUCRE,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-04-01,10,10
TAPACARI,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-04-01,2,2
TARIJA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-04-01,6,6
TEOPONTE,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-04-01,2,2
TINGUIPAYA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-04-01,2,2
TODOS SANTOS,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-04-01,1,1
TOMAVE,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-04-01,1,1
TORO TORO,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-04-01,1,1
TRIGAL,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-04-01,3,3
TUPIZA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-04-01,1,1
UNCIA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-04-01,1,1
YACUIBA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-04-01,3,3
YAMPARAEZ,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-04-01,1,1
YAPACANI,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-04-01,205,205
YOCALLA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-04-01,5,5
ZUDAÑEZ,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-04-01,1,1
ATOCHA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-05-01,1,1
AZURDUY,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-05-01,2,2
BERMEJO,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-05-01,3,3
"CAIZA ""D""",actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-05-01,1,1
CAMARGO,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-05-01,1,1
CARACOLLO,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-05-01,3,3
CARAPARI,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-05-01,1,1
CHARAGUA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-05-01,1,1
CHIMORE,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-05-01,1,1
COCHABAMBA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-05-01,5,5
COLCAPIRHUA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-05-01,1,1
COTAGAITA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-05-01,1,1
CULPINA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-05-01,1,1
EL ALTO,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-05-01,2,2
EL PUENTE(TJA),actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-05-01,1,1
EL TORNO,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-05-01,3,3
EL VILLAR,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-05-01,1,1
GRAL. J.J. PEREZ (CHARAZANI),actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-05-01,1,1
HUATAJATA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-05-01,1,1
LA PAZ,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-05-01,12,12
MACHARETI,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-05-01,1,1
MALLA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-05-01,1,1
MOJOCOYA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-05-01,1,1
MONTEAGUDO,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-05-01,3,3
MONTERO,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-05-01,3,3
MOROCHATA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-05-01,1,1
PADCAYA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-05-01,1,1
PADILLA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-05-01,3,3
POROMA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-05-01,10,10
PORONGO,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-05-01,1,1
PUCARANI,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-05-01,1,1
PUERTO SUAREZ,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-05-01,1,1
PUNA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-05-01,8,8
SAN BENITO,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-05-01,4,4
SAN CARLOS,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-05-01,13,13
SAN IGNACIO DE VELASCO,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-05-01,1,1
SAN JUAN DE YAPACANI,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-05-01,1,1
SAN PEDRO,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-05-01,1,1
SANTA ANA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-05-01,1,1
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-05-01,1,1
SANTUARIO DE QUILLACAS,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-05-01,1,1
SHINAOTA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-05-01,1,1
SOPACHUY,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-05-01,2,2
SORACACHI,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-05-01,2,2
SORATA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-05-01,1,1
SUCRE,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-05-01,2,2
TAPACARI,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-05-01,2,2
TARIJA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-05-01,1,1
TARVITA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-05-01,3,3
TINGUIPAYA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-05-01,1,1
TOMINA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-05-01,2,2
UYUNI,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-05-01,1,1
VILLA CHARCAS,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-05-01,1,1
VILLAZON,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-05-01,1,1
YAMPARAEZ,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-05-01,3,3
YOCALLA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-05-01,1,1
YUNCHARA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-05-01,1,1
ZUDAÑEZ,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-05-01,1,1
ACACIO,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-06-01,1,1
ANZALDO,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-06-01,2,2
ARQUE,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-06-01,2,2
AZURDUY,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-06-01,1,1
BERMEJO,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-06-01,2,2
BOLIVAR,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-06-01,1,1
CALAMARCA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-06-01,1,1
CAMARGO,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-06-01,1,1
