municipality,group,variable,month,10.9. Nº. De actividades educativas en Salud,TOTAL
CAMARGO,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,18,18
CAMATAQUI (C. VILLA ABECIA),actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,10,10
CAMIRI,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,27,27
CAPINOTA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,27,27
CAQUIAVIRI,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,8,8
CARACOLLO,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,13,13
CARANAVI,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,4,4
CARAPARI,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,1,1
CARIPUYO,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,2,2
CHACARILLA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,1,1
CHALLAPATA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,36,36
CHAQUI,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,5,5
CHARAGUA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,8,8
CHIMORE,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,10,10
CHIPAYA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,18,18
CHUA COCANI,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,9,9
CHULUMANI (V. DE LA LIBERTAD),actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,8,8
CKOCHAS,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,5,5
CLIZA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,2,2
COBIJA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,11,11
COCAPATA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,13,13
COCHABAMBA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,510,510
COIPASA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,2,2
"COLCHA ""K""",actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,69,69
COLLANA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,4,4
COLOMI,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,8,8
COLPA BELGICA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,1,1
COLQUECHACA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,16,16
COMARAPA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,13,13
COMBAYA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,3,3
CONCEPCION,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,6,6
CORO CORO,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,1,1
CORQUE,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,18,18
COTAGAITA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,20,20
CRUZ DE MACHACAMARCA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,3,3
CUATRO CAÑADAS,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,8,8
CUEVO,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,2,2
CULPINA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,11,11
CURAHUARA DE CARANGAS,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,1,1
CURVA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,1,1
DESAGUADERO,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,4,4
EL ALTO,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,752,752
EL CHORO,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,5,5
EL PUENTE(STC),actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,10,10
EL PUENTE(TJA),actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,24,24
EL TORNO,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,17,17
EL VILLAR,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,12,12
ENTRE RIOS TRJ,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,10,10
ENTRE RIOS CBBA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,13,13
FERNANDEZ ALONSO,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,11,11
FILADELFIA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,2,2
GENERAL SAAVEDRA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,31,31
GRAL. J.J. PEREZ (CHARAZANI),actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,11,11
GUAQUI,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,1,1
GUAYARAMERIN,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,9,9
HUACARETA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,14,14
HUACAYA (VILLA DE HUACAYA),actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,4,4
HUACHACALLA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,31,31
HUANUNI,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,40,40
HUARINA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,4,4
HUATAJATA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,4,4
HUAYLLAMARCA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,82,82
ICLA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,17,17
INQUISIVI,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,2,2
IXIAMAS,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,6,6
JESUS DE MACHACA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,4,4
LA GUARDIA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,85,85
LA PAZ,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,120,120
LAGUNILLAS,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,6,6
LAJA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,9,9
LICOMA PAMPA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,7,7
LLALLAGUA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,10,10
LORETO,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,3,3
LURIBAY,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,1,1
MACHACAMARCA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,1,1
MACHARETI,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,32,32
MAGDALENA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,32,32
MAPIRI,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,4,4
MECAPACA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,9,9
MINEROS,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,2,2
MIZQUE,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,14,14
MOCOMOCO,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,6,6
MOJINETE,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,5,5
MOJOCOYA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,30,30
MONTEAGUDO,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,7,7
MONTERO,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,109,109
MORO MORO,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,12,12
MOROCHATA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,2,2
NUEVO MANOA (NUEVA ESPERANZA),actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,9,9
OCURI,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,26,26
OKINAWA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,15,15
OMEREQUE,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,1,1
ORURO,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,292,292
PADCAYA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,34,34
PADILLA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,34,34
PAILON,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,1,1
PALCA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,6,6
PAMPA AULLAGAS,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,3,3
PAPEL PAMPA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,1,1
PATACAMAYA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,7,7
PAZÑA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,7,7
POCOATA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,2,2
POCONA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,8,8
POJO (CBBA),actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,3,3
POROMA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,10,10
PORONGO,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,4,4
POTOSI,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,66,66
PRESTO,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,23,23
PUCARANI,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,25,25
PUERTO ACOSTA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,5,5
PUERTO CARABUCO,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,10,10
PUERTO PEREZ,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,25,25
PUERTO VILLARROEL,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,25,25
PUNA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,26,26
PUNATA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,34,34
QUILLACOLLO,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,163,163
QUIME,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,5,5
QUIRUSILLAS,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,7,7
RAVELO,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,22,22
REYES,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,1,1
RIBERALTA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,3,3
ROBORE,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,10,10
SABAYA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,5,5
SACABA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,67,67
SACABAMBA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,6,6
SACACA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,58,58
SAIPINA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,13,13
SALINAS DE GARCI MENDOZA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,23,23
SAMAIPATA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,8,8
SAN AGUSTIN,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,1,1
SAN ANDRES,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,2,2
SAN ANDRES DE MACHACA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,8,8
SAN ANTONIO DE LOMERIO,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,1,1
SAN BENITO,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,11,11
SAN BORJA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,5,5
SAN BUENA VENTURA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,2,2
SAN CARLOS,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,11,11
SAN IGNACIO,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,14,14
SAN IGNACIO DE VELASCO,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,60,60
SAN JOSE DE CHIQUITOS,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,11,11
SAN JUAN DE YAPACANI,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,165,165
SAN JULIAN,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,75,75
SAN LORENZO(TJA),actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,8,8
SAN LUCAS,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,32,32
SAN MATIAS,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,2,2
SAN MIGUEL DE VELASCO,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,18,18
SAN PABLO DE LIPEZ,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,2,2
SAN PEDRO,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,6,6
SAN PEDRO DE BUENA VISTA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,9,9
SANTA ANA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,2,2
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,287,287
SANTA ROSA DEL SARA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,1,1
SANTIAGO DE CALLAPA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,4,4
SANTIAGO DE HUARI,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,2,2
SANTIAGO DE HUATA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,16,16
SANTIAGO DE MACHACA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,6,6
SANTIVAÑES,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,13,13
SANTUARIO DE QUILLACAS,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,8,8
SAPAHAQUI,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,5,5
SHINAOTA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,6,6
SICA SICA (VILLA AROMA),actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,36,36
SICAYA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,10,10
SIPE SIPE,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,3,3
SOPACHUY,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,10,10
SORACACHI,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,28,28
SORATA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,38,38
SUCRE,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,141,141
TACACOMA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,1,1
TACOPAYA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,7,7
TAPACARI,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,25,25
TARABUCO,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,36,36
TARATA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,2,2
TARIJA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,1030,1030
TARVITA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,70,70
TIAWANACU,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,2,2
TINGUIPAYA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,4,4
TIQUIPAYA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,47,47
TIRAQUE (CBBA),actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,1,1
TOLATA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,20,20
TOLEDO,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,6,6
TOMINA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,15,15
TORO TORO,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,34,34
TOTORA(CBBA),actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,4,4
TOTORA(ORR),actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,47,47
TRINIDAD,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,134,134
TUPIZA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,1,1
TURCO,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,6,6
UMALA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,5,5
URIONDO (A. CONCEPCION),actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,29,29
URUBICHA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,6,6
VACAS,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,9,9
VALLEGRANDE,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,6,6
VIACHA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,56,56
VILA VILA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,2,2
VILLA CHARCAS,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,9,9
VILLA MONTES,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,4,4
VILLA RIVERO,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,12,12
VILLA SERRANO,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,17,17
VILLA TUNARI,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,36,36
VILLAZON,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,14,14
VINTO,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,7,7
VITICHI,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,11,11
WALDO BALLIVIAN,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,3,3
WARNES,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,8,8
YACO,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,1,1
YACUIBA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,63,63
YAMPARAEZ,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,6,6
YAPACANI,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,91,91
YOCALLA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,1,1
YOTALA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,24,24
YUNCHARA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,41,41
ZUDAÑEZ,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,38,38
ACACIO,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-02-01,7,7
ACHACACHI,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-02-01,17,17
ACHOCALLA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-02-01,15,15
AIQUILE,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-02-01,51,51
ALALAY,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-02-01,9,9
ALCALA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-02-01,22,22
ALTO BENI,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-02-01,6,6
ANCORAIMES,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-02-01,8,8
ANDAMARCA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-02-01,17,17
ANTEQUERA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-02-01,3,3
ANZALDO,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-02-01,14,14
APOLO,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-02-01,5,5
ARAMPAMPA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-02-01,1,1
ARANI,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-02-01,7,7
ARBIETO,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-02-01,7,7
ARQUE,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-02-01,5,5
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-02-01,16,16
ATOCHA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-02-01,18,18
AUCAPATA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-02-01,2,2
AYO AYO,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-02-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-02-01,5,5
AZURDUY,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-02-01,33,33
BAURES,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-02-01,1,1
BELEN DE ANDAMARCA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-02-01,12,12
BERMEJO,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-02-01,20,20
BETANZOS,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-02-01,24,24
BOLIVAR,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-02-01,3,3
BOYUIBE,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-02-01,4,4
