municipality,group,variable,month,10.7. N° de auditorias internas en salud en aplicación de norma técnica,TOTAL
TACOPAYA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-04-01,1,1
TARABUCO,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-04-01,3,3
TARIJA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-04-01,4,4
TINGUIPAYA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-04-01,2,2
TODOS SANTOS,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-04-01,1,1
TOMAVE,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-04-01,1,1
YACUIBA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-04-01,5,5
YOCALLA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-04-01,3,3
YOTALA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-04-01,1,1
ZUDAÑEZ,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-04-01,3,3
ALCALA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-05-01,2,2
BERMEJO,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-05-01,3,3
CAIROMA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-05-01,1,1
CAMARGO,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-05-01,1,1
CARAPARI,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-05-01,1,1
COLCAPIRHUA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-05-01,11,11
CULPINA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-05-01,1,1
EL ALTO,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-05-01,3,3
EL PUENTE(TJA),actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-05-01,3,3
HUACARETA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-05-01,1,1
HUAYLLAMARCA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-05-01,1,1
INGAVI (HUMAITA),actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-05-01,4,4
LA PAZ,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-05-01,7,7
MACHARETI,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-05-01,1,1
MOJOCOYA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-05-01,1,1
MONTEAGUDO,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-05-01,1,1
POJO (CBBA),actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-05-01,1,1
SAN CARLOS,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-05-01,3,3
SAN IGNACIO DE VELASCO,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-05-01,1,1
SAN LORENZO(TJA),actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-05-01,2,2
SAN MATIAS,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-05-01,1,1
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-05-01,5,5
SUCRE,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-05-01,30,30
TAPACARI,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-05-01,1,1
TARIJA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-05-01,8,8
TARVITA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-05-01,2,2
TIAWANACU,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-05-01,3,3
TIQUIPAYA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-05-01,2,2
TOMINA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-05-01,4,4
URIONDO (A. CONCEPCION),actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-05-01,1,1
VALLEGRANDE,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-05-01,1,1
VILLA CHARCAS,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-05-01,1,1
YACUIBA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-05-01,2,2
YAMPARAEZ,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-05-01,3,3
ALCALA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-06-01,2,2
BELEN DE ANDAMARCA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-06-01,1,1
BERMEJO,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-06-01,4,4
BUENA VISTA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-06-01,1,1
CHAQUI,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-06-01,1,1
COLQUECHACA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-06-01,5,5
COTOCA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-06-01,1,1
EL ALTO,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-06-01,2,2
EL PUENTE(TJA),actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-06-01,1,1
ENTRE RIOS TRJ,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-06-01,1,1
LA PAZ,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-06-01,6,6
MACHARETI,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-06-01,2,2
MIZQUE,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-06-01,19,19
MONTEAGUDO,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-06-01,1,1
PAILON,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-06-01,1,1
POROMA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-06-01,1,1
QUILLACOLLO,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-06-01,1,1
SAN LUCAS,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-06-01,1,1
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-06-01,3,3
SOPACHUY,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-06-01,1,1
SUCRE,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-06-01,32,32
TARABUCO,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-06-01,1,1
TARIJA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-06-01,5,5
TEOPONTE,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-06-01,1,1
TIAWANACU,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-06-01,1,1
TODOS SANTOS,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-06-01,2,2
VILLA CHARCAS,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-06-01,1,1
VILLA SERRANO,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-06-01,5,5
VILLAZON,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-06-01,2,2
YACUIBA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-06-01,54,54
YAMPARAEZ,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-06-01,2,2
CARAPARI,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-07-01,1,1
COCAPATA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-07-01,8,8
COLOMI,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-07-01,21,21
CUATRO CAÑADAS,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-07-01,2,2
EL ALTO,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-07-01,4,4
EL PUENTE(TJA),actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-07-01,9,9
EL TORNO,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-07-01,1,1
FERNANDEZ ALONSO,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-07-01,1,1
HUACARETA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-07-01,1,1
INGAVI (HUMAITA),actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-07-01,2,2
IXIAMAS,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-07-01,1,1
LA PAZ,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-07-01,4,4
MONTEAGUDO,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-07-01,2,2
MONTERO,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-07-01,2,2
ORURO,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-07-01,7,7
PADCAYA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-07-01,3,3
PUERTO PEREZ,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-07-01,5,5
QUILLACOLLO,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-07-01,1,1
SAN CARLOS,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-07-01,1,1
SAN LORENZO(TJA),actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-07-01,5,5
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-07-01,2,2
SIPE SIPE,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-07-01,1,1
SOPACHUY,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-07-01,1,1
SUCRE,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-07-01,33,33
TARABUCO,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-07-01,1,1
TARIJA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-07-01,4,4
TARVITA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-07-01,1,1
TOMINA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-07-01,1,1
URIONDO (A. CONCEPCION),actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-07-01,5,5
VALLEGRANDE,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-07-01,1,1
VIACHA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-07-01,4,4
YACUIBA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-07-01,5,5
ZUDAÑEZ,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-07-01,1,1
AUCAPATA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-08-01,1,1
BERMEJO,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-08-01,9,9
CAMARGO,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-08-01,1,1
CLIZA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-08-01,1,1
EL ALTO,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-08-01,5,5
EL PUENTE(TJA),actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-08-01,1,1
ICLA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-08-01,5,5
LA PAZ,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-08-01,29,29
MACHARETI,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-08-01,1,1
MOJOCOYA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-08-01,4,4
OCURI,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-08-01,1,1
PADCAYA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-08-01,1,1
PUNA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-08-01,1,1
SAN BUENA VENTURA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-08-01,1,1
SAN IGNACIO DE VELASCO,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-08-01,1,1
SAN LORENZO(TJA),actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-08-01,12,12
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-08-01,1,1
SENA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-08-01,1,1
SOPACHUY,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-08-01,3,3
SUCRE,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-08-01,20,20
TARIJA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-08-01,5,5
TINGUIPAYA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-08-01,2,2
UMALA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-08-01,1,1
URIONDO (A. CONCEPCION),actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-08-01,1,1
YACUIBA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-08-01,8,8
YAMPARAEZ,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-08-01,1,1
YANACACHI,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-08-01,3,3
YUNCHARA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-08-01,1,1
ALCALA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-09-01,1,1
CAMARGO,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-09-01,1,1
CLIZA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-09-01,2,2
COLQUECHACA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-09-01,1,1
EL ALTO,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-09-01,1,1
EXALTACION,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-09-01,12,12
FERNANDEZ ALONSO,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-09-01,1,1
ICLA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-09-01,3,3
LA PAZ,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-09-01,9,9
MACHARETI,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-09-01,1,1
MOJOCOYA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-09-01,2,2
PADILLA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-09-01,1,1
PORCO,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-09-01,1,1
QUILLACOLLO,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-09-01,11,11
QUIME,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-09-01,5,5
SAN IGNACIO DE VELASCO,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-09-01,1,1
