municipality,group,variable,month,10.4. N° de reuniones realizadas con Comités Loc. De Salud/Consejo Mun. De Salud,TOTAL
GENERAL SAAVEDRA,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,4,4
GUAYARAMERIN,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,2,2
HUACARETA,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,2,2
ICHOCA,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,1,1
IXIAMAS,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,8,8
JESUS DE MACHACA,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,1,1
LA PAZ,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,17,17
LLALLAGUA,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,2,2
LORETO,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,3,3
MACHARETI,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,1,1
MAIRANA,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,1,1
MIZQUE,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,1,1
MOJINETE,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,1,1
MONTEAGUDO,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,6,6
MONTERO,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,2,2
MOROCHATA,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,5,5
PADCAYA,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,3,3
PAILON,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,1,1
PALCA,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,1,1
PALOS BLANCOS,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,3,3
PASORAPA,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,1,1
PATACAMAYA,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,1,1
PAZÑA,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,3,3
POCOATA,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,2,2
POCONA,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,4,4
POROMA,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,1,1
PORONGO,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,1,1
PORTACHUELO,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,1,1
POTOSI,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,2,2
PUERTO ACOSTA,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,2,2
PUERTO CARABUCO,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,1,1
PUERTO RICO,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,6,6
PUERTO VILLARROEL,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,10,10
PUNA,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,11,11
PUNATA,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,1,1
QUILLACOLLO,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,6,6
RAVELO,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,3,3
REYES,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,1,1
RIBERALTA,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,2,2
SABAYA,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,1,1
SACABA,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,4,4
SACABAMBA,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,1,1
SACACA,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,1,1
SALINAS DE GARCI MENDOZA,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,4,4
SAN AGUSTIN,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,3,3
SAN ANDRES,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,2,2
SAN ANTONIO DE LOMERIO,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,1,1
SAN BENITO,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,2,2
SAN BORJA,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,4,4
SAN BUENA VENTURA,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,1,1
SAN CARLOS,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,2,2
SAN IGNACIO,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,3,3
SAN JUAN DE YAPACANI,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,2,2
SAN JULIAN,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,3,3
SAN LORENZO(PND),actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,1,1
SAN LUCAS,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,11,11
SAN MATIAS,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,1,1
SAN PABLO DE LIPEZ,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,1,1
SAN PEDRO,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,1,1
SAN PEDRO DE CURAHUARA,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,1,1
SAN RAMON SCZ,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,1,1
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,4,4
SANTIAGO DE CALLAPA,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,2,2
SANTIAGO DE HUARI,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,3,3
SANTIAGO DE MACHACA,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,1,1
SANTUARIO DE QUILLACAS,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,2,2
SICA SICA (VILLA AROMA),actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,1,1
SORACACHI,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,1,1
SORATA,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,1,1
SUCRE,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,5,5
TACACOMA,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,2,2
TACOPAYA,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,2,2
TAPACARI,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,3,3
TARABUCO,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,1,1
TARACO,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,1,1
TARIJA,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,11,11
TARVITA,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,4,4
TINGUIPAYA,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,2,2
TIQUIPAYA,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,5,5
TIRAQUE (CBBA),actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,1,1
TOLATA,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,1,1
TOMAVE,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,2,2
TORO TORO,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,2,2
TOTORA(CBBA),actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,3,3
TOTORA(ORR),actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,1,1
TRIGAL,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,2,2
TRINIDAD,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,4,4
TUPIZA,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,1,1
VALLEGRANDE,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,10,10
VIACHA,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,2,2
VILLA CHARCAS,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,1,1
VILLA MONTES,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,4,4
VILLA TUNARI,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,3,3
VITICHI,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,8,8
WALDO BALLIVIAN,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,2,2
WARNES,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,3,3
YACUIBA,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,1,1
YAPACANI,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,1,1
YOCALLA,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,1,1
ACHACACHI,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-02-01,1,1
ALALAY,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-02-01,1,1
ANDAMARCA,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-02-01,2,2
ANTEQUERA,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-02-01,1,1
APOLO,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-02-01,1,1
ARBIETO,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-02-01,3,3
ATOCHA,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-02-01,6,6
AYATA,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-02-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-02-01,1,1
BELEN DE ANDAMARCA,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-02-01,3,3
BERMEJO,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-02-01,7,7
BETANZOS,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-02-01,8,8
BUENA VISTA,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-02-01,1,1
CABEZAS,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-02-01,1,1
"CAIZA ""D""",actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-02-01,10,10
CALAMARCA,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-02-01,2,2
CAMARGO,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-02-01,4,4
CAPINOTA,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-02-01,2,2
CARACOLLO,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-02-01,2,2
CARANAVI,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-02-01,2,2
CARAPARI,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-02-01,4,4
CHALLAPATA,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-02-01,1,1
CHAQUI,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-02-01,5,5
CHAYANTA,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-02-01,2,2
CHIMORE,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-02-01,3,3
CHIPAYA,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-02-01,1,1
CHUA COCANI,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-02-01,1,1
CHUMA,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-02-01,2,2
CKOCHAS,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-02-01,6,6
CLIZA,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-02-01,2,2
COCAPATA,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-02-01,4,4
COCHABAMBA,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-02-01,10,10
"COLCHA ""K""",actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-02-01,2,2
COLQUECHACA,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-02-01,2,2
COMBAYA,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-02-01,1,1
CONCEPCION,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-02-01,14,14
CORQUE,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-02-01,2,2
COTAGAITA,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-02-01,7,7
COTOCA,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-02-01,1,1
CUATRO CAÑADAS,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-02-01,3,3
CUCHUMUELA (V. G. VILLARROEL),actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-02-01,1,1
CULPINA,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-02-01,5,5
EL ALTO,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-02-01,19,19
EL TORNO,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-02-01,8,8
ENTRE RIOS CBBA,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-02-01,4,4
FERNANDEZ ALONSO,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-02-01,3,3
GENERAL SAAVEDRA,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-02-01,1,1
GUTIERREZ,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-02-01,1,1
HUACARETA,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-02-01,3,3
HUANUNI,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-02-01,1,1
HUATAJATA,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-02-01,1,1
ICHOCA,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-02-01,1,1
IXIAMAS,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-02-01,1,1
JESUS DE MACHACA,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-02-01,2,2
LA PAZ,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-02-01,13,13
LAJA,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-02-01,1,1
LORETO,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-02-01,5,5
MAPIRI,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-02-01,2,2
MECAPACA,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-02-01,1,1
MINEROS,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-02-01,1,1
MIZQUE,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-02-01,1,1
