municipality,group,variable,month,10.1. Nº de actividades realizadas con participación de la comunidad,TOTAL
BOLPEBRA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,1,1
BOYUIBE,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,6,6
BUENA VISTA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,2,2
CABEZAS,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,8,8
"CAIZA ""D""",actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,17,17
CALAMARCA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,13,13
CAMARGO,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,41,41
CAMATAQUI (C. VILLA ABECIA),actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,11,11
CAMIRI,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,28,28
CAPINOTA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,15,15
CARACOLLO,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,30,30
CARANAVI,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,8,8
CARAPARI,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,10,10
CARIPUYO,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,22,22
CHALLAPATA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,47,47
CHAQUI,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,19,19
CHARAGUA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,13,13
CHAYANTA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,2,2
CHIMORE,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,12,12
CHIPAYA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,1,1
CHUA COCANI,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,3,3
CHUMA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,20,20
CKOCHAS,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,14,14
CLIZA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,4,4
COCAPATA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,35,35
COCHABAMBA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,92,92
COIPASA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,1,1
COLCAPIRHUA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,2,2
"COLCHA ""K""",actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,1,1
COLOMI,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,1,1
COLQUECHACA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,35,35
COLQUENCHA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,1,1
COLQUIRI,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,23,23
COMARAPA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,7,7
COMBAYA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,7,7
CONCEPCION,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,10,10
CORIPATA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,1,1
CORQUE,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,21,21
COTAGAITA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,34,34
COTOCA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,3,3
CRUZ DE MACHACAMARCA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,1,1
CUATRO CAÑADAS,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,13,13
CUCHUMUELA (V. G. VILLARROEL),actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,6,6
CUEVO,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,1,1
CULPINA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,46,46
CURAHUARA DE CARANGAS,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,3,3
DESAGUADERO,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,5,5
EL ALTO,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,63,63
EL CHORO,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,5,5
EL PUENTE(STC),actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,12,12
EL PUENTE(TJA),actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,43,43
EL TORNO,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,10,10
EL VILLAR,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,16,16
ENTRE RIOS TRJ,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,84,84
ENTRE RIOS CBBA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,5,5
ESCARA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,7,7
FERNANDEZ ALONSO,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,3,3
FILADELFIA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,6,6
GENERAL SAAVEDRA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,74,74
GRAL. J.J. PEREZ (CHARAZANI),actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,11,11
GUANAY,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,10,10
GUAQUI,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,3,3
GUAYARAMERIN,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,21,21
HUACARETA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,20,20
HUACAYA (VILLA DE HUACAYA),actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,20,20
HUACHACALLA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,2,2
HUANUNI,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,7,7
HUATAJATA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,4,4
HUAYLLAMARCA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,7,7
ICHOCA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,3,3
ICLA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,19,19
INCAHUASI,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,14,14
INQUISIVI,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,12,12
IRUPANA (VILLA DE LANZA),actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,19,19
IXIAMAS,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,1,1
JESUS DE MACHACA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,27,27
LA ASUNTA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,2,2
LA GUARDIA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,6,6
LA PAZ,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,156,156
LAGUNILLAS,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,8,8
LAJA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,8,8
LAS CARRERAS,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,11,11
LICOMA PAMPA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,5,5
LLALLAGUA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,7,7
LLICA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,1,1
LORETO,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,7,7
LURIBAY,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,1,1
MACHARETI,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,17,17
MAGDALENA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,35,35
MAPIRI,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,2,2
MECAPACA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,4,4
MINEROS,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,1,1
MIZQUE,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,26,26
MOCOMOCO,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,11,11
MOJINETE,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,5,5
MOJOCOYA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,30,30
MONTEAGUDO,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,38,38
MONTERO,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,22,22
MORO MORO,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,13,13
MOROCHATA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,13,13
NUEVO MANOA (NUEVA ESPERANZA),actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,9,9
OCURI,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,34,34
OMEREQUE,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,3,3
ORURO,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,93,93
PADCAYA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,103,103
PADILLA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,43,43
PALCA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,3,3
PALOS BLANCOS,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,5,5
PAMPA GRANDE,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,1,1
PASORAPA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,8,8
PATACAMAYA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,2,2
PAZÑA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,28,28
PELECHUCO,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,6,6
POCOATA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,7,7
POCONA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,4,4
POJO (CBBA),actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,6,6
POOPO,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,1,1
POROMA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,20,20
PORONGO,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,2,2
PORTACHUELO,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,6,6
PORVENIR,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,15,15
POSTRER VALLE,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,1,1
POTOSI,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,26,26
PRESTO,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,23,23
PUCARANI,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,15,15
PUERTO ACOSTA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,5,5
PUERTO CARABUCO,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,5,5
PUERTO GONZALO MORENO,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,1,1
PUERTO PEREZ,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,7,7
PUERTO VILLARROEL,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,19,19
PUNA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,34,34
PUNATA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,5,5
QUIABAYA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,18,18
QUILLACOLLO,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,17,17
QUIME,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,2,2
RAVELO,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,72,72
REYES,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,5,5
RIBERALTA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,16,16
ROBORE,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,1,1
SABAYA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,3,3
SACABA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,22,22
SACABAMBA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,5,5
SACACA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,80,80
SAIPINA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,9,9
SALINAS DE GARCI MENDOZA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,99,99
SAN ANDRES,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,2,2
SAN ANDRES DE MACHACA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,17,17
SAN ANTONIO DE ESMORUCO,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,1,1
SAN ANTONIO DE LOMERIO,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,28,28
SAN BENITO,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,11,11
SAN BORJA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,4,4
SAN BUENA VENTURA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,2,2
SAN CARLOS,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,3,3
SAN IGNACIO,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,9,9
SAN IGNACIO DE VELASCO,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,44,44
SAN JAVIER(BNI),actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,2,2
SAN JOSE DE CHIQUITOS,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,6,6
SAN JUAN DE YAPACANI,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,4,4
SAN JULIAN,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,25,25
SAN LORENZO(PND),actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,1,1
SAN LORENZO(TJA),actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,28,28
SAN LUCAS,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,47,47
SAN MATIAS,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,1,1
SAN MIGUEL DE VELASCO,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,3,3
SAN PABLO DE LIPEZ,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,5,5
SAN PEDRO,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,1,1
SAN PEDRO DE BUENA VISTA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,79,79
SAN PEDRO DE CURAHUARA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,1,1
SAN RAFAEL,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,3,3
SANTA ANA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,2,2
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,56,56
SANTIAGO DE CALLAPA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,10,10
SANTIAGO DE HUARI,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,17,17
SANTIAGO DE HUATA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,7,7
SANTIAGO DE MACHACA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,2,2
SANTIVAÑES,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,2,2
SANTUARIO DE QUILLACAS,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,9,9
SAPAHAQUI,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,4,4
SENA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,1,1
SHINAOTA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,17,17
SICA SICA (VILLA AROMA),actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,5,5
SICAYA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,3,3
SIPE SIPE,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,10,10
SOPACHUY,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,29,29
SORACACHI,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,42,42
SORATA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,42,42
SUCRE,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,52,52
TACACHI,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,2,2
TACACOMA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,4,4
TACOPAYA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,25,25
TAPACARI,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,27,27
TARABUCO,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,57,57
TARACO,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,12,12
TARATA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,3,3
TARIJA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,269,269
TARVITA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,50,50
TEOPONTE,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,1,1
TIAWANACU,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,2,2
TINGUIPAYA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,54,54
TIQUIPAYA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,45,45
TIRAQUE (CBBA),actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,14,14
TOLATA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,1,1
TOLEDO,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,12,12
TOMAVE,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,4,4
TOMINA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,21,21
TORO TORO,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,53,53
TOTORA(CBBA),actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,10,10
TOTORA(ORR),actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,8,8
TRIGAL,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,2,2
TRINIDAD,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,16,16
TUPIZA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,16,16
UMALA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,2,2
UNCIA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,12,12
URIONDO (A. CONCEPCION),actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,259,259
URUBICHA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,19,19
