,group,variable,month,L 20.1 DPT 5TA DOSIS CANTIDAD,L 20.1 DPT 5TA DOSIS CANTIDAD,TOTALES
SHINAOTA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,0,1,1
SICA SICA (VILLA AROMA),vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,6,20,26
SIPE SIPE,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,2,0,2
SORACACHI,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,0,8,8
SORATA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,15,5,20
SUCRE,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,61,18,79
TAPACARI,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,1,6,7
TARIJA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,22,1,23
TARVITA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,8,16,24
TIQUIPAYA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,3,0,3
TOTORA(CBBA),vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,3,0,3
TOTORA(ORR),vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,0,1,1
TRIGAL,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,0,6,6
TRINIDAD,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,16,0,16
URIONDO (A. CONCEPCION),vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,2,2,4
VALLEGRANDE,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,10,0,10
VIACHA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,1,0,1
VILLA CHARCAS,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,21,37,58
VILLA MONTES,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,3,1,4
VILLA SERRANO,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,3,0,3
VILLA TUNARI,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,2,0,2
VILLA VACA GUZMAN (MUYUPAMPA),vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,1,2,3
VILLAZON,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,12,0,12
WARNES,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,14,1,15
YACUIBA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,13,0,13
YAMPARAEZ,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,1,2,3
YUNCHARA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,0,1,1
ZUDAÑEZ,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,5,1,6
AIQUILE,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,0,17,17
ANTEQUERA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,0,1,1
ASCENCION DE GUARAYOS,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,1,0,1
ATOCHA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,0,3,3
AZURDUY,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,0,1,1
BELEN DE ANDAMARCA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,1,1,2
BELLA FLOR,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,0,5,5
BOLIVAR,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,0,1,1
CABEZAS,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,4,0,4
CAMARGO,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,7,2,9
CAMIRI,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,0,1,1
CAQUIAVIRI,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,2,0,2
CARAPARI,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,1,1,2
CATACORA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,1,1,2
CHALLAPATA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,0,2,2
CHAQUI,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,1,0,1
CHARAGUA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,0,1,1
CHIMORE,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,2,9,11
CHIPAYA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,1,15,16
COBIJA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,14,7,21
COCAPATA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,10,10,20
COCHABAMBA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,20,0,20
COLCAPIRHUA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,20,25,45
COLOMI,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,6,25,31
COLQUECHACA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,0,6,6
CORO CORO,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,7,4,11
COTAGAITA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,4,17,21
COTOCA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,13,0,13
CUEVO,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,3,8,11
CULPINA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,0,3,3
DESAGUADERO,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,3,1,4
EL ALTO,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,116,640,756
EL PUENTE(TJA),vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,2,0,2
EL TORNO,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,6,8,14
ENTRE RIOS TRJ,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,2,1,3
ENTRE RIOS CBBA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,10,27,37
FERNANDEZ ALONSO,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,7,0,7
FILADELFIA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,0,2,2
GUAYARAMERIN,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,11,7,18
HUACARETA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,2,0,2
HUANUNI,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,0,4,4
HUARINA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,2,2,4
ICHOCA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,0,1,1
ICLA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,0,4,4
INCAHUASI,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,1,0,1
IXIAMAS,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,7,0,7
JESUS DE MACHACA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,1,7,8
LA GUARDIA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,15,0,15
LA PAZ,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,61,139,200
LAGUNILLAS,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,1,15,16
LAJA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,0,1,1
LLALLAGUA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,0,1,1
MACHARETI,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,2,0,2
MAGDALENA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,7,0,7
MAIRANA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,4,0,4
MIZQUE,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,0,1,1
MONTEAGUDO,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,32,12,44
MONTERO,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,23,1,24
MOROCHATA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,3,7,10
OMEREQUE,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,0,5,5
ORURO,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,50,5,55
PADCAYA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,1,1,2
PADILLA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,11,2,13
PAILON,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,0,6,6
POCONA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,1,8,9
POJO (CBBA),vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,5,11,16
PORONGO,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,1,1,2
PORTACHUELO,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,4,0,4
POTOSI,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,19,0,19
PRESTO,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,19,12,31
PUERTO QUIJARRO,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,1,1,2
PUERTO SUAREZ,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,2,0,2
PUERTO VILLARROEL,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,4,20,24
PUNA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,7,3,10
PUNATA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,3,0,3
QUIABAYA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,0,4,4
QUILLACOLLO,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,13,27,40
RAVELO,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,0,4,4
REYES,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,3,0,3
RIBERALTA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,7,0,7
ROBORE,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,20,0,20
RURRENABAQUE,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,3,10,13
SACABA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,7,34,41
SAMAIPATA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,0,2,2
SAN AGUSTIN,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,3,0,3
SAN ANDRES,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,5,22,27
SAN ANDRES DE MACHACA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,1,1,2
SAN BORJA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,42,7,49
SAN IGNACIO,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,57,15,72
SAN IGNACIO DE VELASCO,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,25,1,26
SAN JOAQUIN,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,0,2,2
SAN JOSE DE CHIQUITOS,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,2,0,2
SAN JULIAN,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,1,4,5
SAN LORENZO(PND),vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,0,3,3
SAN LORENZO(TJA),vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,6,1,7
SAN LUCAS,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,3,7,10
SAN MATIAS,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,5,0,5
SAN MIGUEL DE VELASCO,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,13,7,20
SAN PEDRO DE TIQUINA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,1,14,15
SAN RAFAEL,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,4,0,4
SAN RAMON BENI,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,0,13,13
SANTA ANA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,3,0,3
SANTA CRUZ DE LA SIERRA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,94,14,108
SANTIAGO DE HUARI,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,0,1,1
SANTIAGO DE MACHACA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,4,0,4
SANTIVAÑES,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,0,1,1
SICA SICA (VILLA AROMA),vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,3,0,3
SIPE SIPE,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,1,4,5
SUCRE,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,27,4,31
TAPACARI,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,9,20,29
TARABUCO,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,0,6,6
TARIJA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,24,12,36
TARVITA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,20,10,30
TIQUIPAYA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,15,21,36
TOMAVE,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,0,5,5
TOMINA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,0,2,2
TOTORA(CBBA),vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,0,5,5
TRIGAL,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,0,1,1
TRINIDAD,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,18,6,24
TUPIZA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,12,27,39
URIONDO (A. CONCEPCION),vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,5,0,5
VALLEGRANDE,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,4,0,4
VIACHA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,2,1,3
VILA VILA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,4,13,17
VILLA CHARCAS,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,8,36,44
VILLA MONTES,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,7,3,10
VILLA TUNARI,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,4,4,8
VILLAZON,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,16,6,22
WARNES,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,15,0,15
YACUIBA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,19,3,22
YAMPARAEZ,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,0,1,1
YUNCHARA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,0,3,3
ZUDAÑEZ,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-02-01,19,24,43
ACACIO,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,1,20,21
ACHACACHI,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-03-01,0,3,3
