,group,variable,month,L 20.2 ANTIPOLIOMIELITICA 5TA DOSIS CANTIDAD,L 20.2 ANTIPOLIOMIELITICA 5TA DOSIS CANTIDAD,TOTALES
SAN RAFAEL,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,1,0,1
SAN RAMON BENI,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,0,7,7
SANTA ANA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,8,0,8
SANTA CRUZ DE LA SIERRA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,116,5,121
SANTA ROSA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,3,0,3
SANTIAGO DE HUARI,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,0,1,1
SANTIAGO DE MACHACA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,1,0,1
SANTIVAÑES,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,0,1,1
SHINAOTA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,0,1,1
SICA SICA (VILLA AROMA),vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,4,20,24
SIPE SIPE,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,2,0,2
SORACACHI,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,0,8,8
SORATA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,15,5,20
SUCRE,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,61,18,79
TAPACARI,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,0,2,2
TARIJA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,20,1,21
TARVITA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,8,16,24
TIQUIPAYA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,3,0,3
TOTORA(CBBA),vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,3,0,3
TOTORA(ORR),vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,0,1,1
TRIGAL,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,0,6,6
TRINIDAD,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,16,0,16
VACAS,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,0,12,12
VALLEGRANDE,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,10,0,10
VIACHA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,2,9,11
VILLA CHARCAS,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,21,37,58
VILLA MONTES,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,3,1,4
VILLA SERRANO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,3,0,3
VILLA TUNARI,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,2,0,2
VILLA VACA GUZMAN (MUYUPAMPA),vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,1,2,3
VILLAZON,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,12,5,17
WARNES,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,14,1,15
YACUIBA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,11,0,11
YAMPARAEZ,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,1,2,3
ZUDAÑEZ,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,5,1,6
ACHACACHI,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,2,0,2
AIQUILE,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,0,17,17
ANTEQUERA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,0,1,1
ARBIETO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,0,11,11
ASCENCION DE GUARAYOS,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,1,0,1
ATOCHA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,0,3,3
AZURDUY,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,0,1,1
BELEN DE ANDAMARCA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,1,1,2
BELLA FLOR,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,0,5,5
BOLIVAR,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,0,1,1
CABEZAS,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,4,0,4
CALACOTO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,0,23,23
CAMARGO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,7,2,9
CAMIRI,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,0,1,1
CAQUIAVIRI,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,1,18,19
CARANAVI,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,6,35,41
CARAPARI,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,1,1,2
CATACORA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,1,3,4
CHALLAPATA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,0,2,2
CHAQUI,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,1,0,1
CHARAGUA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,0,1,1
CHARAÑA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,0,10,10
CHIMORE,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,2,7,9
CHIPAYA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,1,15,16
CHULUMANI (V. DE LA LIBERTAD),vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,5,0,5
CHUMA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,2,136,138
COBIJA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,14,7,21
COCAPATA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,0,17,17
COCHABAMBA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,21,0,21
COLCAPIRHUA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,2,2,4
COLLANA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,1,0,1
COLOMI,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,6,25,31
COLQUECHACA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,0,2,2
CORO CORO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,9,4,13
COROICO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,3,8,11
COTAGAITA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,4,15,19
COTOCA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,13,0,13
CUEVO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,3,8,11
CULPINA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,0,3,3
DESAGUADERO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,34,35,69
EL ALTO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,161,1098,1259
EL TORNO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,6,8,14
ENTRE RIOS TRJ,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,2,1,3
ENTRE RIOS CBBA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,10,27,37
FERNANDEZ ALONSO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,7,0,7
FILADELFIA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,0,2,2
GRAL. J.J. PEREZ (CHARAZANI),vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,0,3,3
GUAYARAMERIN,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,11,7,18
HUACARETA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,2,0,2
HUANUNI,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,0,4,4
HUARINA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,42,23,65
ICHOCA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,0,1,1
ICLA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,0,3,3
INCAHUASI,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,1,0,1
INQUISIVI,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,0,20,20
IXIAMAS,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,7,0,7
JESUS DE MACHACA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,1,7,8
LA GUARDIA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,15,0,15
LA PAZ,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,96,202,298
LAGUNILLAS,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,1,15,16
LAJA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,9,3,12
LLALLAGUA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,0,1,1
MACHARETI,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,2,0,2
MAGDALENA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,7,0,7
MAIRANA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,4,0,4
MECAPACA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,0,34,34
MIZQUE,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,0,1,1
MONTEAGUDO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,32,12,44
MONTERO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,23,1,24
MOROCHATA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,3,7,10
OMEREQUE,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,0,5,5
ORURO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,50,5,55
PADCAYA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,1,1,2
PADILLA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,11,2,13
PAILON,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,0,129,129
PALOS BLANCOS,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,3,21,24
POCONA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,1,8,9
POJO (CBBA),vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,5,11,16
PORONGO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,1,1,2
PORTACHUELO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,4,0,4
POTOSI,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,19,0,19
PRESTO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,19,12,31
PUERTO QUIJARRO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,1,1,2
PUERTO SUAREZ,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,2,0,2
PUERTO VILLARROEL,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,4,37,41
PUNA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,0,2,2
PUNATA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,2,0,2
QUIABAYA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,0,4,4
QUILLACOLLO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,9,0,9
QUIRUSILLAS,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,0,1,1
RAVELO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,6,4,10
REYES,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,3,0,3
RIBERALTA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,2,0,2
ROBORE,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,23,2,25
RURRENABAQUE,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,3,10,13
SACABA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,7,34,41
SAMAIPATA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,0,2,2
SAN AGUSTIN,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,3,0,3
SAN ANDRES,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,5,21,26
SAN ANDRES DE MACHACA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,1,1,2
SAN BORJA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,36,7,43
SAN IGNACIO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,57,15,72
SAN IGNACIO DE VELASCO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,25,1,26
SAN JOAQUIN,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,0,2,2
SAN JOSE DE CHIQUITOS,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,2,0,2
SAN LORENZO(PND),vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,0,3,3
SAN LORENZO(TJA),vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,6,1,7
SAN LUCAS,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,3,7,10
SAN MATIAS,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,5,0,5
SAN MIGUEL DE VELASCO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,13,7,20
SAN PEDRO DE TIQUINA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,1,11,12
SAN RAFAEL,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,4,0,4
SAN RAMON BENI,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,0,13,13
SANTA ANA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-02-01,3,0,3
