,group,variable,month,Nº DE PERSONAS QUE ABANDONARON ESQUEMA CANTIDAD,Nº DE PERSONAS QUE ABANDONARON ESQUEMA CANTIDAD,TOTALES,TOTALES,TOTALES
VIACHA,rabia,no de personas que abandonaron esquema,2019-02-01,2,1,2,1,3
VILLAZON,rabia,no de personas que abandonaron esquema,2019-02-01,1,1,1,1,2
VINTO,rabia,no de personas que abandonaron esquema,2019-02-01,0,1,0,1,1
WARNES,rabia,no de personas que abandonaron esquema,2019-02-01,5,2,5,2,7
YAPACANI,rabia,no de personas que abandonaron esquema,2019-02-01,2,1,2,1,3
APOLO,rabia,no de personas que abandonaron esquema,2019-03-01,1,1,1,1,2
BERMEJO,rabia,no de personas que abandonaron esquema,2019-03-01,0,1,0,1,1
CHIMORE,rabia,no de personas que abandonaron esquema,2019-03-01,1,0,1,0,1
COCHABAMBA,rabia,no de personas que abandonaron esquema,2019-03-01,8,2,8,2,10
CUATRO CAÑADAS,rabia,no de personas que abandonaron esquema,2019-03-01,0,2,0,2,2
EL ALTO,rabia,no de personas que abandonaron esquema,2019-03-01,10,9,10,9,19
LA PAZ,rabia,no de personas que abandonaron esquema,2019-03-01,10,4,10,4,14
LAGUNILLAS,rabia,no de personas que abandonaron esquema,2019-03-01,1,0,1,0,1
MONTERO,rabia,no de personas que abandonaron esquema,2019-03-01,1,0,1,0,1
OKINAWA,rabia,no de personas que abandonaron esquema,2019-03-01,1,0,1,0,1
ORURO,rabia,no de personas que abandonaron esquema,2019-03-01,9,9,9,9,18
PUCARANI,rabia,no de personas que abandonaron esquema,2019-03-01,1,0,1,0,1
QUILLACOLLO,rabia,no de personas que abandonaron esquema,2019-03-01,2,2,2,2,4
RURRENABAQUE,rabia,no de personas que abandonaron esquema,2019-03-01,0,1,0,1,1
SAN ANDRES,rabia,no de personas que abandonaron esquema,2019-03-01,1,0,1,0,1
SAN IGNACIO,rabia,no de personas que abandonaron esquema,2019-03-01,3,0,3,0,3
SANTA CRUZ DE LA SIERRA,rabia,no de personas que abandonaron esquema,2019-03-01,5,2,5,2,7
SUCRE,rabia,no de personas que abandonaron esquema,2019-03-01,28,17,28,17,45
TARIJA,rabia,no de personas que abandonaron esquema,2019-03-01,6,3,6,3,9
TIPUANI,rabia,no de personas que abandonaron esquema,2019-03-01,1,1,1,1,2
TIQUIPAYA,rabia,no de personas que abandonaron esquema,2019-03-01,0,1,0,1,1
TRINIDAD,rabia,no de personas que abandonaron esquema,2019-03-01,2,2,2,2,4
VILLAZON,rabia,no de personas que abandonaron esquema,2019-03-01,1,1,1,1,2
VINTO,rabia,no de personas que abandonaron esquema,2019-03-01,1,0,1,0,1
WARNES,rabia,no de personas que abandonaron esquema,2019-03-01,6,4,6,4,10
YACUIBA,rabia,no de personas que abandonaron esquema,2019-03-01,1,1,1,1,2
YAPACANI,rabia,no de personas que abandonaron esquema,2019-03-01,1,0,1,0,1
CARACOLLO,rabia,no de personas que abandonaron esquema,2019-04-01,0,2,0,2,2
CARAPARI,rabia,no de personas que abandonaron esquema,2019-04-01,0,1,0,1,1
COCHABAMBA,rabia,no de personas que abandonaron esquema,2019-04-01,6,8,6,8,14
COPACABANA,rabia,no de personas que abandonaron esquema,2019-04-01,0,1,0,1,1
EL ALTO,rabia,no de personas que abandonaron esquema,2019-04-01,25,12,25,12,37
LA GUARDIA,rabia,no de personas que abandonaron esquema,2019-04-01,1,1,1,1,2
LA PAZ,rabia,no de personas que abandonaron esquema,2019-04-01,6,7,6,7,13
MAIRANA,rabia,no de personas que abandonaron esquema,2019-04-01,1,0,1,0,1
MONTERO,rabia,no de personas que abandonaron esquema,2019-04-01,2,1,2,1,3
ORURO,rabia,no de personas que abandonaron esquema,2019-04-01,3,6,3,6,9
QUILLACOLLO,rabia,no de personas que abandonaron esquema,2019-04-01,2,1,2,1,3
SACABA,rabia,no de personas que abandonaron esquema,2019-04-01,1,0,1,0,1
SAN ANDRES,rabia,no de personas que abandonaron esquema,2019-04-01,1,0,1,0,1
SAN BORJA,rabia,no de personas que abandonaron esquema,2019-04-01,3,0,3,0,3
SAN IGNACIO,rabia,no de personas que abandonaron esquema,2019-04-01,0,2,0,2,2
SAN RAMON SCZ,rabia,no de personas que abandonaron esquema,2019-04-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,rabia,no de personas que abandonaron esquema,2019-04-01,7,4,7,4,11
SHINAOTA,rabia,no de personas que abandonaron esquema,2019-04-01,2,1,2,1,3
SORATA,rabia,no de personas que abandonaron esquema,2019-04-01,0,1,0,1,1
SUCRE,rabia,no de personas que abandonaron esquema,2019-04-01,21,21,21,21,42
TARIJA,rabia,no de personas que abandonaron esquema,2019-04-01,5,5,5,5,10
TIQUIPAYA,rabia,no de personas que abandonaron esquema,2019-04-01,1,0,1,0,1
TRINIDAD,rabia,no de personas que abandonaron esquema,2019-04-01,9,8,9,8,17
UYUNI,rabia,no de personas que abandonaron esquema,2019-04-01,4,1,4,1,5
VIACHA,rabia,no de personas que abandonaron esquema,2019-04-01,2,1,2,1,3
VINTO,rabia,no de personas que abandonaron esquema,2019-04-01,1,0,1,0,1
WARNES,rabia,no de personas que abandonaron esquema,2019-04-01,2,0,2,0,2
ACHOCALLA,rabia,no de personas que abandonaron esquema,2019-05-01,0,1,0,1,1
ANCORAIMES,rabia,no de personas que abandonaron esquema,2019-05-01,1,0,1,0,1
BUENA VISTA,rabia,no de personas que abandonaron esquema,2019-05-01,0,1,0,1,1
CABEZAS,rabia,no de personas que abandonaron esquema,2019-05-01,1,0,1,0,1
COCHABAMBA,rabia,no de personas que abandonaron esquema,2019-05-01,7,7,7,7,14
EL ALTO,rabia,no de personas que abandonaron esquema,2019-05-01,24,49,24,49,73
LA PAZ,rabia,no de personas que abandonaron esquema,2019-05-01,8,7,8,7,15
ORURO,rabia,no de personas que abandonaron esquema,2019-05-01,5,8,5,8,13
PALOS BLANCOS,rabia,no de personas que abandonaron esquema,2019-05-01,0,1,0,1,1
QUILLACOLLO,rabia,no de personas que abandonaron esquema,2019-05-01,1,0,1,0,1
SAN ANDRES,rabia,no de personas que abandonaron esquema,2019-05-01,0,1,0,1,1
SAN BORJA,rabia,no de personas que abandonaron esquema,2019-05-01,3,0,3,0,3
SAN IGNACIO,rabia,no de personas que abandonaron esquema,2019-05-01,2,0,2,0,2
SAN PEDRO,rabia,no de personas que abandonaron esquema,2019-05-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,rabia,no de personas que abandonaron esquema,2019-05-01,8,8,8,8,16
SUCRE,rabia,no de personas que abandonaron esquema,2019-05-01,18,14,18,14,32
TIPUANI,rabia,no de personas que abandonaron esquema,2019-05-01,1,0,1,0,1
TRINIDAD,rabia,no de personas que abandonaron esquema,2019-05-01,6,6,6,6,12
UYUNI,rabia,no de personas que abandonaron esquema,2019-05-01,1,1,1,1,2
VALLEGRANDE,rabia,no de personas que abandonaron esquema,2019-05-01,0,2,0,2,2
VILLAZON,rabia,no de personas que abandonaron esquema,2019-05-01,0,1,0,1,1
WARNES,rabia,no de personas que abandonaron esquema,2019-05-01,5,3,5,3,8
APOLO,rabia,no de personas que abandonaron esquema,2019-06-01,0,1,0,1,1
BUENA VISTA,rabia,no de personas que abandonaron esquema,2019-06-01,1,0,1,0,1
COCHABAMBA,rabia,no de personas que abandonaron esquema,2019-06-01,11,3,11,3,14
CUATRO CAÑADAS,rabia,no de personas que abandonaron esquema,2019-06-01,2,0,2,0,2
EL ALTO,rabia,no de personas que abandonaron esquema,2019-06-01,17,15,17,15,32
EL TORNO,rabia,no de personas que abandonaron esquema,2019-06-01,0,1,0,1,1
LA PAZ,rabia,no de personas que abandonaron esquema,2019-06-01,5,7,5,7,12
MIZQUE,rabia,no de personas que abandonaron esquema,2019-06-01,1,0,1,0,1
MONTERO,rabia,no de personas que abandonaron esquema,2019-06-01,0,1,0,1,1
ORURO,rabia,no de personas que abandonaron esquema,2019-06-01,4,5,4,5,9
PALOS BLANCOS,rabia,no de personas que abandonaron esquema,2019-06-01,1,0,1,0,1
PUERTO VILLARROEL,rabia,no de personas que abandonaron esquema,2019-06-01,0,1,0,1,1
QUILLACOLLO,rabia,no de personas que abandonaron esquema,2019-06-01,1,0,1,0,1
QUIRUSILLAS,rabia,no de personas que abandonaron esquema,2019-06-01,1,0,1,0,1
SACABA,rabia,no de personas que abandonaron esquema,2019-06-01,1,1,1,1,2
SAN IGNACIO,rabia,no de personas que abandonaron esquema,2019-06-01,0,1,0,1,1
SAN JUAN DE YAPACANI,rabia,no de personas que abandonaron esquema,2019-06-01,1,0,1,0,1
SAN RAMON SCZ,rabia,no de personas que abandonaron esquema,2019-06-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,rabia,no de personas que abandonaron esquema,2019-06-01,6,3,6,3,9
SHINAOTA,rabia,no de personas que abandonaron esquema,2019-06-01,0,1,0,1,1
SUCRE,rabia,no de personas que abandonaron esquema,2019-06-01,16,12,16,12,28
TARIJA,rabia,no de personas que abandonaron esquema,2019-06-01,5,4,5,4,9
TEOPONTE,rabia,no de personas que abandonaron esquema,2019-06-01,1,0,1,0,1
TOTORA(CBBA),rabia,no de personas que abandonaron esquema,2019-06-01,1,0,1,0,1
TRINIDAD,rabia,no de personas que abandonaron esquema,2019-06-01,3,5,3,5,8
UYUNI,rabia,no de personas que abandonaron esquema,2019-06-01,0,1,0,1,1
VIACHA,rabia,no de personas que abandonaron esquema,2019-06-01,1,1,1,1,2
WARNES,rabia,no de personas que abandonaron esquema,2019-06-01,1,2,1,2,3
YAPACANI,rabia,no de personas que abandonaron esquema,2019-06-01,0,1,0,1,1
CARANAVI,rabia,no de personas que abandonaron esquema,2019-07-01,1,0,1,0,1
CARAPARI,rabia,no de personas que abandonaron esquema,2019-07-01,0,1,0,1,1
COCHABAMBA,rabia,no de personas que abandonaron esquema,2019-07-01,5,7,5,7,12
"COLCHA ""K""",rabia,no de personas que abandonaron esquema,2019-07-01,1,0,1,0,1
CUATRO CAÑADAS,rabia,no de personas que abandonaron esquema,2019-07-01,0,1,0,1,1
EL ALTO,rabia,no de personas que abandonaron esquema,2019-07-01,26,20,26,20,46
LA PAZ,rabia,no de personas que abandonaron esquema,2019-07-01,11,12,11,12,23
MONTERO,rabia,no de personas que abandonaron esquema,2019-07-01,2,0,2,0,2
OCURI,rabia,no de personas que abandonaron esquema,2019-07-01,1,1,1,1,2
ORURO,rabia,no de personas que abandonaron esquema,2019-07-01,4,2,4,2,6
QUILLACOLLO,rabia,no de personas que abandonaron esquema,2019-07-01,0,1,0,1,1
RURRENABAQUE,rabia,no de personas que abandonaron esquema,2019-07-01,1,0,1,0,1
SAN BORJA,rabia,no de personas que abandonaron esquema,2019-07-01,1,2,1,2,3
SAN IGNACIO,rabia,no de personas que abandonaron esquema,2019-07-01,0,2,0,2,2
SAN JUAN DE YAPACANI,rabia,no de personas que abandonaron esquema,2019-07-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,rabia,no de personas que abandonaron esquema,2019-07-01,1,7,1,7,8
SIPE SIPE,rabia,no de personas que abandonaron esquema,2019-07-01,1,0,1,0,1
SORATA,rabia,no de personas que abandonaron esquema,2019-07-01,1,0,1,0,1
SUCRE,rabia,no de personas que abandonaron esquema,2019-07-01,19,11,19,11,30
TRINIDAD,rabia,no de personas que abandonaron esquema,2019-07-01,1,3,1,3,4
UYUNI,rabia,no de personas que abandonaron esquema,2019-07-01,0,1,0,1,1
VIACHA,rabia,no de personas que abandonaron esquema,2019-07-01,0,1,0,1,1
WARNES,rabia,no de personas que abandonaron esquema,2019-07-01,3,0,3,0,3
YAPACANI,rabia,no de personas que abandonaron esquema,2019-07-01,1,0,1,0,1
ACHOCALLA,rabia,no de personas que abandonaron esquema,2019-08-01,1,0,1,0,1
CAMIRI,rabia,no de personas que abandonaron esquema,2019-08-01,0,1,0,1,1
CARAPARI,rabia,no de personas que abandonaron esquema,2019-08-01,1,0,1,0,1
CHALLAPATA,rabia,no de personas que abandonaron esquema,2019-08-01,1,0,1,0,1
COCHABAMBA,rabia,no de personas que abandonaron esquema,2019-08-01,11,10,11,10,21
COLPA BELGICA,rabia,no de personas que abandonaron esquema,2019-08-01,1,1,1,1,2
COPACABANA,rabia,no de personas que abandonaron esquema,2019-08-01,0,1,0,1,1
EL ALTO,rabia,no de personas que abandonaron esquema,2019-08-01,22,22,22,22,44
LA GUARDIA,rabia,no de personas que abandonaron esquema,2019-08-01,2,0,2,0,2
LA PAZ,rabia,no de personas que abandonaron esquema,2019-08-01,4,11,4,11,15
LAJA,rabia,no de personas que abandonaron esquema,2019-08-01,1,0,1,0,1
MONTERO,rabia,no de personas que abandonaron esquema,2019-08-01,0,3,0,3,3
OKINAWA,rabia,no de personas que abandonaron esquema,2019-08-01,1,0,1,0,1
ORURO,rabia,no de personas que abandonaron esquema,2019-08-01,7,6,7,6,13
PALOS BLANCOS,rabia,no de personas que abandonaron esquema,2019-08-01,0,1,0,1,1
PUERTO VILLARROEL,rabia,no de personas que abandonaron esquema,2019-08-01,0,1,0,1,1
QUILLACOLLO,rabia,no de personas que abandonaron esquema,2019-08-01,1,0,1,0,1
RURRENABAQUE,rabia,no de personas que abandonaron esquema,2019-08-01,0,1,0,1,1
SAN BUENA VENTURA,rabia,no de personas que abandonaron esquema,2019-08-01,0,1,0,1,1
SAN IGNACIO,rabia,no de personas que abandonaron esquema,2019-08-01,1,3,1,3,4
SAN RAMON SCZ,rabia,no de personas que abandonaron esquema,2019-08-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,rabia,no de personas que abandonaron esquema,2019-08-01,6,7,6,7,13
SHINAOTA,rabia,no de personas que abandonaron esquema,2019-08-01,0,1,0,1,1
SUCRE,rabia,no de personas que abandonaron esquema,2019-08-01,37,78,37,78,115
TARIJA,rabia,no de personas que abandonaron esquema,2019-08-01,7,4,7,4,11
TIPUANI,rabia,no de personas que abandonaron esquema,2019-08-01,0,1,0,1,1
TRINIDAD,rabia,no de personas que abandonaron esquema,2019-08-01,6,2,6,2,8
UYUNI,rabia,no de personas que abandonaron esquema,2019-08-01,3,0,3,0,3
VIACHA,rabia,no de personas que abandonaron esquema,2019-08-01,0,1,0,1,1
VILLA TUNARI,rabia,no de personas que abandonaron esquema,2019-08-01,2,1,2,1,3
WALDO BALLIVIAN,rabia,no de personas que abandonaron esquema,2019-08-01,1,0,1,0,1
WARNES,rabia,no de personas que abandonaron esquema,2019-08-01,2,1,2,1,3
ACHOCALLA,rabia,no de personas que abandonaron esquema,2019-09-01,1,0,1,0,1
CABEZAS,rabia,no de personas que abandonaron esquema,2019-09-01,0,1,0,1,1
CAMIRI,rabia,no de personas que abandonaron esquema,2019-09-01,0,1,0,1,1
CARAPARI,rabia,no de personas que abandonaron esquema,2019-09-01,1,1,1,1,2
CHALLAPATA,rabia,no de personas que abandonaron esquema,2019-09-01,1,0,1,0,1
COCHABAMBA,rabia,no de personas que abandonaron esquema,2019-09-01,12,6,12,6,18
CORIPATA,rabia,no de personas que abandonaron esquema,2019-09-01,1,1,1,1,2
CUATRO CAÑADAS,rabia,no de personas que abandonaron esquema,2019-09-01,1,0,1,0,1
DESAGUADERO,rabia,no de personas que abandonaron esquema,2019-09-01,1,0,1,0,1
EL ALTO,rabia,no de personas que abandonaron esquema,2019-09-01,18,13,18,13,31
GUANAY,rabia,no de personas que abandonaron esquema,2019-09-01,0,1,0,1,1
LA GUARDIA,rabia,no de personas que abandonaron esquema,2019-09-01,1,2,1,2,3
LA PAZ,rabia,no de personas que abandonaron esquema,2019-09-01,4,3,4,3,7
LAJA,rabia,no de personas que abandonaron esquema,2019-09-01,0,1,0,1,1
MONTEAGUDO,rabia,no de personas que abandonaron esquema,2019-09-01,1,1,1,1,2
MONTERO,rabia,no de personas que abandonaron esquema,2019-09-01,2,1,2,1,3
ORURO,rabia,no de personas que abandonaron esquema,2019-09-01,4,0,4,0,4
PUERTO CARABUCO,rabia,no de personas que abandonaron esquema,2019-09-01,1,0,1,0,1
QUILLACOLLO,rabia,no de personas que abandonaron esquema,2019-09-01,1,1,1,1,2
SACABA,rabia,no de personas que abandonaron esquema,2019-09-01,2,1,2,1,3
SAN ANDRES,rabia,no de personas que abandonaron esquema,2019-09-01,1,1,1,1,2
SANTA CRUZ DE LA SIERRA,rabia,no de personas que abandonaron esquema,2019-09-01,2,5,2,5,7
SIPE SIPE,rabia,no de personas que abandonaron esquema,2019-09-01,1,0,1,0,1
SUCRE,rabia,no de personas que abandonaron esquema,2019-09-01,18,14,18,14,32
TIPUANI,rabia,no de personas que abandonaron esquema,2019-09-01,1,0,1,0,1
TIQUIPAYA,rabia,no de personas que abandonaron esquema,2019-09-01,0,1,0,1,1
TRINIDAD,rabia,no de personas que abandonaron esquema,2019-09-01,7,9,7,9,16
UYUNI,rabia,no de personas que abandonaron esquema,2019-09-01,2,2,2,2,4
VIACHA,rabia,no de personas que abandonaron esquema,2019-09-01,2,0,2,0,2
VILLA MONTES,rabia,no de personas que abandonaron esquema,2019-09-01,1,0,1,0,1
VINTO,rabia,no de personas que abandonaron esquema,2019-09-01,1,0,1,0,1
WARNES,rabia,no de personas que abandonaron esquema,2019-09-01,3,1,3,1,4
CAPINOTA,rabia,no de personas que abandonaron esquema,2019-10-01,0,1,0,1,1
CARAPARI,rabia,no de personas que abandonaron esquema,2019-10-01,0,1,0,1,1
COCHABAMBA,rabia,no de personas que abandonaron esquema,2019-10-01,7,9,7,9,16
EL ALTO,rabia,no de personas que abandonaron esquema,2019-10-01,18,15,18,15,33
LA PAZ,rabia,no de personas que abandonaron esquema,2019-10-01,5,2,5,2,7
MAGDALENA,rabia,no de personas que abandonaron esquema,2019-10-01,0,1,0,1,1
ORURO,rabia,no de personas que abandonaron esquema,2019-10-01,5,5,5,5,10
QUILLACOLLO,rabia,no de personas que abandonaron esquema,2019-10-01,1,0,1,0,1
RURRENABAQUE,rabia,no de personas que abandonaron esquema,2019-10-01,0,2,0,2,2
SACABA,rabia,no de personas que abandonaron esquema,2019-10-01,0,1,0,1,1
SAN ANDRES,rabia,no de personas que abandonaron esquema,2019-10-01,1,0,1,0,1
SAN BORJA,rabia,no de personas que abandonaron esquema,2019-10-01,2,1,2,1,3
SAN IGNACIO,rabia,no de personas que abandonaron esquema,2019-10-01,1,0,1,0,1
SAN RAFAEL,rabia,no de personas que abandonaron esquema,2019-10-01,1,0,1,0,1
SAN RAMON SCZ,rabia,no de personas que abandonaron esquema,2019-10-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,rabia,no de personas que abandonaron esquema,2019-10-01,2,1,2,1,3
SUCRE,rabia,no de personas que abandonaron esquema,2019-10-01,26,14,26,14,40
TIPUANI,rabia,no de personas que abandonaron esquema,2019-10-01,1,0,1,0,1
TIQUIPAYA,rabia,no de personas que abandonaron esquema,2019-10-01,0,1,0,1,1
TRINIDAD,rabia,no de personas que abandonaron esquema,2019-10-01,6,4,6,4,10
UYUNI,rabia,no de personas que abandonaron esquema,2019-10-01,2,3,2,3,5
VIACHA,rabia,no de personas que abandonaron esquema,2019-10-01,1,0,1,0,1
VILLA MONTES,rabia,no de personas que abandonaron esquema,2019-10-01,0,1,0,1,1
VILLA TUNARI,rabia,no de personas que abandonaron esquema,2019-10-01,0,1,0,1,1
WARNES,rabia,no de personas que abandonaron esquema,2019-10-01,2,0,2,0,2
APOLO,rabia,no de personas que abandonaron esquema,2019-11-01,1,0,1,0,1
CAMARGO,rabia,no de personas que abandonaron esquema,2019-11-01,0,1,0,1,1
CARANAVI,rabia,no de personas que abandonaron esquema,2019-11-01,1,0,1,0,1
COCAPATA,rabia,no de personas que abandonaron esquema,2019-11-01,0,1,0,1,1
COCHABAMBA,rabia,no de personas que abandonaron esquema,2019-11-01,14,11,14,11,25
DESAGUADERO,rabia,no de personas que abandonaron esquema,2019-11-01,1,0,1,0,1
EL ALTO,rabia,no de personas que abandonaron esquema,2019-11-01,15,14,15,14,29
ENTRE RIOS CBBA,rabia,no de personas que abandonaron esquema,2019-11-01,0,1,0,1,1
LA GUARDIA,rabia,no de personas que abandonaron esquema,2019-11-01,0,1,0,1,1
LA PAZ,rabia,no de personas que abandonaron esquema,2019-11-01,4,9,4,9,13
MONTERO,rabia,no de personas que abandonaron esquema,2019-11-01,7,2,7,2,9
ORURO,rabia,no de personas que abandonaron esquema,2019-11-01,5,8,5,8,13
PORONGO,rabia,no de personas que abandonaron esquema,2019-11-01,1,0,1,0,1
SACABA,rabia,no de personas que abandonaron esquema,2019-11-01,0,2,0,2,2
SAN ANDRES,rabia,no de personas que abandonaron esquema,2019-11-01,1,0,1,0,1
SAN RAMON SCZ,rabia,no de personas que abandonaron esquema,2019-11-01,2,1,2,1,3
SANTA CRUZ DE LA SIERRA,rabia,no de personas que abandonaron esquema,2019-11-01,2,3,2,3,5
SORATA,rabia,no de personas que abandonaron esquema,2019-11-01,2,0,2,0,2
SUCRE,rabia,no de personas que abandonaron esquema,2019-11-01,14,11,14,11,25
TARATA,rabia,no de personas que abandonaron esquema,2019-11-01,1,1,1,1,2
TIQUIPAYA,rabia,no de personas que abandonaron esquema,2019-11-01,2,1,2,1,3
TRINIDAD,rabia,no de personas que abandonaron esquema,2019-11-01,13,10,13,10,23
UYUNI,rabia,no de personas que abandonaron esquema,2019-11-01,1,2,1,2,3
VALLEGRANDE,rabia,no de personas que abandonaron esquema,2019-11-01,1,1,1,1,2
VIACHA,rabia,no de personas que abandonaron esquema,2019-11-01,1,0,1,0,1
VILLA MONTES,rabia,no de personas que abandonaron esquema,2019-11-01,0,1,0,1,1
VILLA TUNARI,rabia,no de personas que abandonaron esquema,2019-11-01,1,0,1,0,1
VINTO,rabia,no de personas que abandonaron esquema,2019-11-01,2,0,2,0,2
WARNES,rabia,no de personas que abandonaron esquema,2019-11-01,2,2,2,2,4
YACUIBA,rabia,no de personas que abandonaron esquema,2019-11-01,2,0,2,0,2
BATALLAS,rabia,no de personas que abandonaron esquema,2019-12-01,1,0,1,0,1
CARANAVI,rabia,no de personas que abandonaron esquema,2019-12-01,5,0,5,0,5
CARAPARI,rabia,no de personas que abandonaron esquema,2019-12-01,2,0,2,0,2
COCHABAMBA,rabia,no de personas que abandonaron esquema,2019-12-01,22,18,22,18,40
"COLCHA ""K""",rabia,no de personas que abandonaron esquema,2019-12-01,1,0,1,0,1
COPACABANA,rabia,no de personas que abandonaron esquema,2019-12-01,2,1,2,1,3
EL ALTO,rabia,no de personas que abandonaron esquema,2019-12-01,17,15,17,15,32
LA GUARDIA,rabia,no de personas que abandonaron esquema,2019-12-01,0,1,0,1,1
LA PAZ,rabia,no de personas que abandonaron esquema,2019-12-01,6,4,6,4,10
MAGDALENA,rabia,no de personas que abandonaron esquema,2019-12-01,0,1,0,1,1
MAPIRI,rabia,no de personas que abandonaron esquema,2019-12-01,0,1,0,1,1
MONTEAGUDO,rabia,no de personas que abandonaron esquema,2019-12-01,0,1,0,1,1
OKINAWA,rabia,no de personas que abandonaron esquema,2019-12-01,2,0,2,0,2
ORURO,rabia,no de personas que abandonaron esquema,2019-12-01,4,1,4,1,5
PALOS BLANCOS,rabia,no de personas que abandonaron esquema,2019-12-01,1,0,1,0,1
QUILLACOLLO,rabia,no de personas que abandonaron esquema,2019-12-01,0,1,0,1,1
REYES,rabia,no de personas que abandonaron esquema,2019-12-01,0,1,0,1,1
SACABA,rabia,no de personas que abandonaron esquema,2019-12-01,3,1,3,1,4
SAN ANDRES,rabia,no de personas que abandonaron esquema,2019-12-01,1,2,1,2,3
