,group,variable,month,DPT 3RA DOSIS CANTIDAD,DPT 3RA DOSIS CANTIDAD,TOTALES
HUANUNI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-03-01,2,0,2
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-03-01,3,0,3
LA PAZ,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-03-01,4,0,4
MAGDALENA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-03-01,0,3,3
MONTERO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-03-01,2,1,3
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-03-01,0,2,2
ORURO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-03-01,3,1,4
PAILON,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-03-01,0,8,8
PAMPA GRANDE,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-03-01,0,1,1
POTOSI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-03-01,7,1,8
PUERTO SUAREZ,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-03-01,1,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-03-01,1,0,1
PUNATA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-03-01,1,0,1
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-03-01,2,7,9
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-03-01,1,0,1
SACABA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-03-01,1,3,4
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-03-01,1,2,3
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-03-01,0,3,3
SANTA ANA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-03-01,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-03-01,10,11,21
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-03-01,0,1,1
SORATA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-03-01,1,2,3
SUCRE,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-03-01,4,2,6
TARIJA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-03-01,1,0,1
TEOPONTE,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-03-01,3,0,3
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-03-01,1,0,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-03-01,1,1,2
VIACHA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-03-01,2,0,2
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-03-01,2,0,2
WARNES,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-03-01,3,0,3
AIQUILE,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-04-01,1,0,1
ALALAY,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-04-01,0,2,2
BOLIVAR,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-04-01,1,0,1
BOYUIBE,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-04-01,1,0,1
CAMIRI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-04-01,2,0,2
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-04-01,2,0,2
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-04-01,4,1,5
CHIMORE,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-04-01,1,0,1
COCAPATA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-04-01,0,2,2
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-04-01,28,0,28
COLOMI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-04-01,1,2,3
COTOCA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-04-01,2,15,17
EL ALTO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-04-01,28,3,31
EL TORNO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-04-01,1,0,1
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-04-01,1,1,2
HUACARETA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-04-01,4,1,5
HUANUNI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-04-01,0,7,7
HUARACAJE,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-04-01,1,0,1
JESUS DE MACHACA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-04-01,2,1,3
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-04-01,1,0,1
LA PAZ,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-04-01,28,0,28
MAGDALENA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-04-01,1,0,1
MINEROS,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-04-01,1,0,1
MOCOMOCO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-04-01,0,8,8
MONTERO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-04-01,4,0,4
ORURO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-04-01,6,1,7
PAILON,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-04-01,0,1,1
POCONA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-04-01,0,1,1
POTOSI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-04-01,2,1,3
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-04-01,0,1,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-04-01,1,0,1
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-04-01,2,7,9
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-04-01,1,0,1
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-04-01,0,1,1
SACABA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-04-01,0,20,20
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-04-01,0,3,3
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-04-01,2,3,5
SAN CARLOS,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-04-01,1,0,1
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-04-01,3,0,3
SAN PEDRO(PND),vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-04-01,0,1,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-04-01,18,33,51
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-04-01,0,1,1
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-04-01,2,2,4
SORATA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-04-01,0,3,3
SUCRE,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-04-01,0,5,5
TAPACARI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-04-01,5,6,11
TARIJA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-04-01,3,0,3
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-04-01,0,8,8
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-04-01,0,1,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-04-01,2,0,2
VACAS,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-04-01,0,3,3
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-04-01,0,4,4
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-04-01,3,0,3
WARNES,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-04-01,3,2,5
YACUIBA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-04-01,4,2,6
ANDAMARCA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-05-01,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-05-01,124,0,124
ATOCHA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-05-01,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-05-01,1,5,6
BOYUIBE,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-05-01,2,0,2
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-05-01,0,1,1
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-05-01,1,3,4
CHAQUI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-05-01,4,3,7
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-05-01,0,3,3
COBIJA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-05-01,1,0,1
COCAPATA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-05-01,0,1,1
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-05-01,35,118,153
CONCEPCION,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-05-01,0,1,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-05-01,4,1,5
EL ALTO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-05-01,29,40,69
EL TORNO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-05-01,8,1,9
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-05-01,2,3,5
GUAQUI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-05-01,0,1,1
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-05-01,0,1,1
GUTIERREZ,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-05-01,2,0,2
HUANUNI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-05-01,0,1,1
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-05-01,4,3,7
LA PAZ,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-05-01,8,5,13
LAGUNILLAS,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-05-01,0,11,11
MINEROS,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-05-01,0,2,2
MONTERO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-05-01,14,3,17
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-05-01,0,1,1
ORURO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-05-01,6,16,22
PADCAYA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-05-01,0,3,3
PAILON,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-05-01,0,2,2
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-05-01,1,0,1
PAMPA GRANDE,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-05-01,0,2,2
PAPEL PAMPA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-05-01,0,4,4
POTOSI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-05-01,10,10,20
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-05-01,0,2,2
PUNATA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-05-01,1,0,1
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-05-01,2,20,22
REYES,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-05-01,1,0,1
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-05-01,0,4,4
SACABA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-05-01,1,1,2
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-05-01,2,6,8
SAN CARLOS,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-05-01,1,1,2
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-05-01,0,3,3
SAN RAMON SCZ,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-05-01,0,1,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-05-01,6,18,24
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-05-01,0,1,1
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-05-01,0,4,4
SUCRE,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-05-01,10,1,11
TACOBAMBA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-05-01,1,0,1
TARATA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-05-01,0,1,1
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-05-01,2,0,2
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-05-01,0,3,3
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-05-01,1,1,2
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-05-01,1,1,2
WARNES,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-05-01,1,3,4
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-06-01,2,0,2
ATOCHA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-06-01,3,8,11
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-06-01,0,6,6
BAURES,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-06-01,1,0,1
BERMEJO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-06-01,0,1,1
BETANZOS,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-06-01,1,0,1
BOYUIBE,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-06-01,2,1,3
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-06-01,4,0,4
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-06-01,0,1,1
CHIMORE,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-06-01,1,1,2
COBIJA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-06-01,1,0,1
COCAPATA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-06-01,0,1,1
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-06-01,13,0,13
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-06-01,1,0,1
COLOMI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-06-01,1,1,2
COROICO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-06-01,0,1,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-06-01,3,2,5
EL ALTO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-06-01,15,7,22
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-06-01,1,1,2
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-06-01,0,1,1
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-06-01,1,0,1
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-06-01,3,0,3
LA PAZ,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-06-01,7,10,17
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-06-01,5,7,12
MINEROS,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-06-01,1,0,1
MONTERO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-06-01,2,1,3
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-06-01,0,3,3
