,group,variable,month,DPT 1RA DOSIS CANTIDAD,DPT 1RA DOSIS CANTIDAD,TOTALES
CHIMORE,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-02-01,1,0,1
CHUMA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-02-01,1,0,1
COBIJA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-02-01,1,1,2
COCAPATA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-02-01,0,1,1
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-02-01,59,8,67
COLQUIRI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-02-01,0,1,1
CONCEPCION,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-02-01,5,3,8
EL ALTO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-02-01,52,10,62
EL PUENTE(STC),vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-02-01,2,0,2
EL PUENTE(TJA),vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-02-01,1,0,1
EXALTACION,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-02-01,1,0,1
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-02-01,6,8,14
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-02-01,7,0,7
GUANAY,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-02-01,1,0,1
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-02-01,2,0,2
IXIAMAS,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-02-01,2,2,4
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-02-01,2,0,2
LA PAZ,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-02-01,72,5,77
LURIBAY,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-02-01,0,3,3
MOCOMOCO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-02-01,4,4,8
MONTERO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-02-01,17,0,17
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-02-01,3,0,3
ORURO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-02-01,18,0,18
PAMPA GRANDE,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-02-01,2,0,2
PASORAPA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-02-01,0,11,11
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-02-01,4,0,4
PORVENIR,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-02-01,1,2,3
POTOSI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-02-01,2,0,2
PUERTO GONZALO MORENO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-02-01,0,8,8
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-02-01,27,0,27
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-02-01,5,0,5
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-02-01,5,2,7
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-02-01,1,0,1
SACABA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-02-01,4,2,6
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-02-01,0,1,1
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-02-01,3,5,8
SAN BENITO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-02-01,1,0,1
SAN BUENA VENTURA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-02-01,1,0,1
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-02-01,4,0,4
SAN JOAQUIN,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-02-01,3,0,3
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-02-01,5,3,8
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-02-01,1,0,1
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-02-01,4,0,4
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-02-01,7,12,19
SAN PEDRO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-02-01,5,0,5
SAN PEDRO DE CURAHUARA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-02-01,2,0,2
SAN RAMON SCZ,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-02-01,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-02-01,158,7,165
SANTIVAÑES,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-02-01,4,11,15
SHINAOTA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-02-01,2,0,2
SUCRE,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-02-01,25,14,39
TACOBAMBA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-02-01,0,9,9
TARACO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-02-01,1,1,2
TARIJA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-02-01,13,0,13
TEOPONTE,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-02-01,0,9,9
TIAWANACU,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-02-01,1,0,1
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-02-01,22,5,27
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-02-01,7,0,7
TOLEDO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-02-01,1,0,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-02-01,31,1,32
URIONDO (A. CONCEPCION),vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-02-01,0,1,1
UYUNI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-02-01,6,0,6
VIACHA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-02-01,9,0,9
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-02-01,0,3,3
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-02-01,2,0,2
VILLAZON,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-02-01,1,0,1
VINTO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-02-01,15,0,15
WARNES,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-02-01,1,0,1
YACUIBA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-02-01,2,2,4
YAPACANI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-02-01,1,1,2
ZUDAÑEZ,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-02-01,1,2,3
ALTO BENI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-03-01,2,0,2
APOLO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-03-01,13,0,13
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-03-01,0,3,3
ATOCHA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-03-01,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-03-01,11,62,73
BELLA FLOR,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-03-01,1,0,1
BOYUIBE,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-03-01,1,0,1
CABEZAS,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-03-01,16,0,16
CAIROMA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-03-01,0,1,1
CAMIRI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-03-01,10,4,14
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-03-01,1,0,1
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-03-01,1,3,4
CARIPUYO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-03-01,1,15,16
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-03-01,11,35,46
CHIMORE,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-03-01,0,2,2
CHUMA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-03-01,0,1,1
COBIJA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-03-01,2,11,13
COCAPATA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-03-01,0,2,2
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-03-01,101,45,146
COLOMI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-03-01,2,0,2
COLQUIRI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-03-01,0,6,6
COTOCA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-03-01,1,0,1
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-03-01,2,2,4
DESAGUADERO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-03-01,5,0,5
EL ALTO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-03-01,29,13,42
EL PUENTE(STC),vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-03-01,6,0,6
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-03-01,2,1,3
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-03-01,10,0,10
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-03-01,14,19,33
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-03-01,0,4,4
GUAQUI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-03-01,1,4,5
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-03-01,1,0,1
GUTIERREZ,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-03-01,1,3,4
HUACARETA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-03-01,6,3,9
HUANUNI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-03-01,1,1,2
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-03-01,1,0,1
LA PAZ,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-03-01,82,14,96
LAGUNILLAS,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-03-01,0,5,5
LORETO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-03-01,3,0,3
LURIBAY,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-03-01,0,16,16
MIZQUE,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-03-01,3,0,3
MOCOMOCO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-03-01,3,5,8
MOJOCOYA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-03-01,1,14,15
MONTERO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-03-01,42,21,63
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-03-01,2,2,4
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-03-01,0,1,1
OMEREQUE,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-03-01,1,0,1
ORURO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-03-01,8,0,8
PADCAYA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-03-01,5,0,5
PAILON,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-03-01,0,6,6
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-03-01,0,1,1
PASORAPA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-03-01,6,2,8
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-03-01,8,2,10
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-03-01,3,0,3
POTOSI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-03-01,3,0,3
PUERTO CARABUCO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-03-01,0,11,11
PUERTO PEREZ,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-03-01,1,10,11
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-03-01,31,1,32
PUERTO RICO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-03-01,1,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-03-01,10,1,11
PUNATA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-03-01,1,0,1
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-03-01,21,1,22
QUIME,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-03-01,2,0,2
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-03-01,2,0,2
SACABA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-03-01,4,1,5
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-03-01,0,5,5
SAN BENITO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-03-01,1,0,1
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-03-01,0,2,2
SAN CARLOS,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-03-01,1,0,1
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-03-01,8,0,8
SAN JOAQUIN,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-03-01,4,0,4
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-03-01,2,0,2
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-03-01,1,0,1
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-03-01,6,60,66
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-03-01,10,8,18
SAN PEDRO DE CURAHUARA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-03-01,0,1,1
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-03-01,1,6,7
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-03-01,112,21,133
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-03-01,1,0,1
SANTIVAÑES,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-03-01,5,0,5
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-03-01,5,2,7
SOPACHUY,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-03-01,2,29,31
SORATA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-03-01,0,1,1
SUCRE,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-03-01,96,173,269
TACOBAMBA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-03-01,0,1,1
TACOPAYA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-03-01,1,0,1
TAPACARI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-03-01,5,8,13
TARABUCO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-03-01,0,1,1
TARACO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-03-01,2,0,2
TARIJA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-03-01,5,1,6
TEOPONTE,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-03-01,3,12,15
TIAWANACU,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-03-01,1,0,1
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-03-01,13,21,34
TOMINA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-03-01,0,2,2
