,group,variable,month,ANTI AMARÍLICA CANTIDAD,ANTI AMARÍLICA CANTIDAD,TOTALES
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,2,0,2
SAN LUCAS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,0,4,4
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,4,7,11
SANTA ANA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,378,84,462
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,0,2,2
SANTIVAÑES,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,1,0,1
SAPAHAQUI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,0,1,1
SHINAOTA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,2,0,2
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,1,0,1
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,13,0,13
SORACACHI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,1,2,3
SUCRE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,33,1,34
TACACOMA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,2,0,2
TARATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,0,2,2
TARIJA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,27,7,34
TIPUANI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,0,8,8
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,30,1,31
TOCO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,7,0,7
TOLATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,0,9,9
TOMAVE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,0,2,2
TOMINA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,1,0,1
TORO TORO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,6,0,6
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,0,1,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,10,19,29
TUPIZA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,2,8,10
URIONDO (A. CONCEPCION),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,1,0,1
UYUNI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,1,0,1
VIACHA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,4,6,10
VILLA CHARCAS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,1,0,1
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,4,2,6
VILLA RIVERO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,0,1,1
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,16,3,19
VILLAZON,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,18,1,19
VINTO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,2,0,2
WARNES,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,14,3,17
YACUIBA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,19,1,20
YAPACANI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,0,2,2
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,2,0,2
ACHOCALLA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,1,0,1
AIQUILE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,1,0,1
ANCORAIMES,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,1,0,1
ANZALDO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,0,9,9
APOLO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,3,0,3
ARBIETO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,0,6,6
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,2,0,2
ATOCHA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,1,0,1
AYATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,0,3,3
AYO AYO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,1,3,4
BERMEJO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,4,4,8
BETANZOS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,0,1,1
BOYUIBE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,0,1,1
CABEZAS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,1,0,1
CAMARGO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,0,2,2
CAMIRI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,2,0,2
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,2,0,2
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,2,10,12
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,1,2,3
CHIMORE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,7,0,7
CHUMA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,1,2,3
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,0,5,5
COBIJA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,9,6,15
COCAPATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,7,10,17
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,94,79,173
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,2,0,2
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,1,0,1
COLOMI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,2,2,4
COMARAPA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,0,2,2
CONCEPCION,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,5,6,11
COPACABANA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,0,1,1
COROICO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,1,0,1
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,0,1,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,8,4,12
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,2,2,4
CULPINA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,2,0,2
EL ALTO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,99,13,112
EL PUENTE(STC),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,1,0,1
EL TORNO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,2,6,8
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,3,0,3
EXALTACION,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,4,0,4
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,1,0,1
FILADELFIA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,0,1,1
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,8,9,17
HUANUNI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,6,1,7
HUARACAJE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,1,0,1
HUARINA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,0,1,1
ICLA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,0,1,1
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,0,7,7
IXIAMAS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,10,1,11
JESUS DE MACHACA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,1,1,2
LA ASUNTA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,3,2,5
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,6,3,9
LA PAZ,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,102,12,114
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,1,3,4
MAGDALENA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,0,4,4
MIZQUE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,0,2,2
MONTERO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,11,3,14
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,4,10,14
OMEREQUE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,0,1,1
ORURO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,46,30,76
PADCAYA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,1,0,1
PADILLA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,0,1,1
PAILON,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,2,15,17
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,4,3,7
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,4,0,4
PORVENIR,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,0,1,1
POTOSI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,13,0,13
PUCARANI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,1,0,1
PUERTO PEREZ,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,0,1,1
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,0,1,1
PUERTO SUAREZ,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,1,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,7,1,8
PUNA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,11,0,11
PUNATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,4,2,6
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,26,3,29
REYES,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,3,0,3
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,1,0,1
SACABA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,18,15,33
SACABAMBA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,0,5,5
SAN AGUSTIN,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,0,1,1
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,6,5,11
SAN CARLOS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,1,0,1
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,5,1,6
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,4,0,4
SAN JAVIER(BNI),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,1,0,1
SAN JAVIER(STC),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,1,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,3,0,3
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,1,0,1
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,2,0,2
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,2,4,6
SAN RAMON BENI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,0,12,12
SANTA ANA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,3,0,3
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,349,135,484
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,1,1,2
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,1,0,1
SANTIVAÑES,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,1,0,1
SHINAOTA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,5,0,5
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,1,0,1
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,5,2,7
SUCRE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,29,2,31
TARATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,0,1,1
TARIJA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,15,3,18
TIAWANACU,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,1,8,9
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,18,3,21
TOLATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,0,1,1
TORO TORO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,1,0,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,16,10,26
TUPIZA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,1,0,1
UNCIA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,1,0,1
URIONDO (A. CONCEPCION),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,1,0,1
VALLEGRANDE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,2,0,2
VIACHA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,1,0,1
VILLA CHARCAS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,2,0,2
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,2,0,2
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,2,3,5
VILLAZON,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,2,0,2
VINTO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,12,0,12
WARNES,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,17,10,27
YACUIBA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-02-01,11,3,14
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-03-01,5,0,5
ACHOCALLA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-03-01,0,2,2
AIQUILE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-03-01,0,1,1
ALTO BENI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-03-01,1,0,1
ANZALDO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-03-01,4,2,6
APOLO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-03-01,0,2,2
ARBIETO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-03-01,0,3,3
ARQUE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-03-01,1,3,4
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-03-01,4,0,4
ATOCHA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-03-01,6,5,11
AUCAPATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-03-01,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-03-01,4,3,7
BATALLAS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-03-01,1,0,1
BELLA FLOR,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-03-01,0,2,2
BERMEJO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-03-01,0,6,6
BETANZOS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-03-01,7,5,12
CABEZAS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-03-01,0,2,2
CAIROMA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-03-01,7,1,8
CAMARGO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-03-01,0,1,1
CAMIRI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-03-01,2,1,3
