,group,variable,month,DPT 2DA DOSIS CANTIDAD,DPT 2DA DOSIS CANTIDAD,TOTALES
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-02-01,2,1,3
PUNATA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-02-01,2,0,2
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-02-01,1,4,5
SACABA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-02-01,1,1,2
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-02-01,4,2,6
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-02-01,1,2,3
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-02-01,3,0,3
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-02-01,1,0,1
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-02-01,1,0,1
SAN PEDRO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-02-01,3,0,3
SAN RAMON SCZ,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-02-01,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-02-01,122,1,123
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-02-01,1,0,1
SANTIAGO DE MACHACA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-02-01,0,1,1
SANTIVAÑES,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-02-01,2,4,6
SHINAOTA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-02-01,1,0,1
SOPACHUY,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-02-01,12,17,29
SUCRE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-02-01,4,10,14
TACOPAYA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-02-01,3,0,3
TAPACARI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-02-01,1,0,1
TARIJA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-02-01,4,0,4
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-02-01,3,3,6
TOMINA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-02-01,1,0,1
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-02-01,0,1,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-02-01,3,0,3
URIONDO (A. CONCEPCION),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-02-01,0,2,2
VINTO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-02-01,8,0,8
WARNES,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-02-01,2,0,2
YACUIBA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-02-01,0,1,1
ZUDAÑEZ,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-02-01,1,0,1
ALALAY,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-03-01,0,1,1
ALTO BENI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-03-01,24,0,24
ANCORAIMES,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-03-01,1,0,1
ANDAMARCA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-03-01,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-03-01,1,2,3
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-03-01,2,6,8
BELLA FLOR,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-03-01,0,1,1
BERMEJO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-03-01,0,2,2
CABEZAS,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-03-01,4,0,4
CAIROMA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-03-01,0,1,1
CAMIRI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-03-01,7,2,9
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-03-01,1,0,1
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-03-01,0,1,1
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-03-01,5,29,34
CHIMORE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-03-01,2,0,2
COBIJA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-03-01,1,4,5
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-03-01,47,29,76
COMANCHE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-03-01,0,1,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-03-01,1,0,1
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-03-01,0,2,2
DESAGUADERO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-03-01,1,4,5
EL ALTO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-03-01,18,0,18
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-03-01,1,1,2
EXALTACION,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-03-01,0,1,1
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-03-01,7,0,7
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-03-01,3,6,9
GUAQUI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-03-01,2,0,2
GUTIERREZ,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-03-01,3,7,10
HUACARETA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-03-01,3,0,3
HUANUNI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-03-01,0,4,4
LA PAZ,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-03-01,17,5,22
LAGUNILLAS,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-03-01,0,2,2
LLICA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-03-01,1,0,1
LORETO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-03-01,1,0,1
MAGDALENA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-03-01,0,2,2
MIZQUE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-03-01,1,0,1
MONTERO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-03-01,6,15,21
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-03-01,0,5,5
ORURO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-03-01,2,0,2
PADCAYA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-03-01,4,0,4
PAILON,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-03-01,0,7,7
PASORAPA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-03-01,0,1,1
PELECHUCO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-03-01,0,1,1
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-03-01,1,0,1
POTOSI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-03-01,4,0,4
PUERTO GONZALO MORENO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-03-01,0,1,1
PUERTO PEREZ,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-03-01,1,5,6
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-03-01,7,0,7
PUNATA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-03-01,1,0,1
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-03-01,1,3,4
QUIME,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-03-01,0,1,1
ROBORE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-03-01,1,0,1
SACABA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-03-01,1,0,1
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-03-01,1,0,1
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-03-01,4,1,5
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-03-01,3,0,3
SAN JAVIER(BNI),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-03-01,1,1,2
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-03-01,0,1,1
SAN PEDRO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-03-01,3,0,3
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-03-01,0,5,5
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-03-01,0,6,6
SAN RAMON BENI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-03-01,0,1,1
SANTA ANA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-03-01,2,0,2
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-03-01,41,27,68
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-03-01,1,0,1
SANTIAGO DE MACHACA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-03-01,5,3,8
SANTIVAÑES,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-03-01,2,0,2
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-03-01,3,0,3
SOPACHUY,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-03-01,34,67,101
SORATA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-03-01,1,2,3
SUCRE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-03-01,32,44,76
TAPACARI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-03-01,0,6,6
TARIJA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-03-01,4,0,4
TEOPONTE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-03-01,3,0,3
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-03-01,4,1,5
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-03-01,0,6,6
TOMINA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-03-01,0,4,4
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-03-01,9,2,11
URIONDO (A. CONCEPCION),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-03-01,0,2,2
VIACHA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-03-01,5,0,5
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-03-01,1,0,1
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-03-01,2,2,4
WARNES,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-03-01,0,2,2
YACUIBA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-03-01,1,1,2
ALTO BENI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-04-01,1,0,1
APOLO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-04-01,3,0,3
ARANI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-04-01,2,0,2
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-04-01,0,10,10
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-04-01,2,14,16
BELLA FLOR,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-04-01,0,1,1
BERMEJO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-04-01,0,1,1
BOLIVAR,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-04-01,2,95,97
BOYUIBE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-04-01,1,0,1
CABEZAS,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-04-01,0,1,1
CALACOTO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-04-01,0,6,6
CAMIRI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-04-01,13,3,16
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-04-01,0,6,6
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-04-01,0,4,4
CATACORA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-04-01,0,2,2
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-04-01,1,0,1
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-04-01,4,1,5
CHIMORE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-04-01,6,0,6
CHUMA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-04-01,0,1,1
COBIJA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-04-01,2,1,3
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-04-01,56,27,83
COLOMI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-04-01,6,1,7
COROICO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-04-01,0,3,3
COTOCA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-04-01,1,7,8
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-04-01,0,4,4
EL ALTO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-04-01,14,4,18
EL TORNO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-04-01,2,0,2
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-04-01,9,1,10
FILADELFIA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-04-01,0,2,2
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-04-01,24,0,24
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-04-01,1,0,1
HUACARETA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-04-01,1,0,1
HUANUNI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-04-01,1,4,5
IXIAMAS,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-04-01,0,2,2
JESUS DE MACHACA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-04-01,4,0,4
LA PAZ,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-04-01,19,17,36
LAGUNILLAS,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-04-01,3,3,6
LURIBAY,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-04-01,2,0,2
MOJOCOYA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-04-01,5,3,8
MONTERO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-04-01,2,13,15
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-04-01,0,7,7
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-04-01,0,1,1
ORURO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-04-01,6,0,6
PAMPA AULLAGAS,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-04-01,0,1,1
PASORAPA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-04-01,0,3,3
PELECHUCO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-04-01,4,0,4
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-04-01,12,17,29
POTOSI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-04-01,19,0,19
PUERTO ACOSTA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-04-01,0,16,16
PUERTO GONZALO MORENO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-04-01,0,6,6
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-04-01,0,1,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-04-01,5,0,5
PUNATA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-04-01,2,0,2
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-04-01,20,8,28
