,group,variable,month,ANTIPOLIOMIELÍTICA 2DA DOSIS CANTIDAD,ANTIPOLIOMIELÍTICA 2DA DOSIS CANTIDAD,TOTALES
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-02-01,0,1,1
OMEREQUE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-02-01,1,0,1
ORURO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-02-01,2,1,3
PASORAPA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-02-01,0,1,1
PAZÑA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-02-01,0,1,1
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-02-01,0,2,2
PORVENIR,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-02-01,1,2,3
POTOSI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-02-01,4,0,4
PUERTO GONZALO MORENO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-02-01,0,7,7
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-02-01,2,1,3
PUNATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-02-01,2,0,2
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-02-01,1,4,5
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-02-01,1,0,1
SACABA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-02-01,1,1,2
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-02-01,4,2,6
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-02-01,1,2,3
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-02-01,3,0,3
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-02-01,1,0,1
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-02-01,1,0,1
SAN PEDRO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-02-01,3,0,3
SAN RAMON SCZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-02-01,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-02-01,105,9,114
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-02-01,1,0,1
SANTIAGO DE MACHACA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-02-01,0,1,1
SANTIVAÑES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-02-01,2,4,6
SHINAOTA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-02-01,1,0,1
SOPACHUY,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-02-01,12,17,29
SUCRE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-02-01,6,0,6
TAPACARI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-02-01,1,0,1
TARIJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-02-01,4,0,4
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-02-01,3,3,6
TOMINA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-02-01,1,0,1
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-02-01,0,1,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-02-01,3,0,3
URIONDO (A. CONCEPCION),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-02-01,0,2,2
VINTO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-02-01,8,0,8
WARNES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-02-01,2,0,2
YACUIBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-02-01,0,1,1
ZUDAÑEZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-02-01,1,0,1
ALALAY,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-03-01,0,1,1
ANCORAIMES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-03-01,3,0,3
ANDAMARCA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-03-01,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-03-01,1,2,3
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-03-01,2,6,8
BELLA FLOR,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-03-01,0,1,1
BETANZOS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-03-01,2,0,2
CABEZAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-03-01,4,0,4
CAMIRI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-03-01,7,2,9
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-03-01,1,0,1
CARANAVI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-03-01,0,1,1
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-03-01,0,1,1
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-03-01,2,23,25
CHIMORE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-03-01,2,0,2
CKOCHAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-03-01,9,6,15
COBIJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-03-01,1,4,5
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-03-01,49,29,78
COLPA BELGICA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-03-01,0,52,52
COLQUECHACA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-03-01,1,0,1
COMANCHE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-03-01,0,1,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-03-01,1,0,1
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-03-01,0,2,2
DESAGUADERO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-03-01,1,4,5
EL ALTO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-03-01,18,0,18
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-03-01,1,1,2
EXALTACION,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-03-01,0,1,1
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-03-01,1,0,1
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-03-01,3,6,9
GUAQUI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-03-01,2,0,2
GUTIERREZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-03-01,3,7,10
HUACARETA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-03-01,3,0,3
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-03-01,0,2,2
LA PAZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-03-01,8,5,13
LAGUNILLAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-03-01,0,2,2
LLICA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-03-01,2,0,2
LORETO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-03-01,1,0,1
MAGDALENA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-03-01,0,2,2
MIZQUE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-03-01,1,0,1
MONTERO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-03-01,6,15,21
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-03-01,0,5,5
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-03-01,0,1,1
ORURO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-03-01,2,0,2
PADCAYA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-03-01,1,0,1
PAILON,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-03-01,0,7,7
PASORAPA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-03-01,0,1,1
PELECHUCO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-03-01,0,1,1
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-03-01,1,0,1
POTOSI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-03-01,1,0,1
PUERTO GONZALO MORENO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-03-01,0,1,1
PUERTO PEREZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-03-01,1,5,6
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-03-01,7,0,7
PUNATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-03-01,1,0,1
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-03-01,1,3,4
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-03-01,1,0,1
ROBORE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-03-01,1,0,1
SACABA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-03-01,1,0,1
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-03-01,4,1,5
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-03-01,1,0,1
SAN JAVIER(BNI),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-03-01,1,1,2
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-03-01,0,1,1
SAN PEDRO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-03-01,3,0,3
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-03-01,0,6,6
SAN RAMON BENI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-03-01,0,1,1
SANTA ANA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-03-01,2,0,2
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-03-01,54,47,101
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-03-01,1,0,1
SANTIAGO DE MACHACA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-03-01,5,3,8
SANTIVAÑES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-03-01,2,0,2
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-03-01,3,0,3
SOPACHUY,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-03-01,34,67,101
SUCRE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-03-01,31,29,60
TAPACARI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-03-01,0,6,6
TARIJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-03-01,4,0,4
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-03-01,4,1,5
TOMINA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-03-01,0,4,4
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-03-01,9,2,11
URIONDO (A. CONCEPCION),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-03-01,0,2,2
VIACHA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-03-01,5,0,5
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-03-01,1,0,1
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-03-01,2,1,3
WARNES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-03-01,0,2,2
YACUIBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-03-01,3,1,4
APOLO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-04-01,3,0,3
ARANI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-04-01,2,0,2
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-04-01,0,10,10
ATOCHA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-04-01,5,20,25
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-04-01,2,14,16
BELLA FLOR,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-04-01,0,1,1
BERMEJO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-04-01,0,1,1
BETANZOS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-04-01,7,5,12
BOLIVAR,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-04-01,0,86,86
BOYUIBE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-04-01,1,0,1
CABEZAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-04-01,0,1,1
CALACOTO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-04-01,0,6,6
CAMIRI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-04-01,16,3,19
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-04-01,0,1,1
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-04-01,0,4,4
CATACORA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-04-01,0,2,2
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-04-01,1,0,1
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-04-01,3,0,3
CHIMORE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-04-01,6,0,6
CHUMA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-04-01,0,1,1
COBIJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-04-01,2,1,3
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-04-01,23,2,25
COLOMI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-04-01,6,1,7
COLPA BELGICA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-04-01,0,1,1
CORO CORO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-04-01,0,12,12
COROICO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-04-01,0,3,3
COTOCA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-04-01,1,7,8
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-04-01,0,4,4
EL ALTO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-04-01,18,4,22
EL TORNO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-04-01,2,0,2
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-04-01,9,1,10
FILADELFIA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-04-01,0,2,2
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2013-04-01,24,0,24
