,group,variable,month,SRP DOSIS ÚNICA CANTIDAD,SRP DOSIS ÚNICA CANTIDAD,TOTALES
WARNES,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,5,1,6
YACUIBA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,8,0,8
YAPACANI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,0,1,1
ANCORAIMES,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,1,1,2
APOLO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,2,0,2
ARBIETO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,0,3,3
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,1,0,1
AYATA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,0,3,3
BELLA FLOR,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,0,1,1
BETANZOS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,1,0,1
CAIROMA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,0,15,15
CAMARGO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,0,1,1
CAMIRI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,10,1,11
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,1,0,1
CARANAVI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,0,3,3
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,2,10,12
CHAQUI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,3,0,3
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,0,2,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,1,0,1
CHUMA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,7,9,16
COBIJA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,4,3,7
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,45,18,63
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,4,0,4
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,1,0,1
COLOMI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,1,3,4
COMARAPA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,0,1,1
CONCEPCION,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,6,1,7
COPACABANA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,1,0,1
COROICO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,1,0,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,7,4,11
EL ALTO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,60,27,87
EL TORNO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,2,6,8
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,2,0,2
EXALTACION,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,1,0,1
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,1,0,1
FILADELFIA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,0,1,1
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,1,5,6
HUANUNI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,6,1,7
HUARACAJE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,1,0,1
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,0,1,1
IXIAMAS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,2,0,2
LA ASUNTA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,2,0,2
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,5,2,7
LA PAZ,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,95,10,105
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,0,1,1
MAGDALENA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,0,1,1
MAIRANA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,1,0,1
MAPIRI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,2,0,2
MINEROS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,3,0,3
MIZQUE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,0,2,2
MONTERO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,8,0,8
ORURO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,36,4,40
PADILLA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,0,1,1
PAILON,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,1,13,14
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,4,0,4
POCOATA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,0,1,1
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,4,0,4
PORVENIR,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,1,1,2
POTOSI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,11,7,18
PUERTO PEREZ,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,0,1,1
PUERTO SUAREZ,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,2,0,2
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,6,0,6
PUNATA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,3,0,3
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,16,6,22
RAVELO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,0,1,1
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,2,0,2
SACABA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,13,19,32
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,0,1,1
SAMAIPATA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,1,0,1
SAN AGUSTIN,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,0,1,1
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,3,0,3
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,2,1,3
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,2,0,2
SAN JAVIER(STC),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,1,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,3,0,3
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,2,0,2
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,0,3,3
SAN RAMON BENI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,0,12,12
SANTA ANA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,236,63,299
SHINAOTA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,4,0,4
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,2,0,2
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,2,1,3
SUCRE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,8,0,8
TACACHI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,0,6,6
TARIJA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,7,13,20
TIAWANACU,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,2,0,2
TIPUANI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,1,0,1
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,9,0,9
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,1,0,1
TOLEDO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,0,1,1
TORO TORO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,15,0,15
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,13,8,21
TUPIZA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,0,7,7
VALLEGRANDE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,2,0,2
VIACHA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,3,1,4
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,2,0,2
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,2,4,6
VINTO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,12,0,12
WARNES,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,12,3,15
YACUIBA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-02-01,7,3,10
ACHOCALLA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,0,2,2
ANZALDO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,0,1,1
APOLO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,0,3,3
ARBIETO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,0,1,1
ARQUE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,1,1,2
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,5,0,5
ATOCHA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,4,1,5
AUCAPATA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,1,2,3
AYATA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,0,59,59
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,0,1,1
BELEN DE ANDAMARCA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,1,0,1
BERMEJO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,0,1,1
BETANZOS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,0,3,3
CABEZAS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,1,0,1
CAIROMA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,7,1,8
CAMIRI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,2,1,3
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,3,0,3
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,1,0,1
CARANAVI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,1,7,8
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,1,1,2
CHIMORE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,5,0,5
CHUMA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,20,21,41
COBIJA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,5,2,7
COCAPATA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,0,2,2
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,55,9,64
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,3,0,3
COLLANA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,3,0,3
COLOMI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,2,0,2
CORIPATA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,4,0,4
COROICO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,1,1,2
COTOCA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,8,8,16
EL ALTO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,128,79,207
EL PUENTE(STC),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,1,0,1
EL TORNO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,2,1,3
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,1,1,2
FILADELFIA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,1,14,15
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,1,2,3
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,1,1,2
HUANUNI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,3,5,8
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,0,3,3
LA ASUNTA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,30,4,34
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,10,2,12
LA PAZ,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,137,297,434
LAS CARRERAS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,0,1,1
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,0,1,1
MAIRANA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,2,1,3
MINEROS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,1,0,1
MIZQUE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,1,2,3
MONTERO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,10,3,13
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,0,1,1
OKINAWA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,0,1,1
ORURO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,22,6,28
PAILON,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,0,25,25
PALCA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,0,1,1
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,2,0,2
PELECHUCO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,0,3,3
POCONA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,0,1,1
PORONGO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,3,1,4
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,2,3,5
PORVENIR,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,0,1,1
POTOSI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,16,2,18
PUCARANI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,1,1,2
PUERTO PEREZ,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,0,1,1
PUERTO SUAREZ,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,2,0,2
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,2,6,8
PUNATA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,3,0,3
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,16,2,18
QUIME,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,1,0,1
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,1,2,3
ROBORE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,0,2,2
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,0,4,4
SACABA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,16,11,27
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,0,2,2
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,1,0,1
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,5,3,8
SAN CARLOS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-03-01,3,0,3
