,group,variable,month,ANTIPOLIOMIELÍTICA 3RA DOSIS CANTIDAD,ANTIPOLIOMIELÍTICA 3RA DOSIS CANTIDAD,TOTALES
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-03-01,3,0,3
COBIJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-03-01,1,0,1
COCAPATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-03-01,0,2,2
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-03-01,11,2,13
COROICO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-03-01,0,1,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-03-01,1,2,3
EL ALTO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-03-01,18,2,20
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-03-01,2,2,4
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-03-01,1,1,2
HUANUNI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-03-01,1,0,1
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-03-01,0,4,4
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-03-01,3,0,3
LA PAZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-03-01,1,0,1
MAGDALENA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-03-01,0,3,3
MONTERO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-03-01,2,1,3
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-03-01,0,2,2
ORURO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-03-01,3,1,4
PAILON,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-03-01,0,8,8
PAMPA GRANDE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-03-01,0,1,1
POTOSI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-03-01,4,1,5
PUERTO CARABUCO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-03-01,0,11,11
PUERTO SUAREZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-03-01,1,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-03-01,1,0,1
PUNATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-03-01,1,0,1
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-03-01,2,7,9
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-03-01,1,0,1
SACABA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-03-01,1,3,4
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-03-01,1,0,1
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-03-01,1,2,3
SANTA ANA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-03-01,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-03-01,22,28,50
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-03-01,0,1,1
SUCRE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-03-01,20,2,22
TARIJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-03-01,1,0,1
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-03-01,1,0,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-03-01,3,1,4
VIACHA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-03-01,2,0,2
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-03-01,2,0,2
WARNES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-03-01,3,0,3
YACUIBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-03-01,1,0,1
AIQUILE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-04-01,1,0,1
ALALAY,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-04-01,0,2,2
ANCORAIMES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-04-01,0,2,2
ARBIETO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-04-01,0,1,1
BATALLAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-04-01,1,0,1
BETANZOS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-04-01,3,1,4
BOYUIBE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-04-01,1,0,1
CAMIRI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-04-01,3,1,4
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-04-01,2,0,2
CARANAVI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-04-01,17,6,23
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-04-01,4,1,5
CHIMORE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-04-01,1,0,1
COCAPATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-04-01,0,2,2
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-04-01,12,0,12
COLOMI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-04-01,1,2,3
COTOCA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-04-01,2,15,17
EL ALTO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-04-01,40,3,43
EL TORNO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-04-01,1,0,1
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-04-01,1,1,2
HUACARETA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-04-01,4,1,5
HUARACAJE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-04-01,1,0,1
JESUS DE MACHACA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-04-01,2,0,2
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-04-01,1,0,1
LA PAZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-04-01,28,0,28
MAGDALENA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-04-01,1,0,1
MINEROS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-04-01,1,0,1
MONTERO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-04-01,4,0,4
ORURO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-04-01,5,1,6
PAILON,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-04-01,0,1,1
POCONA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-04-01,0,1,1
POTOSI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-04-01,2,1,3
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-04-01,0,1,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-04-01,1,0,1
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-04-01,2,7,9
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-04-01,0,1,1
SACABA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-04-01,0,20,20
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-04-01,2,3,5
SAN CARLOS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-04-01,1,0,1
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-04-01,3,0,3
SAN PEDRO(PND),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-04-01,0,1,1
SAN RAMON BENI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-04-01,1,5,6
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-04-01,31,43,74
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-04-01,0,1,1
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-04-01,2,2,4
SUCRE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-04-01,1,0,1
TACOBAMBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-04-01,5,0,5
TAPACARI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-04-01,5,6,11
TARACO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-04-01,0,1,1
TARIJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-04-01,2,0,2
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-04-01,0,8,8
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-04-01,0,1,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-04-01,2,0,2
VACAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-04-01,0,3,3
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-04-01,0,4,4
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-04-01,4,0,4
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-04-01,9,17,26
WARNES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-04-01,3,2,5
YACUIBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-04-01,2,2,4
ANDAMARCA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-05-01,1,0,1
ATOCHA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-05-01,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-05-01,1,5,6
BOYUIBE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-05-01,2,0,2
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-05-01,0,1,1
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-05-01,1,3,4
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-05-01,0,3,3
CHIMORE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-05-01,3,0,3
COBIJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-05-01,1,0,1
COCAPATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-05-01,0,1,1
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-05-01,34,118,152
CORO CORO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-05-01,1,1,2
COTOCA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-05-01,4,1,5
EL ALTO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-05-01,29,50,79
EL PUENTE(STC),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-05-01,0,4,4
EL TORNO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-05-01,8,1,9
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-05-01,2,3,5
GUAQUI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-05-01,0,1,1
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-05-01,0,1,1
GUTIERREZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-05-01,2,0,2
HUANUNI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-05-01,0,1,1
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-05-01,4,3,7
LA PAZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-05-01,13,2,15
LAGUNILLAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-05-01,0,11,11
MINEROS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-05-01,0,8,8
MONTERO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-05-01,14,19,33
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-05-01,0,1,1
ORURO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-05-01,4,17,21
PADCAYA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-05-01,0,1,1
PAILON,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-05-01,0,2,2
PAZÑA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-05-01,0,4,4
PORVENIR,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-05-01,0,1,1
POTOSI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-05-01,11,10,21
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-05-01,0,2,2
PUNATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-05-01,1,0,1
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-05-01,2,19,21
REYES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-05-01,1,0,1
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-05-01,0,4,4
SACABA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-05-01,1,1,2
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-05-01,2,6,8
SAN CARLOS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-05-01,0,1,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-05-01,0,2,2
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-05-01,22,31,53
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-05-01,0,1,1
SUCRE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-05-01,0,1,1
TACOBAMBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-05-01,1,0,1
TARATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-05-01,0,1,1
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-05-01,1,0,1
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-05-01,3,5,8
TOTORA(ORR),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-05-01,0,7,7
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-05-01,0,1,1
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-05-01,1,1,2
WARNES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-05-01,1,3,4
YACUIBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-05-01,3,0,3
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-06-01,2,0,2
