,group,variable,month,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO A. < 15,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO A. < 15,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO B. 15 A 19,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO B. 15 A 19,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO C. 20 - 34,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO C. 20 - 34,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO D. 35 - 49,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO D. 35 - 49,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO E. 50 Y +,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO E. 50 Y +,TOTALES
CABEZAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,0,1,8,2,1,0,0,0,12
CAIROMA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,0,1,4,0,2,0,0,0,7
"CAIZA ""D""",consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,0,2,4,0,3,0,0,0,9
CALACOTO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,0,0,0,1,1,0,0,0,2
CALAMARCA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,1,0,2,0,2,1,0,0,6
CAMARGO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,1,0,0,1,0,0,0,0,2
CAMIRI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,2,0,62,0,2,0,0,0,66
CAPINOTA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,5,0,11,0,2,0,0,0,18
CAQUIAVIRI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,1,0,2,0,1,0,0,0,4
CARACOLLO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,0,1,1,1,0,0,0,0,3
CARANAVI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,5,0,21,0,4,0,0,0,30
CARAPARI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,3,0,2,0,0,0,0,0,5
CARIPUYO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,0,0,0,0,1,0,0,0,1
CARMEN RIVERO TORREZ,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,2,0,1,0,1,0,0,0,4
CHALLAPATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,4,0,9,1,1,0,0,0,15
CHAQUI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,0,0,0,0,2,0,0,0,2
CHARAGUA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,2,0,24,0,5,0,0,0,31
CHARAÑA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,0,0,0,1,0,0,0,0,1
CHAYANTA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,4,0,5,1,1,0,0,0,11
CHIMORE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,4,0,6,1,0,0,0,0,11
CHUA COCANI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,0,0,2,0,0,0,0,0,2
CHULUMANI (V. DE LA LIBERTAD),consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,3,0,10,0,4,0,0,0,0,0,17
CHUMA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,2,0,0,0,0,1,0,0,3
CHUQUIHUTA AYLLU JUCUMANI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,1,0,0,0,0,0,0,0,1
CKOCHAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,2,0,0,0,1,0,1,0,0,0,4
CLIZA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,5,0,7,0,1,0,0,0,13
COBIJA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,8,0,25,1,4,0,0,0,38
COCAPATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,1,0,1,3,1,0,0,0,6
COCHABAMBA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,3,0,119,9,1097,29,191,6,0,0,1454
COLCAPIRHUA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,7,1,70,1,11,0,0,0,90
"COLCHA ""K""",consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,1,0,4,0,2,0,0,0,7
COLLANA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,0,0,1,0,0,0,0,0,1
COLOMI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,1,0,3,0,10,2,2,0,0,0,18
COLPA BELGICA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,2,0,4,0,0,0,0,0,6
COLQUECHACA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,5,0,4,2,3,0,0,0,14
COLQUENCHA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,0,0,2,0,0,0,0,0,2
COLQUIRI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,2,0,3,0,0,0,0,0,5
COMANCHE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,2,0,1,0,0,0,0,0,3
COMARAPA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,1,0,1,0,4,0,1,0,0,0,7
CONCEPCION,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,3,0,2,0,5,0,2,0,0,0,12
COPACABANA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,0,0,1,0,0,0,0,0,1
CORIPATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,2,0,6,0,2,0,0,0,10
CORO CORO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,0,0,1,0,0,0,0,0,1
COROICO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,1,0,4,0,4,0,1,0,0,0,10
CORQUE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,0,0,1,1,0,0,0,0,2
COTAGAITA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,3,0,5,0,1,0,0,0,9
COTOCA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,3,0,11,0,22,0,5,0,0,0,41
CUATRO CAÑADAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,1,1,8,4,1,0,0,0,15
CUEVO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,1,0,2,0,1,0,0,0,4
CULPINA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,4,0,2,0,0,1,0,0,7
CURAHUARA DE CARANGAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,1,0,0,0,1,0,0,0,2
CURVA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,0,0,1,0,0,0,0,0,1
DESAGUADERO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,0,0,1,0,1,0,0,0,2
EL ALTO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,1,1,99,16,462,54,136,17,4,0,790
EL CHORO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,0,0,1,0,0,0,0,0,1
EL PUENTE(STC),consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,0,0,1,0,0,0,0,0,1
EL PUENTE(TJA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,2,0,1,0,0,0,0,0,3
EL TORNO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,2,0,5,0,25,1,8,1,0,0,42
EL VILLAR,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,0,0,0,0,1,0,0,0,1
ENTRE RIOS TRJ,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,0,0,6,0,1,0,0,0,7
ENTRE RIOS CBBA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,2,0,7,0,13,0,2,0,0,0,24
ESCOMA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,0,0,2,0,0,0,0,0,2
EUCALIPTUS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,1,0,0,1,0,0,0,0,2
EXALTACION,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,0,0,0,0,1,0,0,0,1
FERNANDEZ ALONSO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,0,0,0,1,0,0,0,0,1
FILADELFIA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,3,1,0,0,0,0,0,0,4
GENERAL SAAVEDRA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,3,0,5,0,0,0,0,0,8
GRAL. J.J. PEREZ (CHARAZANI),consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,3,0,2,0,0,0,0,0,5
GUANAY,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,2,0,4,1,0,0,0,0,7
GUAQUI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,3,0,3,0,0,0,0,0,6
GUAYARAMERIN,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,10,0,33,0,5,0,0,0,48
GUTIERREZ,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,6,0,4,0,0,0,0,0,10
HUACARETA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,0,0,0,0,1,1,0,0,2
HUACHACALLA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,0,0,1,0,1,0,0,0,2
HUANUNI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,1,0,0,0,13,0,2,0,0,0,16
HUARACAJE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,1,0,0,0,0,0,0,0,1
HUARINA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,1,0,1,1,0,0,0,0,3
HUATAJATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,0,0,1,0,0,0,0,0,1
HUAYLLAMARCA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,0,0,1,0,0,0,0,0,1
HUMANATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,1,0,2,0,0,0,0,0,3
ICHOCA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,0,1,1,0,0,0,0,0,2
ICLA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,1,0,0,0,1,0,0,0,2
INCAHUASI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,0,0,0,2,0,0,1,0,3
INQUISIVI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,1,0,1,0,1,0,0,0,3
IRUPANA (VILLA DE LANZA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,1,0,2,0,1,3,0,0,0,0,7
IXIAMAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,0,0,1,0,0,0,0,0,1
JESUS DE MACHACA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,2,0,0,0,0,0,0,0,2
LA ASUNTA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,2,0,10,0,2,0,0,0,14
LA GUARDIA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,1,0,17,0,53,0,4,0,0,0,75
LA PAZ,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,4,0,65,0,457,0,93,17,1,0,637
LAGUNILLAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,1,1,3,1,1,0,0,0,7
LAJA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,1,1,4,0,4,0,0,0,10
LAS CARRERAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,1,0,0,0,0,0,0,0,1
LICOMA PAMPA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,0,0,2,0,0,0,0,0,2
LLALLAGUA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,5,0,13,0,9,0,0,0,27
LLICA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,1,0,1,0,0,0,0,0,2
LORETO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,0,0,2,0,0,0,0,0,2
LURIBAY,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,1,0,1,0,0,0,0,0,2
MACHACAMARCA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,0,0,3,0,2,0,0,0,5
MACHARETI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,2,0,3,0,1,0,0,0,6
MAGDALENA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,5,0,4,0,0,0,0,0,9
MAIRANA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,3,0,5,0,1,0,0,0,9
MALLA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,1,0,0,0,0,0,0,0,1
MAPIRI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,0,2,3,0,0,0,0,0,5
MECAPACA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,0,0,4,0,0,2,0,0,6
MINEROS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,3,0,3,1,1,0,0,0,8
MIZQUE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,1,0,5,0,6,1,0,0,0,0,13
MOCOMOCO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,1,0,3,0,0,0,0,0,4
MOJOCOYA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,1,0,0,0,0,0,0,0,0,0,1
MONTEAGUDO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,2,0,3,0,0,0,0,0,5
MONTERO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,5,0,22,0,34,11,2,5,0,0,79
MORO MORO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,3,1,4,0,1,0,0,0,9
MOROCHATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,3,0,3,0,0,0,0,0,6
NACEBE (SANTA ROSA DEL ABUNA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,0,1,1,0,0,0,0,0,2
OCURI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,1,0,2,0,1,1,0,0,5
OKINAWA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,0,0,1,1,0,0,0,0,2
OMEREQUE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,0,0,2,0,1,0,0,0,3
ORURO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,2,0,34,2,274,3,78,0,0,0,393
PADCAYA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,1,0,1,0,0,0,0,0,2
PAILON,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,2,0,9,0,20,0,2,0,0,0,33
PALCA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,4,0,7,0,3,0,0,0,14
PALOS BLANCOS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,2,0,4,0,1,0,0,0,7
PAMPA AULLAGAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,0,0,1,1,0,0,0,0,2
PAMPA GRANDE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,1,0,1,0,0,0,0,0,2
PAPEL PAMPA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,0,0,2,0,0,0,0,0,2
PATACAMAYA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,5,0,21,0,2,0,0,0,28
PAZÑA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,0,0,1,0,1,0,0,0,2
PELECHUCO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,0,0,3,0,1,0,0,0,4
POCOATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,0,2,2,3,2,3,0,0,12
POCONA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,0,0,2,0,0,0,0,0,2
POJO (CBBA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,0,0,2,0,0,0,0,0,2
PORCO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,0,0,2,0,1,0,0,0,3
POROMA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,0,0,2,0,0,0,0,0,2
PORONGO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,7,2,6,7,0,0,0,0,22
PORTACHUELO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,4,0,1,0,2,0,0,0,0,0,7
PORVENIR,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,4,0,0,0,0,0,0,0,4
POTOSI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,2,1,27,2,308,6,253,2,0,0,601
PRESTO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,0,0,1,0,0,0,0,0,1
PUCARANI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,3,0,8,1,1,2,0,0,15
PUERTO ACOSTA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,2,3,1,1,0,0,0,0,7
PUERTO CARABUCO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,1,0,6,1,2,0,0,0,10
PUERTO GONZALO MORENO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,2,0,1,0,0,0,0,0,3
PUERTO PEREZ,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,2,1,1,1,0,0,0,0,5
PUERTO QUIJARRO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,1,0,1,1,3,0,0,0,0,0,6
PUERTO RICO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,1,1,1,0,3,0,0,0,0,0,6
PUERTO SILES,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,1,0,1,0,0,0,0,0,2
PUERTO SUAREZ,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,1,0,2,0,14,0,3,0,0,0,20
PUERTO VILLARROEL,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,1,0,22,0,29,0,5,0,0,0,57
PUNA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,2,0,1,0,0,0,0,0,3
PUNATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,7,0,29,1,6,0,0,0,43
QUILLACOLLO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,1,0,15,2,113,9,27,1,0,0,168
QUIME,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,1,0,1,0,1,0,0,0,3
RAVELO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,2,0,2,0,1,0,0,0,5
REYES,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,1,0,4,1,1,0,0,0,7
RIBERALTA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,1,0,19,1,33,1,5,0,0,0,60
ROBORE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,1,0,6,0,3,0,0,0,10
RURRENABAQUE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,4,1,5,2,11,0,0,0,23
SACABA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,1,0,20,2,65,16,21,4,0,0,129
SACABAMBA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,0,0,1,0,0,0,0,0,1
SACACA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,5,0,8,1,2,0,0,0,16
SAIPINA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,2,0,2,0,0,0,0,0,4
SALINAS DE GARCI MENDOZA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,1,0,1,0,0,0,0,0,2
SAMAIPATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,1,0,0,0,3,0,0,0,0,0,4
SAN ANDRES,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,3,0,8,0,9,0,2,0,0,0,22
SAN ANDRES DE MACHACA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,0,0,1,0,0,0,0,0,1
SAN ANTONIO DE LOMERIO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,0,0,1,1,0,1,0,0,3
SAN BENITO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,2,0,0,0,2,0,0,0,4
SAN BORJA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,2,12,0,29,1,6,0,0,0,50
SAN BUENA VENTURA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,2,0,5,0,0,0,0,0,7
SAN CARLOS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,2,0,1,0,0,0,0,0,3
SAN IGNACIO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,2,0,4,1,17,1,7,0,0,0,32
SAN IGNACIO DE VELASCO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,3,0,9,1,21,3,3,1,0,0,41
SAN JAVIER(BNI),consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,1,0,4,0,0,0,0,0,5
SAN JAVIER(STC),consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,1,0,3,0,3,0,1,0,0,0,8
SAN JOAQUIN,consultas prenatales,nuevas a partir del 5to mes de embarazo,2017-01-01,0,0,1,0,1,0,2,0,0,0,4
