,group,variable,month,REPETIDAS A. < 15,REPETIDAS A. < 15,REPETIDAS B. 15 A 19,REPETIDAS B. 15 A 19,REPETIDAS C. 20 - 34,REPETIDAS C. 20 - 34,REPETIDAS D. 35 - 49,REPETIDAS D. 35 - 49,REPETIDAS E. 50 Y +,REPETIDAS E. 50 Y +,TOTALES
CALAMARCA,consultas prenatales,repetidas,2017-01-01,1,0,9,1,55,2,6,2,0,0,76
CAMARGO,consultas prenatales,repetidas,2017-01-01,1,0,25,2,89,5,13,1,0,0,136
CAMATAQUI (C. VILLA ABECIA),consultas prenatales,repetidas,2017-01-01,0,0,0,3,6,2,0,0,0,0,11
CAMIRI,consultas prenatales,repetidas,2017-01-01,2,0,69,5,347,1,65,1,0,0,490
CAPINOTA,consultas prenatales,repetidas,2017-01-01,0,0,32,0,107,0,20,0,0,0,159
CAQUIAVIRI,consultas prenatales,repetidas,2017-01-01,0,0,9,0,14,2,3,0,0,0,28
CARACOLLO,consultas prenatales,repetidas,2017-01-01,0,0,25,2,93,2,12,0,0,0,134
CARANAVI,consultas prenatales,repetidas,2017-01-01,2,0,67,0,318,1,42,0,0,0,430
CARAPARI,consultas prenatales,repetidas,2017-01-01,4,0,22,0,85,3,17,0,0,0,131
CARIPUYO,consultas prenatales,repetidas,2017-01-01,0,0,5,1,10,4,4,0,0,0,24
CARMEN RIVERO TORREZ,consultas prenatales,repetidas,2017-01-01,0,0,12,0,35,0,7,0,0,0,54
CATACORA,consultas prenatales,repetidas,2017-01-01,0,0,1,0,3,0,0,0,0,0,4
CHACARILLA,consultas prenatales,repetidas,2017-01-01,0,0,1,2,5,0,0,0,0,0,8
CHALLAPATA,consultas prenatales,repetidas,2017-01-01,0,0,22,2,116,16,12,4,0,0,172
CHAQUI,consultas prenatales,repetidas,2017-01-01,0,0,5,1,22,2,7,0,0,0,37
CHARAGUA,consultas prenatales,repetidas,2017-01-01,1,0,37,0,98,1,21,2,0,0,160
CHARAÑA,consultas prenatales,repetidas,2017-01-01,0,0,1,0,4,2,1,1,0,0,9
CHAYANTA,consultas prenatales,repetidas,2017-01-01,0,0,11,4,42,4,10,2,1,0,74
CHIMORE,consultas prenatales,repetidas,2017-01-01,0,0,58,3,146,6,33,0,0,0,246
CHIPAYA,consultas prenatales,repetidas,2017-01-01,0,0,4,0,4,0,0,0,0,0,8
CHOQUE COTA,consultas prenatales,repetidas,2017-01-01,0,0,0,0,0,0,1,0,0,0,1
CHUA COCANI,consultas prenatales,repetidas,2017-01-01,0,0,1,0,13,0,0,0,0,0,14
CHULUMANI (V. DE LA LIBERTAD),consultas prenatales,repetidas,2017-01-01,23,0,80,0,30,1,4,0,0,0,138
CHUMA,consultas prenatales,repetidas,2017-01-01,0,0,2,5,15,3,4,0,0,0,29
CHUQUIHUTA AYLLU JUCUMANI,consultas prenatales,repetidas,2017-01-01,0,0,4,3,21,5,4,3,0,0,40
CKOCHAS,consultas prenatales,repetidas,2017-01-01,0,0,5,1,21,7,15,4,0,0,53
CLIZA,consultas prenatales,repetidas,2017-01-01,0,0,20,0,158,1,32,1,0,0,212
COBIJA,consultas prenatales,repetidas,2017-01-01,9,0,175,1,539,4,88,0,1,0,817
COCAPATA,consultas prenatales,repetidas,2017-01-01,0,0,18,7,27,16,10,5,0,0,83
COCHABAMBA,consultas prenatales,repetidas,2017-01-01,20,0,653,1,5166,7,1173,2,0,0,7022
COIPASA,consultas prenatales,repetidas,2017-01-01,0,0,0,0,2,0,0,0,0,0,2
COLCAPIRHUA,consultas prenatales,repetidas,2017-01-01,0,0,92,1,386,10,53,0,0,0,542
"COLCHA ""K""",consultas prenatales,repetidas,2017-01-01,0,0,10,3,25,1,9,1,0,0,49
COLLANA,consultas prenatales,repetidas,2017-01-01,0,0,3,0,4,0,1,0,0,0,8
COLOMI,consultas prenatales,repetidas,2017-01-01,5,0,48,1,112,2,17,0,0,0,185
COLPA BELGICA,consultas prenatales,repetidas,2017-01-01,1,0,13,0,25,0,3,0,0,0,42
COLQUECHACA,consultas prenatales,repetidas,2017-01-01,0,0,27,6,75,23,35,6,0,0,172
COLQUENCHA,consultas prenatales,repetidas,2017-01-01,2,0,13,0,44,0,10,0,0,0,69
COLQUIRI,consultas prenatales,repetidas,2017-01-01,0,0,11,8,34,14,3,1,0,0,71
COMANCHE,consultas prenatales,repetidas,2017-01-01,0,0,3,0,4,0,0,0,0,0,7
COMARAPA,consultas prenatales,repetidas,2017-01-01,2,0,47,0,119,1,27,0,0,0,196
COMBAYA,consultas prenatales,repetidas,2017-01-01,0,0,0,1,1,0,0,0,0,0,2
CONCEPCION,consultas prenatales,repetidas,2017-01-01,1,1,39,2,82,6,14,1,0,0,146
COPACABANA,consultas prenatales,repetidas,2017-01-01,0,0,13,0,40,2,12,0,0,0,67
CORIPATA,consultas prenatales,repetidas,2017-01-01,0,0,18,0,77,0,14,0,0,0,109
CORO CORO,consultas prenatales,repetidas,2017-01-01,0,1,5,2,16,4,4,0,0,0,32
COROICO,consultas prenatales,repetidas,2017-01-01,0,0,18,0,96,2,18,0,0,0,134
CORQUE,consultas prenatales,repetidas,2017-01-01,0,1,3,1,11,5,4,1,0,0,26
COTAGAITA,consultas prenatales,repetidas,2017-01-01,0,0,23,1,56,5,14,2,0,0,101
COTOCA,consultas prenatales,repetidas,2017-01-01,5,0,136,0,356,0,43,0,0,0,540
CUATRO CAÑADAS,consultas prenatales,repetidas,2017-01-01,3,0,28,8,112,28,12,4,0,0,195
CUCHUMUELA (V. G. VILLARROEL),consultas prenatales,repetidas,2017-01-01,0,0,1,1,4,2,1,0,0,0,9
CUEVO,consultas prenatales,repetidas,2017-01-01,0,0,3,0,11,0,2,0,0,0,16
CULPINA,consultas prenatales,repetidas,2017-01-01,0,0,18,2,43,6,12,6,0,0,87
CURAHUARA DE CARANGAS,consultas prenatales,repetidas,2017-01-01,0,0,4,0,8,0,1,0,0,0,13
CURVA,consultas prenatales,repetidas,2017-01-01,0,0,0,2,4,2,1,0,0,0,9
DESAGUADERO,consultas prenatales,repetidas,2017-01-01,0,0,4,0,28,0,2,0,0,0,34
EL ALTO,consultas prenatales,repetidas,2017-01-01,11,4,865,119,4776,698,951,97,1,0,7522
EL CHORO,consultas prenatales,repetidas,2017-01-01,0,0,1,1,9,3,2,0,0,0,16
EL PUENTE(STC),consultas prenatales,repetidas,2017-01-01,1,0,16,0,40,1,6,1,0,0,65
EL PUENTE(TJA),consultas prenatales,repetidas,2017-01-01,0,0,10,1,22,4,13,0,0,0,50
EL TORNO,consultas prenatales,repetidas,2017-01-01,37,0,123,0,296,12,110,2,0,0,580
EL VILLAR,consultas prenatales,repetidas,2017-01-01,0,0,4,0,8,0,5,1,0,0,18
ENTRE RIOS TRJ,consultas prenatales,repetidas,2017-01-01,3,0,32,2,90,3,19,1,0,0,150
ENTRE RIOS CBBA,consultas prenatales,repetidas,2017-01-01,5,0,121,3,257,0,40,0,0,0,426
ESCARA,consultas prenatales,repetidas,2017-01-01,0,0,2,0,0,0,0,0,0,0,2
ESCOMA,consultas prenatales,repetidas,2017-01-01,0,0,16,0,22,0,3,0,0,0,41
ESMERALDA,consultas prenatales,repetidas,2017-01-01,0,0,0,0,0,1,0,0,0,0,1
EUCALIPTUS,consultas prenatales,repetidas,2017-01-01,0,0,5,1,11,0,2,0,0,0,19
EUREKA (SANTOS MERCADO),consultas prenatales,repetidas,2017-01-01,0,0,2,0,3,0,0,0,0,0,5
EXALTACION,consultas prenatales,repetidas,2017-01-01,0,0,2,0,0,0,0,0,0,0,2
FERNANDEZ ALONSO,consultas prenatales,repetidas,2017-01-01,0,0,20,1,60,0,7,0,0,0,88
FILADELFIA,consultas prenatales,repetidas,2017-01-01,3,0,11,0,24,0,3,0,0,0,41
GENERAL SAAVEDRA,consultas prenatales,repetidas,2017-01-01,1,0,27,0,70,1,8,0,0,0,107
GRAL. J.J. PEREZ (CHARAZANI),consultas prenatales,repetidas,2017-01-01,0,0,9,1,34,0,5,0,0,0,49
GUANAY,consultas prenatales,repetidas,2017-01-01,0,0,19,2,88,7,11,1,0,0,128
GUAQUI,consultas prenatales,repetidas,2017-01-01,1,0,8,0,18,1,4,0,0,0,32
GUAYARAMERIN,consultas prenatales,repetidas,2017-01-01,11,0,97,2,291,2,44,0,0,0,447
GUTIERREZ,consultas prenatales,repetidas,2017-01-01,0,0,18,3,42,7,8,1,0,0,79
HUACARETA,consultas prenatales,repetidas,2017-01-01,0,0,12,1,19,2,7,1,0,0,42
HUACAYA (VILLA DE HUACAYA),consultas prenatales,repetidas,2017-01-01,0,0,0,0,4,2,0,1,0,0,7
HUACHACALLA,consultas prenatales,repetidas,2017-01-01,0,0,3,0,9,0,1,0,0,0,13
HUANUNI,consultas prenatales,repetidas,2017-01-01,0,0,24,0,94,0,14,0,0,0,132
HUARACAJE,consultas prenatales,repetidas,2017-01-01,0,0,2,0,21,0,1,0,0,0,24
HUARINA,consultas prenatales,repetidas,2017-01-01,2,0,4,0,20,3,4,0,0,0,33
HUATAJATA,consultas prenatales,repetidas,2017-01-01,0,0,1,0,6,0,3,0,0,0,10
HUAYLLAMARCA,consultas prenatales,repetidas,2017-01-01,0,0,2,0,4,0,2,0,0,0,8
HUMANATA,consultas prenatales,repetidas,2017-01-01,0,0,2,1,4,0,0,0,0,0,7
ICHOCA,consultas prenatales,repetidas,2017-01-01,0,0,3,1,7,8,0,1,0,0,20
ICLA,consultas prenatales,repetidas,2017-01-01,0,0,9,2,12,2,7,0,0,0,32
INCAHUASI,consultas prenatales,repetidas,2017-01-01,1,0,5,4,15,9,0,6,0,0,40
INGAVI (HUMAITA),consultas prenatales,repetidas,2017-01-01,2,0,1,0,8,0,0,0,0,0,11
INQUISIVI,consultas prenatales,repetidas,2017-01-01,1,0,10,1,13,8,4,1,0,0,38
IRUPANA (VILLA DE LANZA),consultas prenatales,repetidas,2017-01-01,1,0,12,0,54,3,10,2,0,0,82
IXIAMAS,consultas prenatales,repetidas,2017-01-01,1,0,27,1,35,0,8,0,0,0,72
JESUS DE MACHACA,consultas prenatales,repetidas,2017-01-01,1,1,12,1,21,0,6,0,0,0,42
LA ASUNTA,consultas prenatales,repetidas,2017-01-01,4,0,55,3,264,7,29,0,0,0,362
LA GUARDIA,consultas prenatales,repetidas,2017-01-01,5,1,174,0,556,1,79,0,2,0,818
LA PAZ,consultas prenatales,repetidas,2017-01-01,7,0,572,5,4824,1,985,3,1,0,6398
LA RIVERA,consultas prenatales,repetidas,2017-01-01,0,0,0,0,2,0,0,0,0,0,2
LAGUNILLAS,consultas prenatales,repetidas,2017-01-01,0,0,11,0,28,3,2,0,0,0,44
LAJA,consultas prenatales,repetidas,2017-01-01,0,0,20,2,69,1,9,0,0,0,101
LAS CARRERAS,consultas prenatales,repetidas,2017-01-01,0,0,1,0,9,2,0,0,0,0,12
LICOMA PAMPA,consultas prenatales,repetidas,2017-01-01,0,0,3,0,6,0,2,1,0,0,12
LLALLAGUA,consultas prenatales,repetidas,2017-01-01,2,0,72,0,242,3,41,1,0,0,361
LLICA,consultas prenatales,repetidas,2017-01-01,0,0,2,0,11,1,1,0,0,0,15
LORETO,consultas prenatales,repetidas,2017-01-01,0,0,5,0,3,0,0,0,0,0,8
LURIBAY,consultas prenatales,repetidas,2017-01-01,0,0,7,0,22,0,5,0,0,0,34
MACHACAMARCA,consultas prenatales,repetidas,2017-01-01,0,0,4,0,12,0,2,0,0,0,18
MACHARETI,consultas prenatales,repetidas,2017-01-01,2,0,9,0,26,0,8,0,0,0,45
MAGDALENA,consultas prenatales,repetidas,2017-01-01,3,0,34,0,66,1,5,0,0,0,109
MAIRANA,consultas prenatales,repetidas,2017-01-01,1,0,29,0,71,0,14,0,0,0,115
MALLA,consultas prenatales,repetidas,2017-01-01,0,0,4,0,7,2,0,0,0,0,13
MAPIRI,consultas prenatales,repetidas,2017-01-01,0,0,33,0,93,2,13,1,0,0,142
MECAPACA,consultas prenatales,repetidas,2017-01-01,0,1,10,0,45,1,6,1,0,0,64
MINEROS,consultas prenatales,repetidas,2017-01-01,5,0,43,2,111,2,20,0,0,0,183
MIZQUE,consultas prenatales,repetidas,2017-01-01,3,0,44,0,118,2,32,0,0,0,199
MOCOMOCO,consultas prenatales,repetidas,2017-01-01,0,0,9,1,24,2,4,0,0,0,40
MOJINETE,consultas prenatales,repetidas,2017-01-01,0,0,0,2,1,0,1,0,0,0,4
MOJOCOYA,consultas prenatales,repetidas,2017-01-01,1,0,10,1,10,3,4,0,0,0,29
MONTEAGUDO,consultas prenatales,repetidas,2017-01-01,0,0,43,0,106,12,25,0,0,0,186
MONTERO,consultas prenatales,repetidas,2017-01-01,12,0,257,6,696,143,135,34,1,0,1284
MORO MORO,consultas prenatales,repetidas,2017-01-01,0,0,2,2,1,1,0,0,0,0,6
MOROCHATA,consultas prenatales,repetidas,2017-01-01,1,1,12,2,23,5,6,2,0,0,52
NACEBE (SANTA ROSA DEL ABUNA),consultas prenatales,repetidas,2017-01-01,0,0,6,0,9,3,0,0,0,0,18
NAZACARA DE PACAJES,consultas prenatales,repetidas,2017-01-01,1,0,0,0,1,0,0,0,0,0,2
NUEVO MANOA (NUEVA ESPERANZA),consultas prenatales,repetidas,2017-01-01,1,0,5,2,5,0,0,0,0,0,13
OCURI,consultas prenatales,repetidas,2017-01-01,0,0,8,0,21,6,9,6,0,0,50
OKINAWA,consultas prenatales,repetidas,2017-01-01,0,0,20,0,71,2,3,0,0,0,96
OMEREQUE,consultas prenatales,repetidas,2017-01-01,0,0,12,1,20,3,2,1,0,0,39
ORURO,consultas prenatales,repetidas,2017-01-01,1,0,384,10,2535,32,527,0,0,0,3489
PADCAYA,consultas prenatales,repetidas,2017-01-01,1,0,21,0,73,0,16,1,1,0,113
PADILLA,consultas prenatales,repetidas,2017-01-01,1,0,9,2,38,5,8,0,0,0,63
PAILON,consultas prenatales,repetidas,2017-01-01,8,0,58,0,199,0,32,0,1,0,298
PALCA,consultas prenatales,repetidas,2017-01-01,0,0,26,1,53,2,8,0,0,0,90
PALOS BLANCOS,consultas prenatales,repetidas,2017-01-01,0,1,62,0,176,4,29,3,0,0,275
PAMPA AULLAGAS,consultas prenatales,repetidas,2017-01-01,1,0,1,0,5,1,1,0,0,0,9
PAMPA GRANDE,consultas prenatales,repetidas,2017-01-01,0,0,20,0,44,0,9,0,0,0,73
PAPEL PAMPA,consultas prenatales,repetidas,2017-01-01,0,0,8,0,13,0,4,0,0,0,25
PASORAPA,consultas prenatales,repetidas,2017-01-01,0,0,2,0,6,0,0,0,0,0,8
PATACAMAYA,consultas prenatales,repetidas,2017-01-01,0,0,26,0,128,0,8,0,0,0,162
PAZÑA,consultas prenatales,repetidas,2017-01-01,0,0,4,1,12,4,7,0,0,0,28
PELECHUCO,consultas prenatales,repetidas,2017-01-01,0,0,4,0,21,1,3,0,0,0,29
POCOATA,consultas prenatales,repetidas,2017-01-01,0,2,9,6,27,23,16,15,0,0,98
POCONA,consultas prenatales,repetidas,2017-01-01,0,0,15,1,23,0,4,0,0,0,43
POJO (CBBA),consultas prenatales,repetidas,2017-01-01,0,0,25,0,59,0,13,1,0,0,98
POOPO,consultas prenatales,repetidas,2017-01-01,0,0,4,0,33,0,4,0,0,0,41
PORCO,consultas prenatales,repetidas,2017-01-01,1,0,12,1,41,1,2,0,0,0,58
POROMA,consultas prenatales,repetidas,2017-01-01,0,0,8,2,18,11,13,4,0,0,56
PORONGO,consultas prenatales,repetidas,2017-01-01,0,0,10,4,14,21,4,3,0,0,56
PORTACHUELO,consultas prenatales,repetidas,2017-01-01,7,0,25,0,88,0,9,0,0,0,129
PORVENIR,consultas prenatales,repetidas,2017-01-01,2,0,21,0,36,0,8,0,0,0,67
POSTRER VALLE,consultas prenatales,repetidas,2017-01-01,0,0,3,0,4,2,0,0,0,0,9
POTOSI,consultas prenatales,repetidas,2017-01-01,8,0,260,8,1215,39,259,7,0,0,1796
PRESTO,consultas prenatales,repetidas,2017-01-01,0,0,5,3,17,8,8,1,0,0,42
PUCARA,consultas prenatales,repetidas,2017-01-01,0,0,3,0,3,0,0,0,0,0,6
PUCARANI,consultas prenatales,repetidas,2017-01-01,0,0,26,2,70,6,10,0,0,0,114
PUERTO ACOSTA,consultas prenatales,repetidas,2017-01-01,0,0,4,0,17,8,3,0,0,0,32
PUERTO CARABUCO,consultas prenatales,repetidas,2017-01-01,0,0,11,2,28,5,6,3,0,0,55
PUERTO GONZALO MORENO,consultas prenatales,repetidas,2017-01-01,1,0,17,0,24,3,5,1,0,0,51
PUERTO PEREZ,consultas prenatales,repetidas,2017-01-01,0,0,2,0,7,1,2,0,0,0,12
PUERTO QUIJARRO,consultas prenatales,repetidas,2017-01-01,0,0,6,0,27,0,2,0,0,0,35
PUERTO RICO,consultas prenatales,repetidas,2017-01-01,1,0,28,0,47,1,5,0,0,0,82
PUERTO SILES,consultas prenatales,repetidas,2017-01-01,0,0,3,0,0,0,0,0,0,0,3
PUERTO SUAREZ,consultas prenatales,repetidas,2017-01-01,4,0,39,0,100,0,16,0,0,0,159
PUERTO VILLARROEL,consultas prenatales,repetidas,2017-01-01,3,0,136,0,355,1,54,0,0,0,549
PUNA,consultas prenatales,repetidas,2017-01-01,1,0,13,0,52,5,14,2,0,0,87
PUNATA,consultas prenatales,repetidas,2017-01-01,0,0,34,0,197,0,40,0,0,0,271
QUIABAYA,consultas prenatales,repetidas,2017-01-01,0,0,9,0,8,0,0,0,0,0,17
QUILLACOLLO,consultas prenatales,repetidas,2017-01-01,5,1,173,16,736,61,156,11,0,0,1159
QUIME,consultas prenatales,repetidas,2017-01-01,0,0,8,0,38,2,6,0,0,0,54
QUIRUSILLAS,consultas prenatales,repetidas,2017-01-01,0,0,2,0,7,0,1,0,0,0,10
RAVELO,consultas prenatales,repetidas,2017-01-01,0,1,7,2,14,8,12,5,0,0,49
REYES,consultas prenatales,repetidas,2017-01-01,6,0,25,0,65,0,5,0,0,0,101
RIBERALTA,consultas prenatales,repetidas,2017-01-01,24,0,279,0,709,1,97,0,0,0,1110
ROBORE,consultas prenatales,repetidas,2017-01-01,0,0,15,0,52,0,0,0,0,0,67
RURRENABAQUE,consultas prenatales,repetidas,2017-01-01,2,0,49,1,123,2,21,2,0,0,200
SABAYA,consultas prenatales,repetidas,2017-01-01,0,0,6,1,11,0,2,0,0,0,20
SACABA,consultas prenatales,repetidas,2017-01-01,2,0,228,7,716,24,179,6,0,0,1162
SACABAMBA,consultas prenatales,repetidas,2017-01-01,0,0,7,0,15,0,2,0,0,0,24
SACACA,consultas prenatales,repetidas,2017-01-01,2,2,15,0,48,2,21,4,0,0,94
SAIPINA,consultas prenatales,repetidas,2017-01-01,0,0,11,1,20,0,4,0,0,0,36
SALINAS DE GARCI MENDOZA,consultas prenatales,repetidas,2017-01-01,0,0,4,3,18,4,7,0,0,0,36
SAMAIPATA,consultas prenatales,repetidas,2017-01-01,3,0,19,0,51,0,4,0,0,0,77
SAN AGUSTIN,consultas prenatales,repetidas,2017-01-01,0,0,3,0,10,0,1,0,0,0,14
SAN ANDRES,consultas prenatales,repetidas,2017-01-01,0,0,17,0,34,0,5,0,0,0,56
SAN ANDRES DE MACHACA,consultas prenatales,repetidas,2017-01-01,0,0,0,2,5,1,0,2,0,0,10
SAN ANTONIO DE ESMORUCO,consultas prenatales,repetidas,2017-01-01,0,0,3,0,5,1,3,0,0,0,12
SAN ANTONIO DE LOMERIO,consultas prenatales,repetidas,2017-01-01,1,0,3,2,11,7,5,3,0,0,32
SAN BENITO,consultas prenatales,repetidas,2017-01-01,0,0,8,0,56,1,7,0,0,0,72
SAN BORJA,consultas prenatales,repetidas,2017-01-01,10,0,91,2,227,1,36,0,0,0,367
SAN BUENA VENTURA,consultas prenatales,repetidas,2017-01-01,0,0,13,2,59,3,6,0,0,0,83
SAN CARLOS,consultas prenatales,repetidas,2017-01-01,1,0,35,0,96,0,22,0,0,0,154
SAN IGNACIO,consultas prenatales,repetidas,2017-01-01,4,0,27,2,75,3,14,0,0,0,125
SAN IGNACIO DE VELASCO,consultas prenatales,repetidas,2017-01-01,8,0,79,2,241,8,33,0,0,0,371
SAN JAVIER(BNI),consultas prenatales,repetidas,2017-01-01,0,0,8,0,9,0,2,0,0,0,19
SAN JAVIER(STC),consultas prenatales,repetidas,2017-01-01,1,0,37,0,73,0,14,0,0,0,125
SAN JOAQUIN,consultas prenatales,repetidas,2017-01-01,1,0,19,0,23,0,3,0,0,0,46
SAN JOSE DE CHIQUITOS,consultas prenatales,repetidas,2017-01-01,2,0,29,0,100,3,12,0,0,0,146
SAN JUAN DE YAPACANI,consultas prenatales,repetidas,2017-01-01,0,0,15,1,33,6,5,0,0,0,60
SAN JULIAN,consultas prenatales,repetidas,2017-01-01,4,0,70,1,234,3,37,0,0,0,349
SAN LORENZO(PND),consultas prenatales,repetidas,2017-01-01,0,0,9,1,19,2,3,0,0,0,34
SAN LORENZO(TJA),consultas prenatales,repetidas,2017-01-01,4,0,39,4,100,4,15,3,1,0,170
SAN LUCAS,consultas prenatales,repetidas,2017-01-01,2,0,39,10,83,25,26,9,0,0,194
SAN MATIAS,consultas prenatales,repetidas,2017-01-01,1,0,41,0,71,0,12,0,0,0,125
SAN MIGUEL DE VELASCO,consultas prenatales,repetidas,2017-01-01,1,0,17,0,53,3,7,0,0,0,81
SAN PABLO DE LIPEZ,consultas prenatales,repetidas,2017-01-01,0,0,4,0,10,0,0,0,0,0,14
SAN PEDRO,consultas prenatales,repetidas,2017-01-01,0,0,17,0,64,1,7,1,0,0,90
SAN PEDRO DE BUENA VISTA,consultas prenatales,repetidas,2017-01-01,0,0,19,0,67,9,22,3,0,0,120
SAN PEDRO DE CURAHUARA,consultas prenatales,repetidas,2017-01-01,0,0,2,0,19,0,3,1,0,0,25
SAN PEDRO DE TIQUINA,consultas prenatales,repetidas,2017-01-01,0,0,3,0,14,1,2,0,0,0,20
SAN PEDRO(PND),consultas prenatales,repetidas,2017-01-01,0,1,2,0,0,3,1,1,0,0,8
SAN RAFAEL,consultas prenatales,repetidas,2017-01-01,1,0,22,0,33,0,5,0,0,0,61
SAN RAMON BENI,consultas prenatales,repetidas,2017-01-01,0,0,13,0,26,0,4,0,0,0,43
SAN RAMON SCZ,consultas prenatales,repetidas,2017-01-01,3,0,16,0,56,0,7,0,0,0,82
SANTA ANA,consultas prenatales,repetidas,2017-01-01,6,0,65,0,141,0,57,0,0,0,269
SANTA CRUZ DE LA SIERRA,consultas prenatales,repetidas,2017-01-01,72,8,2130,35,8017,49,1225,7,7,0,11550
SANTA ROSA,consultas prenatales,repetidas,2017-01-01,3,0,22,0,47,1,7,0,0,0,80
SANTA ROSA DEL SARA,consultas prenatales,repetidas,2017-01-01,1,0,38,0,64,1,16,0,0,0,120
SANTIAGO DE CALLAPA,consultas prenatales,repetidas,2017-01-01,0,0,2,1,5,1,1,1,0,0,11
SANTIAGO DE HUARI,consultas prenatales,repetidas,2017-01-01,0,0,5,0,20,5,4,1,0,0,35
SANTIAGO DE HUATA,consultas prenatales,repetidas,2017-01-01,0,0,6,0,7,1,2,0,0,0,16
SANTIAGO DE MACHACA,consultas prenatales,repetidas,2017-01-01,0,0,4,0,7,0,1,2,0,0,14
SANTIVAÑES,consultas prenatales,repetidas,2017-01-01,1,0,12,0,25,0,5,1,0,0,44
