municipality,group,variable,month,Número de viviendas evaluadas entomológicamente,TOTAL
YAPACANI,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-01-01,41,41
CABEZAS,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-02-01,225,225
CAMIRI,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-02-01,121,121
EL TORNO,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-02-01,1845,1845
ENTRE RIOS CBBA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-02-01,165,165
GUANAY,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-02-01,336,336
GUAYARAMERIN,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-02-01,4,4
GUTIERREZ,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-02-01,16,16
IXIAMAS,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-02-01,33,33
LAGUNILLAS,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-02-01,45,45
PUERTO VILLARROEL,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-02-01,80,80
RIBERALTA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-02-01,18,18
SAN CARLOS,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-02-01,538,538
SANTA CRUZ DE LA SIERRA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-02-01,29,29
SANTA ROSA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-02-01,10,10
TIQUIPAYA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-02-01,19,19
AZURDUY,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-03-01,2,2
CABEZAS,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-03-01,517,517
CAMIRI,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-03-01,40,40
COLPA BELGICA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-03-01,114,114
EL PUENTE(STC),control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-03-01,102,102
EL TORNO,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-03-01,1127,1127
GUAYARAMERIN,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-03-01,3,3
GUTIERREZ,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-03-01,109,109
LA GUARDIA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-03-01,46,46
LAGUNILLAS,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-03-01,263,263
MACHARETI,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-03-01,221,221
MAPIRI,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-03-01,60,60
OMEREQUE,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-03-01,156,156
PALOS BLANCOS,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-03-01,439,439
PORONGO,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-03-01,41,41
PUERTO VILLARROEL,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-03-01,60,60
RURRENABAQUE,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-03-01,10,10
SAIPINA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-03-01,1516,1516
SAN CARLOS,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-03-01,460,460
SANTA CRUZ DE LA SIERRA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-03-01,1163,1163
TIPUANI,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-03-01,216,216
TIQUIPAYA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-03-01,285,285
VILLA TUNARI,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-03-01,80,80
WARNES,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-03-01,7,7
AZURDUY,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-04-01,2,2
BELLA FLOR,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-04-01,47,47
CARANAVI,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-04-01,255,255
CUATRO CAÑADAS,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-04-01,1,1
GUANAY,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-04-01,350,350
IRUPANA (VILLA DE LANZA),control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-04-01,163,163
LAGUNILLAS,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-04-01,95,95
MACHARETI,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-04-01,110,110
MAPIRI,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-04-01,375,375
MIZQUE,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-04-01,30,30
OMEREQUE,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-04-01,30,30
PALOS BLANCOS,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-04-01,889,889
PORONGO,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-04-01,174,174
PUERTO VILLARROEL,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-04-01,30,30
SAN BUENA VENTURA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-04-01,142,142
SAN JULIAN,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-04-01,8,8
SAN LORENZO(PND),control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-04-01,54,54
SANTA CRUZ DE LA SIERRA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-04-01,123,123
ALTO BENI,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-05-01,30,30
AZURDUY,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-05-01,2,2
MONTERO,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-05-01,204,204
PALOS BLANCOS,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-05-01,93,93
PORONGO,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-05-01,45,45
SAN JULIAN,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-05-01,16,16
SAN MATIAS,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-05-01,40,40
SAN MIGUEL DE VELASCO,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-05-01,66,66
BOYUIBE,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-06-01,57,57
CABEZAS,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-06-01,92,92
CULPINA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-06-01,20,20
GUANAY,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-06-01,209,209
ICLA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-06-01,89,89
LAGUNILLAS,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-06-01,60,60
MAIRANA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-06-01,167,167
MONTEAGUDO,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-06-01,185,185
PALOS BLANCOS,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-06-01,52,52
SAN LUCAS,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-06-01,979,979
SANTA CRUZ DE LA SIERRA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-06-01,1,1
TOTORA(CBBA),control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-06-01,102,102
AZURDUY,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-07-01,2,2
LAGUNILLAS,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-07-01,20,20
MAIRANA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-07-01,64,64
OMEREQUE,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-07-01,457,457
SAN LUCAS,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-07-01,539,539
SANTA CRUZ DE LA SIERRA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-07-01,125,125
CABEZAS,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-08-01,27,27
GUANAY,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-08-01,189,189
SAN BUENA VENTURA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-08-01,365,365
SAN IGNACIO,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-08-01,324,324
SANTA CRUZ DE LA SIERRA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-08-01,132,132
VILLA VACA GUZMAN (MUYUPAMPA),control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-08-01,129,129
ENTRE RIOS CBBA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-09-01,441,441
EXALTACION,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-09-01,1,1
IXIAMAS,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-09-01,113,113
PORONGO,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-09-01,40,40
SAN BUENA VENTURA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-09-01,156,156
SAN JULIAN,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-09-01,14,14
SAN RAFAEL,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-09-01,72,72
SAN RAMON BENI,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-09-01,45,45
SANTA CRUZ DE LA SIERRA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-09-01,140,140
TARIJA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-09-01,2,2
VILLA TUNARI,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-09-01,52,52
AZURDUY,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-10-01,2,2
CHIMORE,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-10-01,238,238
CUEVO,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-10-01,44,44
EL TORNO,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-10-01,333,333
ENTRE RIOS CBBA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-10-01,113,113
EXALTACION,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-10-01,2,2
HUACARETA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-10-01,58,58
MAIRANA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-10-01,1,1
SAN BUENA VENTURA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-10-01,390,390
SAN JULIAN,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-10-01,14,14
SANTA CRUZ DE LA SIERRA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-10-01,196,196
VILLA TUNARI,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-10-01,108,108
YUNCHARA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-10-01,2,2
ALTO BENI,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-11-01,14,14
CHIMORE,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-11-01,105,105
EL TORNO,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-11-01,419,419
ENTRE RIOS CBBA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-11-01,1574,1574
GUAYARAMERIN,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-11-01,1,1
OMEREQUE,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-11-01,113,113
POCONA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-11-01,48,48
PUERTO VILLARROEL,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-11-01,10,10
PUNA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-11-01,169,169
SAIPINA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-11-01,209,209
SAN JULIAN,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-11-01,6,6
SAN LUCAS,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-11-01,616,616
SANTA CRUZ DE LA SIERRA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-11-01,34,34
SHINAOTA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-11-01,780,780
TIPUANI,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-11-01,96,96
VILLA TUNARI,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-11-01,535,535
ALTO BENI,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-12-01,30,30
AZURDUY,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-12-01,2,2
BOLPEBRA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-12-01,30,30
CABEZAS,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-12-01,68,68
CHIMORE,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-12-01,68,68
CUATRO CAÑADAS,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-12-01,463,463
EL TORNO,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-12-01,445,445
GUANAY,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-12-01,150,150
LAGUNILLAS,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-12-01,21,21
MAPIRI,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-12-01,320,320
PAILON,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-12-01,20,20
SAN PEDRO,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-12-01,171,171
SAN RAFAEL,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-12-01,107,107
TOTORA(CBBA),control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-12-01,147,147
VALLEGRANDE,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2010-12-01,42,42
