,group,variable,month,TRATAMIENTOS DE 15 AÑOS Y MÁS INICIADO,TRATAMIENTOS DE 15 AÑOS Y MÁS INICIADO,TRATAMIENTOS DE 15 AÑOS Y MÁS CONCLUIDO,TRATAMIENTOS DE 15 AÑOS Y MÁS CONCLUIDO,TOTALES,TOTALES
SIPE SIPE,chagas,tratamientos de 15 anos y mas,2022-01-01,2,0,0,0,2,0
SUCRE,chagas,tratamientos de 15 anos y mas,2022-01-01,6,9,3,0,9,9
TARATA,chagas,tratamientos de 15 anos y mas,2022-01-01,1,0,0,0,1,0
TOLATA,chagas,tratamientos de 15 anos y mas,2022-01-01,0,1,0,0,0,1
TUPIZA,chagas,tratamientos de 15 anos y mas,2022-01-01,10,24,8,12,18,36
VALLEGRANDE,chagas,tratamientos de 15 anos y mas,2022-01-01,0,0,0,5,0,5
VILLA RIVERO,chagas,tratamientos de 15 anos y mas,2022-01-01,0,0,0,1,0,1
VILLA TUNARI,chagas,tratamientos de 15 anos y mas,2022-01-01,0,0,3,2,3,2
VINTO,chagas,tratamientos de 15 anos y mas,2022-01-01,0,1,0,2,0,3
YACUIBA,chagas,tratamientos de 15 anos y mas,2022-01-01,1,2,1,1,2,3
YAMPARAEZ,chagas,tratamientos de 15 anos y mas,2022-01-01,0,0,0,4,0,4
ARBIETO,chagas,tratamientos de 15 anos y mas,2022-02-01,1,0,0,2,1,2
"CAIZA ""D""",chagas,tratamientos de 15 anos y mas,2022-02-01,0,0,1,0,1,0
CAPINOTA,chagas,tratamientos de 15 anos y mas,2022-02-01,0,0,2,0,2,0
COCHABAMBA,chagas,tratamientos de 15 anos y mas,2022-02-01,2,2,0,4,2,6
COMARAPA,chagas,tratamientos de 15 anos y mas,2022-02-01,0,1,0,0,0,1
CUATRO CAÑADAS,chagas,tratamientos de 15 anos y mas,2022-02-01,2,1,0,0,2,1
ENTRE RIOS CBBA,chagas,tratamientos de 15 anos y mas,2022-02-01,1,3,0,1,1,4
HUACAYA (VILLA DE HUACAYA),chagas,tratamientos de 15 anos y mas,2022-02-01,2,7,0,0,2,7
LA GUARDIA,chagas,tratamientos de 15 anos y mas,2022-02-01,0,1,4,3,4,4
MIZQUE,chagas,tratamientos de 15 anos y mas,2022-02-01,0,0,0,1,0,1
MONTEAGUDO,chagas,tratamientos de 15 anos y mas,2022-02-01,1,1,2,4,3,5
OMEREQUE,chagas,tratamientos de 15 anos y mas,2022-02-01,0,0,0,1,0,1
PADCAYA,chagas,tratamientos de 15 anos y mas,2022-02-01,0,0,0,1,0,1
PADILLA,chagas,tratamientos de 15 anos y mas,2022-02-01,1,1,0,0,1,1
PUERTO VILLARROEL,chagas,tratamientos de 15 anos y mas,2022-02-01,0,1,0,0,0,1
PUNATA,chagas,tratamientos de 15 anos y mas,2022-02-01,0,0,1,1,1,1
QUIRUSILLAS,chagas,tratamientos de 15 anos y mas,2022-02-01,1,0,1,0,2,0
SACABA,chagas,tratamientos de 15 anos y mas,2022-02-01,1,1,0,1,1,2
SAMAIPATA,chagas,tratamientos de 15 anos y mas,2022-02-01,1,0,1,0,2,0
SAN ANDRES,chagas,tratamientos de 15 anos y mas,2022-02-01,0,1,0,0,0,1
SAN BENITO,chagas,tratamientos de 15 anos y mas,2022-02-01,0,0,1,1,1,1
SANTA CRUZ DE LA SIERRA,chagas,tratamientos de 15 anos y mas,2022-02-01,2,0,1,0,3,0
SIPE SIPE,chagas,tratamientos de 15 anos y mas,2022-02-01,1,0,0,1,1,1
SUCRE,chagas,tratamientos de 15 anos y mas,2022-02-01,7,6,2,1,9,7
TAPACARI,chagas,tratamientos de 15 anos y mas,2022-02-01,1,0,0,0,1,0
TARABUCO,chagas,tratamientos de 15 anos y mas,2022-02-01,0,1,0,0,0,1
TARATA,chagas,tratamientos de 15 anos y mas,2022-02-01,0,0,0,2,0,2
TARIJA,chagas,tratamientos de 15 anos y mas,2022-02-01,0,0,0,1,0,1
TUPIZA,chagas,tratamientos de 15 anos y mas,2022-02-01,7,16,8,16,15,32
VALLEGRANDE,chagas,tratamientos de 15 anos y mas,2022-02-01,0,1,0,0,0,1
VILLA MONTES,chagas,tratamientos de 15 anos y mas,2022-02-01,0,4,0,0,0,4
VILLA TUNARI,chagas,tratamientos de 15 anos y mas,2022-02-01,0,3,0,0,0,3
VINTO,chagas,tratamientos de 15 anos y mas,2022-02-01,0,0,2,0,2,0
ACACIO,chagas,tratamientos de 15 anos y mas,2022-03-01,1,1,0,0,1,1
AIQUILE,chagas,tratamientos de 15 anos y mas,2022-03-01,1,0,0,0,1,0
ANZALDO,chagas,tratamientos de 15 anos y mas,2022-03-01,0,1,0,0,0,1
ARBIETO,chagas,tratamientos de 15 anos y mas,2022-03-01,1,1,0,0,1,1
BERMEJO,chagas,tratamientos de 15 anos y mas,2022-03-01,1,0,0,2,1,2
"CAIZA ""D""",chagas,tratamientos de 15 anos y mas,2022-03-01,1,1,0,0,1,1
CHULUMANI (V. DE LA LIBERTAD),chagas,tratamientos de 15 anos y mas,2022-03-01,0,1,0,0,0,1
CHUMA,chagas,tratamientos de 15 anos y mas,2022-03-01,0,0,0,1,0,1
COCHABAMBA,chagas,tratamientos de 15 anos y mas,2022-03-01,3,9,3,1,6,10
EL TORNO,chagas,tratamientos de 15 anos y mas,2022-03-01,2,7,0,0,2,7
ENTRE RIOS CBBA,chagas,tratamientos de 15 anos y mas,2022-03-01,1,2,0,0,1,2
HUACAYA (VILLA DE HUACAYA),chagas,tratamientos de 15 anos y mas,2022-03-01,1,3,0,0,1,3
LA ASUNTA,chagas,tratamientos de 15 anos y mas,2022-03-01,2,1,0,0,2,1
LA GUARDIA,chagas,tratamientos de 15 anos y mas,2022-03-01,1,2,0,1,1,3
MACHARETI,chagas,tratamientos de 15 anos y mas,2022-03-01,0,1,0,0,0,1
MIZQUE,chagas,tratamientos de 15 anos y mas,2022-03-01,1,0,0,1,1,1
MONTEAGUDO,chagas,tratamientos de 15 anos y mas,2022-03-01,6,0,4,6,10,6
MONTERO,chagas,tratamientos de 15 anos y mas,2022-03-01,1,0,0,0,1,0
PADILLA,chagas,tratamientos de 15 anos y mas,2022-03-01,0,1,0,1,0,2
PASORAPA,chagas,tratamientos de 15 anos y mas,2022-03-01,0,0,0,1,0,1
POCONA,chagas,tratamientos de 15 anos y mas,2022-03-01,0,0,0,1,0,1
PRESTO,chagas,tratamientos de 15 anos y mas,2022-03-01,1,0,0,0,1,0
PUERTO VILLARROEL,chagas,tratamientos de 15 anos y mas,2022-03-01,0,2,0,0,0,2
PUNATA,chagas,tratamientos de 15 anos y mas,2022-03-01,2,2,0,1,2,3
SACABA,chagas,tratamientos de 15 anos y mas,2022-03-01,1,2,2,2,3,4
SAN BENITO,chagas,tratamientos de 15 anos y mas,2022-03-01,0,0,0,1,0,1
SAN PEDRO,chagas,tratamientos de 15 anos y mas,2022-03-01,0,1,0,0,0,1
SANTA CRUZ DE LA SIERRA,chagas,tratamientos de 15 anos y mas,2022-03-01,5,14,3,6,8,20
SANTIVAÑES,chagas,tratamientos de 15 anos y mas,2022-03-01,0,2,0,0,0,2
SIPE SIPE,chagas,tratamientos de 15 anos y mas,2022-03-01,1,0,1,0,2,0
SOPACHUY,chagas,tratamientos de 15 anos y mas,2022-03-01,0,2,0,0,0,2
SUCRE,chagas,tratamientos de 15 anos y mas,2022-03-01,31,39,30,31,61,70
TARIJA,chagas,tratamientos de 15 anos y mas,2022-03-01,18,20,0,0,18,20
TOTORA(CBBA),chagas,tratamientos de 15 anos y mas,2022-03-01,1,0,0,0,1,0
TUPIZA,chagas,tratamientos de 15 anos y mas,2022-03-01,13,15,10,23,23,38
VALLEGRANDE,chagas,tratamientos de 15 anos y mas,2022-03-01,0,4,0,0,0,4
VILLA MONTES,chagas,tratamientos de 15 anos y mas,2022-03-01,1,1,0,0,1,1
VILLA RIVERO,chagas,tratamientos de 15 anos y mas,2022-03-01,1,0,0,0,1,0
VILLA TUNARI,chagas,tratamientos de 15 anos y mas,2022-03-01,1,3,0,0,1,3
VINTO,chagas,tratamientos de 15 anos y mas,2022-03-01,2,1,0,1,2,2
YACUIBA,chagas,tratamientos de 15 anos y mas,2022-03-01,0,1,0,0,0,1
YAPACANI,chagas,tratamientos de 15 anos y mas,2022-03-01,1,1,0,0,1,1
AIQUILE,chagas,tratamientos de 15 anos y mas,2022-04-01,1,1,0,0,1,1
ANZALDO,chagas,tratamientos de 15 anos y mas,2022-04-01,5,2,0,0,5,2
ARBIETO,chagas,tratamientos de 15 anos y mas,2022-04-01,1,3,1,0,2,3
BERMEJO,chagas,tratamientos de 15 anos y mas,2022-04-01,0,0,1,2,1,2
BETANZOS,chagas,tratamientos de 15 anos y mas,2022-04-01,7,9,0,0,7,9
CARAPARI,chagas,tratamientos de 15 anos y mas,2022-04-01,1,0,0,0,1,0
CHULUMANI (V. DE LA LIBERTAD),chagas,tratamientos de 15 anos y mas,2022-04-01,16,11,0,0,16,11
COCHABAMBA,chagas,tratamientos de 15 anos y mas,2022-04-01,8,24,8,11,16,35
COLCAPIRHUA,chagas,tratamientos de 15 anos y mas,2022-04-01,0,0,1,1,1,1
CUATRO CAÑADAS,chagas,tratamientos de 15 anos y mas,2022-04-01,1,0,2,1,3,1
ENTRE RIOS CBBA,chagas,tratamientos de 15 anos y mas,2022-04-01,0,0,0,2,0,2
HUACAYA (VILLA DE HUACAYA),chagas,tratamientos de 15 anos y mas,2022-04-01,0,0,2,2,2,2
LA ASUNTA,chagas,tratamientos de 15 anos y mas,2022-04-01,2,1,1,1,3,2
LA GUARDIA,chagas,tratamientos de 15 anos y mas,2022-04-01,0,1,0,0,0,1
MACHARETI,chagas,tratamientos de 15 anos y mas,2022-04-01,0,2,0,0,0,2
MAIRANA,chagas,tratamientos de 15 anos y mas,2022-04-01,0,1,0,0,0,1
MOJOCOYA,chagas,tratamientos de 15 anos y mas,2022-04-01,2,0,0,0,2,0
MONTEAGUDO,chagas,tratamientos de 15 anos y mas,2022-04-01,2,3,1,1,3,4
POROMA,chagas,tratamientos de 15 anos y mas,2022-04-01,2,1,0,0,2,1
PUCARA,chagas,tratamientos de 15 anos y mas,2022-04-01,0,1,0,0,0,1
PUERTO VILLARROEL,chagas,tratamientos de 15 anos y mas,2022-04-01,0,0,0,1,0,1
PUNATA,chagas,tratamientos de 15 anos y mas,2022-04-01,1,1,0,2,1,3
RIBERALTA,chagas,tratamientos de 15 anos y mas,2022-04-01,0,0,0,1,0,1
SACABA,chagas,tratamientos de 15 anos y mas,2022-04-01,0,1,0,0,0,1
SAMAIPATA,chagas,tratamientos de 15 anos y mas,2022-04-01,1,0,1,0,2,0
SAN ANDRES,chagas,tratamientos de 15 anos y mas,2022-04-01,0,0,0,1,0,1
SAN PEDRO,chagas,tratamientos de 15 anos y mas,2022-04-01,0,2,0,0,0,2
SANTA CRUZ DE LA SIERRA,chagas,tratamientos de 15 anos y mas,2022-04-01,1,13,1,0,2,13
SANTIVAÑES,chagas,tratamientos de 15 anos y mas,2022-04-01,0,0,0,1,0,1
SICAYA,chagas,tratamientos de 15 anos y mas,2022-04-01,1,1,0,0,1,1
SIPE SIPE,chagas,tratamientos de 15 anos y mas,2022-04-01,0,1,1,1,1,2
SOPACHUY,chagas,tratamientos de 15 anos y mas,2022-04-01,1,1,0,0,1,1
SUCRE,chagas,tratamientos de 15 anos y mas,2022-04-01,29,48,4,6,33,54
TAPACARI,chagas,tratamientos de 15 anos y mas,2022-04-01,1,0,1,0,2,0
TARABUCO,chagas,tratamientos de 15 anos y mas,2022-04-01,1,1,0,0,1,1
TARATA,chagas,tratamientos de 15 anos y mas,2022-04-01,0,1,0,0,0,1
TARIJA,chagas,tratamientos de 15 anos y mas,2022-04-01,13,17,0,0,13,17
TOTORA(CBBA),chagas,tratamientos de 15 anos y mas,2022-04-01,0,0,0,1,0,1
TRIGAL,chagas,tratamientos de 15 anos y mas,2022-04-01,2,5,0,0,2,5
TUPIZA,chagas,tratamientos de 15 anos y mas,2022-04-01,9,20,7,16,16,36
VILLA MONTES,chagas,tratamientos de 15 anos y mas,2022-04-01,0,3,0,3,0,6
VILLA TUNARI,chagas,tratamientos de 15 anos y mas,2022-04-01,0,1,0,1,0,2
VILLA VACA GUZMAN (MUYUPAMPA),chagas,tratamientos de 15 anos y mas,2022-04-01,0,1,0,0,0,1
VINTO,chagas,tratamientos de 15 anos y mas,2022-04-01,1,2,0,0,1,2
YACUIBA,chagas,tratamientos de 15 anos y mas,2022-04-01,6,12,0,0,6,12
YAMPARAEZ,chagas,tratamientos de 15 anos y mas,2022-04-01,1,0,0,0,1,0
AIQUILE,chagas,tratamientos de 15 anos y mas,2022-05-01,1,1,1,0,2,1
ANZALDO,chagas,tratamientos de 15 anos y mas,2022-05-01,3,7,0,0,3,7
ARBIETO,chagas,tratamientos de 15 anos y mas,2022-05-01,1,1,1,0,2,1
BERMEJO,chagas,tratamientos de 15 anos y mas,2022-05-01,0,0,0,1,0,1
BETANZOS,chagas,tratamientos de 15 anos y mas,2022-05-01,11,11,0,0,11,11
"CAIZA ""D""",chagas,tratamientos de 15 anos y mas,2022-05-01,0,4,0,0,0,4
CHULUMANI (V. DE LA LIBERTAD),chagas,tratamientos de 15 anos y mas,2022-05-01,5,8,0,1,5,9
CKOCHAS,chagas,tratamientos de 15 anos y mas,2022-05-01,6,4,0,0,6,4
COCHABAMBA,chagas,tratamientos de 15 anos y mas,2022-05-01,24,19,6,12,30,31
CUATRO CAÑADAS,chagas,tratamientos de 15 anos y mas,2022-05-01,0,5,0,0,0,5
ENTRE RIOS CBBA,chagas,tratamientos de 15 anos y mas,2022-05-01,1,1,0,0,1,1
HUACAYA (VILLA DE HUACAYA),chagas,tratamientos de 15 anos y mas,2022-05-01,0,0,0,3,0,3
LA ASUNTA,chagas,tratamientos de 15 anos y mas,2022-05-01,21,40,1,0,22,40
LA GUARDIA,chagas,tratamientos de 15 anos y mas,2022-05-01,0,1,1,2,1,3
MIZQUE,chagas,tratamientos de 15 anos y mas,2022-05-01,0,0,1,0,1,0
MONTEAGUDO,chagas,tratamientos de 15 anos y mas,2022-05-01,4,5,6,0,10,5
MONTERO,chagas,tratamientos de 15 anos y mas,2022-05-01,7,27,1,0,8,27
PADILLA,chagas,tratamientos de 15 anos y mas,2022-05-01,2,1,2,1,4,2
PAMPA GRANDE,chagas,tratamientos de 15 anos y mas,2022-05-01,0,0,0,1,0,1
POROMA,chagas,tratamientos de 15 anos y mas,2022-05-01,4,4,0,0,4,4
PRESTO,chagas,tratamientos de 15 anos y mas,2022-05-01,0,0,1,0,1,0
PUERTO VILLARROEL,chagas,tratamientos de 15 anos y mas,2022-05-01,1,1,0,0,1,1
PUNA,chagas,tratamientos de 15 anos y mas,2022-05-01,15,15,0,0,15,15
PUNATA,chagas,tratamientos de 15 anos y mas,2022-05-01,0,1,1,0,1,1
QUILLACOLLO,chagas,tratamientos de 15 anos y mas,2022-05-01,1,0,0,0,1,0
SACABA,chagas,tratamientos de 15 anos y mas,2022-05-01,4,3,1,1,5,4
SAMAIPATA,chagas,tratamientos de 15 anos y mas,2022-05-01,0,1,1,0,1,1
SANTA CRUZ DE LA SIERRA,chagas,tratamientos de 15 anos y mas,2022-05-01,3,6,4,13,7,19
SANTIVAÑES,chagas,tratamientos de 15 anos y mas,2022-05-01,0,1,0,1,0,2
SIPE SIPE,chagas,tratamientos de 15 anos y mas,2022-05-01,1,0,1,0,2,0
SOPACHUY,chagas,tratamientos de 15 anos y mas,2022-05-01,0,0,0,2,0,2
SUCRE,chagas,tratamientos de 15 anos y mas,2022-05-01,33,37,28,30,61,67
TARABUCO,chagas,tratamientos de 15 anos y mas,2022-05-01,0,0,0,1,0,1
TARATA,chagas,tratamientos de 15 anos y mas,2022-05-01,2,1,1,0,3,1
TARIJA,chagas,tratamientos de 15 anos y mas,2022-05-01,12,13,9,9,21,22
TOTORA(CBBA),chagas,tratamientos de 15 anos y mas,2022-05-01,0,0,1,0,1,0
TUPIZA,chagas,tratamientos de 15 anos y mas,2022-05-01,6,10,13,15,19,25
URIONDO (A. CONCEPCION),chagas,tratamientos de 15 anos y mas,2022-05-01,0,1,0,0,0,1
VALLEGRANDE,chagas,tratamientos de 15 anos y mas,2022-05-01,1,1,0,4,1,5
VILLA MONTES,chagas,tratamientos de 15 anos y mas,2022-05-01,3,2,0,1,3,3
VILLA RIVERO,chagas,tratamientos de 15 anos y mas,2022-05-01,0,0,1,0,1,0
VILLA TUNARI,chagas,tratamientos de 15 anos y mas,2022-05-01,3,5,1,1,4,6
VINTO,chagas,tratamientos de 15 anos y mas,2022-05-01,0,1,1,1,1,2
YACUIBA,chagas,tratamientos de 15 anos y mas,2022-05-01,0,2,0,0,0,2
YAMPARAEZ,chagas,tratamientos de 15 anos y mas,2022-05-01,0,0,1,0,1,0
YAPACANI,chagas,tratamientos de 15 anos y mas,2022-05-01,0,0,1,0,1,0
AIQUILE,chagas,tratamientos de 15 anos y mas,2022-06-01,0,1,1,1,1,2
ANZALDO,chagas,tratamientos de 15 anos y mas,2022-06-01,0,0,3,1,3,1
ARBIETO,chagas,tratamientos de 15 anos y mas,2022-06-01,0,1,0,2,0,3
ARQUE,chagas,tratamientos de 15 anos y mas,2022-06-01,1,0,0,0,1,0
BETANZOS,chagas,tratamientos de 15 anos y mas,2022-06-01,2,1,0,0,2,1
"CAIZA ""D""",chagas,tratamientos de 15 anos y mas,2022-06-01,3,1,0,0,3,1
CAPINOTA,chagas,tratamientos de 15 anos y mas,2022-06-01,1,1,0,0,1,1
CARAPARI,chagas,tratamientos de 15 anos y mas,2022-06-01,0,0,1,0,1,0
CHULUMANI (V. DE LA LIBERTAD),chagas,tratamientos de 15 anos y mas,2022-06-01,1,1,5,8,6,9
COCHABAMBA,chagas,tratamientos de 15 anos y mas,2022-06-01,12,19,8,13,20,32
COLCAPIRHUA,chagas,tratamientos de 15 anos y mas,2022-06-01,1,0,0,0,1,0
CUATRO CAÑADAS,chagas,tratamientos de 15 anos y mas,2022-06-01,0,1,1,0,1,1
ENTRE RIOS CBBA,chagas,tratamientos de 15 anos y mas,2022-06-01,0,1,0,0,0,1
INCAHUASI,chagas,tratamientos de 15 anos y mas,2022-06-01,1,0,0,0,1,0
LA ASUNTA,chagas,tratamientos de 15 anos y mas,2022-06-01,4,4,1,1,5,5
LA GUARDIA,chagas,tratamientos de 15 anos y mas,2022-06-01,0,2,2,1,2,3
MACHARETI,chagas,tratamientos de 15 anos y mas,2022-06-01,0,0,0,3,0,3
MAIRANA,chagas,tratamientos de 15 anos y mas,2022-06-01,0,0,0,1,0,1
MONTEAGUDO,chagas,tratamientos de 15 anos y mas,2022-06-01,4,2,2,3,6,5
OMEREQUE,chagas,tratamientos de 15 anos y mas,2022-06-01,1,0,0,0,1,0
PADILLA,chagas,tratamientos de 15 anos y mas,2022-06-01,0,0,0,2,0,2
POROMA,chagas,tratamientos de 15 anos y mas,2022-06-01,0,2,0,0,0,2
PUCARA,chagas,tratamientos de 15 anos y mas,2022-06-01,0,0,0,1,0,1
PUERTO VILLARROEL,chagas,tratamientos de 15 anos y mas,2022-06-01,2,3,0,0,2,3
PUNA,chagas,tratamientos de 15 anos y mas,2022-06-01,6,4,0,0,6,4
PUNATA,chagas,tratamientos de 15 anos y mas,2022-06-01,2,0,1,1,3,1
QUILLACOLLO,chagas,tratamientos de 15 anos y mas,2022-06-01,0,1,0,0,0,1
RIBERALTA,chagas,tratamientos de 15 anos y mas,2022-06-01,1,0,0,0,1,0
SACABA,chagas,tratamientos de 15 anos y mas,2022-06-01,1,3,1,3,2,6
SAN LORENZO(TJA),chagas,tratamientos de 15 anos y mas,2022-06-01,1,0,0,0,1,0
SANTA CRUZ DE LA SIERRA,chagas,tratamientos de 15 anos y mas,2022-06-01,0,1,1,9,1,10
SHINAOTA,chagas,tratamientos de 15 anos y mas,2022-06-01,1,1,0,0,1,1
SIPE SIPE,chagas,tratamientos de 15 anos y mas,2022-06-01,0,2,0,1,0,3
SOPACHUY,chagas,tratamientos de 15 anos y mas,2022-06-01,0,0,1,1,1,1
SUCRE,chagas,tratamientos de 15 anos y mas,2022-06-01,38,34,26,40,64,74
TAPACARI,chagas,tratamientos de 15 anos y mas,2022-06-01,0,1,0,0,0,1
TARATA,chagas,tratamientos de 15 anos y mas,2022-06-01,1,0,1,0,2,0
TARIJA,chagas,tratamientos de 15 anos y mas,2022-06-01,9,11,13,17,22,28
TRIGAL,chagas,tratamientos de 15 anos y mas,2022-06-01,0,0,1,4,1,4
TUPIZA,chagas,tratamientos de 15 anos y mas,2022-06-01,6,10,8,18,14,28
VALLEGRANDE,chagas,tratamientos de 15 anos y mas,2022-06-01,0,1,0,2,0,3
VILLA MONTES,chagas,tratamientos de 15 anos y mas,2022-06-01,1,0,0,0,1,0
VILLA RIVERO,chagas,tratamientos de 15 anos y mas,2022-06-01,0,1,0,0,0,1
VILLA TUNARI,chagas,tratamientos de 15 anos y mas,2022-06-01,2,2,1,2,3,4
VINTO,chagas,tratamientos de 15 anos y mas,2022-06-01,2,1,0,1,2,2
YACUIBA,chagas,tratamientos de 15 anos y mas,2022-06-01,0,0,2,2,2,2
AIQUILE,chagas,tratamientos de 15 anos y mas,2022-07-01,1,0,0,1,1,1
ANZALDO,chagas,tratamientos de 15 anos y mas,2022-07-01,0,0,0,1,0,1
ARBIETO,chagas,tratamientos de 15 anos y mas,2022-07-01,0,0,1,1,1,1
ARQUE,chagas,tratamientos de 15 anos y mas,2022-07-01,0,1,0,0,0,1
BERMEJO,chagas,tratamientos de 15 anos y mas,2022-07-01,2,3,0,0,2,3
CAPINOTA,chagas,tratamientos de 15 anos y mas,2022-07-01,1,1,0,0,1,1
CHULUMANI (V. DE LA LIBERTAD),chagas,tratamientos de 15 anos y mas,2022-07-01,1,1,7,10,8,11
CLIZA,chagas,tratamientos de 15 anos y mas,2022-07-01,0,1,0,0,0,1
COCHABAMBA,chagas,tratamientos de 15 anos y mas,2022-07-01,15,25,23,25,38,50
EL TORNO,chagas,tratamientos de 15 anos y mas,2022-07-01,0,2,0,0,0,2
ENTRE RIOS CBBA,chagas,tratamientos de 15 anos y mas,2022-07-01,0,0,1,2,1,2
LA ASUNTA,chagas,tratamientos de 15 anos y mas,2022-07-01,2,0,13,24,15,24
LA GUARDIA,chagas,tratamientos de 15 anos y mas,2022-07-01,2,6,0,1,2,7
MIZQUE,chagas,tratamientos de 15 anos y mas,2022-07-01,1,0,0,0,1,0
MONTEAGUDO,chagas,tratamientos de 15 anos y mas,2022-07-01,0,3,0,0,0,3
PADILLA,chagas,tratamientos de 15 anos y mas,2022-07-01,1,3,1,1,2,4
POCONA,chagas,tratamientos de 15 anos y mas,2022-07-01,0,0,0,1,0,1
POROMA,chagas,tratamientos de 15 anos y mas,2022-07-01,0,0,2,3,2,3
PUERTO VILLARROEL,chagas,tratamientos de 15 anos y mas,2022-07-01,0,0,2,3,2,3
PUNATA,chagas,tratamientos de 15 anos y mas,2022-07-01,1,0,0,0,1,0
QUILLACOLLO,chagas,tratamientos de 15 anos y mas,2022-07-01,0,0,1,0,1,0
SACABA,chagas,tratamientos de 15 anos y mas,2022-07-01,0,0,2,1,2,1
SAN BENITO,chagas,tratamientos de 15 anos y mas,2022-07-01,2,0,0,0,2,0
SAN JULIAN,chagas,tratamientos de 15 anos y mas,2022-07-01,1,2,1,0,2,2
SANTA CRUZ DE LA SIERRA,chagas,tratamientos de 15 anos y mas,2022-07-01,6,13,0,0,6,13
SIPE SIPE,chagas,tratamientos de 15 anos y mas,2022-07-01,0,3,1,0,1,3
SUCRE,chagas,tratamientos de 15 anos y mas,2022-07-01,6,11,9,11,15,22
TARABUCO,chagas,tratamientos de 15 anos y mas,2022-07-01,0,1,0,0,0,1
TARATA,chagas,tratamientos de 15 anos y mas,2022-07-01,1,1,0,0,1,1
TARIJA,chagas,tratamientos de 15 anos y mas,2022-07-01,11,15,12,8,23,23
TRIGAL,chagas,tratamientos de 15 anos y mas,2022-07-01,0,4,0,0,0,4
TUPIZA,chagas,tratamientos de 15 anos y mas,2022-07-01,12,11,6,10,18,21
URIONDO (A. CONCEPCION),chagas,tratamientos de 15 anos y mas,2022-07-01,0,0,0,1,0,1
VILLA TUNARI,chagas,tratamientos de 15 anos y mas,2022-07-01,3,0,0,2,3,2
YACUIBA,chagas,tratamientos de 15 anos y mas,2022-07-01,0,0,0,1,0,1
ACACIO,chagas,tratamientos de 15 anos y mas,2022-08-01,0,5,0,0,0,5
AIQUILE,chagas,tratamientos de 15 anos y mas,2022-08-01,2,1,0,0,2,1
ARBIETO,chagas,tratamientos de 15 anos y mas,2022-08-01,0,0,0,2,0,2
ARQUE,chagas,tratamientos de 15 anos y mas,2022-08-01,0,1,1,0,1,1
BERMEJO,chagas,tratamientos de 15 anos y mas,2022-08-01,2,1,0,0,2,1
"CAIZA ""D""",chagas,tratamientos de 15 anos y mas,2022-08-01,0,1,0,0,0,1
CAPINOTA,chagas,tratamientos de 15 anos y mas,2022-08-01,0,1,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),chagas,tratamientos de 15 anos y mas,2022-08-01,0,0,1,0,1,0
CKOCHAS,chagas,tratamientos de 15 anos y mas,2022-08-01,1,0,0,0,1,0
COCHABAMBA,chagas,tratamientos de 15 anos y mas,2022-08-01,13,20,12,14,25,34
COLCAPIRHUA,chagas,tratamientos de 15 anos y mas,2022-08-01,0,1,0,0,0,1
CUATRO CAÑADAS,chagas,tratamientos de 15 anos y mas,2022-08-01,0,2,0,0,0,2
