,group,variable,month,TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD INCIADO,TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD INCIADO,TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD CONCLUIDO,TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD CONCLUIDO,TOTALES,TOTALES
CUATRO CAÑADAS,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-03-01,1,2,0,0,1,2
HUACARETA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-03-01,1,1,0,0,1,1
MIZQUE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-03-01,0,1,0,0,0,1
RIBERALTA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-03-01,2,0,0,0,2,0
SIPE SIPE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-03-01,0,0,1,0,1,0
SUCRE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-03-01,1,1,0,0,1,1
EL TORNO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-04-01,0,0,1,0,1,0
HUACARETA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-04-01,0,0,1,1,1,1
LA ASUNTA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-04-01,0,0,0,1,0,1
PADILLA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-04-01,0,1,0,1,0,2
PUERTO VILLARROEL,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-04-01,2,0,0,0,2,0
SANTA CRUZ DE LA SIERRA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-04-01,0,1,0,0,0,1
SIPE SIPE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-04-01,1,0,0,0,1,0
VALLEGRANDE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-04-01,0,2,0,1,0,3
BETANZOS,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-05-01,0,2,0,0,0,2
"CAIZA ""D""",chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-05-01,0,1,1,0,1,1
COCHABAMBA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-05-01,1,2,0,0,1,2
COTOCA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-05-01,0,1,0,0,0,1
LA ASUNTA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-05-01,1,2,0,0,1,2
POROMA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-05-01,0,1,0,0,0,1
PUERTO VILLARROEL,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-05-01,1,0,0,0,1,0
PUNA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-05-01,0,1,0,0,0,1
SUCRE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-05-01,0,0,1,0,1,0
VILLA VACA GUZMAN (MUYUPAMPA),chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-05-01,2,0,0,0,2,0
AIQUILE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-06-01,1,0,0,0,1,0
"CAIZA ""D""",chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-06-01,0,0,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-06-01,0,0,2,0,2,0
COCHABAMBA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-06-01,0,1,0,0,0,1
COTOCA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-06-01,2,0,0,0,2,0
MONTEAGUDO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-06-01,0,2,0,0,0,2
RIBERALTA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-06-01,0,1,0,0,0,1
YACUIBA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-06-01,1,2,0,0,1,2
AIQUILE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-07-01,0,1,0,0,0,1
COCHABAMBA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-07-01,0,0,1,0,1,0
COTOCA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-07-01,0,0,2,0,2,0
LA ASUNTA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-07-01,0,0,0,1,0,1
MONTEAGUDO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-07-01,0,1,0,0,0,1
POROMA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-07-01,0,0,0,1,0,1
SICAYA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-07-01,0,1,0,0,0,1
SIPE SIPE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-07-01,0,1,0,0,0,1
SUCRE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-07-01,0,1,0,0,0,1
URIONDO (A. CONCEPCION),chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-07-01,1,1,0,0,1,1
VALLEGRANDE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-07-01,0,1,1,2,1,3
AIQUILE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-08-01,0,1,1,0,1,1
COCHABAMBA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-08-01,0,1,0,0,0,1
EL TORNO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-08-01,0,1,0,0,0,1
PADILLA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-08-01,1,2,0,1,1,3
PUERTO VILLARROEL,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-08-01,0,1,0,0,0,1
SAN JULIAN,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-08-01,0,1,0,0,0,1
COCHABAMBA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-09-01,3,18,3,12,6,30
QUIRUSILLAS,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-09-01,1,3,0,0,1,3
SAN LUCAS,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-09-01,1,4,0,0,1,4
SUCRE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-09-01,1,0,0,0,1,0
URIONDO (A. CONCEPCION),chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-09-01,0,0,1,1,1,1
VILLA MONTES,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-09-01,1,0,0,0,1,0
VITICHI,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-09-01,0,1,0,0,0,1
AIQUILE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-10-01,0,0,0,1,0,1
BETANZOS,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-10-01,1,0,0,0,1,0
CAPINOTA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-10-01,0,1,0,1,0,2
COCHABAMBA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-10-01,2,9,8,12,10,21
MIZQUE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-10-01,0,2,0,0,0,2
POROMA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-10-01,1,1,0,0,1,1
SAN JULIAN,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-10-01,0,0,0,1,0,1
SOPACHUY,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-10-01,1,2,0,0,1,2
SUCRE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-10-01,1,0,0,1,1,1
TARIJA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-10-01,1,0,0,0,1,0
VALLEGRANDE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-10-01,0,0,1,1,1,1
VILLA VACA GUZMAN (MUYUPAMPA),chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-10-01,1,2,0,0,1,2
CHIMORE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-11-01,1,1,0,1,1,2
COCHABAMBA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-11-01,0,1,0,0,0,1
EL TORNO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-11-01,0,0,0,1,0,1
HUACAYA (VILLA DE HUACAYA),chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-11-01,1,1,0,0,1,1
INCAHUASI,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-11-01,3,2,0,0,3,2
QUIRUSILLAS,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-11-01,0,0,1,3,1,3
RIBERALTA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-11-01,29,3,0,0,29,3
SANTA CRUZ DE LA SIERRA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-11-01,1,0,0,2,1,2
SUCRE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-11-01,4,1,0,0,4,1
TINGUIPAYA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-11-01,0,1,0,0,0,1
VILLA TUNARI,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-11-01,1,1,0,1,1,2
VILLA VACA GUZMAN (MUYUPAMPA),chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-11-01,0,1,0,0,0,1
YACUIBA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-11-01,1,0,0,0,1,0
YAMPARAEZ,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-11-01,1,1,0,0,1,1
YAPACANI,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-11-01,0,1,0,0,0,1
COCHABAMBA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-12-01,0,0,1,0,1,0
POROMA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-12-01,0,0,1,0,1,0
PUNA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-12-01,0,1,0,0,0,1
SAN LUCAS,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-12-01,0,3,0,0,0,3
SOPACHUY,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-12-01,0,0,1,2,1,2
SUCRE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-12-01,0,1,0,0,0,1
TARIJA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-12-01,0,0,1,0,1,0
YAMPARAEZ,chagas,tratamientos 5 anos a menores de 15 anos de edad,2022-12-01,1,3,0,0,1,3
