,group,variable,month,TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD INICIADO,TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD INICIADO,TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD CONCLUIDO,TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD CONCLUIDO,TOTALES,TOTALES
SUCRE,chagas,tratamientos rn a menores de 1 ano de edad,2022-03-01,0,1,0,1,0,2
YACUIBA,chagas,tratamientos rn a menores de 1 ano de edad,2022-03-01,0,2,0,2,0,4
CHULUMANI (V. DE LA LIBERTAD),chagas,tratamientos rn a menores de 1 ano de edad,2022-04-01,0,0,0,1,0,1
COLCAPIRHUA,chagas,tratamientos rn a menores de 1 ano de edad,2022-04-01,1,0,0,0,1,0
MACHARETI,chagas,tratamientos rn a menores de 1 ano de edad,2022-04-01,0,0,0,3,0,3
PUNATA,chagas,tratamientos rn a menores de 1 ano de edad,2022-04-01,1,0,0,0,1,0
SAMAIPATA,chagas,tratamientos rn a menores de 1 ano de edad,2022-04-01,0,0,1,0,1,0
SAN BORJA,chagas,tratamientos rn a menores de 1 ano de edad,2022-04-01,1,0,0,0,1,0
SUCRE,chagas,tratamientos rn a menores de 1 ano de edad,2022-04-01,0,2,0,1,0,3
TOTORA(CBBA),chagas,tratamientos rn a menores de 1 ano de edad,2022-04-01,0,0,0,1,0,1
YACUIBA,chagas,tratamientos rn a menores de 1 ano de edad,2022-04-01,2,1,0,0,2,1
CAMARGO,chagas,tratamientos rn a menores de 1 ano de edad,2022-05-01,0,1,0,0,0,1
CAPINOTA,chagas,tratamientos rn a menores de 1 ano de edad,2022-05-01,0,0,1,0,1,0
COMARAPA,chagas,tratamientos rn a menores de 1 ano de edad,2022-05-01,1,0,0,0,1,0
LA ASUNTA,chagas,tratamientos rn a menores de 1 ano de edad,2022-05-01,1,0,0,0,1,0
MACHARETI,chagas,tratamientos rn a menores de 1 ano de edad,2022-05-01,0,1,0,0,0,1
PAMPA GRANDE,chagas,tratamientos rn a menores de 1 ano de edad,2022-05-01,1,0,0,0,1,0
PUNATA,chagas,tratamientos rn a menores de 1 ano de edad,2022-05-01,0,0,1,0,1,0
SAN LUCAS,chagas,tratamientos rn a menores de 1 ano de edad,2022-05-01,0,1,0,0,0,1
SANTA CRUZ DE LA SIERRA,chagas,tratamientos rn a menores de 1 ano de edad,2022-05-01,2,1,1,0,3,1
SUCRE,chagas,tratamientos rn a menores de 1 ano de edad,2022-05-01,1,2,0,1,1,3
YACUIBA,chagas,tratamientos rn a menores de 1 ano de edad,2022-05-01,0,3,1,0,1,3
CAMARGO,chagas,tratamientos rn a menores de 1 ano de edad,2022-06-01,0,0,0,1,0,1
COMARAPA,chagas,tratamientos rn a menores de 1 ano de edad,2022-06-01,0,0,1,0,1,0
ENTRE RIOS CBBA,chagas,tratamientos rn a menores de 1 ano de edad,2022-06-01,0,0,1,0,1,0
MACHARETI,chagas,tratamientos rn a menores de 1 ano de edad,2022-06-01,0,0,0,1,0,1
PAMPA GRANDE,chagas,tratamientos rn a menores de 1 ano de edad,2022-06-01,0,0,1,0,1,0
SAN LORENZO(TJA),chagas,tratamientos rn a menores de 1 ano de edad,2022-06-01,1,0,0,0,1,0
SAN LUCAS,chagas,tratamientos rn a menores de 1 ano de edad,2022-06-01,0,0,0,1,0,1
YACUIBA,chagas,tratamientos rn a menores de 1 ano de edad,2022-06-01,1,0,0,0,1,0
FILADELFIA,chagas,tratamientos rn a menores de 1 ano de edad,2022-07-01,1,1,0,0,1,1
MACHARETI,chagas,tratamientos rn a menores de 1 ano de edad,2022-07-01,0,1,0,0,0,1
SUCRE,chagas,tratamientos rn a menores de 1 ano de edad,2022-07-01,0,1,0,0,0,1
YACUIBA,chagas,tratamientos rn a menores de 1 ano de edad,2022-07-01,0,1,0,0,0,1
COCHABAMBA,chagas,tratamientos rn a menores de 1 ano de edad,2022-08-01,0,3,0,0,0,3
MACHARETI,chagas,tratamientos rn a menores de 1 ano de edad,2022-08-01,0,0,0,1,0,1
PADCAYA,chagas,tratamientos rn a menores de 1 ano de edad,2022-08-01,1,0,0,0,1,0
PASORAPA,chagas,tratamientos rn a menores de 1 ano de edad,2022-08-01,1,0,0,0,1,0
PUERTO VILLARROEL,chagas,tratamientos rn a menores de 1 ano de edad,2022-08-01,0,1,0,0,0,1
SAN LUCAS,chagas,tratamientos rn a menores de 1 ano de edad,2022-08-01,1,0,0,0,1,0
SANTA CRUZ DE LA SIERRA,chagas,tratamientos rn a menores de 1 ano de edad,2022-08-01,1,1,0,0,1,1
SOPACHUY,chagas,tratamientos rn a menores de 1 ano de edad,2022-08-01,0,1,0,0,0,1
SUCRE,chagas,tratamientos rn a menores de 1 ano de edad,2022-08-01,0,1,1,3,1,4
VILLA MONTES,chagas,tratamientos rn a menores de 1 ano de edad,2022-08-01,0,0,1,0,1,0
YACUIBA,chagas,tratamientos rn a menores de 1 ano de edad,2022-08-01,0,1,0,0,0,1
YAMPARAEZ,chagas,tratamientos rn a menores de 1 ano de edad,2022-08-01,0,1,0,0,0,1
COCHABAMBA,chagas,tratamientos rn a menores de 1 ano de edad,2022-09-01,0,0,0,2,0,2
SAN LUCAS,chagas,tratamientos rn a menores de 1 ano de edad,2022-09-01,0,0,1,0,1,0
SANTA CRUZ DE LA SIERRA,chagas,tratamientos rn a menores de 1 ano de edad,2022-09-01,0,0,1,0,1,0
SOPACHUY,chagas,tratamientos rn a menores de 1 ano de edad,2022-09-01,0,0,0,1,0,1
SUCRE,chagas,tratamientos rn a menores de 1 ano de edad,2022-09-01,0,2,0,1,0,3
VILLA TUNARI,chagas,tratamientos rn a menores de 1 ano de edad,2022-09-01,1,0,0,0,1,0
YAMPARAEZ,chagas,tratamientos rn a menores de 1 ano de edad,2022-09-01,0,0,0,1,0,1
COCHABAMBA,chagas,tratamientos rn a menores de 1 ano de edad,2022-10-01,0,2,0,2,0,4
SANTA CRUZ DE LA SIERRA,chagas,tratamientos rn a menores de 1 ano de edad,2022-10-01,0,0,0,1,0,1
SUCRE,chagas,tratamientos rn a menores de 1 ano de edad,2022-10-01,0,0,0,2,0,2
VALLEGRANDE,chagas,tratamientos rn a menores de 1 ano de edad,2022-10-01,0,1,0,0,0,1
VILLA TUNARI,chagas,tratamientos rn a menores de 1 ano de edad,2022-10-01,0,0,1,0,1,0
CAPINOTA,chagas,tratamientos rn a menores de 1 ano de edad,2022-11-01,0,1,0,0,0,1
COCHABAMBA,chagas,tratamientos rn a menores de 1 ano de edad,2022-11-01,0,0,0,1,0,1
GUTIERREZ,chagas,tratamientos rn a menores de 1 ano de edad,2022-11-01,0,1,0,0,0,1
LA ASUNTA,chagas,tratamientos rn a menores de 1 ano de edad,2022-11-01,0,1,0,1,0,2
MACHARETI,chagas,tratamientos rn a menores de 1 ano de edad,2022-11-01,0,1,0,0,0,1
MONTEAGUDO,chagas,tratamientos rn a menores de 1 ano de edad,2022-11-01,0,1,0,0,0,1
SAIPINA,chagas,tratamientos rn a menores de 1 ano de edad,2022-11-01,0,1,0,0,0,1
SUCRE,chagas,tratamientos rn a menores de 1 ano de edad,2022-11-01,0,1,0,0,0,1
VALLEGRANDE,chagas,tratamientos rn a menores de 1 ano de edad,2022-11-01,0,0,0,1,0,1
YACUIBA,chagas,tratamientos rn a menores de 1 ano de edad,2022-11-01,0,1,1,0,1,1
GUTIERREZ,chagas,tratamientos rn a menores de 1 ano de edad,2022-12-01,0,0,0,1,0,1
MACHARETI,chagas,tratamientos rn a menores de 1 ano de edad,2022-12-01,0,0,0,1,0,1
MONTEAGUDO,chagas,tratamientos rn a menores de 1 ano de edad,2022-12-01,0,0,0,1,0,1
SUCRE,chagas,tratamientos rn a menores de 1 ano de edad,2022-12-01,1,0,1,1,2,1
YACUIBA,chagas,tratamientos rn a menores de 1 ano de edad,2022-12-01,2,0,0,0,2,0
