,group,variable,month,DE 1 A MENORES DE 5 AÑOS VIVAX,DE 1 A MENORES DE 5 AÑOS VIVAX,DE 1 A MENORES DE 5 AÑOS FALCIPARUM,DE 1 A MENORES DE 5 AÑOS FALCIPARUM,TOTALES,TOTALES,TOTALES
SANTA ROSA,malaria,de 1 a menores de 5 anos,2018-03-01,1,0,0,0,1,0,1
GUAYARAMERIN,malaria,de 1 a menores de 5 anos,2018-04-01,0,1,0,0,0,1,1
NUEVO MANOA (NUEVA ESPERANZA),malaria,de 1 a menores de 5 anos,2018-04-01,1,0,0,0,1,0,1
REYES,malaria,de 1 a menores de 5 anos,2018-04-01,0,2,0,0,0,2,2
RIBERALTA,malaria,de 1 a menores de 5 anos,2018-04-01,6,5,0,0,6,5,11
SAN LORENZO(PND),malaria,de 1 a menores de 5 anos,2018-04-01,0,1,0,0,0,1,1
CARANAVI,malaria,de 1 a menores de 5 anos,2018-05-01,1,0,0,0,1,0,1
GUAYARAMERIN,malaria,de 1 a menores de 5 anos,2018-05-01,6,3,0,0,6,3,9
NUEVO MANOA (NUEVA ESPERANZA),malaria,de 1 a menores de 5 anos,2018-05-01,0,1,0,0,0,1,1
PUERTO RICO,malaria,de 1 a menores de 5 anos,2018-05-01,2,1,0,0,2,1,3
RIBERALTA,malaria,de 1 a menores de 5 anos,2018-05-01,14,14,0,0,14,14,28
GUAYARAMERIN,malaria,de 1 a menores de 5 anos,2018-06-01,4,3,0,0,4,3,7
RIBERALTA,malaria,de 1 a menores de 5 anos,2018-06-01,7,1,0,0,7,1,8
SAN LORENZO(PND),malaria,de 1 a menores de 5 anos,2018-06-01,1,1,0,0,1,1,2
SENA,malaria,de 1 a menores de 5 anos,2018-06-01,1,0,0,0,1,0,1
SUCRE,malaria,de 1 a menores de 5 anos,2018-06-01,0,1,0,0,0,1,1
YACUIBA,malaria,de 1 a menores de 5 anos,2018-06-01,1,0,0,0,1,0,1
GUAYARAMERIN,malaria,de 1 a menores de 5 anos,2018-07-01,3,4,0,0,3,4,7
RIBERALTA,malaria,de 1 a menores de 5 anos,2018-07-01,4,2,0,0,4,2,6
SAN LORENZO(PND),malaria,de 1 a menores de 5 anos,2018-07-01,3,0,0,0,3,0,3
SANTA ROSA,malaria,de 1 a menores de 5 anos,2018-07-01,0,1,0,0,0,1,1
EUREKA (SANTOS MERCADO),malaria,de 1 a menores de 5 anos,2018-08-01,0,2,0,0,0,2,2
FILADELFIA,malaria,de 1 a menores de 5 anos,2018-08-01,1,0,0,0,1,0,1
GUAYARAMERIN,malaria,de 1 a menores de 5 anos,2018-08-01,1,2,0,0,1,2,3
MAGDALENA,malaria,de 1 a menores de 5 anos,2018-08-01,0,1,0,0,0,1,1
NUEVO MANOA (NUEVA ESPERANZA),malaria,de 1 a menores de 5 anos,2018-08-01,1,0,0,0,1,0,1
PUNA,malaria,de 1 a menores de 5 anos,2018-08-01,0,1,1,1,1,2,3
RIBERALTA,malaria,de 1 a menores de 5 anos,2018-08-01,31,27,0,0,31,27,58
SAN LORENZO(PND),malaria,de 1 a menores de 5 anos,2018-08-01,2,0,0,0,2,0,2
SENA,malaria,de 1 a menores de 5 anos,2018-08-01,1,0,0,0,1,0,1
WARNES,malaria,de 1 a menores de 5 anos,2018-08-01,0,1,0,0,0,1,1
EUREKA (SANTOS MERCADO),malaria,de 1 a menores de 5 anos,2018-09-01,1,1,0,0,1,1,2
GUAYARAMERIN,malaria,de 1 a menores de 5 anos,2018-09-01,3,1,0,0,3,1,4
RIBERALTA,malaria,de 1 a menores de 5 anos,2018-09-01,3,1,0,0,3,1,4
SAN LORENZO(PND),malaria,de 1 a menores de 5 anos,2018-09-01,2,2,0,0,2,2,4
SENA,malaria,de 1 a menores de 5 anos,2018-09-01,1,2,0,0,1,2,3
GUAYARAMERIN,malaria,de 1 a menores de 5 anos,2018-10-01,10,3,0,0,10,3,13
MAGDALENA,malaria,de 1 a menores de 5 anos,2018-10-01,0,1,0,0,0,1,1
NUEVO MANOA (NUEVA ESPERANZA),malaria,de 1 a menores de 5 anos,2018-10-01,1,0,0,0,1,0,1
PUERTO RICO,malaria,de 1 a menores de 5 anos,2018-10-01,1,0,0,0,1,0,1
RIBERALTA,malaria,de 1 a menores de 5 anos,2018-10-01,10,4,0,0,10,4,14
SAN LORENZO(PND),malaria,de 1 a menores de 5 anos,2018-10-01,5,0,0,0,5,0,5
SAN PEDRO(PND),malaria,de 1 a menores de 5 anos,2018-10-01,1,0,0,0,1,0,1
SENA,malaria,de 1 a menores de 5 anos,2018-10-01,2,0,0,0,2,0,2
GUAYARAMERIN,malaria,de 1 a menores de 5 anos,2018-11-01,8,3,0,0,8,3,11
NUEVO MANOA (NUEVA ESPERANZA),malaria,de 1 a menores de 5 anos,2018-11-01,2,0,0,0,2,0,2
PUERTO GONZALO MORENO,malaria,de 1 a menores de 5 anos,2018-11-01,1,0,0,0,1,0,1
PUERTO RICO,malaria,de 1 a menores de 5 anos,2018-11-01,0,1,0,0,0,1,1
REYES,malaria,de 1 a menores de 5 anos,2018-11-01,1,0,0,0,1,0,1
RIBERALTA,malaria,de 1 a menores de 5 anos,2018-11-01,9,7,0,0,9,7,16
SAN LORENZO(PND),malaria,de 1 a menores de 5 anos,2018-11-01,2,1,0,0,2,1,3
SENA,malaria,de 1 a menores de 5 anos,2018-11-01,2,0,0,0,2,0,2
GUAYARAMERIN,malaria,de 1 a menores de 5 anos,2018-12-01,3,2,0,0,3,2,5
REYES,malaria,de 1 a menores de 5 anos,2018-12-01,0,1,0,0,0,1,1
RIBERALTA,malaria,de 1 a menores de 5 anos,2018-12-01,3,2,0,0,3,2,5
SENA,malaria,de 1 a menores de 5 anos,2018-12-01,5,0,0,0,5,0,5
