municipality,group,variable,month,Pacientes contrareferidos al establecimiento,TOTAL
VILLA VACA GUZMAN (MUYUPAMPA),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-01-01,2,2
VILLAZON,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-01-01,6,6
WARNES,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-01-01,67,67
YACUIBA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-01-01,8,8
YAPACANI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-01-01,1,1
ZUDAÑEZ,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-01-01,4,4
AIQUILE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-02-01,1,1
ALCALA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-02-01,2,2
ARAMPAMPA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-02-01,2,2
ASCENCION DE GUARAYOS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-02-01,12,12
ATOCHA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-02-01,8,8
BERMEJO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-02-01,6,6
BETANZOS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-02-01,2,2
"CAIZA ""D""",refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-02-01,1,1
CAMIRI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-02-01,37,37
CAPINOTA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-02-01,1,1
CARACOLLO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-02-01,1,1
CARAPARI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-02-01,1,1
CHARAGUA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-02-01,1,1
CLIZA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-02-01,17,17
COBIJA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-02-01,34,34
COCHABAMBA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-02-01,353,353
COLCAPIRHUA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-02-01,1,1
COLOMI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-02-01,1,1
COMARAPA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-02-01,2,2
COROICO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-02-01,3,3
COTOCA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-02-01,1,1
CUATRO CAÑADAS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-02-01,1,1
CULPINA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-02-01,1,1
EL ALTO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-02-01,121,121
EL PUENTE(STC),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-02-01,1,1
EL PUENTE(TJA),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-02-01,1,1
EL TORNO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-02-01,6,6
EL VILLAR,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-02-01,1,1
ENTRE RIOS CBBA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-02-01,1,1
FERNANDEZ ALONSO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-02-01,3,3
GUAYARAMERIN,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-02-01,100,100
HUANUNI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-02-01,1,1
ICLA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-02-01,4,4
INCAHUASI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-02-01,4,4
LA PAZ,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-02-01,606,606
LAGUNILLAS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-02-01,1,1
MACHARETI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-02-01,2,2
MIZQUE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-02-01,1,1
MOJOCOYA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-02-01,3,3
MONTERO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-02-01,71,71
OCURI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-02-01,1,1
ORURO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-02-01,137,137
PADILLA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-02-01,4,4
PALOS BLANCOS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-02-01,1,1
POOPO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-02-01,1,1
PORTACHUELO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-02-01,7,7
PRESTO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-02-01,4,4
PUERTO GONZALO MORENO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-02-01,1,1
PUERTO SUAREZ,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-02-01,2,2
PUERTO VILLARROEL,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-02-01,4,4
PUNATA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-02-01,2,2
QUILLACOLLO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-02-01,23,23
QUIRUSILLAS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-02-01,1,1
RAVELO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-02-01,2,2
RIBERALTA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-02-01,32,32
RURRENABAQUE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-02-01,4,4
SACABA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-02-01,8,8
SAIPINA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-02-01,1,1
SAN BENITO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-02-01,1,1
SAN CARLOS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-02-01,6,6
SAN LORENZO(TJA),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-02-01,1,1
SAN LUCAS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-02-01,5,5
SAN MIGUEL DE VELASCO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-02-01,1,1
SAN PEDRO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-02-01,1,1
SANTA CRUZ DE LA SIERRA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-02-01,343,343
SIPE SIPE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-02-01,1,1
SOPACHUY,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-02-01,2,2
SORATA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-02-01,1,1
SUCRE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-02-01,111,111
TARABUCO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-02-01,3,3
TARIJA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-02-01,12,12
TARVITA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-02-01,3,3
TIRAQUE (CBBA),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-02-01,1,1
TOMINA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-02-01,7,7
TRINIDAD,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-02-01,26,26
TUPIZA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-02-01,13,13
UYUNI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-02-01,1,1
VIACHA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-02-01,4,4
VILLA MONTES,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-02-01,1,1
VILLA SERRANO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-02-01,1,1
VILLA VACA GUZMAN (MUYUPAMPA),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-02-01,1,1
VILLAZON,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-02-01,2,2
WARNES,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-02-01,79,79
YACUIBA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-02-01,4,4
YAMPARAEZ,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-02-01,2,2
YAPACANI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-02-01,1,1
ZUDAÑEZ,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-02-01,5,5
ACACIO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-03-01,1,1
ACHACACHI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-03-01,1,1
AIQUILE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-03-01,3,3
ALCALA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-03-01,3,3
ARBIETO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-03-01,1,1
ASCENCION DE GUARAYOS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-03-01,14,14
ATOCHA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-03-01,11,11
BERMEJO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-03-01,4,4
BUENA VISTA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-03-01,3,3
"CAIZA ""D""",refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-03-01,1,1
CAMIRI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-03-01,48,48
CHULUMANI (V. DE LA LIBERTAD),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-03-01,1,1
COBIJA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-03-01,41,41
COCHABAMBA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-03-01,318,318
COLCAPIRHUA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-03-01,4,4
COLOMI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-03-01,1,1
COMARAPA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-03-01,4,4
CORIPATA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-03-01,7,7
COROICO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-03-01,1,1
COTAGAITA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-03-01,1,1
COTOCA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-03-01,2,2
DESAGUADERO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-03-01,1,1
EL ALTO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-03-01,99,99
EL PUENTE(TJA),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-03-01,5,5
EL TORNO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-03-01,14,14
EL VILLAR,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-03-01,1,1
ENTRE RIOS CBBA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-03-01,1,1
FERNANDEZ ALONSO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-03-01,1,1
GENERAL SAAVEDRA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-03-01,1,1
GUAYARAMERIN,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-03-01,114,114
HUANUNI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-03-01,3,3
ICLA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-03-01,2,2
INCAHUASI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-03-01,2,2
LA ASUNTA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-03-01,1,1
LA PAZ,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-03-01,1061,1061
MAIRANA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-03-01,1,1
MOJOCOYA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-03-01,2,2
MONTEAGUDO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-03-01,1,1
MONTERO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-03-01,93,93
MORO MORO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-03-01,1,1
ORURO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-03-01,33,33
PADILLA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-03-01,1,1
POOPO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-03-01,2,2
PORTACHUELO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-03-01,6,6
POTOSI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-03-01,7,7
PRESTO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-03-01,3,3
PUERTO GONZALO MORENO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-03-01,1,1
PUERTO VILLARROEL,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-03-01,8,8
PUNATA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-03-01,12,12
QUILLACOLLO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-03-01,48,48
RAVELO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-03-01,2,2
RIBERALTA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-03-01,21,21
RURRENABAQUE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-03-01,9,9
SACABA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-03-01,17,17
SAIPINA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-03-01,7,7
SALINAS DE GARCI MENDOZA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-03-01,1,1
SAN BUENA VENTURA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-03-01,1,1
SAN CARLOS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-03-01,8,8
SAN LORENZO(TJA),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-03-01,1,1
SAN LUCAS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-03-01,3,3
SAN MIGUEL DE VELASCO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-03-01,1,1
SANTA CRUZ DE LA SIERRA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-03-01,505,505
SANTA ROSA DEL SARA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-03-01,1,1
SENA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-03-01,2,2
SIPE SIPE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-03-01,1,1
SORACACHI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-03-01,2,2
SUCRE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-03-01,177,177
TARABUCO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-03-01,5,5
TARIJA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-03-01,3,3
TARVITA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-03-01,4,4
TEOPONTE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-03-01,1,1
TIQUIPAYA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-03-01,1,1
TOMINA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-03-01,7,7
TRINIDAD,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-03-01,20,20
TUPIZA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-03-01,26,26
UYUNI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-03-01,2,2
VILA VILA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-03-01,2,2
VILLA MONTES,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-03-01,2,2
VILLA SERRANO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-03-01,3,3
VILLA VACA GUZMAN (MUYUPAMPA),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-03-01,2,2
VILLAZON,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-03-01,11,11
VITICHI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-03-01,1,1
WARNES,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-03-01,97,97
YACUIBA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-03-01,4,4
YAMPARAEZ,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-03-01,1,1
YOTALA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-03-01,1,1
ZUDAÑEZ,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-03-01,2,2
ACHACACHI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-04-01,1,1
AIQUILE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-04-01,9,9
ALCALA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-04-01,6,6
ASCENCION DE GUARAYOS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-04-01,9,9
ATOCHA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-04-01,12,12
BERMEJO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-04-01,8,8
BETANZOS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-04-01,4,4
BOYUIBE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-04-01,1,1
BUENA VISTA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-04-01,1,1
"CAIZA ""D""",refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-04-01,1,1
CAMIRI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-04-01,37,37
CARIPUYO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-04-01,1,1
CHALLAPATA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-04-01,1,1
CHIMORE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-04-01,1,1
CKOCHAS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-04-01,2,2
COBIJA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-04-01,54,54
COCHABAMBA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-04-01,329,329
COLCAPIRHUA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-04-01,1,1
COLOMI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-04-01,1,1
COMARAPA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-04-01,7,7
COPACABANA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-04-01,1,1
CORIPATA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-04-01,5,5
COTOCA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-04-01,3,3
CUATRO CAÑADAS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-04-01,1,1
EL ALTO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-04-01,86,86
EL PUENTE(TJA),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-04-01,3,3
EL TORNO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-04-01,6,6
EL VILLAR,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-04-01,2,2
FERNANDEZ ALONSO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-04-01,2,2
FILADELFIA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-04-01,1,1
GUAYARAMERIN,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2021-04-01,3,3
