municipality,group,variable,month,Nº de certificados únicos para casos de violencia (Ley 348),TOTAL
SACACA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-04-01,1,1
SALINAS DE GARCI MENDOZA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-04-01,1,1
SAN LUCAS,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-04-01,4,4
SANTIAGO DE HUARI,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-04-01,1,1
SANTIAGO DE HUATA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-04-01,1,1
SICA SICA (VILLA AROMA),actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-04-01,1,1
SORATA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-04-01,21,21
TARABUCO,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-04-01,1,1
TORO TORO,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-04-01,3,3
UNCIA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-04-01,1,1
VILLA TUNARI,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-04-01,1,1
YACO,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-04-01,8,8
ZUDAÑEZ,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-04-01,1,1
ALCALA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-05-01,1,1
AYATA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-05-01,1,1
BETANZOS,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-05-01,10,10
CAIROMA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-05-01,4,4
CALAMARCA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-05-01,1,1
CAMARGO,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-05-01,12,12
CHUQUIHUTA AYLLU JUCUMANI,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-05-01,1,1
COBIJA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-05-01,3,3
COCAPATA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-05-01,1,1
COTAGAITA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-05-01,2,2
EL ALTO,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-05-01,11,11
ICLA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-05-01,2,2
INCAHUASI,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-05-01,2,2
IXIAMAS,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-05-01,1,1
JESUS DE MACHACA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-05-01,1,1
LA ASUNTA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-05-01,1,1
LLICA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-05-01,3,3
MALLA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-05-01,1,1
OCURI,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-05-01,4,4
ORURO,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-05-01,43,43
PAZÑA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-05-01,1,1
POCOATA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-05-01,1,1
POCONA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-05-01,1,1
POROMA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-05-01,1,1
POTOSI,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-05-01,2,2
PUNATA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-05-01,4,4
QUIABAYA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-05-01,2,2
SALINAS DE GARCI MENDOZA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-05-01,2,2
SAN JAVIER(BNI),actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-05-01,1,1
SAN LUCAS,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-05-01,6,6
SAN PEDRO DE BUENA VISTA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-05-01,1,1
SAN PEDRO DE MACHA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-05-01,3,3
SOPACHUY,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-05-01,1,1
SORATA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-05-01,10,10
SUCRE,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-05-01,2,2
TAHUA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-05-01,1,1
TARVITA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-05-01,1,1
TOMINA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-05-01,3,3
TORO TORO,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-05-01,3,3
UNCIA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-05-01,1,1
VILLA MONTES,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-05-01,2,2
VILLA SERRANO,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-05-01,3,3
VITICHI,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-05-01,3,3
YACO,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-05-01,1,1
ZUDAÑEZ,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-05-01,3,3
ALCALA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-06-01,1,1
ARANI,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-06-01,1,1
AZURDUY,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-06-01,1,1
CALAMARCA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-06-01,1,1
CAMARGO,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-06-01,10,10
CHAQUI,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-06-01,1,1
CHAYANTA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-06-01,1,1
CKOCHAS,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-06-01,1,1
COTAGAITA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-06-01,1,1
CULPINA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-06-01,2,2
EL ALTO,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-06-01,7,7
ESCOMA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-06-01,1,1
HUACARETA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-06-01,1,1
ICLA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-06-01,1,1
LA ASUNTA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-06-01,3,3
LA PAZ,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-06-01,35,35
LLICA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-06-01,1,1
MONTEAGUDO,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-06-01,2,2
POCOATA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-06-01,1,1
POTOSI,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-06-01,1,1
PRESTO,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-06-01,1,1
PUERTO RICO,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-06-01,2,2
PUNATA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-06-01,5,5
QUIABAYA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-06-01,1,1
SALINAS DE GARCI MENDOZA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-06-01,5,5
SAN IGNACIO DE VELASCO,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-06-01,2,2
SAN LUCAS,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-06-01,13,13
SAN PEDRO DE BUENA VISTA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-06-01,1,1
SAN PEDRO DE MACHA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-06-01,1,1
SORATA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-06-01,2,2
SUCRE,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-06-01,1,1
TAPACARI,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-06-01,1,1
TARVITA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-06-01,2,2
TORO TORO,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-06-01,1,1
UMALA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-06-01,3,3
UNCIA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-06-01,4,4
VILLA CHARCAS,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-06-01,5,5
VILLA SERRANO,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-06-01,4,4
VILLA TUNARI,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-06-01,1,1
VILLA VACA GUZMAN (MUYUPAMPA),actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-06-01,1,1
YACUIBA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-06-01,2,2
YOCALLA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-06-01,1,1
ZUDAÑEZ,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-06-01,1,1
ALCALA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-07-01,1,1
BELLA FLOR,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-07-01,1,1
BETANZOS,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-07-01,17,17
CAIROMA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-07-01,1,1
"CAIZA ""D""",actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2022-07-01,2,2
