municipality,group,variable,month,Días camas ocupadas maternidad,TOTAL
COPACABANA,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,13,13
CORIPATA,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,5,5
CORO CORO,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,1,1
COROICO,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,136,136
COTAGAITA,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,8,8
COTOCA,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,138,138
CUATRO CAÑADAS,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,40,40
CULPINA,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,48,48
CURAHUARA DE CARANGAS,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,2,2
DESAGUADERO,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,7,7
EL ALTO,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,3932,3932
EL PUENTE(STC),internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,16,16
EL PUENTE(TJA),internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,2,2
EL TORNO,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,509,509
EL VILLAR,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,3,3
ENTRE RIOS TRJ,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,19,19
ENTRE RIOS CBBA,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,36,36
ESCOMA,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,26,26
EUCALIPTUS,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,1,1
EXALTACION,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,1,1
FERNANDEZ ALONSO,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,8,8
FILADELFIA,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,6,6
GENERAL SAAVEDRA,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,5,5
GRAL. J.J. PEREZ (CHARAZANI),internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,1,1
GUANAY,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,13,13
GUAQUI,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,2,2
GUAYARAMERIN,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,434,434
GUTIERREZ,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,5,5
HUACARETA,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,14,14
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,8,8
HUACHACALLA,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,2,2
HUANUNI,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,111,111
HUARACAJE,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,4,4
HUARINA,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,2,2
HUATAJATA,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,4,4
HUAYLLAMARCA,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,4,4
ICHOCA,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,2,2
ICLA,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,2,2
INCAHUASI,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,24,24
INQUISIVI,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,1,1
IRUPANA (VILLA DE LANZA),internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,3,3
IXIAMAS,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,13,13
JESUS DE MACHACA,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,7,7
LA ASUNTA,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,47,47
LA GUARDIA,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,75,75
LA PAZ,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,6385,6385
LAGUNILLAS,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,2,2
LAJA,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,11,11
LAS CARRERAS,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,5,5
LLALLAGUA,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,248,248
LLICA,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,8,8
MACHACAMARCA,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,1,1
MACHARETI,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,2,2
MAGDALENA,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,73,73
MAIRANA,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,101,101
MAPIRI,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,24,24
MINEROS,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,21,21
MIZQUE,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,7,7
MOJOCOYA,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,11,11
MONTEAGUDO,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,295,295
MONTERO,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,868,868
MOROCHATA,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,3,3
OCURI,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,12,12
OMEREQUE,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,8,8
ORURO,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,3117,3117
PADILLA,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,59,59
PAILON,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,53,53
PALOS BLANCOS,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,38,38
PAMPA AULLAGAS,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,2,2
PAMPA GRANDE,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,8,8
PAPEL PAMPA,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,5,5
PASORAPA,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,1,1
PATACAMAYA,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,113,113
POCOATA,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,7,7
POCONA,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,9,9
POJO (CBBA),internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,15,15
POOPO,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,2,2
PORCO,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,22,22
POROMA,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,15,15
PORONGO,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,6,6
PORTACHUELO,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,105,105
PORVENIR,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,6,6
POTOSI,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,1835,1835
PRESTO,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,9,9
PUCARANI,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,10,10
PUERTO ACOSTA,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,2,2
PUERTO CARABUCO,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,2,2
PUERTO GONZALO MORENO,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,4,4
PUERTO QUIJARRO,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,70,70
PUERTO RICO,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,11,11
PUERTO SUAREZ,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,88,88
PUERTO VILLARROEL,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,392,392
PUNA,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,15,15
PUNATA,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,357,357
QUILLACOLLO,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,858,858
QUIME,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,9,9
RAQAYPAMPA(ETA),internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,1,1
RAVELO,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,4,4
REYES,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,38,38
RIBERALTA,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,1025,1025
ROBORE,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,86,86
RURRENABAQUE,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,130,130
SACABA,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,566,566
SACACA,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,19,19
SAIPINA,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,5,5
SALINAS DE GARCI MENDOZA,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,7,7
SAMAIPATA,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,4,4
SAN ANTONIO DE LOMERIO,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,24,24
SAN BENITO,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,1,1
SAN BORJA,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,267,267
SAN BUENA VENTURA,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,26,26
SAN CARLOS,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,16,16
SAN IGNACIO,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,65,65
SAN IGNACIO DE VELASCO,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,552,552
SAN JAVIER(STC),internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,67,67
SAN JOSE DE CHIQUITOS,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,312,312
SAN JUAN DE YAPACANI,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,6,6
SAN JULIAN,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,176,176
SAN LUCAS,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,159,159
SAN MATIAS,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,54,54
SAN MIGUEL DE VELASCO,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,32,32
SAN PEDRO,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,3,3
SAN PEDRO DE BUENA VISTA,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,5,5
SAN PEDRO DE CURAHUARA,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,2,2
SAN PEDRO DE TIQUINA,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,4,4
SAN RAFAEL,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,7,7
SAN RAMON BENI,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,14,14
SAN RAMON SCZ,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,42,42
SANTA ANA,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,41,41
SANTA CRUZ DE LA SIERRA,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,65043,65043
SANTA ROSA,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,44,44
SANTA ROSA DEL SARA,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,22,22
SANTIAGO DE HUATA,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,1,1
SANTIVAÑES,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,3,3
SAPAHAQUI,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,2,2
SENA,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,37,37
SHINAOTA,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,52,52
SICA SICA (VILLA AROMA),internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,6,6
SIPE SIPE,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,33,33
SOPACHUY,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,30,30
SORATA,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,10,10
SUCRE,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,1963,1963
TACACOMA,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,3,3
TACOPAYA,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,3,3
TAPACARI,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,2,2
TARABUCO,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,117,117
TARIJA,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,1532,1532
TARVITA,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,25,25
TEOPONTE,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,15,15
TIAHUANACU,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,8,8
TIPUANI,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,10,10
TIQUIPAYA,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,201,201
TIRAQUE (CBBA),internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,18,18
TOLATA,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,4,4
TOMAVE,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,9,9
TOMINA,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,37,37
TORO TORO,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,26,26
TOTORA(CBBA),internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,22,22
TOTORA(ORR),internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,1,1
TRINIDAD,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,838,838
TUPIZA,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,155,155
UNCIA,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,22,22
URUBICHA,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,6,6
UYUNI,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,178,178
VACAS,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,4,4
VALLEGRANDE,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,141,141
VIACHA,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,221,221
VILA VILA,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,1,1
VILLA CHARCAS,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,9,9
VILLA MONTES,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,202,202
VILLA RIVERO,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,4,4
VILLA SERRANO,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,15,15
VILLA TUNARI,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,320,320
VILLA VACA GUZMAN (MUYUPAMPA),internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,18,18
VILLAZON,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,122,122
VINTO,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,112,112
VITICHI,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,1,1
WALDO BALLIVIAN,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,1,1
WARNES,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,143,143
YACO,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,4,4
YACUIBA,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,476,476
YAMPARAEZ,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,12,12
YANACACHI,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,1,1
YAPACANI,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,10,10
YOTALA,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,22,22
ZUDAÑEZ,internaciones dias camas,dias camas ocupadas maternidad,2019-01-01,25,25
ACACIO,internaciones dias camas,dias camas ocupadas maternidad,2019-02-01,4,4
ACHACACHI,internaciones dias camas,dias camas ocupadas maternidad,2019-02-01,52,52
AIQUILE,internaciones dias camas,dias camas ocupadas maternidad,2019-02-01,99,99
ALALAY,internaciones dias camas,dias camas ocupadas maternidad,2019-02-01,2,2
ALCALA,internaciones dias camas,dias camas ocupadas maternidad,2019-02-01,3,3
ALTO BENI,internaciones dias camas,dias camas ocupadas maternidad,2019-02-01,8,8
ANZALDO,internaciones dias camas,dias camas ocupadas maternidad,2019-02-01,1,1
APOLO,internaciones dias camas,dias camas ocupadas maternidad,2019-02-01,24,24
ARANI,internaciones dias camas,dias camas ocupadas maternidad,2019-02-01,3,3
ARBIETO,internaciones dias camas,dias camas ocupadas maternidad,2019-02-01,6,6
ARQUE,internaciones dias camas,dias camas ocupadas maternidad,2019-02-01,2,2
ASCENCION DE GUARAYOS,internaciones dias camas,dias camas ocupadas maternidad,2019-02-01,196,196
ATOCHA,internaciones dias camas,dias camas ocupadas maternidad,2019-02-01,50,50
AUCAPATA,internaciones dias camas,dias camas ocupadas maternidad,2019-02-01,1,1
AYATA,internaciones dias camas,dias camas ocupadas maternidad,2019-02-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,dias camas ocupadas maternidad,2019-02-01,16,16
AZURDUY,internaciones dias camas,dias camas ocupadas maternidad,2019-02-01,14,14
BATALLAS,internaciones dias camas,dias camas ocupadas maternidad,2019-02-01,4,4
BAURES,internaciones dias camas,dias camas ocupadas maternidad,2019-02-01,23,23
BERMEJO,internaciones dias camas,dias camas ocupadas maternidad,2019-02-01,139,139
BETANZOS,internaciones dias camas,dias camas ocupadas maternidad,2019-02-01,17,17
BOLPEBRA,internaciones dias camas,dias camas ocupadas maternidad,2019-02-01,2,2
BOYUIBE,internaciones dias camas,dias camas ocupadas maternidad,2019-02-01,2,2
BUENA VISTA,internaciones dias camas,dias camas ocupadas maternidad,2019-02-01,8,8
CABEZAS,internaciones dias camas,dias camas ocupadas maternidad,2019-02-01,9,9
CAIROMA,internaciones dias camas,dias camas ocupadas maternidad,2019-02-01,2,2
CAJUATA,internaciones dias camas,dias camas ocupadas maternidad,2019-02-01,12,12
CALAMARCA,internaciones dias camas,dias camas ocupadas maternidad,2019-02-01,8,8
CAMARGO,internaciones dias camas,dias camas ocupadas maternidad,2019-02-01,100,100
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,dias camas ocupadas maternidad,2019-02-01,2,2
CAMIRI,internaciones dias camas,dias camas ocupadas maternidad,2019-02-01,319,319
CAPINOTA,internaciones dias camas,dias camas ocupadas maternidad,2019-02-01,69,69
CAQUIAVIRI,internaciones dias camas,dias camas ocupadas maternidad,2019-02-01,2,2
CARACOLLO,internaciones dias camas,dias camas ocupadas maternidad,2019-02-01,39,39
CARANAVI,internaciones dias camas,dias camas ocupadas maternidad,2019-02-01,266,266
CARMEN RIVERO TORREZ,internaciones dias camas,dias camas ocupadas maternidad,2019-02-01,14,14
CHALLAPATA,internaciones dias camas,dias camas ocupadas maternidad,2019-02-01,73,73
CHAQUI,internaciones dias camas,dias camas ocupadas maternidad,2019-02-01,10,10
CHARAGUA,internaciones dias camas,dias camas ocupadas maternidad,2019-02-01,111,111
CHAYANTA,internaciones dias camas,dias camas ocupadas maternidad,2019-02-01,19,19
CHIMORE,internaciones dias camas,dias camas ocupadas maternidad,2019-02-01,15,15
CHUA COCANI,internaciones dias camas,dias camas ocupadas maternidad,2019-02-01,1,1
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,dias camas ocupadas maternidad,2019-02-01,112,112
CHUMA,internaciones dias camas,dias camas ocupadas maternidad,2019-02-01,1,1
CHUQUIHUTA AYLLU JUCUMANI,internaciones dias camas,dias camas ocupadas maternidad,2019-02-01,6,6
CKOCHAS,internaciones dias camas,dias camas ocupadas maternidad,2019-02-01,3,3
CLIZA,internaciones dias camas,dias camas ocupadas maternidad,2019-02-01,149,149
COBIJA,internaciones dias camas,dias camas ocupadas maternidad,2019-02-01,772,772
COCAPATA,internaciones dias camas,dias camas ocupadas maternidad,2019-02-01,7,7
COCHABAMBA,internaciones dias camas,dias camas ocupadas maternidad,2019-02-01,6599,6599
COLCAPIRHUA,internaciones dias camas,dias camas ocupadas maternidad,2019-02-01,165,165
"COLCHA ""K""",internaciones dias camas,dias camas ocupadas maternidad,2019-02-01,2,2
COLLANA,internaciones dias camas,dias camas ocupadas maternidad,2019-02-01,1,1
COLOMI,internaciones dias camas,dias camas ocupadas maternidad,2019-02-01,28,28
COLQUECHACA,internaciones dias camas,dias camas ocupadas maternidad,2019-02-01,34,34
COLQUENCHA,internaciones dias camas,dias camas ocupadas maternidad,2019-02-01,11,11
COLQUIRI,internaciones dias camas,dias camas ocupadas maternidad,2019-02-01,7,7
COMARAPA,internaciones dias camas,dias camas ocupadas maternidad,2019-02-01,70,70
CONCEPCION,internaciones dias camas,dias camas ocupadas maternidad,2019-02-01,82,82
COPACABANA,internaciones dias camas,dias camas ocupadas maternidad,2019-02-01,3,3
CORIPATA,internaciones dias camas,dias camas ocupadas maternidad,2019-02-01,5,5
COROICO,internaciones dias camas,dias camas ocupadas maternidad,2019-02-01,137,137
COTAGAITA,internaciones dias camas,dias camas ocupadas maternidad,2019-02-01,25,25
COTOCA,internaciones dias camas,dias camas ocupadas maternidad,2019-02-01,136,136
CUATRO CAÑADAS,internaciones dias camas,dias camas ocupadas maternidad,2019-02-01,40,40
CUEVO,internaciones dias camas,dias camas ocupadas maternidad,2019-02-01,3,3
CULPINA,internaciones dias camas,dias camas ocupadas maternidad,2019-02-01,60,60
CURAHUARA DE CARANGAS,internaciones dias camas,dias camas ocupadas maternidad,2019-02-01,5,5
CURVA,internaciones dias camas,dias camas ocupadas maternidad,2019-02-01,2,2
DESAGUADERO,internaciones dias camas,dias camas ocupadas maternidad,2019-02-01,6,6
EL ALTO,internaciones dias camas,dias camas ocupadas maternidad,2019-02-01,3368,3368
EL PUENTE(STC),internaciones dias camas,dias camas ocupadas maternidad,2019-02-01,12,12
EL TORNO,internaciones dias camas,dias camas ocupadas maternidad,2019-02-01,518,518
EL VILLAR,internaciones dias camas,dias camas ocupadas maternidad,2019-02-01,9,9
ENTRE RIOS TRJ,internaciones dias camas,dias camas ocupadas maternidad,2019-02-01,27,27
ENTRE RIOS CBBA,internaciones dias camas,dias camas ocupadas maternidad,2019-02-01,29,29
ESCOMA,internaciones dias camas,dias camas ocupadas maternidad,2019-02-01,10,10
EUCALIPTUS,internaciones dias camas,dias camas ocupadas maternidad,2019-02-01,4,4
EXALTACION,internaciones dias camas,dias camas ocupadas maternidad,2019-02-01,1,1
