municipality,group,variable,month,Pacientes referidos del establecimiento a la medicina tradicional,TOTAL
EL TORNO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-11-01,2,2
ENTRE RIOS TRJ,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-11-01,2,2
INCAHUASI,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-11-01,3,3
PADCAYA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-11-01,2,2
POROMA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-11-01,14,14
SUCRE,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-11-01,4,4
TARIJA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-11-01,3,3
TARVITA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-11-01,1,1
VILLA CHARCAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-11-01,16,16
VILLA MONTES,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-11-01,2,2
YACUIBA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-11-01,1,1
CARAPARI,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-12-01,1,1
EL ALTO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-12-01,73,73
MONTERO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-12-01,1,1
PADCAYA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-12-01,1,1
POROMA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-12-01,10,10
SUCRE,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-12-01,3,3
TOMINA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-12-01,11,11
URIONDO (A. CONCEPCION),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-12-01,1,1
VILLA CHARCAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-12-01,5,5
VILLA SERRANO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2019-12-01,1,1
