municipality,group,variable,month,Cirugías medianas y mayores,TOTAL
CHULUMANI (V. DE LA LIBERTAD),cirugias y anestesias,cirugias medianas y mayores,2006-02-01,4,4
COBIJA,cirugias y anestesias,cirugias medianas y mayores,2006-02-01,79,79
COCHABAMBA,cirugias y anestesias,cirugias medianas y mayores,2006-02-01,2117,2117
COLCAPIRHUA,cirugias y anestesias,cirugias medianas y mayores,2006-02-01,65,65
COMARAPA,cirugias y anestesias,cirugias medianas y mayores,2006-02-01,11,11
CONCEPCION,cirugias y anestesias,cirugias medianas y mayores,2006-02-01,5,5
COPACABANA,cirugias y anestesias,cirugias medianas y mayores,2006-02-01,1,1
COROICO,cirugias y anestesias,cirugias medianas y mayores,2006-02-01,6,6
COTOCA,cirugias y anestesias,cirugias medianas y mayores,2006-02-01,4,4
DESAGUADERO,cirugias y anestesias,cirugias medianas y mayores,2006-02-01,1,1
EL ALTO,cirugias y anestesias,cirugias medianas y mayores,2006-02-01,528,528
EL TORNO,cirugias y anestesias,cirugias medianas y mayores,2006-02-01,13,13
GUANAY,cirugias y anestesias,cirugias medianas y mayores,2006-02-01,2,2
GUAYARAMERIN,cirugias y anestesias,cirugias medianas y mayores,2006-02-01,67,67
LA PAZ,cirugias y anestesias,cirugias medianas y mayores,2006-02-01,2781,2781
LLALLAGUA,cirugias y anestesias,cirugias medianas y mayores,2006-02-01,23,23
MAGDALENA,cirugias y anestesias,cirugias medianas y mayores,2006-02-01,6,6
MAIRANA,cirugias y anestesias,cirugias medianas y mayores,2006-02-01,7,7
MONTEAGUDO,cirugias y anestesias,cirugias medianas y mayores,2006-02-01,22,22
MONTERO,cirugias y anestesias,cirugias medianas y mayores,2006-02-01,157,157
ORURO,cirugias y anestesias,cirugias medianas y mayores,2006-02-01,438,438
PADILLA,cirugias y anestesias,cirugias medianas y mayores,2006-02-01,27,27
PATACAMAYA,cirugias y anestesias,cirugias medianas y mayores,2006-02-01,4,4
PORTACHUELO,cirugias y anestesias,cirugias medianas y mayores,2006-02-01,28,28
POTOSI,cirugias y anestesias,cirugias medianas y mayores,2006-02-01,108,108
PUERTO ACOSTA,cirugias y anestesias,cirugias medianas y mayores,2006-02-01,12,12
PUERTO SUAREZ,cirugias y anestesias,cirugias medianas y mayores,2006-02-01,12,12
PUERTO VILLARROEL,cirugias y anestesias,cirugias medianas y mayores,2006-02-01,20,20
PUNATA,cirugias y anestesias,cirugias medianas y mayores,2006-02-01,21,21
QUILLACOLLO,cirugias y anestesias,cirugias medianas y mayores,2006-02-01,69,69
REYES,cirugias y anestesias,cirugias medianas y mayores,2006-02-01,10,10
RIBERALTA,cirugias y anestesias,cirugias medianas y mayores,2006-02-01,45,45
ROBORE,cirugias y anestesias,cirugias medianas y mayores,2006-02-01,12,12
RURRENABAQUE,cirugias y anestesias,cirugias medianas y mayores,2006-02-01,8,8
SACABA,cirugias y anestesias,cirugias medianas y mayores,2006-02-01,59,59
SAMAIPATA,cirugias y anestesias,cirugias medianas y mayores,2006-02-01,1,1
SAN ANDRES,cirugias y anestesias,cirugias medianas y mayores,2006-02-01,2,2
SAN BORJA,cirugias y anestesias,cirugias medianas y mayores,2006-02-01,9,9
SAN BUENA VENTURA,cirugias y anestesias,cirugias medianas y mayores,2006-02-01,6,6
SAN CARLOS,cirugias y anestesias,cirugias medianas y mayores,2006-02-01,18,18
SAN IGNACIO,cirugias y anestesias,cirugias medianas y mayores,2006-02-01,2,2
SAN IGNACIO DE VELASCO,cirugias y anestesias,cirugias medianas y mayores,2006-02-01,34,34
SAN JAVIER(STC),cirugias y anestesias,cirugias medianas y mayores,2006-02-01,13,13
SAN JOAQUIN,cirugias y anestesias,cirugias medianas y mayores,2006-02-01,3,3
SAN JOSE DE CHIQUITOS,cirugias y anestesias,cirugias medianas y mayores,2006-02-01,5,5
SAN JUAN DE YAPACANI,cirugias y anestesias,cirugias medianas y mayores,2006-02-01,20,20
SAN JULIAN,cirugias y anestesias,cirugias medianas y mayores,2006-02-01,8,8
SAN MATIAS,cirugias y anestesias,cirugias medianas y mayores,2006-02-01,4,4
SAN RAMON,cirugias y anestesias,cirugias medianas y mayores,2006-02-01,1,1
SAN RAMON,cirugias y anestesias,cirugias medianas y mayores,2006-02-01,11,11
SANTA ANA,cirugias y anestesias,cirugias medianas y mayores,2006-02-01,11,11
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,cirugias medianas y mayores,2006-02-01,2847,2847
SANTA ROSA,cirugias y anestesias,cirugias medianas y mayores,2006-02-01,3,3
SIPE SIPE,cirugias y anestesias,cirugias medianas y mayores,2006-02-01,11,11
SOPACHUY,cirugias y anestesias,cirugias medianas y mayores,2006-02-01,4,4
SORATA,cirugias y anestesias,cirugias medianas y mayores,2006-02-01,1,1
SUCRE,cirugias y anestesias,cirugias medianas y mayores,2006-02-01,715,715
TARABUCO,cirugias y anestesias,cirugias medianas y mayores,2006-02-01,3,3
TARIJA,cirugias y anestesias,cirugias medianas y mayores,2006-02-01,394,394
TIRAQUE (CBBA),cirugias y anestesias,cirugias medianas y mayores,2006-02-01,7,7
TOTORA(CBBA),cirugias y anestesias,cirugias medianas y mayores,2006-02-01,3,3
TRINIDAD,cirugias y anestesias,cirugias medianas y mayores,2006-02-01,181,181
TUPIZA,cirugias y anestesias,cirugias medianas y mayores,2006-02-01,35,35
UNCIA,cirugias y anestesias,cirugias medianas y mayores,2006-02-01,11,11
UYUNI,cirugias y anestesias,cirugias medianas y mayores,2006-02-01,6,6
VALLEGRANDE,cirugias y anestesias,cirugias medianas y mayores,2006-02-01,39,39
VIACHA,cirugias y anestesias,cirugias medianas y mayores,2006-02-01,14,14
VILLA MONTES,cirugias y anestesias,cirugias medianas y mayores,2006-02-01,28,28
VILLA TUNARI,cirugias y anestesias,cirugias medianas y mayores,2006-02-01,20,20
VILLAZON,cirugias y anestesias,cirugias medianas y mayores,2006-02-01,16,16
VINTO,cirugias y anestesias,cirugias medianas y mayores,2006-02-01,1,1
WARNES,cirugias y anestesias,cirugias medianas y mayores,2006-02-01,33,33
YACUIBA,cirugias y anestesias,cirugias medianas y mayores,2006-02-01,80,80
YAPACANI,cirugias y anestesias,cirugias medianas y mayores,2006-02-01,17,17
YOTALA,cirugias y anestesias,cirugias medianas y mayores,2006-02-01,5,5
ZUDAÑEZ,cirugias y anestesias,cirugias medianas y mayores,2006-02-01,1,1
AIQUILE,cirugias y anestesias,cirugias medianas y mayores,2006-03-01,13,13
ASCENCION DE GUARAYOS,cirugias y anestesias,cirugias medianas y mayores,2006-03-01,18,18
ATOCHA,cirugias y anestesias,cirugias medianas y mayores,2006-03-01,7,7
AYOPAYA (V. DE INDEPENDENCIA),cirugias y anestesias,cirugias medianas y mayores,2006-03-01,3,3
AZURDUY,cirugias y anestesias,cirugias medianas y mayores,2006-03-01,1,1
BELLA FLOR,cirugias y anestesias,cirugias medianas y mayores,2006-03-01,1,1
BERMEJO,cirugias y anestesias,cirugias medianas y mayores,2006-03-01,24,24
BETANZOS,cirugias y anestesias,cirugias medianas y mayores,2006-03-01,3,3
CAMARGO,cirugias y anestesias,cirugias medianas y mayores,2006-03-01,61,61
CAMIRI,cirugias y anestesias,cirugias medianas y mayores,2006-03-01,44,44
CAPINOTA,cirugias y anestesias,cirugias medianas y mayores,2006-03-01,3,3
CARANAVI,cirugias y anestesias,cirugias medianas y mayores,2006-03-01,29,29
CHALLAPATA,cirugias y anestesias,cirugias medianas y mayores,2006-03-01,6,6
CHARAGUA,cirugias y anestesias,cirugias medianas y mayores,2006-03-01,11,11
CHULUMANI (V. DE LA LIBERTAD),cirugias y anestesias,cirugias medianas y mayores,2006-03-01,3,3
COBIJA,cirugias y anestesias,cirugias medianas y mayores,2006-03-01,71,71
COCHABAMBA,cirugias y anestesias,cirugias medianas y mayores,2006-03-01,2557,2557
COLCAPIRHUA,cirugias y anestesias,cirugias medianas y mayores,2006-03-01,50,50
COMARAPA,cirugias y anestesias,cirugias medianas y mayores,2006-03-01,8,8
CONCEPCION,cirugias y anestesias,cirugias medianas y mayores,2006-03-01,7,7
COPACABANA,cirugias y anestesias,cirugias medianas y mayores,2006-03-01,8,8
COROICO,cirugias y anestesias,cirugias medianas y mayores,2006-03-01,12,12
COTOCA,cirugias y anestesias,cirugias medianas y mayores,2006-03-01,4,4
CULPINA,cirugias y anestesias,cirugias medianas y mayores,2006-03-01,2,2
EL ALTO,cirugias y anestesias,cirugias medianas y mayores,2006-03-01,673,673
EL TORNO,cirugias y anestesias,cirugias medianas y mayores,2006-03-01,29,29
ENTRE RIOS,cirugias y anestesias,cirugias medianas y mayores,2006-03-01,22,22
GUAYARAMERIN,cirugias y anestesias,cirugias medianas y mayores,2006-03-01,53,53
HUANUNI,cirugias y anestesias,cirugias medianas y mayores,2006-03-01,8,8
LA PAZ,cirugias y anestesias,cirugias medianas y mayores,2006-03-01,3189,3189
LLALLAGUA,cirugias y anestesias,cirugias medianas y mayores,2006-03-01,35,35
MAGDALENA,cirugias y anestesias,cirugias medianas y mayores,2006-03-01,4,4
MAIRANA,cirugias y anestesias,cirugias medianas y mayores,2006-03-01,10,10
MONTEAGUDO,cirugias y anestesias,cirugias medianas y mayores,2006-03-01,17,17
MONTERO,cirugias y anestesias,cirugias medianas y mayores,2006-03-01,3,3
ORURO,cirugias y anestesias,cirugias medianas y mayores,2006-03-01,454,454
PADILLA,cirugias y anestesias,cirugias medianas y mayores,2006-03-01,36,36
PATACAMAYA,cirugias y anestesias,cirugias medianas y mayores,2006-03-01,6,6
PORTACHUELO,cirugias y anestesias,cirugias medianas y mayores,2006-03-01,37,37
POTOSI,cirugias y anestesias,cirugias medianas y mayores,2006-03-01,231,231
PUERTO ACOSTA,cirugias y anestesias,cirugias medianas y mayores,2006-03-01,24,24
PUERTO QUIJARRO,cirugias y anestesias,cirugias medianas y mayores,2006-03-01,5,5
PUERTO SUAREZ,cirugias y anestesias,cirugias medianas y mayores,2006-03-01,21,21
PUERTO VILLARROEL,cirugias y anestesias,cirugias medianas y mayores,2006-03-01,28,28
PUNATA,cirugias y anestesias,cirugias medianas y mayores,2006-03-01,17,17
QUILLACOLLO,cirugias y anestesias,cirugias medianas y mayores,2006-03-01,79,79
REYES,cirugias y anestesias,cirugias medianas y mayores,2006-03-01,5,5
RIBERALTA,cirugias y anestesias,cirugias medianas y mayores,2006-03-01,219,219
ROBORE,cirugias y anestesias,cirugias medianas y mayores,2006-03-01,8,8
RURRENABAQUE,cirugias y anestesias,cirugias medianas y mayores,2006-03-01,13,13
SACABA,cirugias y anestesias,cirugias medianas y mayores,2006-03-01,48,48
SAMAIPATA,cirugias y anestesias,cirugias medianas y mayores,2006-03-01,5,5
SAN ANDRES,cirugias y anestesias,cirugias medianas y mayores,2006-03-01,7,7
SAN BORJA,cirugias y anestesias,cirugias medianas y mayores,2006-03-01,17,17
SAN BUENA VENTURA,cirugias y anestesias,cirugias medianas y mayores,2006-03-01,2,2
SAN CARLOS,cirugias y anestesias,cirugias medianas y mayores,2006-03-01,24,24
SAN IGNACIO DE VELASCO,cirugias y anestesias,cirugias medianas y mayores,2006-03-01,49,49
SAN JAVIER(STC),cirugias y anestesias,cirugias medianas y mayores,2006-03-01,4,4
SAN JOAQUIN,cirugias y anestesias,cirugias medianas y mayores,2006-03-01,4,4
SAN JOSE DE CHIQUITOS,cirugias y anestesias,cirugias medianas y mayores,2006-03-01,5,5
SAN JUAN DE YAPACANI,cirugias y anestesias,cirugias medianas y mayores,2006-03-01,33,33
SAN JULIAN,cirugias y anestesias,cirugias medianas y mayores,2006-03-01,30,30
SAN LUCAS,cirugias y anestesias,cirugias medianas y mayores,2006-03-01,4,4
SAN RAMON,cirugias y anestesias,cirugias medianas y mayores,2006-03-01,12,12
SAN RAMON,cirugias y anestesias,cirugias medianas y mayores,2006-03-01,8,8
SANTA ANA,cirugias y anestesias,cirugias medianas y mayores,2006-03-01,19,19
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,cirugias medianas y mayores,2006-03-01,3377,3377
SANTA ROSA,cirugias y anestesias,cirugias medianas y mayores,2006-03-01,4,4
SIPE SIPE,cirugias y anestesias,cirugias medianas y mayores,2006-03-01,20,20
SOPACHUY,cirugias y anestesias,cirugias medianas y mayores,2006-03-01,8,8
SORATA,cirugias y anestesias,cirugias medianas y mayores,2006-03-01,1,1
SUCRE,cirugias y anestesias,cirugias medianas y mayores,2006-03-01,829,829
TARABUCO,cirugias y anestesias,cirugias medianas y mayores,2006-03-01,1,1
TARIJA,cirugias y anestesias,cirugias medianas y mayores,2006-03-01,427,427
TIQUIPAYA,cirugias y anestesias,cirugias medianas y mayores,2006-03-01,15,15
TIRAQUE (CBBA),cirugias y anestesias,cirugias medianas y mayores,2006-03-01,5,5
TOTORA(CBBA),cirugias y anestesias,cirugias medianas y mayores,2006-03-01,2,2
TRINIDAD,cirugias y anestesias,cirugias medianas y mayores,2006-03-01,266,266
TUPIZA,cirugias y anestesias,cirugias medianas y mayores,2006-03-01,45,45
UNCIA,cirugias y anestesias,cirugias medianas y mayores,2006-03-01,14,14
UYUNI,cirugias y anestesias,cirugias medianas y mayores,2006-03-01,2,2
VALLEGRANDE,cirugias y anestesias,cirugias medianas y mayores,2006-03-01,45,45
VILLA MONTES,cirugias y anestesias,cirugias medianas y mayores,2006-03-01,26,26
VILLA TUNARI,cirugias y anestesias,cirugias medianas y mayores,2006-03-01,12,12
VILLAZON,cirugias y anestesias,cirugias medianas y mayores,2006-03-01,20,20
VINTO,cirugias y anestesias,cirugias medianas y mayores,2006-03-01,1,1
WARNES,cirugias y anestesias,cirugias medianas y mayores,2006-03-01,36,36
YACUIBA,cirugias y anestesias,cirugias medianas y mayores,2006-03-01,56,56
YAPACANI,cirugias y anestesias,cirugias medianas y mayores,2006-03-01,10,10
YOTALA,cirugias y anestesias,cirugias medianas y mayores,2006-03-01,2,2
ZUDAÑEZ,cirugias y anestesias,cirugias medianas y mayores,2006-03-01,4,4
ACHACACHI,cirugias y anestesias,cirugias medianas y mayores,2006-04-01,1,1
AIQUILE,cirugias y anestesias,cirugias medianas y mayores,2006-04-01,13,13
ASCENCION DE GUARAYOS,cirugias y anestesias,cirugias medianas y mayores,2006-04-01,15,15
ATOCHA,cirugias y anestesias,cirugias medianas y mayores,2006-04-01,6,6
AYOPAYA (V. DE INDEPENDENCIA),cirugias y anestesias,cirugias medianas y mayores,2006-04-01,3,3
AZURDUY,cirugias y anestesias,cirugias medianas y mayores,2006-04-01,1,1
BAURES,cirugias y anestesias,cirugias medianas y mayores,2006-04-01,1,1
BERMEJO,cirugias y anestesias,cirugias medianas y mayores,2006-04-01,20,20
BETANZOS,cirugias y anestesias,cirugias medianas y mayores,2006-04-01,5,5
CAMARGO,cirugias y anestesias,cirugias medianas y mayores,2006-04-01,32,32
CAMIRI,cirugias y anestesias,cirugias medianas y mayores,2006-04-01,33,33
CAPINOTA,cirugias y anestesias,cirugias medianas y mayores,2006-04-01,3,3
CARANAVI,cirugias y anestesias,cirugias medianas y mayores,2006-04-01,21,21
CHALLAPATA,cirugias y anestesias,cirugias medianas y mayores,2006-04-01,1,1
CHARAGUA,cirugias y anestesias,cirugias medianas y mayores,2006-04-01,20,20
CHULUMANI (V. DE LA LIBERTAD),cirugias y anestesias,cirugias medianas y mayores,2006-04-01,5,5
COBIJA,cirugias y anestesias,cirugias medianas y mayores,2006-04-01,61,61
COCHABAMBA,cirugias y anestesias,cirugias medianas y mayores,2006-04-01,2043,2043
COLCAPIRHUA,cirugias y anestesias,cirugias medianas y mayores,2006-04-01,29,29
COMARAPA,cirugias y anestesias,cirugias medianas y mayores,2006-04-01,10,10
CONCEPCION,cirugias y anestesias,cirugias medianas y mayores,2006-04-01,7,7
COPACABANA,cirugias y anestesias,cirugias medianas y mayores,2006-04-01,3,3
COROICO,cirugias y anestesias,cirugias medianas y mayores,2006-04-01,16,16
COTOCA,cirugias y anestesias,cirugias medianas y mayores,2006-04-01,6,6
EL ALTO,cirugias y anestesias,cirugias medianas y mayores,2006-04-01,626,626
EL TORNO,cirugias y anestesias,cirugias medianas y mayores,2006-04-01,28,28
GUAYARAMERIN,cirugias y anestesias,cirugias medianas y mayores,2006-04-01,45,45
HUANUNI,cirugias y anestesias,cirugias medianas y mayores,2006-04-01,6,6
LA PAZ,cirugias y anestesias,cirugias medianas y mayores,2006-04-01,2968,2968
LLALLAGUA,cirugias y anestesias,cirugias medianas y mayores,2006-04-01,48,48
MAGDALENA,cirugias y anestesias,cirugias medianas y mayores,2006-04-01,7,7
MAIRANA,cirugias y anestesias,cirugias medianas y mayores,2006-04-01,3,3
MONTEAGUDO,cirugias y anestesias,cirugias medianas y mayores,2006-04-01,15,15
MONTERO,cirugias y anestesias,cirugias medianas y mayores,2006-04-01,167,167
ORURO,cirugias y anestesias,cirugias medianas y mayores,2006-04-01,409,409
PADILLA,cirugias y anestesias,cirugias medianas y mayores,2006-04-01,19,19
PATACAMAYA,cirugias y anestesias,cirugias medianas y mayores,2006-04-01,2,2
PORTACHUELO,cirugias y anestesias,cirugias medianas y mayores,2006-04-01,35,35
POTOSI,cirugias y anestesias,cirugias medianas y mayores,2006-04-01,188,188
PUERTO ACOSTA,cirugias y anestesias,cirugias medianas y mayores,2006-04-01,17,17
PUERTO SUAREZ,cirugias y anestesias,cirugias medianas y mayores,2006-04-01,6,6
PUERTO VILLARROEL,cirugias y anestesias,cirugias medianas y mayores,2006-04-01,17,17
PUNATA,cirugias y anestesias,cirugias medianas y mayores,2006-04-01,21,21
QUILLACOLLO,cirugias y anestesias,cirugias medianas y mayores,2006-04-01,69,69
REYES,cirugias y anestesias,cirugias medianas y mayores,2006-04-01,5,5
RIBERALTA,cirugias y anestesias,cirugias medianas y mayores,2006-04-01,236,236
ROBORE,cirugias y anestesias,cirugias medianas y mayores,2006-04-01,10,10
RURRENABAQUE,cirugias y anestesias,cirugias medianas y mayores,2006-04-01,11,11
SACABA,cirugias y anestesias,cirugias medianas y mayores,2006-04-01,40,40
SAMAIPATA,cirugias y anestesias,cirugias medianas y mayores,2006-04-01,3,3
SAN ANDRES,cirugias y anestesias,cirugias medianas y mayores,2006-04-01,3,3
SAN BORJA,cirugias y anestesias,cirugias medianas y mayores,2006-04-01,19,19
SAN BUENA VENTURA,cirugias y anestesias,cirugias medianas y mayores,2006-04-01,2,2
SAN CARLOS,cirugias y anestesias,cirugias medianas y mayores,2006-04-01,18,18
SAN IGNACIO,cirugias y anestesias,cirugias medianas y mayores,2006-04-01,5,5
SAN IGNACIO DE VELASCO,cirugias y anestesias,cirugias medianas y mayores,2006-04-01,54,54
SAN JAVIER(STC),cirugias y anestesias,cirugias medianas y mayores,2006-04-01,4,4
SAN JOAQUIN,cirugias y anestesias,cirugias medianas y mayores,2006-04-01,5,5
SAN JOSE DE CHIQUITOS,cirugias y anestesias,cirugias medianas y mayores,2006-04-01,3,3
SAN JUAN DE YAPACANI,cirugias y anestesias,cirugias medianas y mayores,2006-04-01,27,27
SAN JULIAN,cirugias y anestesias,cirugias medianas y mayores,2006-04-01,13,13
SAN LUCAS,cirugias y anestesias,cirugias medianas y mayores,2006-04-01,6,6
SAN RAMON,cirugias y anestesias,cirugias medianas y mayores,2006-04-01,9,9
SAN RAMON,cirugias y anestesias,cirugias medianas y mayores,2006-04-01,10,10
SANTA ANA,cirugias y anestesias,cirugias medianas y mayores,2006-04-01,16,16
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,cirugias medianas y mayores,2006-04-01,2400,2400
SANTA ROSA,cirugias y anestesias,cirugias medianas y mayores,2006-04-01,3,3
