municipality,group,variable,month,"Anestesias generales, locales o regionales",TOTAL
LA PAZ,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,3343,3343
LLALLAGUA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,37,37
MACHARETI,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,3,3
MAGDALENA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,17,17
MAIRANA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,19,19
MIZQUE,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,8,8
MONTEAGUDO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,29,29
MONTERO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,193,193
MOROCHATA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,2,2
ORURO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,600,600
PADILLA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,22,22
PALOS BLANCOS,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,4,4
PAPEL PAMPA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,2,2
PATACAMAYA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,11,11
PORTACHUELO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,25,25
POTOSI,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,400,400
PUERTO ACOSTA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,10,10
PUERTO CARABUCO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,5,5
PUERTO QUIJARRO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,1,1
PUERTO RICO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,8,8
PUERTO SUAREZ,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,54,54
PUERTO VILLARROEL,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,105,105
PUNATA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,71,71
QUILLACOLLO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,238,238
REYES,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,6,6
RIBERALTA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,241,241
ROBORE,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,11,11
RURRENABAQUE,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,13,13
SABAYA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,4,4
SACABA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,76,76
SAN ANDRES,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,3,3
SAN BORJA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,19,19
SAN CARLOS,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,22,22
SAN IGNACIO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,3,3
SAN IGNACIO DE VELASCO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,59,59
SAN JAVIER(STC),cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,2,2
SAN JOAQUIN,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,5,5
SAN JOSE DE CHIQUITOS,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,1,1
SAN JUAN DE YAPACANI,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,34,34
SAN JULIAN,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,27,27
SAN LORENZO(PND),cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,4,4
SAN LUCAS,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,25,25
SAN MATIAS,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,3,3
SAN RAMON,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,8,8
SAN RAMON,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,6,6
SANTA ANA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,13,13
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,4473,4473
SANTA ROSA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,1,1
SANTIVAÑES,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,16,16
SIPE SIPE,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,6,6
SOPACHUY,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,6,6
SUCRE,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,1114,1114
TAPACARI,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,7,7
TARABUCO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,9,9
TARIJA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,633,633
TARVITA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,4,4
TIQUIPAYA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,2,2
TIRAQUE (CBBA),cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,43,43
TOLEDO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,2,2
TOTORA(CBBA),cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,3,3
TRINIDAD,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,195,195
TUPIZA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,28,28
UNCIA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,46,46
UYUNI,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,9,9
VACAS,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,25,25
VALLEGRANDE,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,37,37
VILLA MONTES,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,23,23
VILLA RIVERO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,14,14
VILLA TUNARI,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,28,28
VILLA VACA GUZMAN (MUYUPAMPA),cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,17,17
VILLAZON,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,105,105
VINTO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,4,4
WARNES,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,20,20
YACUIBA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,101,101
YAMPARAEZ,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,7,7
YAPACANI,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,3,3
YOTALA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,32,32
ZUDAÑEZ,cirugias y anestesias,"anestesias generales, locales o regionales",2006-01-01,5,5
AIQUILE,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,16,16
ANCORAIMES,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,5,5
APOLO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,8,8
ASCENCION DE GUARAYOS,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,21,21
ATOCHA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,11,11
AZURDUY,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,2,2
BAURES,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,1,1
BERMEJO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,45,45
BETANZOS,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,12,12
CAJUATA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,3,3
CAMARGO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,228,228
CAMIRI,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,66,66
CAPINOTA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,34,34
CARANAVI,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,25,25
CHARAGUA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,7,7
CHIMORE,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,9,9
CHULUMANI (V. DE LA LIBERTAD),cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,45,45
CLIZA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,8,8
COBIJA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,89,89
COCHABAMBA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,2443,2443
COLCAPIRHUA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,65,65
COLOMI,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,3,3
COLQUIRI,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,4,4
COMARAPA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,11,11
CONCEPCION,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,5,5
COPACABANA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,13,13
COROICO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,16,16
COTAGAITA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,3,3
COTOCA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,4,4
CULPINA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,5,5
DESAGUADERO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,1,1
EL ALTO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,545,545
EL TORNO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,13,13
ENTRE RIOS,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,29,29
EUCALIPTUS,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,2,2
EXALTACION,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,1,1
GUANAY,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,2,2
GUAYARAMERIN,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,67,67
HUACARETA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,7,7
ICHOCA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,1,1
INQUISIVI,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,2,2
LA PAZ,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,2906,2906
LLALLAGUA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,23,23
MACHARETI,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,3,3
MAGDALENA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,6,6
MAIRANA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,7,7
MIZQUE,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,9,9
MOCOMOCO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,1,1
MONTEAGUDO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,54,54
MONTERO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,157,157
ORURO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,500,500
PADILLA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,27,27
PALOS BLANCOS,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,3,3
PATACAMAYA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,11,11
PAZÑA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,2,2
PORTACHUELO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,28,28
POTOSI,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,216,216
PUERTO ACOSTA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,14,14
PUERTO CARABUCO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,7,7
PUERTO RICO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,1,1
PUERTO SUAREZ,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,57,57
PUERTO VILLARROEL,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,119,119
PUNATA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,66,66
QUILLACOLLO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,205,205
REYES,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,10,10
RIBERALTA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,45,45
ROBORE,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,12,12
RURRENABAQUE,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,8,8
SACABA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,59,59
SAMAIPATA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,1,1
SAN ANDRES,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,2,2
SAN BORJA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,9,9
SAN BUENA VENTURA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,6,6
SAN CARLOS,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,18,18
SAN IGNACIO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,2,2
SAN IGNACIO DE VELASCO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,74,74
SAN JAVIER(STC),cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,13,13
SAN JOAQUIN,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,3,3
SAN JOSE DE CHIQUITOS,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,5,5
SAN JUAN DE YAPACANI,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,20,20
SAN JULIAN,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,8,8
SAN LUCAS,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,5,5
SAN MATIAS,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,4,4
SAN RAMON,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,11,11
SAN RAMON,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,3,3
SANTA ANA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,11,11
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,3118,3118
SANTA ROSA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,3,3
SANTIVAÑES,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,5,5
SIPE SIPE,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,14,14
SOPACHUY,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,4,4
SORATA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,1,1
SUCRE,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,939,939
TAPACARI,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,5,5
TARABUCO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,7,7
TARIJA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,472,472
TARVITA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,2,2
TIPUANI,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,3,3
TIRAQUE (CBBA),cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,38,38
TOTORA(CBBA),cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,3,3
TRINIDAD,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,181,181
TUPIZA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,37,37
UNCIA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,13,13
UYUNI,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,6,6
VACAS,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,11,11
VALLEGRANDE,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,39,39
VIACHA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,14,14
VILLA MONTES,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,32,32
VILLA RIVERO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,10,10
VILLA TUNARI,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,20,20
VILLA VACA GUZMAN (MUYUPAMPA),cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,7,7
VILLAZON,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,44,44
VINTO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,1,1
WARNES,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,33,33
YACUIBA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,80,80
YAMPARAEZ,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,2,2
YAPACANI,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,17,17
YOTALA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,19,19
ZUDAÑEZ,cirugias y anestesias,"anestesias generales, locales o regionales",2006-02-01,5,5
ACHACACHI,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,1,1
AIQUILE,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,13,13
ANCORAIMES,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,12,12
APOLO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,4,4
ASCENCION DE GUARAYOS,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,18,18
ATOCHA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,7,7
AYOPAYA (V. DE INDEPENDENCIA),cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,11,11
AZURDUY,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,3,3
BAURES,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,2,2
BELLA FLOR,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,2,2
BERMEJO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,43,43
BETANZOS,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,30,30
CAJUATA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,2,2
CAMARGO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,194,194
CAMIRI,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,44,44
CAPINOTA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,42,42
CARANAVI,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,52,52
CHALLAPATA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,12,12
CHARAGUA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,11,11
CHIMORE,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,26,26
CHULUMANI (V. DE LA LIBERTAD),cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,37,37
COBIJA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,163,163
COCHABAMBA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,2863,2863
COLCAPIRHUA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,50,50
COLOMI,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,3,3
COLQUIRI,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,4,4
COMARAPA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,8,8
CONCEPCION,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,7,7
COPACABANA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,30,30
COROICO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,20,20
COTOCA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,4,4
CULPINA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,8,8
EL ALTO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,687,687
EL PUENTE(TJA),cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,2,2
EL TORNO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,29,29
ENTRE RIOS,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,22,22
ENTRE RIOS,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,24,24
EUCALIPTUS,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,3,3
EXALTACION,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,2,2
GUAYARAMERIN,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,53,53
HUACARETA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,3,3
HUANUNI,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,8,8
ICHOCA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,1,1
INCAHUASI,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,2,2
INQUISIVI,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,6,6
LA PAZ,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,3413,3413
LLALLAGUA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,35,35
MACHARETI,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,3,3
MAGDALENA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,4,4
MAIRANA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,10,10
MIZQUE,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,2,2
MONTEAGUDO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,72,72
MONTERO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,3,3
MOROCHATA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,2,2
ORURO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,516,516
PADILLA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,36,36
PALOS BLANCOS,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,5,5
PATACAMAYA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,16,16
PORTACHUELO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,37,37
POTOSI,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,305,305
PUERTO ACOSTA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,27,27
PUERTO CARABUCO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,5,5
PUERTO QUIJARRO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,5,5
PUERTO RICO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,58,58
PUERTO SUAREZ,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,74,74
PUERTO VILLARROEL,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,152,152
PUNATA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,65,65
QUILLACOLLO,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,185,185
REYES,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,5,5
RIBERALTA,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,219,219
ROBORE,cirugias y anestesias,"anestesias generales, locales o regionales",2006-03-01,8,8
