,group,variable,month,INFLUENZA ESTACIONAL DOSIS ÚNICA DENTRO,INFLUENZA ESTACIONAL DOSIS ÚNICA DENTRO,INFLUENZA ESTACIONAL DOSIS ÚNICA FUERA,INFLUENZA ESTACIONAL DOSIS ÚNICA FUERA,TOTALES,TOTALES,TOTALES
CAJUATA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,3,4,0,0,3,4,7
CAMIRI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,1,0,0,0,1,0,1
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,4,8,0,0,4,8,12
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,0,1,0,0,0,1,1
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,1,1,0,0,1,1,2
CARANAVI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,5,3,0,0,5,3,8
CARIPUYO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,0,3,0,0,0,3,3
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,7,3,0,0,7,3,10
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,4,0,1,0,5,0,5
CHAQUI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,1,1,0,0,1,1,2
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,6,9,3,2,9,11,20
CHUA COCANI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,1,2,0,0,1,2,3
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,0,1,0,2,0,3,3
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,2,4,2,0,4,4,8
COBIJA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,20,25,7,3,27,28,55
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,105,112,0,1,105,113,218
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,0,2,0,1,0,3,3
COLOMI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,10,9,2,0,12,9,21
COLPA BELGICA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,2,2,1,0,3,2,5
COMARAPA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,3,0,0,0,3,0,3
COPACABANA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,1,4,0,1,1,5,6
CORIPATA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,0,3,0,0,0,3,3
COROICO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,2,1,0,0,2,1,3
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,1,0,0,0,1,0,1
COTOCA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,55,46,2,3,57,49,106
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,15,14,1,0,16,14,30
EL ALTO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,98,89,3,8,101,97,198
EL CHORO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,1,0,0,0,1,0,1
EL TORNO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,7,6,0,0,7,6,13
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,1,1,0,0,1,1,2
ESCOMA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,1,2,1,3,2,5,7
EUCALIPTUS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,3,1,0,0,3,1,4
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,2,1,1,1,3,2,5
EXALTACION,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,1,1,0,0,1,1,2
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,0,2,0,0,0,2,2
GUANAY,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,4,1,0,1,4,2,6
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,17,22,2,0,19,22,41
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,2,1,0,0,2,1,3
HUACARAJE,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,1,1,0,0,1,1,2
HUACARETA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,0,1,0,0,0,1,1
HUANUNI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,0,2,0,0,0,2,2
HUARINA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,2,0,0,0,2,0,2
HUAYLLAMARCA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,0,0,1,0,1,0,1
ICHOCA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,3,3,6,8,9,11,20
INGAVI (HUMAITA),vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,1,1,0,0,1,1,2
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,2,6,3,0,5,6,11
IXIAMAS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,3,4,0,0,3,4,7
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,1,6,1,1,2,7,9
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,3,9,0,0,3,9,12
LA PAZ,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,257,222,35,28,292,250,542
LURIBAY,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,0,1,0,1,0,2,2
MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,1,0,0,0,1,0,1
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,3,6,5,4,8,10,18
MAPIRI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,11,10,3,2,14,12,26
MINEROS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,4,3,0,0,4,3,7
MONTERO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,41,27,11,6,52,33,85
OCURI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,2,0,1,0,3,0,3
OKINAWA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,7,6,6,3,13,9,22
ORURO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,84,89,1,1,85,90,175
PADILLA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,0,1,0,0,0,1,1
PAILON,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,6,7,4,3,10,10,20
PALCA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,2,3,0,0,2,3,5
PELECHUCO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,0,1,2,3,2,4,6
POCOATA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,1,1,2,2,3,3,6
POOPO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,2,3,0,0,2,3,5
PORCO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,2,4,0,0,2,4,6
POROMA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,1,4,1,1,2,5,7
PORONGO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,3,0,0,1,3,1,4
POTOSI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,108,104,4,5,112,109,221
PUCARA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,2,1,0,0,2,1,3
PUCARANI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,6,7,2,0,8,7,15
PUERTO ACOSTA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,2,0,0,1,2,1,3
PUERTO PEREZ,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,4,1,0,0,4,1,5
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,1,2,0,0,1,2,3
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,3,1,1,0,4,1,5
PUERTO SILES,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,0,2,0,0,0,2,2
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,16,13,3,1,19,14,33
PUNA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,0,1,3,4,3,5,8
PUNATA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,17,10,17,22,34,32,66
QUIME,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,0,3,1,3,1,6,7
REYES,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,11,2,0,0,11,2,13
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,18,20,5,3,23,23,46
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,0,1,1,0,1,1,2
SABAYA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,0,0,1,0,1,0,1
SACABA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,53,46,1,0,54,46,100
SAMAIPATA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,8,1,0,1,8,2,10
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,0,1,2,1,2,2,4
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,9,5,3,5,12,10,22
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,0,0,2,4,2,4,6
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,6,3,0,0,6,3,9
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,2,5,0,0,2,5,7
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,25,36,4,2,29,38,67
SAN JOAQUIN,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,5,8,1,4,6,12,18
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,12,14,4,5,16,19,35
SAN JUAN DE YAPACANI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,3,2,1,0,4,2,6
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,1,0,0,0,1,0,1
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,4,1,0,0,4,1,5
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,0,1,0,0,0,1,1
SAN LUCAS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,6,6,2,3,8,9,17
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,11,15,6,1,17,16,33
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,3,5,0,0,3,5,8
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,1,2,0,1,1,3,4
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,1,0,0,0,1,0,1
SAN RAFAEL,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,4,6,1,1,5,7,12
SAN RAMON BENI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,3,2,3,3,6,5,11
SAN RAMON SCZ,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,9,6,0,0,9,6,15
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,3,3,0,0,3,3,6
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,638,592,7,12,645,604,1249
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,2,0,0,0,2,0,2
SANTIAGO DE HUARI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,1,1,1,0,2,1,3
SANTIAGO DE MACHACA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,0,0,0,7,0,7,7
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,0,1,2,0,2,1,3
SAPAHAQUI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,1,1,1,0,2,1,3
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,0,1,0,0,0,1,1
SOPACHUY,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,1,0,0,0,1,0,1
SUCRE,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,98,80,0,0,98,80,178
TARATA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,3,4,0,0,3,4,7
TARIJA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,58,49,6,0,64,49,113
TINGUIPAYA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,0,0,1,0,1,0,1
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,19,16,2,5,21,21,42
TORO TORO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,0,2,2,0,2,2,4
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,2,0,1,0,3,0,3
TRIGAL,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,0,3,0,0,0,3,3
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,86,70,15,9,101,79,180
TUPIZA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,12,12,0,0,12,12,24
URIONDO (A. CONCEPCION),vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,5,2,1,0,6,2,8
UYUNI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,3,10,0,0,3,10,13
VALLEGRANDE,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,2,3,0,0,2,3,5
VIACHA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,1,3,0,0,1,3,4
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,0,4,0,0,0,4,4
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,4,3,0,0,4,3,7
WARNES,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,15,11,0,0,15,11,26
YACO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,1,1,0,0,1,1,2
YACUIBA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,47,27,0,0,47,27,74
YANACACHI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,0,4,0,0,0,4,4
YAPACANI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,1,5,1,0,2,5,7
YOCALLA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,4,5,0,4,4,9,13
YOTALA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-01-01,0,0,3,0,3,0,3
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-02-01,1,0,0,0,1,0,1
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-02-01,2,1,0,0,2,1,3
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-02-01,0,0,0,1,0,1,1
ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-02-01,0,2,1,1,1,3,4
ARAMPAMPA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-02-01,0,0,3,2,3,2,5
ARQUE,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-02-01,3,3,0,0,3,3,6
ATOCHA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-02-01,8,4,0,1,8,5,13
AYO AYO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-02-01,0,0,4,3,4,3,7
AZURDUY,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-02-01,6,1,8,1,14,2,16
BATALLAS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-02-01,5,7,0,0,5,7,12
BELEN DE URMIRI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-02-01,1,0,0,0,1,0,1
BERMEJO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-02-01,2,2,0,0,2,2,4
BETANZOS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-02-01,10,9,5,7,15,16,31
CABEZAS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-02-01,3,1,0,0,3,1,4
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-02-01,1,0,0,4,1,4,5
CAJUATA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-02-01,1,0,0,0,1,0,1
CALACOTO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-02-01,0,1,0,0,0,1,1
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-02-01,8,4,1,0,9,4,13
CARANAVI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-02-01,3,0,0,0,3,0,3
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-02-01,0,8,1,0,1,8,9
CATACORA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-02-01,0,0,1,0,1,0,1
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-02-01,2,2,1,2,3,4,7
CHAQUI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-02-01,0,2,0,0,0,2,2
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-02-01,2,3,3,1,5,4,9
CHUA COCANI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-02-01,1,7,0,0,1,7,8
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-02-01,4,0,2,0,6,0,6
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-02-01,0,1,5,0,5,1,6
COBIJA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-02-01,12,7,1,0,13,7,20
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-02-01,69,59,0,2,69,61,130
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-02-01,2,0,0,0,2,0,2
COLPA BELGICA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-02-01,0,0,1,0,1,0,1
COMANCHE,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-02-01,4,1,0,0,4,1,5
COMARAPA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-02-01,4,1,1,0,5,1,6
COPACABANA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-02-01,2,1,1,1,3,2,5
CORIPATA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-02-01,2,0,3,5,5,5,10
COROICO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-02-01,1,0,0,0,1,0,1
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-02-01,3,1,0,0,3,1,4
COTOCA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-02-01,14,12,0,0,14,12,26
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-02-01,4,3,0,0,4,3,7
EL ALTO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-02-01,75,66,5,9,80,75,155
EL CHORO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-02-01,3,0,0,1,3,1,4
EL TORNO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-02-01,4,2,0,0,4,2,6
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-02-01,17,16,1,0,18,16,34
ESCOMA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-02-01,0,0,0,1,0,1,1
EUCALIPTUS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-02-01,2,1,0,1,2,2,4
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-02-01,1,0,1,0,2,0,2
GAIOC JATUN AYLLU YURA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-02-01,0,1,1,2,1,3,4
GUANAY,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-02-01,0,3,0,3,0,6,6
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-02-01,14,19,3,1,17,20,37
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-02-01,3,4,0,1,3,5,8
HUACARAJE,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-02-01,1,0,0,0,1,0,1
HUACHACALLA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-02-01,3,4,0,0,3,4,7
HUANUNI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-02-01,1,2,0,0,1,2,3
HUARINA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-02-01,0,1,0,0,0,1,1
ICHOCA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-02-01,0,0,2,3,2,3,5
INGAVI (HUMAITA),vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-02-01,0,1,0,0,0,1,1
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-02-01,1,0,6,0,7,0,7
IXIAMAS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-02-01,5,5,2,0,7,5,12
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-02-01,2,4,1,1,3,5,8
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-02-01,4,3,0,0,4,3,7
LA PAZ,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-02-01,179,189,12,20,191,209,400
LURIBAY,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-02-01,0,0,1,0,1,0,1
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2023-02-01,3,6,0,4,3,10,13
