,group,variable,month,PENTAVALENTE 2DA DOSIS DENTRO,PENTAVALENTE 2DA DOSIS DENTRO,PENTAVALENTE 2DA DOSIS FUERA,PENTAVALENTE 2DA DOSIS FUERA,TOTALES,TOTALES,TOTALES
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-01-01,1,1,0,0,1,1,2
COPACABANA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-01-01,0,0,1,0,1,0,1
CORIPATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-01-01,0,0,1,1,1,1,2
COROICO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-01-01,1,1,0,0,1,1,2
COTOCA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-01-01,1,4,0,0,1,4,5
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-01-01,0,1,0,0,0,1,1
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-01-01,2,0,1,0,3,0,3
EL ALTO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-01-01,15,2,5,9,20,11,31
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-01-01,1,1,0,0,1,1,2
EL TORNO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-01-01,0,1,0,0,0,1,1
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-01-01,1,2,0,1,1,3,4
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-01-01,1,2,0,0,1,2,3
HUACARAJE,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-01-01,1,0,0,0,1,0,1
HUANUNI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-01-01,0,1,0,0,0,1,1
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-01-01,2,1,0,0,2,1,3
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-01-01,3,2,0,0,3,2,5
LA PAZ,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-01-01,7,7,0,0,7,7,14
LAJA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-01-01,0,1,0,0,0,1,1
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-01-01,0,0,2,0,2,0,2
MAIRANA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-01-01,1,0,0,0,1,0,1
MAPIRI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-01-01,0,1,0,2,0,3,3
MECAPACA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-01-01,0,0,1,0,1,0,1
MIZQUE,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-01-01,1,1,0,0,1,1,2
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-01-01,0,0,1,0,1,0,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-01-01,3,0,1,0,4,0,4
ORURO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-01-01,3,3,0,3,3,6,9
PAILON,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-01-01,0,1,0,1,0,2,2
PORCO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-01-01,1,0,0,0,1,0,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-01-01,1,3,1,0,2,3,5
PUCARANI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-01-01,0,1,0,0,0,1,1
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-01-01,0,0,1,1,1,1,2
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-01-01,2,1,7,2,9,3,12
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-01-01,2,1,1,3,3,4,7
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-01-01,1,0,0,1,1,1,2
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-01-01,1,0,1,0,2,0,2
SACABA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-01-01,1,2,4,0,5,2,7
SAMAIPATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-01-01,1,0,0,0,1,0,1
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-01-01,0,0,0,1,0,1,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-01-01,3,1,5,4,8,5,13
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-01-01,0,0,1,0,1,0,1
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-01-01,3,0,0,0,3,0,3
SAN JAVIER(BNI),vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-01-01,1,0,0,0,1,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-01-01,2,1,0,4,2,5,7
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-01-01,1,0,0,0,1,0,1
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-01-01,0,1,0,0,0,1,1
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-01-01,1,1,0,0,1,1,2
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-01-01,27,19,2,4,29,23,52
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-01-01,1,0,0,0,1,0,1
SANTIAGO DE HUARI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-01-01,0,0,0,1,0,1,1
SANTIAGO DE HUATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-01-01,0,0,1,0,1,0,1
SANTIAGO DE MACHACA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-01-01,0,0,0,1,0,1,1
SENA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-01-01,0,1,0,0,0,1,1
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-01-01,0,1,1,0,1,1,2
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-01-01,0,0,2,0,2,0,2
SORATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-01-01,0,0,1,0,1,0,1
SUCRE,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-01-01,3,2,0,0,3,2,5
TARIJA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-01-01,1,2,0,0,1,2,3
TINGUIPAYA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-01-01,0,0,1,0,1,0,1
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-01-01,2,0,1,0,3,0,3
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-01-01,3,0,0,0,3,0,3
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-01-01,1,4,8,5,9,9,18
TUPIZA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-01-01,0,1,0,0,0,1,1
UYUNI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-01-01,0,1,0,1,0,2,2
VIACHA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-01-01,1,0,1,0,2,0,2
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-01-01,1,3,0,0,1,3,4
VILLAZON,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-01-01,1,0,0,0,1,0,1
VINTO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-01-01,0,1,0,0,0,1,1
WALDO BALLIVIAN,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-01-01,0,1,0,0,0,1,1
WARNES,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-01-01,1,7,0,0,1,7,8
YACUIBA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-01-01,2,1,0,0,2,1,3
YAPACANI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-01-01,0,0,1,0,1,0,1
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-02-01,0,2,0,0,0,2,2
ANZALDO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-02-01,1,0,0,0,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-02-01,2,0,0,0,2,0,2
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-02-01,0,1,0,0,0,1,1
BATALLAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-02-01,0,1,0,0,0,1,1
BOLPEBRA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-02-01,0,0,1,0,1,0,1
CAIROMA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-02-01,0,0,1,0,1,0,1
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-02-01,1,0,0,0,1,0,1
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-02-01,1,0,0,0,1,0,1
CARANAVI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-02-01,1,0,2,0,3,0,3
CARAPARI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-02-01,0,1,0,0,0,1,1
CARIPUYO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-02-01,0,0,1,0,1,0,1
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-02-01,0,1,4,1,4,2,6
CHIMORE,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-02-01,1,0,1,1,2,1,3
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-02-01,0,1,0,0,0,1,1
COBIJA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-02-01,1,0,1,0,2,0,2
COCAPATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-02-01,1,0,0,0,1,0,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-02-01,11,12,1,1,12,13,25
COLOMI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-02-01,1,0,0,0,1,0,1
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-02-01,0,0,1,0,1,0,1
COPACABANA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-02-01,0,0,0,1,0,1,1
COTOCA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-02-01,2,0,3,3,5,3,8
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-02-01,1,0,0,1,1,1,2
EL ALTO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-02-01,5,7,3,8,8,15,23
EL TORNO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-02-01,0,1,0,0,0,1,1
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-02-01,2,0,1,0,3,0,3
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-02-01,0,0,1,0,1,0,1
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-02-01,1,1,3,5,4,6,10
HUANUNI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-02-01,0,0,0,2,0,2,2
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-02-01,1,0,0,0,1,0,1
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-02-01,0,1,0,0,0,1,1
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-02-01,2,1,0,0,2,1,3
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-02-01,1,2,0,0,1,2,3
LA PAZ,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-02-01,4,4,0,0,4,4,8
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-02-01,0,0,1,1,1,1,2
MAPIRI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-02-01,1,1,1,0,2,1,3
MINEROS,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-02-01,0,1,0,0,0,1,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-02-01,0,0,1,0,1,0,1
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-02-01,0,0,1,0,1,0,1
ORURO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-02-01,3,4,2,1,5,5,10
PAILON,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-02-01,1,1,14,9,15,10,25
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-02-01,0,1,0,0,0,1,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-02-01,4,4,1,0,5,4,9
PUCARANI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-02-01,0,1,0,1,0,2,2
PUERTO SILES,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-02-01,0,0,0,1,0,1,1
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-02-01,4,3,3,2,7,5,12
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-02-01,0,2,1,2,1,4,5
QUIME,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-02-01,0,0,0,1,0,1,1
REYES,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-02-01,0,1,0,0,0,1,1
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-02-01,0,1,0,0,0,1,1
SACABA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-02-01,2,2,1,2,3,4,7
SAMAIPATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-02-01,0,1,0,0,0,1,1
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-02-01,0,0,0,1,0,1,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-02-01,2,1,5,6,7,7,14
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-02-01,0,0,1,0,1,0,1
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-02-01,1,1,5,2,6,3,9
SAN JAVIER(BNI),vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-02-01,0,0,1,3,1,3,4
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-02-01,1,1,0,2,1,3,4
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-02-01,1,0,0,0,1,0,1
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-02-01,1,0,0,0,1,0,1
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-02-01,0,0,0,2,0,2,2
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-02-01,0,0,2,2,2,2,4
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-02-01,15,15,2,0,17,15,32
SANTIAGO DE HUARI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-02-01,0,0,1,0,1,0,1
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-02-01,0,2,0,0,0,2,2
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-02-01,2,1,0,0,2,1,3
SORATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-02-01,0,1,0,0,0,1,1
SUCRE,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-02-01,0,1,0,0,0,1,1
TAPACARI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-02-01,0,0,0,1,0,1,1
TARIJA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-02-01,1,1,0,0,1,1,2
TINGUIPAYA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-02-01,0,0,1,0,1,0,1
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-02-01,4,0,1,0,5,0,5
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-02-01,4,4,9,9,13,13,26
URUBICHA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-02-01,1,0,0,0,1,0,1
VIACHA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-02-01,1,0,1,2,2,2,4
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-02-01,1,0,1,0,2,0,2
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-02-01,0,1,2,1,2,2,4
VILLAZON,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-02-01,0,1,0,0,0,1,1
VINTO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-02-01,0,0,0,3,0,3,3
WARNES,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-02-01,1,0,1,0,2,0,2
YACUIBA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-02-01,1,2,0,0,1,2,3
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-03-01,0,1,0,1,0,2,2
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-03-01,1,1,0,0,1,1,2
AIQUILE,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-03-01,0,0,0,1,0,1,1
ARBIETO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-03-01,0,1,0,0,0,1,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-03-01,1,0,0,0,1,0,1
BERMEJO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-03-01,0,1,0,0,0,1,1
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-03-01,0,0,0,1,0,1,1
CABEZAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-03-01,1,0,0,1,1,1,2
CAMIRI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-03-01,1,0,0,0,1,0,1
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-03-01,0,0,0,2,0,2,2
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-03-01,0,0,1,0,1,0,1
CARANAVI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-03-01,1,1,0,0,1,1,2
CHAQUI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-03-01,0,1,0,0,0,1,1
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-03-01,1,0,2,3,3,3,6
CHIMORE,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-03-01,0,0,1,1,1,1,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-03-01,0,1,0,0,0,1,1
COBIJA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-03-01,0,0,0,2,0,2,2
COCAPATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-03-01,2,1,0,1,2,2,4
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-03-01,8,5,1,1,9,6,15
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-03-01,2,0,0,0,2,0,2
COLOMI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-03-01,1,0,0,0,1,0,1
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-03-01,1,2,0,0,1,2,3
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-03-01,0,0,0,1,0,1,1
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-03-01,1,0,0,0,1,0,1
COTOCA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-03-01,1,0,1,0,2,0,2
EL ALTO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-03-01,13,11,13,12,26,23,49
EL TORNO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-03-01,0,0,2,0,2,0,2
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-03-01,1,0,0,0,1,0,1
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-03-01,2,2,0,0,2,2,4
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-03-01,1,1,0,0,1,1,2
GUANAY,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-03-01,0,0,1,0,1,0,1
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-03-01,1,2,0,0,1,2,3
HUACARAJE,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-03-01,1,0,0,0,1,0,1
IXIAMAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-03-01,0,0,2,2,2,2,4
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-03-01,1,0,0,1,1,1,2
LA PAZ,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-03-01,4,3,0,1,4,4,8
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-03-01,1,0,0,1,1,1,2
LORETO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-03-01,0,0,1,0,1,0,1
MINEROS,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-03-01,0,1,0,0,0,1,1
MIZQUE,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-03-01,0,0,0,1,0,1,1
MOCOMOCO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-03-01,0,1,0,0,0,1,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-03-01,1,0,0,1,1,1,2
ORURO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-03-01,8,8,0,0,8,8,16
PAILON,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-03-01,3,0,2,1,5,1,6
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-03-01,0,1,0,0,0,1,1
POCOATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-03-01,0,0,0,1,0,1,1
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-03-01,0,1,0,0,0,1,1
PORCO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-03-01,1,0,0,0,1,0,1
POROMA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-03-01,1,0,0,0,1,0,1
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2023-03-01,0,2,1,0,1,2,3
