,group,variable,month,PENTAVALENTE 4TA. DOSIS DENTRO,PENTAVALENTE 4TA. DOSIS DENTRO,PENTAVALENTE 4TA. DOSIS FUERA,PENTAVALENTE 4TA. DOSIS FUERA,TOTALES,TOTALES,TOTALES
AUCAPATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,4,2,0,0,4,2,6
AYATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,1,3,1,1,2,4,6
AYO AYO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,1,0,1,1,2,1,3
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,7,13,9,16,16,29,45
AZURDUY,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,2,4,4,2,6,6,12
BATALLAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,8,10,1,0,9,10,19
BAURES,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,2,0,1,1,3,1,4
BELEN DE ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,0,0,0,1,0,1,1
BELEN DE URMIRI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,0,1,0,0,0,1,1
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,0,1,1,0,1,1,2
BERMEJO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,14,16,1,0,15,16,31
BETANZOS,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,17,11,4,2,21,13,34
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,1,1,0,0,1,1,2
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,10,11,1,0,11,11,22
CABEZAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,17,13,6,3,23,16,39
CAIROMA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,3,2,0,0,3,2,5
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,4,7,0,0,4,7,11
CAJUATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,6,6,0,4,6,10,16
CALACOTO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,0,0,4,1,4,1,5
CALAMARCA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,4,8,2,0,6,8,14
CAMARGO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,3,4,0,1,3,5,8
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,2,0,0,0,2,0,2
CAMIRI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,11,16,0,0,11,16,27
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,12,9,0,0,12,9,21
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,8,4,0,0,8,4,12
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,5,6,0,1,5,7,12
CARANAVI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,17,19,1,1,18,20,38
CARAPARI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,5,6,3,2,8,8,16
CARIPUYO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,7,3,0,0,7,3,10
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,2,1,0,1,2,2,4
CHACARILLA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,1,0,0,0,1,0,1
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,16,22,14,1,30,23,53
CHAQUI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,5,3,2,1,7,4,11
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,4,9,4,5,8,14,22
CHARAÑA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,0,0,0,1,0,1,1
CHAYANTA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,6,5,0,1,6,6,12
CHIMORE,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,11,11,5,0,16,11,27
CHIPAYA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,1,0,0,0,1,0,1
CHUA COCANI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,1,1,0,0,1,1,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,9,10,1,1,10,11,21
CHUMA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,5,2,2,1,7,3,10
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,1,2,0,2,1,4,5
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,1,4,4,4,5,8,13
CLIZA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,7,8,3,1,10,9,19
COBIJA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,29,30,6,3,35,33,68
COCAPATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,7,2,4,0,11,2,13
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,343,301,4,1,347,302,649
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,16,14,2,3,18,17,35
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,5,4,0,0,5,4,9
COLLANA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,1,1,2,0,3,1,4
COLOMI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,10,14,1,3,11,17,28
COLPA BELGICA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,3,3,0,0,3,3,6
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,6,8,1,2,7,10,17
COLQUENCHA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,8,8,1,0,9,8,17
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,5,4,5,4,10,8,18
COMARAPA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,6,7,0,1,6,8,14
COMBAYA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,0,0,1,0,1,0,1
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,7,15,2,6,9,21,30
COPACABANA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,2,3,1,0,3,3,6
CORIPATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,8,9,0,1,8,10,18
CORO CORO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,1,3,0,2,1,5,6
COROICO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,7,4,4,2,11,6,17
CORQUE,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,3,5,1,0,4,5,9
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,4,5,1,1,5,6,11
COTOCA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,40,52,9,2,49,54,103
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,14,9,1,2,15,11,26
CUEVO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,0,0,0,1,0,1,1
CULPINA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,5,6,0,2,5,8,13
CURAHUARA DE CARANGAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,0,1,0,0,0,1,1
CURVA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,0,0,1,0,1,0,1
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,0,1,0,0,0,1,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,274,271,59,59,333,330,663
EL CHORO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,2,0,0,0,2,0,2
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,10,8,0,0,10,8,18
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,0,4,2,4,2,8,10
EL TORNO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,34,34,0,1,34,35,69
EL VILLAR,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,1,2,1,1,2,3,5
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,9,4,2,4,11,8,19
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,42,34,3,1,45,35,80
ESCOMA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,3,3,0,0,3,3,6
ESMERALDA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,0,0,1,0,1,0,1
EUCALIPTUS,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,4,3,0,0,4,3,7
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,0,0,2,1,2,1,3
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,4,5,2,1,6,6,12
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,3,3,3,3,6,6,12
GAIOC JATUN AYLLU YURA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,1,1,1,1,2,2,4
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,3,11,1,0,4,11,15
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,3,2,2,1,5,3,8
GUANAY,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,2,1,3,5,5,6,11
GUAQUI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,1,3,0,0,1,3,4
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,26,14,0,1,26,15,41
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,7,5,0,1,7,6,13
HUACARAJE,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,1,1,0,0,1,1,2
HUACARETA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,3,2,0,0,3,2,5
HUANUNI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,3,6,2,2,5,8,13
HUARINA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,0,2,0,0,0,2,2
HUATAJATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,0,1,0,1,0,2,2
HUAYLLAMARCA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,0,0,1,0,1,0,1
HUMANATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,2,3,4,0,6,3,9
ICHOCA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,0,2,0,2,0,4,4
ICLA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,0,0,0,1,0,1,1
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,4,4,2,2,6,6,12
INGAVI (HUMAITA),vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,0,1,0,0,0,1,1
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,1,1,0,0,1,1,2
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,6,5,2,1,8,6,14
IXIAMAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,5,4,2,0,7,4,11
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,6,1,0,1,6,2,8
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,25,17,1,0,26,17,43
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,77,94,1,1,78,95,173
LA PAZ,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,260,261,2,10,262,271,533
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,3,1,3,1,6,2,8
LAJA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,5,10,0,0,5,10,15
LAS CARRERAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,0,1,0,0,0,1,1
LICOMA PAMPA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,1,1,1,1,2,2,4
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,8,5,18,31,26,36,62
LLICA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,1,2,0,0,1,2,3
LORETO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,1,1,0,2,1,3,4
LURIBAY,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,3,4,2,0,5,4,9
MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,2,0,0,0,2,0,2
MACHARETI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,2,1,0,0,2,1,3
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,4,3,2,8,6,11,17
MAIRANA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,7,3,0,0,7,3,10
MALLA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,0,0,2,0,2,0,2
MAPIRI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,5,1,2,2,7,3,10
MECAPACA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,3,5,1,0,4,5,9
MINEROS,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,14,4,0,0,14,4,18
MIZQUE,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,10,9,2,2,12,11,23
MOCOMOCO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,3,5,2,3,5,8,13
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,3,1,1,0,4,1,5
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,19,17,2,1,21,18,39
MONTERO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,81,67,4,7,85,74,159
MORO MORO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,0,1,0,0,0,1,1
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,6,2,3,4,9,6,15
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,6,6,3,0,9,6,15
OCURI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,3,2,3,3,6,5,11
OKINAWA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,5,6,1,2,6,8,14
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,1,0,4,3,5,3,8
ORURO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,148,151,5,3,153,154,307
PADCAYA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,6,5,1,0,7,5,12
PADILLA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,6,4,0,1,6,5,11
PAILON,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,2,12,8,8,10,20,30
PALCA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,9,11,5,1,14,12,26
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,19,12,3,0,22,12,34
PAMPA AULLAGAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,1,2,0,0,1,2,3
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,5,9,0,2,5,11,16
PAPEL PAMPA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,0,2,1,0,1,2,3
PATACAMAYA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,11,6,0,1,11,7,18
PAZÑA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,1,0,0,0,1,0,1
PELECHUCO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,5,1,0,0,5,1,6
POCOATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,9,4,7,6,16,10,26
POCONA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,2,4,6,5,8,9,17
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,8,3,0,3,8,6,14
POOPO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,3,0,0,0,3,0,3
PORCO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,5,4,0,0,5,4,9
POROMA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,2,2,3,1,5,3,8
PORONGO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,2,9,3,0,5,9,14
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,13,9,0,0,13,9,22
PORVENIR,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,5,1,1,1,6,2,8
POTOSI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,131,137,13,12,144,149,293
PRESTO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,0,5,0,2,0,7,7
PUCARA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,0,2,0,0,0,2,2
PUCARANI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,9,12,2,2,11,14,25
PUERTO ACOSTA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,2,4,2,1,4,5,9
PUERTO CARABUCO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,6,3,0,2,6,5,11
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,3,4,5,3,8,7,15
PUERTO PEREZ,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,2,4,0,0,2,4,6
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,8,9,1,0,9,9,18
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,2,5,0,0,2,5,7
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,10,14,0,0,10,14,24
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,53,43,15,16,68,59,127
PUNA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,3,2,5,4,8,6,14
PUNATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,12,11,12,5,24,16,40
QUIABAYA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,0,0,2,5,2,5,7
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,46,58,35,49,81,107,188
QUIME,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,4,2,2,0,6,2,8
QUIRUSILLAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,2,0,0,1,2,1,3
RAQAYPAMPA(ETA),vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,7,7,1,1,8,8,16
RAVELO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,1,0,4,5,5,5,10
REYES,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,6,6,0,0,6,6,12
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,34,39,5,9,39,48,87
ROBORE,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,10,3,0,1,10,4,14
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,15,11,4,5,19,16,35
SACABA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,62,73,14,24,76,97,173
SACACA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,7,9,11,3,18,12,30
SAIPINA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,4,3,0,0,4,3,7
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,4,1,1,1,5,2,7
SAMAIPATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,4,3,0,1,4,4,8
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,5,4,6,5,11,9,20
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,6,3,0,1,6,4,10
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,3,5,0,0,3,5,8
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,23,19,2,3,25,22,47
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,4,3,3,11,7,14,21
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,11,16,1,0,12,16,28
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,13,15,1,4,14,19,33
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,27,32,5,9,32,41,73
