,group,variable,month,SRP 2DA. DOSIS DENTRO,SRP 2DA. DOSIS DENTRO,SRP 2DA. DOSIS FUERA,SRP 2DA. DOSIS FUERA,TOTALES,TOTALES,TOTALES
AYATA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,1,2,1,1,2,3,5
AYO AYO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,2,3,0,0,2,3,5
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,8,13,10,16,18,29,47
AZURDUY,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,2,4,4,2,6,6,12
BATALLAS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,7,9,1,0,8,9,17
BAURES,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,2,0,1,1,3,1,4
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,0,0,1,0,1,0,1
BERMEJO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,10,18,0,0,10,18,28
BETANZOS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,13,11,1,1,14,12,26
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,1,1,0,0,1,1,2
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,5,5,0,0,5,5,10
CABEZAS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,14,12,0,1,14,13,27
CAIROMA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,2,2,0,0,2,2,4
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,1,1,0,0,1,1,2
CAJUATA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,6,6,0,4,6,10,16
CALACOTO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,0,0,4,1,4,1,5
CALAMARCA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,1,3,1,0,2,3,5
CAMARGO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,4,4,2,1,6,5,11
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,1,0,0,0,1,0,1
CAMIRI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,10,13,0,0,10,13,23
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,3,1,0,0,3,1,4
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,8,4,0,0,8,4,12
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,5,5,0,0,5,5,10
CARANAVI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,14,20,1,0,15,20,35
CARAPARI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,4,5,3,2,7,7,14
CARIPUYO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,7,3,0,0,7,3,10
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,4,0,4,3,8,3,11
CATACORA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,0,0,1,0,1,0,1
CHACARILLA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,1,0,0,0,1,0,1
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,14,20,14,2,28,22,50
CHAQUI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,4,4,2,1,6,5,11
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,5,5,1,0,6,5,11
CHARAÑA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,0,0,0,1,0,1,1
CHAYANTA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,4,1,0,0,4,1,5
CHIMORE,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,13,10,5,0,18,10,28
CHIPAYA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,1,0,0,0,1,0,1
CHUA COCANI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,2,0,0,0,2,0,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,4,10,5,3,9,13,22
CHUMA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,5,2,2,1,7,3,10
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,3,2,0,1,3,3,6
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,1,1,4,4,5,5,10
CLIZA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,7,8,3,2,10,10,20
COBIJA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,20,20,10,5,30,25,55
COCAPATA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,8,2,4,0,12,2,14
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,271,229,1,2,272,231,503
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,13,10,3,3,16,13,29
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,5,5,0,0,5,5,10
COLLANA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,1,1,2,0,3,1,4
COLOMI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,8,7,0,1,8,8,16
COLPA BELGICA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,1,5,1,1,2,6,8
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,6,4,1,1,7,5,12
COLQUENCHA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,8,8,1,0,9,8,17
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,5,4,5,4,10,8,18
COMANCHE,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,0,1,0,0,0,1,1
COMARAPA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,6,8,0,1,6,9,15
COMBAYA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,0,0,1,0,1,0,1
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,14,12,3,0,17,12,29
COPACABANA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,0,1,2,0,2,1,3
CORIPATA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,7,9,0,1,7,10,17
CORO CORO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,1,2,0,1,1,3,4
COROICO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,4,3,3,1,7,4,11
CORQUE,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,4,5,0,0,4,5,9
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,4,3,1,1,5,4,9
COTOCA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,45,56,8,2,53,58,111
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,15,9,1,1,16,10,26
CUEVO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,4,3,1,2,5,5,10
CULPINA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,5,5,0,2,5,7,12
CURAHUARA DE CARANGAS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,0,1,0,0,0,1,1
CURVA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,0,0,1,0,1,0,1
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,0,1,0,1,0,2,2
EL ALTO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,228,231,52,53,280,284,564
EL CHORO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,1,0,0,0,1,0,1
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,5,6,0,0,5,6,11
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,0,4,2,3,2,7,9
EL TORNO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,49,35,0,1,49,36,85
EL VILLAR,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,0,1,0,0,0,1,1
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,9,6,3,2,12,8,20
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,43,31,3,2,46,33,79
ESCOMA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,3,3,0,0,3,3,6
ESMERALDA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,0,0,1,0,1,0,1
EUCALIPTUS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,4,3,0,0,4,3,7
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,0,0,1,1,1,1,2
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,3,7,1,1,4,8,12
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,3,4,4,3,7,7,14
GAIOC JATUN AYLLU YURA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,0,0,1,0,1,0,1
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,3,10,0,0,3,10,13
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,3,2,2,1,5,3,8
GUANAY,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,2,2,3,4,5,6,11
GUAQUI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,1,3,0,0,1,3,4
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,15,18,2,0,17,18,35
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,3,0,1,1,4,1,5
HUACARAJE,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,2,2,0,0,2,2,4
HUACAYA (VILLA DE HUACAYA),vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,0,0,1,0,1,0,1
HUANUNI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,5,6,2,1,7,7,14
HUARINA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,0,2,0,0,0,2,2
HUATAJATA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,0,1,0,1,0,2,2
HUAYLLAMARCA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,1,0,0,0,1,0,1
HUMANATA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,1,3,3,0,4,3,7
ICHOCA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,0,2,0,0,0,2,2
ICLA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,1,0,0,2,1,2,3
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,3,3,2,3,5,6,11
INGAVI (HUMAITA),vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,0,1,1,1,1,2,3
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,3,1,0,0,3,1,4
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,5,3,3,1,8,4,12
IXIAMAS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,4,4,2,0,6,4,10
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,6,1,0,1,6,2,8
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,22,13,1,0,23,13,36
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,64,72,1,1,65,73,138
LA PAZ,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,200,202,2,4,202,206,408
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,4,1,4,0,8,1,9
LAJA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,5,10,0,0,5,10,15
LICOMA PAMPA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,1,1,1,1,2,2,4
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,7,5,19,30,26,35,61
LLICA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,0,1,0,0,0,1,1
LORETO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,0,1,1,1,1,2,3
LURIBAY,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,3,4,3,0,6,4,10
MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,2,0,1,0,3,0,3
MACHARETI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,0,1,0,0,0,1,1
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,4,0,0,0,4,0,4
MAIRANA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,13,7,0,1,13,8,21
MALLA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,1,0,1,0,2,0,2
MAPIRI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,5,1,2,2,7,3,10
MECAPACA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,3,3,0,1,3,4,7
MINEROS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,10,5,0,0,10,5,15
MIZQUE,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,10,9,2,2,12,11,23
MOCOMOCO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,3,5,2,3,5,8,13
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,3,1,1,0,4,1,5
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,18,15,2,1,20,16,36
MONTERO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,96,83,5,6,101,89,190
MORO MORO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,0,3,0,0,0,3,3
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,4,0,3,3,7,3,10
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,6,6,3,0,9,6,15
OCURI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,1,2,3,0,4,2,6
OKINAWA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,3,5,0,0,3,5,8
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,1,0,4,3,5,3,8
ORURO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,142,139,4,4,146,143,289
PADCAYA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,6,3,1,0,7,3,10
PADILLA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,7,4,1,1,8,5,13
PAILON,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,2,9,3,6,5,15,20
PALCA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,8,9,2,1,10,10,20
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,19,12,3,0,22,12,34
PAMPA AULLAGAS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,1,1,0,0,1,1,2
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,4,9,0,6,4,15,19
PAPEL PAMPA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,0,2,1,0,1,2,3
PATACAMAYA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,11,6,0,1,11,7,18
PAZÑA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,1,1,0,0,1,1,2
PELECHUCO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,5,1,0,0,5,1,6
POCOATA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,6,10,4,7,10,17,27
POCONA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,1,4,6,5,7,9,16
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,7,3,0,0,7,3,10
POOPO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,3,0,0,0,3,0,3
PORCO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,6,7,2,0,8,7,15
POROMA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,2,2,3,1,5,3,8
PORONGO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,2,8,3,0,5,8,13
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,13,19,1,1,14,20,34
PORVENIR,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,4,0,1,0,5,0,5
POSTRER VALLE,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,2,1,0,0,2,1,3
POTOSI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,126,146,11,8,137,154,291
PRESTO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,1,1,0,2,1,3,4
PUCARA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,2,0,0,0,2,0,2
PUCARANI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,9,11,3,2,12,13,25
PUERTO ACOSTA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,2,4,2,1,4,5,9
PUERTO CARABUCO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,6,3,0,2,6,5,11
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,3,2,4,3,7,5,12
PUERTO PEREZ,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,2,4,0,0,2,4,6
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,8,11,1,0,9,11,20
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,1,1,0,0,1,1,2
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,3,11,0,0,3,11,14
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,53,43,12,13,65,56,121
PUNA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,3,2,6,4,9,6,15
PUNATA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,9,11,12,5,21,16,37
QUIABAYA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,0,0,2,5,2,5,7
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,44,53,26,34,70,87,157
QUIME,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,4,2,2,0,6,2,8
QUIRUSILLAS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,2,0,0,1,2,1,3
RAQAYPAMPA(ETA),vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,7,6,0,1,7,7,14
RAVELO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,0,0,5,5,5,5,10
REYES,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,6,3,1,0,7,3,10
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,35,36,10,8,45,44,89
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,11,19,1,5,12,24,36
SABAYA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,1,0,0,0,1,0,1
SACABA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,66,59,18,26,84,85,169
SACACA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,5,2,6,2,11,4,15
SAIPINA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,3,3,0,0,3,3,6
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,3,1,1,1,4,2,6
SAMAIPATA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,2,4,0,0,2,4,6
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,3,3,2,4,5,7,12
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,6,3,0,1,6,4,10
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,3,5,1,0,4,5,9
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,13,6,4,9,17,15,32
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,3,4,2,9,5,13,18
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,8,15,0,0,8,15,23
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,10,10,4,4,14,14,28
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,33,31,12,8,45,39,84
SAN JAVIER(BNI),vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,0,1,0,0,0,1,1
SAN JAVIER(STC),vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,13,12,1,1,14,13,27
SAN JOAQUIN,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,0,3,0,3,0,6,6
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,8,10,3,6,11,16,27
SAN JUAN DE YAPACANI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,3,2,1,0,4,2,6
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,27,36,1,2,28,38,66
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,1,4,1,0,2,4,6
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,8,10,0,0,8,10,18
SAN LUCAS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,8,7,12,11,20,18,38
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,7,8,1,2,8,10,18
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,11,6,2,1,13,7,20
SAN PABLO DE LIPEZ,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,1,0,0,0,1,0,1
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,4,4,0,0,4,4,8
