,group,variable,month,ANTIROTAVIRÍCA 1RA DOSIS DENTRO,ANTIROTAVIRÍCA 1RA DOSIS DENTRO,ANTIROTAVIRÍCA 1RA DOSIS FUERA,ANTIROTAVIRÍCA 1RA DOSIS FUERA,TOTALES
BELLA FLOR,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,4,2,0,1,7
BERMEJO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,22,12,0,0,34
BETANZOS,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,12,16,4,3,35
BOLIVAR,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,4,2,0,1,7
BOLPEBRA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,1,1,0,0,2
BOYUIBE,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,2,0,0,2,4
BUENA VISTA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,3,6,0,0,9
CABEZAS,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,15,28,5,6,54
CAIROMA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,1,9,2,2,14
"CAIZA ""D""",vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,2,7,1,0,10
CAJUATA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,10,6,1,2,19
CALACOTO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,0,0,2,1,3
CALAMARCA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,9,6,0,0,15
CAMARGO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,9,9,2,0,20
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,2,0,1,0,3
CAMIRI,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,18,24,1,0,43
CAPINOTA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,18,14,0,0,32
CAQUIAVIRI,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,4,5,0,0,9
CARACOLLO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,22,20,0,0,42
CARANAVI,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,33,32,1,1,67
CARAPARI,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,7,7,0,1,15
CARIPUYO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,4,5,1,1,11
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,3,3,0,0,6
CHACARILLA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,3,0,1,0,4
CHALLAPATA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,20,18,12,6,56
CHAQUI,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,4,5,0,0,9
CHARAGUA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,9,13,19,11,52
CHARAÑA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,0,1,1,0,2
CHAYANTA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,4,3,1,2,10
CHIMORE,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,23,13,2,0,38
CHOQUE COTA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,2,0,1,0,3
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,17,16,0,0,33
CHUMA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,2,3,2,4,11
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,5,2,2,1,10
CKOCHAS,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,4,2,1,4,11
CLIZA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,14,13,3,1,31
COBIJA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,39,31,9,4,83
COCAPATA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,5,8,8,8,29
COCHABAMBA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,525,449,3,0,977
COLCAPIRHUA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,27,24,1,0,52
"COLCHA ""K""",vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,7,8,1,0,16
COLLANA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,1,0,0,1,2
COLOMI,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,16,19,2,1,38
COLPA BELGICA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,3,8,0,0,11
COLQUECHACA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,9,5,2,4,20
COLQUENCHA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,10,7,0,0,17
COLQUIRI,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,4,12,2,6,24
COMANCHE,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,0,2,0,0,2
COMARAPA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,12,6,0,0,18
COMBAYA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,0,0,0,1,1
CONCEPCION,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,41,23,1,1,66
COPACABANA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,4,4,1,2,11
CORIPATA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,19,13,0,1,33
CORO CORO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,1,2,2,1,6
COROICO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,4,8,3,1,16
CORQUE,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,3,3,0,0,6
COTAGAITA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,17,9,1,0,27
COTOCA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,70,57,4,3,134
CRUZ DE MACHACAMARCA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,0,1,0,0,1
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,12,7,1,1,21
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,1,2,0,0,3
CUEVO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,0,3,0,0,3
CULPINA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,3,6,5,6,20
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,1,2,0,0,3
CURVA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,1,2,0,0,3
DESAGUADERO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,5,1,1,1,8
EL ALTO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,508,482,128,113,1231
EL CHORO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,3,2,2,0,7
EL PUENTE(STC),vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,6,9,0,1,16
EL PUENTE(TJA),vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,2,4,1,0,7
EL TORNO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,31,30,0,0,61
EL VILLAR,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,0,1,0,0,1
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,6,12,2,2,22
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,41,46,3,1,91
ESCARA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,1,0,0,0,1
ESCOMA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,5,1,5,1,12
EUCALIPTUS,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,3,1,0,0,4
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,0,1,0,1,2
EXALTACION,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,0,1,0,0,1
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,6,9,1,1,17
FILADELFIA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,4,5,2,2,13
GAIOC JATUN AYLLU YURA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,1,0,1,1,3
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,8,12,0,3,23
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,2,7,1,7,17
GUANAY,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,8,9,3,0,20
GUAQUI,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,5,1,2,0,8
GUAYARAMERIN,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,45,25,3,0,73
GUTIERREZ,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,3,12,0,2,17
HUACARAJE,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,2,4,0,0,6
HUACARETA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,8,2,2,1,13
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,1,2,1,0,4
HUACHACALLA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,1,1,0,0,2
HUANUNI,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,2,7,3,3,15
HUARINA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,5,4,0,0,9
HUATAJATA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,1,0,0,0,1
HUAYLLAMARCA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,2,2,0,0,4
HUMANATA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,0,0,1,1,2
ICHOCA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,0,1,2,1,4
ICLA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,1,5,2,1,9
INCAHUASI,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,6,7,6,5,24
INGAVI (HUMAITA),vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,0,2,0,0,2
INQUISIVI,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,8,4,2,2,16
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,7,8,7,0,22
IXIAMAS,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,6,13,5,5,29
JESUS DE MACHACA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,5,8,0,0,13
LA ASUNTA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,33,38,1,1,73
LA GUARDIA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,96,91,0,2,189
LA PAZ,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,460,388,11,7,866
LAGUNILLAS,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,4,3,1,0,8
LAJA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,12,9,0,0,21
LAS CARRERAS,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,2,3,1,0,6
LICOMA PAMPA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,1,1,0,0,2
LLALLAGUA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,9,7,31,35,82
LLICA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,0,2,0,0,2
LORETO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,1,2,1,1,5
LURIBAY,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,1,6,2,2,11
MACHACAMARCA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,2,5,0,0,7
MACHARETI,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,1,5,0,0,6
MAGDALENA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,9,6,2,4,21
MAIRANA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,11,13,1,0,25
MALLA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,0,0,1,1,2
MAPIRI,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,17,18,3,5,43
MECAPACA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,5,11,1,1,18
MINEROS,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,17,16,1,2,36
MIZQUE,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,12,14,2,1,29
MOCOMOCO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,3,1,3,3,10
MONTEAGUDO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,9,15,1,0,25
MONTERO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,106,121,3,4,234
MORO MORO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,1,2,0,0,3
MOROCHATA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,5,4,0,0,9
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,1,1,0,2,4
NAZACARA DE PACAJES,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,0,0,1,0,1
OCURI,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,4,1,3,2,10
OKINAWA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,5,9,0,2,16
OMEREQUE,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,5,4,5,2,16
ORURO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,256,277,6,4,543
PADCAYA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,7,10,0,0,17
PADILLA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,4,4,0,0,8
PAILON,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,30,19,7,8,64
PALCA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,17,17,2,3,39
PALOS BLANCOS,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,18,18,3,2,41
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,2,4,0,0,6
PAMPA GRANDE,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,8,5,0,0,13
PAPEL PAMPA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,1,0,1,2,4
PASORAPA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,0,2,0,0,2
PATACAMAYA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,17,21,1,1,40
PAZÑA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,5,2,0,0,7
PELECHUCO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,7,5,0,0,12
POCOATA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,8,3,9,3,23
POCONA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,6,7,6,4,23
POJO (CBBA),vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,9,8,4,4,25
POOPO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,2,2,0,0,4
PORCO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,12,5,1,1,19
POROMA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,5,1,2,2,10
PORONGO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,7,8,1,0,16
PORTACHUELO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,16,13,0,0,29
PORVENIR,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,0,3,1,0,4
POSTRER VALLE,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,0,2,0,0,2
POTOSI,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,195,199,11,9,414
PRESTO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,3,2,6,1,12
PUCARANI,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,16,19,3,4,42
PUERTO ACOSTA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,5,1,2,2,10
PUERTO CARABUCO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,7,3,4,4,18
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,1,3,3,0,7
PUERTO PEREZ,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,0,1,1,1,3
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,10,12,2,3,27
PUERTO RICO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,4,5,0,0,9
PUERTO SUAREZ,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,10,28,0,0,38
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,65,70,20,18,173
PUNA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,8,6,3,4,21
PUNATA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,19,34,8,8,69
QUIABAYA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,2,3,3,1,9
QUILLACOLLO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,88,103,46,42,279
QUIME,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,6,2,2,3,13
QUIRUSILLAS,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,0,2,0,0,2
RAQAYPAMPA(ETA),vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,6,9,0,0,15
RAVELO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,0,1,3,7,11
REYES,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,12,8,1,0,21
RIBERALTA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,95,97,1,5,198
ROBORE,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,12,11,1,0,24
RURRENABAQUE,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,14,22,1,1,38
SABAYA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,1,1,0,0,2
SACABA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,93,97,21,16,227
SACABAMBA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,2,2,0,1,5
SACACA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,8,7,2,7,24
SAIPINA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,4,6,0,0,10
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,5,1,2,2,10
SAMAIPATA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,6,7,0,1,14
SAN AGUSTIN,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,2,0,0,0,2
SAN ANDRES,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,2,8,2,1,13
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,0,2,1,2,5
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,1,0,0,0,1
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,1,2,0,0,3
SAN BENITO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,4,6,0,1,11
SAN BORJA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,34,33,12,9,88
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,4,6,3,0,13
SAN CARLOS,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,14,7,1,6,28
SAN IGNACIO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,23,20,1,4,48
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,50,39,12,6,107
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,4,2,0,2,8
SAN JAVIER(STC),vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,8,14,0,0,22
SAN JOAQUIN,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,3,7,0,0,10
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,20,12,11,3,46
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,7,4,2,0,13
SAN JULIAN,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,37,33,0,0,70
SAN LORENZO(PND),vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,8,4,2,1,15
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,11,7,1,3,22
SAN LUCAS,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,11,12,8,2,33
SAN MATIAS,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,11,13,0,4,28
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,7,5,0,0,12
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,0,1,0,0,1
SAN PEDRO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,6,7,0,1,14
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,12,6,3,12,33
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,1,2,0,0,3
SAN PEDRO DE MACHA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,11,9,2,5,27
