,group,variable,month,PENTAVALENTE 3RA DOSIS DENTRO,PENTAVALENTE 3RA DOSIS DENTRO,PENTAVALENTE 3RA DOSIS FUERA,PENTAVALENTE 3RA DOSIS FUERA,TOTALES
BOLPEBRA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,0,1,0,0,1
BOYUIBE,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,2,6,0,2,10
BUENA VISTA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,9,12,0,2,23
CABEZAS,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,14,16,2,12,44
CAIROMA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,4,6,0,1,11
"CAIZA ""D""",vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,3,8,0,0,11
CAJUATA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,8,6,2,2,18
CALACOTO,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,0,0,5,4,9
CALAMARCA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,10,9,2,1,22
CAMARGO,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,8,10,0,2,20
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,2,1,1,0,4
CAMIRI,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,10,17,1,0,28
CAPINOTA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,14,14,0,0,28
CAQUIAVIRI,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,5,5,0,1,11
CARACOLLO,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,18,17,0,1,36
CARANAVI,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,26,30,1,2,59
CARAPARI,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,7,6,0,0,13
CARIPUYO,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,3,3,0,0,6
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,2,5,2,3,12
CATACORA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,0,1,0,1,2
CHACARILLA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,1,2,0,0,3
CHALLAPATA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,16,15,7,8,46
CHAQUI,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,5,3,1,2,11
CHARAGUA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,13,16,2,5,36
CHARAÑA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,2,0,0,0,2
CHAYANTA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,0,4,1,3,8
CHIMORE,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,19,21,2,3,45
CHIPAYA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,0,1,0,0,1
CHOQUE COTA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,0,1,0,0,1
CHUA COCANI,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,0,2,0,0,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,9,10,0,0,19
CHUMA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,2,1,2,0,5
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,2,5,1,0,8
CKOCHAS,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,6,4,2,2,14
CLIZA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,10,9,2,0,21
COBIJA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,21,37,7,11,76
COCAPATA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,6,6,0,2,14
COCHABAMBA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,455,435,4,0,894
COLCAPIRHUA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,25,23,0,0,48
"COLCHA ""K""",vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,10,8,0,0,18
COLLANA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,1,2,0,0,3
COLOMI,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,13,19,0,1,33
COLPA BELGICA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,1,3,0,0,4
COLQUECHACA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,12,15,2,3,32
COLQUENCHA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,3,3,0,1,7
COLQUIRI,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,5,5,4,3,17
COMANCHE,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,2,1,0,0,3
COMARAPA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,21,12,1,1,35
COMBAYA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,1,0,0,0,1
CONCEPCION,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,27,21,6,0,54
COPACABANA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,3,1,2,2,8
CORIPATA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,10,18,0,2,30
CORO CORO,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,3,6,1,0,10
COROICO,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,10,8,3,2,23
CORQUE,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,3,3,0,0,6
COTAGAITA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,9,15,2,2,28
COTOCA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,60,75,3,4,142
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,21,21,0,0,42
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,0,1,1,0,2
CUEVO,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,2,0,0,0,2
CULPINA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,12,6,2,4,24
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,2,1,0,0,3
CURVA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,0,0,2,0,2
DESAGUADERO,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,3,2,1,1,7
EL ALTO,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,428,392,104,91,1015
EL PUENTE(STC),vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,10,6,0,0,16
EL PUENTE(TJA),vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,4,5,2,0,11
EL TORNO,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,58,48,0,1,107
EL VILLAR,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,1,5,0,0,6
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,10,14,1,2,27
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,41,27,4,2,74
ESCOMA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,1,3,1,1,6
EUCALIPTUS,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,3,0,0,0,3
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,0,0,3,2,5
EXALTACION,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,0,1,0,0,1
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,7,9,3,1,20
FILADELFIA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,1,2,0,2,5
GAIOC JATUN AYLLU YURA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,1,0,0,2,3
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,15,11,0,1,27
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,2,1,3,4,10
GUANAY,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,9,7,3,3,22
GUAQUI,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,4,7,1,0,12
GUAYARAMERIN,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,38,28,0,1,67
GUTIERREZ,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,12,9,2,2,25
HUACARAJE,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,4,3,0,0,7
HUACARETA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,4,3,0,2,9
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,1,0,3,3,7
HUACHACALLA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,0,1,0,0,1
HUANUNI,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,10,4,2,5,21
HUARINA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,1,5,0,0,6
HUATAJATA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,1,0,0,0,1
HUAYLLAMARCA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,2,2,0,0,4
HUMANATA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,0,1,1,4,6
ICHOCA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,1,0,4,2,7
ICLA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,1,2,1,2,6
INCAHUASI,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,9,4,8,5,26
INGAVI (HUMAITA),vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,2,0,0,1,3
INQUISIVI,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,1,2,2,3,8
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,5,8,2,6,21
IXIAMAS,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,7,3,4,0,14
JESUS DE MACHACA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,7,10,2,0,19
LA ASUNTA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,36,29,1,0,66
LA GUARDIA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,114,91,4,3,212
LA PAZ,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,374,393,3,2,772
LA RIVERA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,1,1,0,0,2
LAGUNILLAS,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,6,3,3,2,14
LAJA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,8,14,1,0,23
LAS CARRERAS,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,0,0,0,1,1
LICOMA PAMPA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,1,1,0,0,2
LLALLAGUA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,9,7,22,30,68
LLICA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,3,1,0,1,5
LORETO,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,2,1,1,1,5
LURIBAY,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,3,3,1,0,7
MACHACAMARCA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,2,2,1,2,7
MACHARETI,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,3,4,0,0,7
MAGDALENA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,8,8,3,2,21
MAIRANA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,11,13,2,1,27
MALLA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,0,0,0,3,3
MAPIRI,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,13,19,3,2,37
MECAPACA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,8,6,0,2,16
MINEROS,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,13,12,1,1,27
MIZQUE,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,13,22,6,6,47
MOCOMOCO,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,1,4,5,2,12
MOJINETE,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,0,1,0,0,1
MOJOCOYA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,3,1,0,0,4
MONTEAGUDO,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,14,10,1,0,25
MONTERO,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,97,114,11,10,232
MORO MORO,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,1,2,0,0,3
MOROCHATA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,6,1,2,2,11
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,3,1,0,0,4
NAZACARA DE PACAJES,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,0,0,0,1,1
OCURI,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,3,2,3,3,11
OKINAWA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,9,10,2,2,23
OMEREQUE,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,2,4,4,1,11
ORURO,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,273,270,2,6,551
PADCAYA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,4,7,1,0,12
PADILLA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,4,2,0,1,7
PAILON,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,19,19,12,12,62
PALCA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,19,13,4,0,36
PALOS BLANCOS,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,25,9,2,2,38
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,1,1,0,0,2
PAMPA GRANDE,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,11,8,0,1,20
PAPEL PAMPA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,0,3,0,1,4
PATACAMAYA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,11,14,1,0,26
PAZÑA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,1,2,0,0,3
PELECHUCO,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,5,3,0,1,9
POCOATA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,6,5,8,3,22
POCONA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,0,3,3,1,7
POJO (CBBA),vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,5,3,0,3,11
POOPO,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,4,3,0,0,7
PORCO,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,15,13,1,2,31
POROMA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,4,3,3,5,15
PORONGO,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,7,6,1,3,17
PORTACHUELO,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,10,12,1,1,24
PORVENIR,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,5,7,1,1,14
POSTRER VALLE,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,0,1,0,0,1
POTOSI,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,207,209,12,11,439
PRESTO,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,3,3,3,2,11
PUCARA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,0,2,0,0,2
PUCARANI,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,19,13,3,2,37
PUERTO ACOSTA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,3,2,2,2,9
PUERTO CARABUCO,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,11,5,3,1,20
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,1,4,0,2,7
PUERTO PEREZ,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,3,1,1,2,7
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,10,12,0,2,24
PUERTO RICO,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,1,4,0,0,5
PUERTO SILES,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,1,2,0,0,3
PUERTO SUAREZ,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,21,12,0,3,36
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,60,58,19,13,150
PUNA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,5,1,6,3,15
PUNATA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,18,23,9,4,54
QUIABAYA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,0,3,1,1,5
QUILLACOLLO,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,70,81,42,45,238
QUIME,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,2,1,1,2,6
QUIRUSILLAS,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,0,4,0,0,4
RAQAYPAMPA(ETA),vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,4,4,0,0,8
RAVELO,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,1,1,2,6,10
REYES,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,7,4,0,0,11
RIBERALTA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,79,74,7,6,166
ROBORE,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,9,10,0,0,19
RURRENABAQUE,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,19,15,4,2,40
SABAYA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,1,2,0,0,3
SACABA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,91,100,14,15,220
SACABAMBA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,2,1,1,1,5
SACACA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,5,10,5,4,24
SAIPINA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,3,6,0,0,9
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,3,5,2,3,13
SAMAIPATA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,6,8,0,1,15
SAN ANDRES,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,5,1,2,4,12
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,0,1,1,0,2
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,1,1,0,0,2
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,5,7,1,0,13
SAN BENITO,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,6,5,0,1,12
SAN BORJA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,40,27,5,4,76
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,4,9,3,1,17
SAN CARLOS,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,13,14,1,0,28
SAN IGNACIO,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,19,15,6,2,42
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,60,53,9,3,125
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,2,2,1,2,7
SAN JAVIER(STC),vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,20,16,1,1,38
SAN JOAQUIN,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,3,2,0,0,5
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,11,13,4,0,28
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,6,10,0,0,16
SAN JULIAN,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,53,47,1,3,104
SAN LORENZO(PND),vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,4,5,2,1,12
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,9,18,2,1,30
SAN LUCAS,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,11,13,3,10,37
SAN MATIAS,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,13,15,2,1,31
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,9,8,3,3,23
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,0,2,0,0,2
SAN PEDRO,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,7,6,0,1,14
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,11,12,7,12,42
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,3,1,1,0,5
SAN PEDRO DE MACHA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,5,9,4,7,25
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,4,3,1,0,8
SAN PEDRO(PND),vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,0,0,2,1,3
SAN RAFAEL,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,10,1,1,0,12
SAN RAMON BENI,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,2,4,0,0,6
SAN RAMON SCZ,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,9,11,0,0,20
SANTA ANA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,8,6,0,0,14
