,group,variable,month,ANTIPOLIOMIELÍTICA 2DA DOSIS DENTRO,ANTIPOLIOMIELÍTICA 2DA DOSIS DENTRO,ANTIPOLIOMIELÍTICA 2DA DOSIS FUERA,ANTIPOLIOMIELÍTICA 2DA DOSIS FUERA,TOTALES
BELLA FLOR,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,2,1,0,1,4
BERMEJO,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,10,11,1,0,22
BETANZOS,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,14,15,9,0,38
BOLIVAR,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,0,2,3,0,5
BOLPEBRA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,0,0,1,0,1
BOYUIBE,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,0,4,1,0,5
BUENA VISTA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,9,7,0,1,17
CABEZAS,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,12,16,4,3,35
CAIROMA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,3,7,1,0,11
"CAIZA ""D""",vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,5,3,1,0,9
CAJUATA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,5,6,1,0,12
CALAMARCA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,16,5,3,1,25
CAMARGO,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,13,4,4,1,22
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,3,0,0,0,3
CAMIRI,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,20,20,1,1,42
CAPINOTA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,6,8,0,1,15
CAQUIAVIRI,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,3,1,1,2,7
CARACOLLO,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,16,9,0,1,26
CARANAVI,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,31,31,2,0,64
CARAPARI,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,9,8,0,0,17
CARIPUYO,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,2,2,0,1,5
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,0,4,0,0,4
CATACORA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,0,0,1,0,1
CHACARILLA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,1,2,0,0,3
CHALLAPATA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,12,23,8,3,46
CHAQUI,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,7,6,0,2,15
CHARAGUA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,10,18,7,7,42
CHARAÑA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,1,1,0,3,5
CHAYANTA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,3,7,2,1,13
CHIMORE,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,26,17,2,2,47
CHIPAYA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,2,1,0,0,3
CHOQUE COTA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,0,2,0,0,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,12,9,0,1,22
CHUMA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,1,4,2,0,7
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,2,3,4,0,9
CKOCHAS,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,5,4,4,5,18
CLIZA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,12,3,0,1,16
COBIJA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,31,30,9,11,81
COCAPATA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,5,9,4,3,21
COCHABAMBA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,496,450,4,3,953
COLCAPIRHUA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,24,26,1,1,52
"COLCHA ""K""",vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,5,6,1,1,13
COLLANA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,1,0,0,0,1
COLOMI,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,14,11,1,0,26
COLPA BELGICA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,4,3,0,0,7
COLQUECHACA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,15,7,8,8,38
COLQUENCHA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,5,8,0,0,13
COLQUIRI,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,10,8,3,3,24
COMANCHE,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,0,3,0,0,3
COMARAPA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,11,14,0,1,26
COMBAYA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,1,1,0,0,2
CONCEPCION,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,25,13,1,1,40
COPACABANA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,9,7,1,1,18
CORIPATA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,10,10,1,1,22
CORO CORO,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,3,2,1,2,8
COROICO,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,10,11,2,2,25
CORQUE,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,2,2,0,0,4
COTAGAITA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,11,20,2,1,34
COTOCA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,57,53,3,5,118
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,10,18,0,0,28
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,0,2,0,1,3
CUEVO,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,2,0,0,1,3
CULPINA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,3,15,3,4,25
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,1,0,1,0,2
CURVA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,1,0,2,0,3
DESAGUADERO,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,1,1,3,2,7
EL ALTO,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,453,447,107,99,1106
EL CHORO,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,0,3,0,0,3
EL PUENTE(STC),vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,8,7,0,0,15
EL PUENTE(TJA),vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,2,7,1,0,10
EL TORNO,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,32,42,0,0,74
EL VILLAR,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,1,0,0,0,1
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,7,12,3,2,24
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,45,37,2,0,84
ESCOMA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,4,2,0,1,7
ESMERALDA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,0,1,0,0,1
EUCALIPTUS,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,2,1,0,0,3
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,0,1,2,2,5
EXALTACION,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,0,2,0,0,2
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,2,5,1,1,9
FILADELFIA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,4,3,2,2,11
GAIOC JATUN AYLLU YURA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,5,3,0,3,11
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,8,9,0,1,18
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,6,5,4,0,15
GUANAY,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,12,8,1,5,26
GUAQUI,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,2,3,0,0,5
GUAYARAMERIN,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,31,23,1,1,56
GUTIERREZ,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,6,7,1,1,15
HUACARAJE,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,3,0,0,0,3
HUACARETA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,4,12,2,0,18
HUACHACALLA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,1,0,0,0,1
HUANUNI,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,5,12,2,1,20
HUARINA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,5,1,0,0,6
HUATAJATA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,1,3,0,0,4
HUAYLLAMARCA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,1,1,0,0,2
HUMANATA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,0,1,0,1,2
ICHOCA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,1,0,1,2,4
ICLA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,2,0,0,1,3
INCAHUASI,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,5,4,3,4,16
INGAVI (HUMAITA),vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,2,2,1,1,6
INQUISIVI,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,3,2,0,1,6
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,9,4,7,7,27
IXIAMAS,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,5,6,0,2,13
JESUS DE MACHACA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,0,9,0,3,12
LA ASUNTA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,25,28,1,0,54
LA GUARDIA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,100,90,0,3,193
LA PAZ,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,433,394,5,5,837
LAGUNILLAS,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,5,1,0,3,9
LAJA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,12,11,0,0,23
LAS CARRERAS,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,2,0,0,0,2
LICOMA PAMPA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,2,2,0,0,4
LLALLAGUA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,8,8,28,31,75
LLICA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,2,1,0,1,4
LORETO,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,1,0,2,1,4
LURIBAY,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,7,7,2,1,17
MACHACAMARCA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,0,1,1,0,2
MACHARETI,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,6,3,1,0,10
MAGDALENA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,3,5,1,0,9
MAIRANA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,7,7,0,0,14
MALLA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,1,0,1,0,2
MAPIRI,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,18,19,7,5,49
MECAPACA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,7,4,2,4,17
MINEROS,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,17,17,0,3,37
MIZQUE,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,12,11,5,2,30
MOCOMOCO,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,3,5,2,2,12
MOJINETE,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,1,1,0,0,2
MOJOCOYA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,5,4,1,1,11
MONTEAGUDO,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,18,13,0,0,31
MONTERO,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,97,82,5,8,192
MORO MORO,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,2,1,0,0,3
MOROCHATA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,8,2,3,2,15
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,3,1,0,1,5
OCURI,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,1,3,7,3,14
OKINAWA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,8,6,2,3,19
OMEREQUE,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,2,3,2,5,12
ORURO,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,291,281,8,8,588
PADCAYA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,12,6,1,1,20
PADILLA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,4,4,2,1,11
PAILON,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,21,15,10,10,56
PALCA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,20,16,4,0,40
PALOS BLANCOS,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,20,11,3,1,35
PAMPA GRANDE,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,3,7,1,1,12
PAPEL PAMPA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,1,2,2,0,5
PATACAMAYA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,21,12,1,1,35
PAZÑA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,2,2,0,0,4
PELECHUCO,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,3,4,1,1,9
POCOATA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,12,11,6,6,35
POCONA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,7,4,0,5,16
POJO (CBBA),vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,6,5,3,1,15
POOPO,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,4,3,0,0,7
PORCO,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,11,19,0,0,30
POROMA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,6,4,3,2,15
PORONGO,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,12,3,2,2,19
PORTACHUELO,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,24,12,1,0,37
PORVENIR,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,3,7,0,0,10
POSTRER VALLE,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,0,1,0,0,1
POTOSI,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,199,210,15,15,439
PRESTO,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,2,3,1,1,7
PUCARA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,2,0,0,0,2
PUCARANI,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,20,18,12,4,54
PUERTO ACOSTA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,2,2,2,0,6
PUERTO CARABUCO,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,3,5,3,5,16
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,0,1,0,2,3
PUERTO PEREZ,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,1,2,0,1,4
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,13,12,2,2,29
PUERTO RICO,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,4,2,0,0,6
PUERTO SUAREZ,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,23,17,2,0,42
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,48,46,9,17,120
PUNA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,5,1,3,3,12
PUNATA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,20,19,5,8,52
QUIABAYA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,0,1,0,3,4
QUILLACOLLO,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,104,73,48,40,265
QUIME,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,1,4,2,1,8
QUIRUSILLAS,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,1,1,0,0,2
RAQAYPAMPA(ETA),vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,5,3,0,0,8
RAVELO,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,1,0,1,7,9
REYES,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,8,5,0,0,13
RIBERALTA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,84,74,5,2,165
ROBORE,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,7,9,0,0,16
RURRENABAQUE,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,12,20,5,4,41
SABAYA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,0,3,0,0,3
SACABA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,95,117,19,14,245
SACABAMBA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,0,4,0,2,6
SACACA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,6,4,4,2,16
SAIPINA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,3,6,0,0,9
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,1,2,2,1,6
SAMAIPATA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,10,5,0,0,15
SAN AGUSTIN,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,1,2,0,0,3
SAN ANDRES,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,10,9,1,3,23
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,2,2,2,0,6
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,0,1,1,1,3
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,1,5,0,0,6
SAN BENITO,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,8,7,1,1,17
SAN BORJA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,34,44,12,9,99
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,8,6,0,1,15
SAN CARLOS,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,11,8,0,2,21
SAN IGNACIO,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,16,12,1,4,33
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,49,49,11,11,120
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,1,1,1,1,4
SAN JAVIER(STC),vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,19,13,3,1,36
SAN JOAQUIN,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,5,2,0,1,8
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,12,12,7,4,35
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,8,2,0,0,10
SAN JULIAN,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,44,35,2,1,82
SAN LORENZO(PND),vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,2,4,4,1,11
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,14,13,0,0,27
SAN LUCAS,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,18,15,5,7,45
SAN MATIAS,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,11,12,1,2,26
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,7,4,1,0,12
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,0,1,0,0,1
SAN PEDRO,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,10,8,2,0,20
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,7,9,7,9,32
