,group,variable,month,OTROS EN MENORES DE 5 AÑOS CANTIDAD,OTROS EN MENORES DE 5 AÑOS CANTIDAD,TOTALES
SAN CARLOS,diagnostico de egreso,otros en menores de 5 anos,2012-01-01,12,21,33
SAN IGNACIO,diagnostico de egreso,otros en menores de 5 anos,2012-01-01,1,0,1
SAN IGNACIO DE VELASCO,diagnostico de egreso,otros en menores de 5 anos,2012-01-01,73,63,136
SAN JOSE DE CHIQUITOS,diagnostico de egreso,otros en menores de 5 anos,2012-01-01,4,1,5
SAN JULIAN,diagnostico de egreso,otros en menores de 5 anos,2012-01-01,1,2,3
SAN MATIAS,diagnostico de egreso,otros en menores de 5 anos,2012-01-01,9,11,20
SAN PEDRO,diagnostico de egreso,otros en menores de 5 anos,2012-01-01,1,1,2
SAN RAMON BENI,diagnostico de egreso,otros en menores de 5 anos,2012-01-01,1,3,4
SANTA ANA,diagnostico de egreso,otros en menores de 5 anos,2012-01-01,3,2,5
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,otros en menores de 5 anos,2012-01-01,331,258,589
SANTA ROSA DEL SARA,diagnostico de egreso,otros en menores de 5 anos,2012-01-01,2,1,3
SHINAOTA,diagnostico de egreso,otros en menores de 5 anos,2012-01-01,11,9,20
SUCRE,diagnostico de egreso,otros en menores de 5 anos,2012-01-01,161,111,272
TARABUCO,diagnostico de egreso,otros en menores de 5 anos,2012-01-01,3,2,5
TARIJA,diagnostico de egreso,otros en menores de 5 anos,2012-01-01,64,50,114
TIQUIPAYA,diagnostico de egreso,otros en menores de 5 anos,2012-01-01,8,12,20
TOTORA(CBBA),diagnostico de egreso,otros en menores de 5 anos,2012-01-01,1,3,4
TRINIDAD,diagnostico de egreso,otros en menores de 5 anos,2012-01-01,497,535,1032
TUPIZA,diagnostico de egreso,otros en menores de 5 anos,2012-01-01,10,11,21
UYUNI,diagnostico de egreso,otros en menores de 5 anos,2012-01-01,4,0,4
VALLEGRANDE,diagnostico de egreso,otros en menores de 5 anos,2012-01-01,4,9,13
VILLA TUNARI,diagnostico de egreso,otros en menores de 5 anos,2012-01-01,12,7,19
VILLAZON,diagnostico de egreso,otros en menores de 5 anos,2012-01-01,11,11,22
WARNES,diagnostico de egreso,otros en menores de 5 anos,2012-01-01,4,4,8
YACUIBA,diagnostico de egreso,otros en menores de 5 anos,2012-01-01,31,25,56
YAPACANI,diagnostico de egreso,otros en menores de 5 anos,2012-01-01,25,26,51
ASCENCION DE GUARAYOS,diagnostico de egreso,otros en menores de 5 anos,2012-02-01,14,14,28
ATOCHA,diagnostico de egreso,otros en menores de 5 anos,2012-02-01,1,0,1
BAURES,diagnostico de egreso,otros en menores de 5 anos,2012-02-01,4,11,15
BERMEJO,diagnostico de egreso,otros en menores de 5 anos,2012-02-01,170,162,332
CABEZAS,diagnostico de egreso,otros en menores de 5 anos,2012-02-01,1,0,1
CAMARGO,diagnostico de egreso,otros en menores de 5 anos,2012-02-01,5,4,9
CAMIRI,diagnostico de egreso,otros en menores de 5 anos,2012-02-01,29,21,50
CAPINOTA,diagnostico de egreso,otros en menores de 5 anos,2012-02-01,1,0,1
CARMEN RIVERO TORREZ,diagnostico de egreso,otros en menores de 5 anos,2012-02-01,11,11,22
CHALLAPATA,diagnostico de egreso,otros en menores de 5 anos,2012-02-01,5,1,6
CHARAGUA,diagnostico de egreso,otros en menores de 5 anos,2012-02-01,6,2,8
CHULUMANI (V. DE LA LIBERTAD),diagnostico de egreso,otros en menores de 5 anos,2012-02-01,1,3,4
COBIJA,diagnostico de egreso,otros en menores de 5 anos,2012-02-01,60,37,97
COCHABAMBA,diagnostico de egreso,otros en menores de 5 anos,2012-02-01,329,320,649
COLCAPIRHUA,diagnostico de egreso,otros en menores de 5 anos,2012-02-01,11,12,23
COMARAPA,diagnostico de egreso,otros en menores de 5 anos,2012-02-01,0,1,1
CONCEPCION,diagnostico de egreso,otros en menores de 5 anos,2012-02-01,0,1,1
COROICO,diagnostico de egreso,otros en menores de 5 anos,2012-02-01,3,2,5
COTAGAITA,diagnostico de egreso,otros en menores de 5 anos,2012-02-01,2,1,3
COTOCA,diagnostico de egreso,otros en menores de 5 anos,2012-02-01,6,7,13
CULPINA,diagnostico de egreso,otros en menores de 5 anos,2012-02-01,0,1,1
EL ALTO,diagnostico de egreso,otros en menores de 5 anos,2012-02-01,434,364,798
EL PUENTE(TJA),diagnostico de egreso,otros en menores de 5 anos,2012-02-01,0,2,2
EL TORNO,diagnostico de egreso,otros en menores de 5 anos,2012-02-01,2,2,4
ENTRE RIOS TRJ,diagnostico de egreso,otros en menores de 5 anos,2012-02-01,2,4,6
GUAYARAMERIN,diagnostico de egreso,otros en menores de 5 anos,2012-02-01,22,17,39
GUTIERREZ,diagnostico de egreso,otros en menores de 5 anos,2012-02-01,1,0,1
HUANUNI,diagnostico de egreso,otros en menores de 5 anos,2012-02-01,3,1,4
LA ASUNTA,diagnostico de egreso,otros en menores de 5 anos,2012-02-01,0,1,1
LA PAZ,diagnostico de egreso,otros en menores de 5 anos,2012-02-01,260,330,590
LLALLAGUA,diagnostico de egreso,otros en menores de 5 anos,2012-02-01,5,1,6
MAGDALENA,diagnostico de egreso,otros en menores de 5 anos,2012-02-01,1,1,2
MAIRANA,diagnostico de egreso,otros en menores de 5 anos,2012-02-01,0,1,1
MONTEAGUDO,diagnostico de egreso,otros en menores de 5 anos,2012-02-01,9,9,18
MONTERO,diagnostico de egreso,otros en menores de 5 anos,2012-02-01,55,42,97
ORURO,diagnostico de egreso,otros en menores de 5 anos,2012-02-01,21,29,50
PADILLA,diagnostico de egreso,otros en menores de 5 anos,2012-02-01,2,6,8
PAILON,diagnostico de egreso,otros en menores de 5 anos,2012-02-01,2,1,3
PALOS BLANCOS,diagnostico de egreso,otros en menores de 5 anos,2012-02-01,0,1,1
PORTACHUELO,diagnostico de egreso,otros en menores de 5 anos,2012-02-01,35,56,91
POTOSI,diagnostico de egreso,otros en menores de 5 anos,2012-02-01,16,17,33
PUERTO SUAREZ,diagnostico de egreso,otros en menores de 5 anos,2012-02-01,0,1,1
PUERTO VILLARROEL,diagnostico de egreso,otros en menores de 5 anos,2012-02-01,13,4,17
PUNA,diagnostico de egreso,otros en menores de 5 anos,2012-02-01,1,0,1
PUNATA,diagnostico de egreso,otros en menores de 5 anos,2012-02-01,10,11,21
QUILLACOLLO,diagnostico de egreso,otros en menores de 5 anos,2012-02-01,6,1,7
REYES,diagnostico de egreso,otros en menores de 5 anos,2012-02-01,0,2,2
RIBERALTA,diagnostico de egreso,otros en menores de 5 anos,2012-02-01,17,13,30
ROBORE,diagnostico de egreso,otros en menores de 5 anos,2012-02-01,1,3,4
RURRENABAQUE,diagnostico de egreso,otros en menores de 5 anos,2012-02-01,9,6,15
SACABA,diagnostico de egreso,otros en menores de 5 anos,2012-02-01,4,7,11
SAN BORJA,diagnostico de egreso,otros en menores de 5 anos,2012-02-01,1,2,3
SAN CARLOS,diagnostico de egreso,otros en menores de 5 anos,2012-02-01,4,7,11
SAN IGNACIO DE VELASCO,diagnostico de egreso,otros en menores de 5 anos,2012-02-01,55,32,87
SAN JOSE DE CHIQUITOS,diagnostico de egreso,otros en menores de 5 anos,2012-02-01,2,1,3
SAN JULIAN,diagnostico de egreso,otros en menores de 5 anos,2012-02-01,5,5,10
SAN LUCAS,diagnostico de egreso,otros en menores de 5 anos,2012-02-01,1,1,2
SAN MATIAS,diagnostico de egreso,otros en menores de 5 anos,2012-02-01,1,0,1
SAN RAFAEL,diagnostico de egreso,otros en menores de 5 anos,2012-02-01,1,2,3
SAN RAMON BENI,diagnostico de egreso,otros en menores de 5 anos,2012-02-01,3,1,4
SAN RAMON SCZ,diagnostico de egreso,otros en menores de 5 anos,2012-02-01,1,1,2
SANTA ANA,diagnostico de egreso,otros en menores de 5 anos,2012-02-01,1,1,2
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,otros en menores de 5 anos,2012-02-01,350,324,674
SHINAOTA,diagnostico de egreso,otros en menores de 5 anos,2012-02-01,7,3,10
SOPACHUY,diagnostico de egreso,otros en menores de 5 anos,2012-02-01,1,0,1
SUCRE,diagnostico de egreso,otros en menores de 5 anos,2012-02-01,89,76,165
TARABUCO,diagnostico de egreso,otros en menores de 5 anos,2012-02-01,1,1,2
TARIJA,diagnostico de egreso,otros en menores de 5 anos,2012-02-01,62,36,98
TIQUIPAYA,diagnostico de egreso,otros en menores de 5 anos,2012-02-01,12,14,26
TOTORA(CBBA),diagnostico de egreso,otros en menores de 5 anos,2012-02-01,2,1,3
TRINIDAD,diagnostico de egreso,otros en menores de 5 anos,2012-02-01,590,546,1136
UYUNI,diagnostico de egreso,otros en menores de 5 anos,2012-02-01,1,1,2
VALLEGRANDE,diagnostico de egreso,otros en menores de 5 anos,2012-02-01,3,6,9
VILLA MONTES,diagnostico de egreso,otros en menores de 5 anos,2012-02-01,12,6,18
VILLA TUNARI,diagnostico de egreso,otros en menores de 5 anos,2012-02-01,6,7,13
VILLAZON,diagnostico de egreso,otros en menores de 5 anos,2012-02-01,6,7,13
VINTO,diagnostico de egreso,otros en menores de 5 anos,2012-02-01,3,0,3
WARNES,diagnostico de egreso,otros en menores de 5 anos,2012-02-01,6,9,15
YACUIBA,diagnostico de egreso,otros en menores de 5 anos,2012-02-01,32,33,65
YAMPARAEZ,diagnostico de egreso,otros en menores de 5 anos,2012-02-01,19,11,30
YAPACANI,diagnostico de egreso,otros en menores de 5 anos,2012-02-01,11,19,30
AIQUILE,diagnostico de egreso,otros en menores de 5 anos,2012-03-01,0,1,1
ASCENCION DE GUARAYOS,diagnostico de egreso,otros en menores de 5 anos,2012-03-01,14,16,30
ATOCHA,diagnostico de egreso,otros en menores de 5 anos,2012-03-01,2,2,4
BERMEJO,diagnostico de egreso,otros en menores de 5 anos,2012-03-01,236,205,441
CABEZAS,diagnostico de egreso,otros en menores de 5 anos,2012-03-01,1,1,2
CAMIRI,diagnostico de egreso,otros en menores de 5 anos,2012-03-01,28,24,52
CARANAVI,diagnostico de egreso,otros en menores de 5 anos,2012-03-01,10,5,15
CARMEN RIVERO TORREZ,diagnostico de egreso,otros en menores de 5 anos,2012-03-01,10,9,19
CHALLAPATA,diagnostico de egreso,otros en menores de 5 anos,2012-03-01,1,3,4
CHARAGUA,diagnostico de egreso,otros en menores de 5 anos,2012-03-01,7,4,11
CHULUMANI (V. DE LA LIBERTAD),diagnostico de egreso,otros en menores de 5 anos,2012-03-01,5,0,5
CLIZA,diagnostico de egreso,otros en menores de 5 anos,2012-03-01,3,0,3
COBIJA,diagnostico de egreso,otros en menores de 5 anos,2012-03-01,89,75,164
COCHABAMBA,diagnostico de egreso,otros en menores de 5 anos,2012-03-01,221,212,433
COLCAPIRHUA,diagnostico de egreso,otros en menores de 5 anos,2012-03-01,7,9,16
COROICO,diagnostico de egreso,otros en menores de 5 anos,2012-03-01,1,2,3
COTOCA,diagnostico de egreso,otros en menores de 5 anos,2012-03-01,6,4,10
EL ALTO,diagnostico de egreso,otros en menores de 5 anos,2012-03-01,451,478,929
EL PUENTE(TJA),diagnostico de egreso,otros en menores de 5 anos,2012-03-01,3,2,5
EL TORNO,diagnostico de egreso,otros en menores de 5 anos,2012-03-01,8,6,14
ENTRE RIOS TRJ,diagnostico de egreso,otros en menores de 5 anos,2012-03-01,1,1,2
GUAYARAMERIN,diagnostico de egreso,otros en menores de 5 anos,2012-03-01,31,27,58
GUTIERREZ,diagnostico de egreso,otros en menores de 5 anos,2012-03-01,1,1,2
HUANUNI,diagnostico de egreso,otros en menores de 5 anos,2012-03-01,0,2,2
LA ASUNTA,diagnostico de egreso,otros en menores de 5 anos,2012-03-01,0,1,1
LA PAZ,diagnostico de egreso,otros en menores de 5 anos,2012-03-01,443,422,865
LLALLAGUA,diagnostico de egreso,otros en menores de 5 anos,2012-03-01,5,4,9
MAGDALENA,diagnostico de egreso,otros en menores de 5 anos,2012-03-01,0,3,3
MAIRANA,diagnostico de egreso,otros en menores de 5 anos,2012-03-01,1,1,2
MONTEAGUDO,diagnostico de egreso,otros en menores de 5 anos,2012-03-01,18,8,26
MONTERO,diagnostico de egreso,otros en menores de 5 anos,2012-03-01,67,56,123
ORURO,diagnostico de egreso,otros en menores de 5 anos,2012-03-01,16,11,27
PADILLA,diagnostico de egreso,otros en menores de 5 anos,2012-03-01,5,5,10
PAILON,diagnostico de egreso,otros en menores de 5 anos,2012-03-01,5,5,10
PORTACHUELO,diagnostico de egreso,otros en menores de 5 anos,2012-03-01,24,26,50
POTOSI,diagnostico de egreso,otros en menores de 5 anos,2012-03-01,57,47,104
PUERTO SUAREZ,diagnostico de egreso,otros en menores de 5 anos,2012-03-01,2,2,4
PUERTO VILLARROEL,diagnostico de egreso,otros en menores de 5 anos,2012-03-01,3,2,5
PUNATA,diagnostico de egreso,otros en menores de 5 anos,2012-03-01,14,6,20
QUILLACOLLO,diagnostico de egreso,otros en menores de 5 anos,2012-03-01,4,11,15
RIBERALTA,diagnostico de egreso,otros en menores de 5 anos,2012-03-01,32,30,62
ROBORE,diagnostico de egreso,otros en menores de 5 anos,2012-03-01,3,1,4
RURRENABAQUE,diagnostico de egreso,otros en menores de 5 anos,2012-03-01,4,9,13
SACABA,diagnostico de egreso,otros en menores de 5 anos,2012-03-01,17,18,35
SAN BORJA,diagnostico de egreso,otros en menores de 5 anos,2012-03-01,1,2,3
SAN CARLOS,diagnostico de egreso,otros en menores de 5 anos,2012-03-01,3,3,6
SAN IGNACIO,diagnostico de egreso,otros en menores de 5 anos,2012-03-01,8,11,19
SAN IGNACIO DE VELASCO,diagnostico de egreso,otros en menores de 5 anos,2012-03-01,62,46,108
SAN JULIAN,diagnostico de egreso,otros en menores de 5 anos,2012-03-01,7,8,15
SAN MIGUEL DE VELASCO,diagnostico de egreso,otros en menores de 5 anos,2012-03-01,2,1,3
SAN RAFAEL,diagnostico de egreso,otros en menores de 5 anos,2012-03-01,2,0,2
SAN RAMON BENI,diagnostico de egreso,otros en menores de 5 anos,2012-03-01,0,3,3
SANTA ANA,diagnostico de egreso,otros en menores de 5 anos,2012-03-01,3,5,8
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,otros en menores de 5 anos,2012-03-01,550,425,975
SHINAOTA,diagnostico de egreso,otros en menores de 5 anos,2012-03-01,12,5,17
SOPACHUY,diagnostico de egreso,otros en menores de 5 anos,2012-03-01,1,1,2
SUCRE,diagnostico de egreso,otros en menores de 5 anos,2012-03-01,110,102,212
TARABUCO,diagnostico de egreso,otros en menores de 5 anos,2012-03-01,2,2,4
TARIJA,diagnostico de egreso,otros en menores de 5 anos,2012-03-01,62,56,118
TARVITA,diagnostico de egreso,otros en menores de 5 anos,2012-03-01,0,1,1
TIQUIPAYA,diagnostico de egreso,otros en menores de 5 anos,2012-03-01,13,18,31
TOTORA(CBBA),diagnostico de egreso,otros en menores de 5 anos,2012-03-01,1,0,1
TRINIDAD,diagnostico de egreso,otros en menores de 5 anos,2012-03-01,378,381,759
TUPIZA,diagnostico de egreso,otros en menores de 5 anos,2012-03-01,10,11,21
UYUNI,diagnostico de egreso,otros en menores de 5 anos,2012-03-01,2,0,2
VALLEGRANDE,diagnostico de egreso,otros en menores de 5 anos,2012-03-01,8,3,11
VILLA MONTES,diagnostico de egreso,otros en menores de 5 anos,2012-03-01,12,14,26
VILLA TUNARI,diagnostico de egreso,otros en menores de 5 anos,2012-03-01,11,9,20
VILLAZON,diagnostico de egreso,otros en menores de 5 anos,2012-03-01,17,7,24
VINTO,diagnostico de egreso,otros en menores de 5 anos,2012-03-01,5,5,10
WARNES,diagnostico de egreso,otros en menores de 5 anos,2012-03-01,10,7,17
YACUIBA,diagnostico de egreso,otros en menores de 5 anos,2012-03-01,51,43,94
YAMPARAEZ,diagnostico de egreso,otros en menores de 5 anos,2012-03-01,0,1,1
YAPACANI,diagnostico de egreso,otros en menores de 5 anos,2012-03-01,3,4,7
ZUDAÑEZ,diagnostico de egreso,otros en menores de 5 anos,2012-03-01,1,0,1
AIQUILE,diagnostico de egreso,otros en menores de 5 anos,2012-04-01,3,0,3
ASCENCION DE GUARAYOS,diagnostico de egreso,otros en menores de 5 anos,2012-04-01,11,7,18
ATOCHA,diagnostico de egreso,otros en menores de 5 anos,2012-04-01,13,12,25
BERMEJO,diagnostico de egreso,otros en menores de 5 anos,2012-04-01,197,152,349
BUENA VISTA,diagnostico de egreso,otros en menores de 5 anos,2012-04-01,1,0,1
CAMIRI,diagnostico de egreso,otros en menores de 5 anos,2012-04-01,24,21,45
CARANAVI,diagnostico de egreso,otros en menores de 5 anos,2012-04-01,12,4,16
CARMEN RIVERO TORREZ,diagnostico de egreso,otros en menores de 5 anos,2012-04-01,6,7,13
CHALLAPATA,diagnostico de egreso,otros en menores de 5 anos,2012-04-01,6,1,7
CHARAGUA,diagnostico de egreso,otros en menores de 5 anos,2012-04-01,6,1,7
CHULUMANI (V. DE LA LIBERTAD),diagnostico de egreso,otros en menores de 5 anos,2012-04-01,3,1,4
CLIZA,diagnostico de egreso,otros en menores de 5 anos,2012-04-01,3,1,4
COBIJA,diagnostico de egreso,otros en menores de 5 anos,2012-04-01,59,57,116
COCHABAMBA,diagnostico de egreso,otros en menores de 5 anos,2012-04-01,311,333,644
COLCAPIRHUA,diagnostico de egreso,otros en menores de 5 anos,2012-04-01,4,12,16
COMARAPA,diagnostico de egreso,otros en menores de 5 anos,2012-04-01,1,0,1
CONCEPCION,diagnostico de egreso,otros en menores de 5 anos,2012-04-01,3,1,4
COROICO,diagnostico de egreso,otros en menores de 5 anos,2012-04-01,2,0,2
CULPINA,diagnostico de egreso,otros en menores de 5 anos,2012-04-01,0,2,2
EL ALTO,diagnostico de egreso,otros en menores de 5 anos,2012-04-01,798,782,1580
EL TORNO,diagnostico de egreso,otros en menores de 5 anos,2012-04-01,3,3,6
ENTRE RIOS TRJ,diagnostico de egreso,otros en menores de 5 anos,2012-04-01,1,0,1
GUAYARAMERIN,diagnostico de egreso,otros en menores de 5 anos,2012-04-01,33,25,58
GUTIERREZ,diagnostico de egreso,otros en menores de 5 anos,2012-04-01,2,0,2
HUANUNI,diagnostico de egreso,otros en menores de 5 anos,2012-04-01,2,4,6
IRUPANA (VILLA DE LANZA),diagnostico de egreso,otros en menores de 5 anos,2012-04-01,0,1,1
LA PAZ,diagnostico de egreso,otros en menores de 5 anos,2012-04-01,428,405,833
LLALLAGUA,diagnostico de egreso,otros en menores de 5 anos,2012-04-01,4,4,8
MAIRANA,diagnostico de egreso,otros en menores de 5 anos,2012-04-01,0,1,1
MONTEAGUDO,diagnostico de egreso,otros en menores de 5 anos,2012-04-01,5,6,11
MONTERO,diagnostico de egreso,otros en menores de 5 anos,2012-04-01,52,62,114
ORURO,diagnostico de egreso,otros en menores de 5 anos,2012-04-01,15,8,23
PADILLA,diagnostico de egreso,otros en menores de 5 anos,2012-04-01,6,3,9
PAILON,diagnostico de egreso,otros en menores de 5 anos,2012-04-01,5,2,7
PORTACHUELO,diagnostico de egreso,otros en menores de 5 anos,2012-04-01,36,35,71
POTOSI,diagnostico de egreso,otros en menores de 5 anos,2012-04-01,50,40,90
PUERTO SUAREZ,diagnostico de egreso,otros en menores de 5 anos,2012-04-01,2,1,3
PUERTO VILLARROEL,diagnostico de egreso,otros en menores de 5 anos,2012-04-01,2,3,5
PUNATA,diagnostico de egreso,otros en menores de 5 anos,2012-04-01,11,11,22
QUILLACOLLO,diagnostico de egreso,otros en menores de 5 anos,2012-04-01,5,15,20
RIBERALTA,diagnostico de egreso,otros en menores de 5 anos,2012-04-01,28,30,58
ROBORE,diagnostico de egreso,otros en menores de 5 anos,2012-04-01,4,2,6
RURRENABAQUE,diagnostico de egreso,otros en menores de 5 anos,2012-04-01,3,8,11
SACABA,diagnostico de egreso,otros en menores de 5 anos,2012-04-01,2,3,5
SAN BORJA,diagnostico de egreso,otros en menores de 5 anos,2012-04-01,0,1,1
SAN CARLOS,diagnostico de egreso,otros en menores de 5 anos,2012-04-01,7,6,13
SAN IGNACIO,diagnostico de egreso,otros en menores de 5 anos,2012-04-01,2,0,2
SAN IGNACIO DE VELASCO,diagnostico de egreso,otros en menores de 5 anos,2012-04-01,57,41,98
SAN JOAQUIN,diagnostico de egreso,otros en menores de 5 anos,2012-04-01,1,0,1
SAN JOSE DE CHIQUITOS,diagnostico de egreso,otros en menores de 5 anos,2012-04-01,0,1,1
SAN LUCAS,diagnostico de egreso,otros en menores de 5 anos,2012-04-01,0,4,4
SAN MIGUEL DE VELASCO,diagnostico de egreso,otros en menores de 5 anos,2012-04-01,0,1,1
SAN RAFAEL,diagnostico de egreso,otros en menores de 5 anos,2012-04-01,0,1,1
SANTA ANA,diagnostico de egreso,otros en menores de 5 anos,2012-04-01,0,2,2
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,otros en menores de 5 anos,2012-04-01,320,277,597
SHINAOTA,diagnostico de egreso,otros en menores de 5 anos,2012-04-01,7,7,14
SUCRE,diagnostico de egreso,otros en menores de 5 anos,2012-04-01,105,90,195
TARABUCO,diagnostico de egreso,otros en menores de 5 anos,2012-04-01,6,3,9
TARIJA,diagnostico de egreso,otros en menores de 5 anos,2012-04-01,57,55,112
TIQUIPAYA,diagnostico de egreso,otros en menores de 5 anos,2012-04-01,24,14,38
TOTORA(CBBA),diagnostico de egreso,otros en menores de 5 anos,2012-04-01,1,1,2
TRINIDAD,diagnostico de egreso,otros en menores de 5 anos,2012-04-01,55,41,96
TUPIZA,diagnostico de egreso,otros en menores de 5 anos,2012-04-01,17,10,27
UYUNI,diagnostico de egreso,otros en menores de 5 anos,2012-04-01,1,2,3
VALLEGRANDE,diagnostico de egreso,otros en menores de 5 anos,2012-04-01,6,6,12
VILLA MONTES,diagnostico de egreso,otros en menores de 5 anos,2012-04-01,12,10,22
VILLA TUNARI,diagnostico de egreso,otros en menores de 5 anos,2012-04-01,25,23,48
VILLAZON,diagnostico de egreso,otros en menores de 5 anos,2012-04-01,9,9,18
VINTO,diagnostico de egreso,otros en menores de 5 anos,2012-04-01,13,11,24
WARNES,diagnostico de egreso,otros en menores de 5 anos,2012-04-01,5,1,6
YACUIBA,diagnostico de egreso,otros en menores de 5 anos,2012-04-01,27,25,52
YAPACANI,diagnostico de egreso,otros en menores de 5 anos,2012-04-01,1,1,2
AIQUILE,diagnostico de egreso,otros en menores de 5 anos,2012-05-01,3,3,6
APOLO,diagnostico de egreso,otros en menores de 5 anos,2012-05-01,1,1,2
ASCENCION DE GUARAYOS,diagnostico de egreso,otros en menores de 5 anos,2012-05-01,11,12,23
ATOCHA,diagnostico de egreso,otros en menores de 5 anos,2012-05-01,4,6,10
BERMEJO,diagnostico de egreso,otros en menores de 5 anos,2012-05-01,314,254,568
BOYUIBE,diagnostico de egreso,otros en menores de 5 anos,2012-05-01,2,0,2
CABEZAS,diagnostico de egreso,otros en menores de 5 anos,2012-05-01,1,2,3
CAMARGO,diagnostico de egreso,otros en menores de 5 anos,2012-05-01,15,11,26
CAMIRI,diagnostico de egreso,otros en menores de 5 anos,2012-05-01,33,25,58
CAPINOTA,diagnostico de egreso,otros en menores de 5 anos,2012-05-01,1,1,2
CARANAVI,diagnostico de egreso,otros en menores de 5 anos,2012-05-01,8,15,23
CARMEN RIVERO TORREZ,diagnostico de egreso,otros en menores de 5 anos,2012-05-01,10,8,18
CHALLAPATA,diagnostico de egreso,otros en menores de 5 anos,2012-05-01,10,8,18
CHARAGUA,diagnostico de egreso,otros en menores de 5 anos,2012-05-01,4,6,10
