,group,variable,month,DIARREAS EN MENORES DE 5 AÑOS CANTIDAD,DIARREAS EN MENORES DE 5 AÑOS CANTIDAD,TOTALES
SACABA,diagnostico de egreso,diarreas en menores de 5 anos,2012-01-01,2,5,7
SAMAIPATA,diagnostico de egreso,diarreas en menores de 5 anos,2012-01-01,0,1,1
SAN ANTONIO DE LOMERIO,diagnostico de egreso,diarreas en menores de 5 anos,2012-01-01,0,1,1
SAN CARLOS,diagnostico de egreso,diarreas en menores de 5 anos,2012-01-01,7,4,11
SAN IGNACIO DE VELASCO,diagnostico de egreso,diarreas en menores de 5 anos,2012-01-01,7,6,13
SAN JOAQUIN,diagnostico de egreso,diarreas en menores de 5 anos,2012-01-01,1,1,2
SAN JOSE DE CHIQUITOS,diagnostico de egreso,diarreas en menores de 5 anos,2012-01-01,1,1,2
SAN JULIAN,diagnostico de egreso,diarreas en menores de 5 anos,2012-01-01,20,21,41
SAN MATIAS,diagnostico de egreso,diarreas en menores de 5 anos,2012-01-01,2,0,2
SAN MIGUEL DE VELASCO,diagnostico de egreso,diarreas en menores de 5 anos,2012-01-01,0,3,3
SAN PEDRO,diagnostico de egreso,diarreas en menores de 5 anos,2012-01-01,5,6,11
SAN RAMON BENI,diagnostico de egreso,diarreas en menores de 5 anos,2012-01-01,0,1,1
SANTA ANA,diagnostico de egreso,diarreas en menores de 5 anos,2012-01-01,4,6,10
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,diarreas en menores de 5 anos,2012-01-01,176,140,316
SANTA ROSA DEL SARA,diagnostico de egreso,diarreas en menores de 5 anos,2012-01-01,1,0,1
SHINAOTA,diagnostico de egreso,diarreas en menores de 5 anos,2012-01-01,7,11,18
SOPACHUY,diagnostico de egreso,diarreas en menores de 5 anos,2012-01-01,0,1,1
SUCRE,diagnostico de egreso,diarreas en menores de 5 anos,2012-01-01,33,27,60
TARABUCO,diagnostico de egreso,diarreas en menores de 5 anos,2012-01-01,13,16,29
TARIJA,diagnostico de egreso,diarreas en menores de 5 anos,2012-01-01,10,7,17
TIQUIPAYA,diagnostico de egreso,diarreas en menores de 5 anos,2012-01-01,1,0,1
TOTORA(CBBA),diagnostico de egreso,diarreas en menores de 5 anos,2012-01-01,0,3,3
TRINIDAD,diagnostico de egreso,diarreas en menores de 5 anos,2012-01-01,134,136,270
TUPIZA,diagnostico de egreso,diarreas en menores de 5 anos,2012-01-01,7,8,15
UYUNI,diagnostico de egreso,diarreas en menores de 5 anos,2012-01-01,1,0,1
VALLEGRANDE,diagnostico de egreso,diarreas en menores de 5 anos,2012-01-01,4,2,6
VIACHA,diagnostico de egreso,diarreas en menores de 5 anos,2012-01-01,1,4,5
VILLA MONTES,diagnostico de egreso,diarreas en menores de 5 anos,2012-01-01,10,7,17
VILLA TUNARI,diagnostico de egreso,diarreas en menores de 5 anos,2012-01-01,8,11,19
VILLAZON,diagnostico de egreso,diarreas en menores de 5 anos,2012-01-01,1,0,1
VINTO,diagnostico de egreso,diarreas en menores de 5 anos,2012-01-01,4,1,5
WARNES,diagnostico de egreso,diarreas en menores de 5 anos,2012-01-01,4,6,10
YACUIBA,diagnostico de egreso,diarreas en menores de 5 anos,2012-01-01,22,9,31
YAMPARAEZ,diagnostico de egreso,diarreas en menores de 5 anos,2012-01-01,1,0,1
YAPACANI,diagnostico de egreso,diarreas en menores de 5 anos,2012-01-01,12,7,19
ACHACACHI,diagnostico de egreso,diarreas en menores de 5 anos,2012-02-01,7,3,10
ASCENCION DE GUARAYOS,diagnostico de egreso,diarreas en menores de 5 anos,2012-02-01,1,0,1
AZURDUY,diagnostico de egreso,diarreas en menores de 5 anos,2012-02-01,4,3,7
BAURES,diagnostico de egreso,diarreas en menores de 5 anos,2012-02-01,1,7,8
BERMEJO,diagnostico de egreso,diarreas en menores de 5 anos,2012-02-01,31,15,46
CABEZAS,diagnostico de egreso,diarreas en menores de 5 anos,2012-02-01,2,1,3
CAMARGO,diagnostico de egreso,diarreas en menores de 5 anos,2012-02-01,3,4,7
CAMIRI,diagnostico de egreso,diarreas en menores de 5 anos,2012-02-01,9,6,15
CAPINOTA,diagnostico de egreso,diarreas en menores de 5 anos,2012-02-01,1,1,2
CARANAVI,diagnostico de egreso,diarreas en menores de 5 anos,2012-02-01,4,2,6
CARAPARI,diagnostico de egreso,diarreas en menores de 5 anos,2012-02-01,2,3,5
CARMEN RIVERO TORREZ,diagnostico de egreso,diarreas en menores de 5 anos,2012-02-01,2,1,3
CHALLAPATA,diagnostico de egreso,diarreas en menores de 5 anos,2012-02-01,1,2,3
CHARAGUA,diagnostico de egreso,diarreas en menores de 5 anos,2012-02-01,1,2,3
COBIJA,diagnostico de egreso,diarreas en menores de 5 anos,2012-02-01,13,18,31
COCHABAMBA,diagnostico de egreso,diarreas en menores de 5 anos,2012-02-01,79,69,148
COLCAPIRHUA,diagnostico de egreso,diarreas en menores de 5 anos,2012-02-01,4,3,7
COMARAPA,diagnostico de egreso,diarreas en menores de 5 anos,2012-02-01,2,2,4
CONCEPCION,diagnostico de egreso,diarreas en menores de 5 anos,2012-02-01,0,3,3
COTOCA,diagnostico de egreso,diarreas en menores de 5 anos,2012-02-01,6,3,9
CULPINA,diagnostico de egreso,diarreas en menores de 5 anos,2012-02-01,2,1,3
EL ALTO,diagnostico de egreso,diarreas en menores de 5 anos,2012-02-01,83,70,153
EL PUENTE(TJA),diagnostico de egreso,diarreas en menores de 5 anos,2012-02-01,1,0,1
EL TORNO,diagnostico de egreso,diarreas en menores de 5 anos,2012-02-01,1,0,1
GUAYARAMERIN,diagnostico de egreso,diarreas en menores de 5 anos,2012-02-01,8,5,13
GUTIERREZ,diagnostico de egreso,diarreas en menores de 5 anos,2012-02-01,1,0,1
HUACAYA (VILLA DE HUACAYA),diagnostico de egreso,diarreas en menores de 5 anos,2012-02-01,1,0,1
HUANUNI,diagnostico de egreso,diarreas en menores de 5 anos,2012-02-01,1,1,2
LA ASUNTA,diagnostico de egreso,diarreas en menores de 5 anos,2012-02-01,3,1,4
LA PAZ,diagnostico de egreso,diarreas en menores de 5 anos,2012-02-01,23,19,42
LAGUNILLAS,diagnostico de egreso,diarreas en menores de 5 anos,2012-02-01,2,0,2
LLALLAGUA,diagnostico de egreso,diarreas en menores de 5 anos,2012-02-01,2,1,3
MAGDALENA,diagnostico de egreso,diarreas en menores de 5 anos,2012-02-01,1,3,4
MONTEAGUDO,diagnostico de egreso,diarreas en menores de 5 anos,2012-02-01,4,3,7
MONTERO,diagnostico de egreso,diarreas en menores de 5 anos,2012-02-01,21,17,38
ORURO,diagnostico de egreso,diarreas en menores de 5 anos,2012-02-01,29,28,57
PAILON,diagnostico de egreso,diarreas en menores de 5 anos,2012-02-01,4,2,6
PATACAMAYA,diagnostico de egreso,diarreas en menores de 5 anos,2012-02-01,1,0,1
PORTACHUELO,diagnostico de egreso,diarreas en menores de 5 anos,2012-02-01,12,12,24
POTOSI,diagnostico de egreso,diarreas en menores de 5 anos,2012-02-01,3,4,7
PUERTO SILES,diagnostico de egreso,diarreas en menores de 5 anos,2012-02-01,0,1,1
PUERTO SUAREZ,diagnostico de egreso,diarreas en menores de 5 anos,2012-02-01,1,1,2
PUERTO VILLARROEL,diagnostico de egreso,diarreas en menores de 5 anos,2012-02-01,8,4,12
PUNA,diagnostico de egreso,diarreas en menores de 5 anos,2012-02-01,0,1,1
PUNATA,diagnostico de egreso,diarreas en menores de 5 anos,2012-02-01,40,1,41
QUILLACOLLO,diagnostico de egreso,diarreas en menores de 5 anos,2012-02-01,2,0,2
RIBERALTA,diagnostico de egreso,diarreas en menores de 5 anos,2012-02-01,3,3,6
ROBORE,diagnostico de egreso,diarreas en menores de 5 anos,2012-02-01,2,1,3
RURRENABAQUE,diagnostico de egreso,diarreas en menores de 5 anos,2012-02-01,4,2,6
SACABA,diagnostico de egreso,diarreas en menores de 5 anos,2012-02-01,4,5,9
SAN CARLOS,diagnostico de egreso,diarreas en menores de 5 anos,2012-02-01,5,5,10
SAN IGNACIO DE VELASCO,diagnostico de egreso,diarreas en menores de 5 anos,2012-02-01,11,2,13
SAN JOSE DE CHIQUITOS,diagnostico de egreso,diarreas en menores de 5 anos,2012-02-01,2,1,3
SAN JULIAN,diagnostico de egreso,diarreas en menores de 5 anos,2012-02-01,13,19,32
SAN MATIAS,diagnostico de egreso,diarreas en menores de 5 anos,2012-02-01,3,8,11
SAN MIGUEL DE VELASCO,diagnostico de egreso,diarreas en menores de 5 anos,2012-02-01,1,2,3
SAN PEDRO,diagnostico de egreso,diarreas en menores de 5 anos,2012-02-01,64,49,113
SAN RAMON BENI,diagnostico de egreso,diarreas en menores de 5 anos,2012-02-01,0,1,1
SANTA ANA,diagnostico de egreso,diarreas en menores de 5 anos,2012-02-01,2,3,5
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,diarreas en menores de 5 anos,2012-02-01,163,150,313
SANTA ROSA,diagnostico de egreso,diarreas en menores de 5 anos,2012-02-01,0,1,1
SANTA ROSA DEL SARA,diagnostico de egreso,diarreas en menores de 5 anos,2012-02-01,1,0,1
SHINAOTA,diagnostico de egreso,diarreas en menores de 5 anos,2012-02-01,4,4,8
SOPACHUY,diagnostico de egreso,diarreas en menores de 5 anos,2012-02-01,0,1,1
SUCRE,diagnostico de egreso,diarreas en menores de 5 anos,2012-02-01,7,8,15
TARIJA,diagnostico de egreso,diarreas en menores de 5 anos,2012-02-01,8,5,13
TIPUANI,diagnostico de egreso,diarreas en menores de 5 anos,2012-02-01,0,1,1
TIQUIPAYA,diagnostico de egreso,diarreas en menores de 5 anos,2012-02-01,0,1,1
TRINIDAD,diagnostico de egreso,diarreas en menores de 5 anos,2012-02-01,45,40,85
VALLEGRANDE,diagnostico de egreso,diarreas en menores de 5 anos,2012-02-01,3,1,4
VIACHA,diagnostico de egreso,diarreas en menores de 5 anos,2012-02-01,3,5,8
VILLA MONTES,diagnostico de egreso,diarreas en menores de 5 anos,2012-02-01,7,4,11
VILLA TUNARI,diagnostico de egreso,diarreas en menores de 5 anos,2012-02-01,9,11,20
VILLAZON,diagnostico de egreso,diarreas en menores de 5 anos,2012-02-01,4,3,7
VINTO,diagnostico de egreso,diarreas en menores de 5 anos,2012-02-01,2,4,6
WARNES,diagnostico de egreso,diarreas en menores de 5 anos,2012-02-01,1,3,4
YACUIBA,diagnostico de egreso,diarreas en menores de 5 anos,2012-02-01,16,15,31
YAMPARAEZ,diagnostico de egreso,diarreas en menores de 5 anos,2012-02-01,4,0,4
YAPACANI,diagnostico de egreso,diarreas en menores de 5 anos,2012-02-01,4,7,11
APOLO,diagnostico de egreso,diarreas en menores de 5 anos,2012-03-01,0,1,1
ASCENCION DE GUARAYOS,diagnostico de egreso,diarreas en menores de 5 anos,2012-03-01,2,3,5
ATOCHA,diagnostico de egreso,diarreas en menores de 5 anos,2012-03-01,4,5,9
AZURDUY,diagnostico de egreso,diarreas en menores de 5 anos,2012-03-01,2,2,4
BERMEJO,diagnostico de egreso,diarreas en menores de 5 anos,2012-03-01,36,29,65
CABEZAS,diagnostico de egreso,diarreas en menores de 5 anos,2012-03-01,2,0,2
CAMIRI,diagnostico de egreso,diarreas en menores de 5 anos,2012-03-01,8,14,22
CAPINOTA,diagnostico de egreso,diarreas en menores de 5 anos,2012-03-01,0,2,2
CARANAVI,diagnostico de egreso,diarreas en menores de 5 anos,2012-03-01,3,1,4
CARMEN RIVERO TORREZ,diagnostico de egreso,diarreas en menores de 5 anos,2012-03-01,2,1,3
CHALLAPATA,diagnostico de egreso,diarreas en menores de 5 anos,2012-03-01,2,0,2
CHARAGUA,diagnostico de egreso,diarreas en menores de 5 anos,2012-03-01,4,3,7
CHULUMANI (V. DE LA LIBERTAD),diagnostico de egreso,diarreas en menores de 5 anos,2012-03-01,1,0,1
COBIJA,diagnostico de egreso,diarreas en menores de 5 anos,2012-03-01,20,23,43
COCHABAMBA,diagnostico de egreso,diarreas en menores de 5 anos,2012-03-01,82,66,148
COLCAPIRHUA,diagnostico de egreso,diarreas en menores de 5 anos,2012-03-01,0,1,1
COMARAPA,diagnostico de egreso,diarreas en menores de 5 anos,2012-03-01,3,1,4
CONCEPCION,diagnostico de egreso,diarreas en menores de 5 anos,2012-03-01,0,1,1
COROICO,diagnostico de egreso,diarreas en menores de 5 anos,2012-03-01,0,3,3
COTOCA,diagnostico de egreso,diarreas en menores de 5 anos,2012-03-01,4,5,9
EL ALTO,diagnostico de egreso,diarreas en menores de 5 anos,2012-03-01,121,111,232
EL PUENTE(TJA),diagnostico de egreso,diarreas en menores de 5 anos,2012-03-01,1,3,4
EL TORNO,diagnostico de egreso,diarreas en menores de 5 anos,2012-03-01,2,2,4
GUAYARAMERIN,diagnostico de egreso,diarreas en menores de 5 anos,2012-03-01,15,6,21
HUANUNI,diagnostico de egreso,diarreas en menores de 5 anos,2012-03-01,0,2,2
JESUS DE MACHACA,diagnostico de egreso,diarreas en menores de 5 anos,2012-03-01,2,0,2
LA ASUNTA,diagnostico de egreso,diarreas en menores de 5 anos,2012-03-01,4,4,8
LA PAZ,diagnostico de egreso,diarreas en menores de 5 anos,2012-03-01,30,30,60
LAGUNILLAS,diagnostico de egreso,diarreas en menores de 5 anos,2012-03-01,1,0,1
LLALLAGUA,diagnostico de egreso,diarreas en menores de 5 anos,2012-03-01,4,4,8
MAGDALENA,diagnostico de egreso,diarreas en menores de 5 anos,2012-03-01,0,3,3
MECAPACA,diagnostico de egreso,diarreas en menores de 5 anos,2012-03-01,1,2,3
MONTEAGUDO,diagnostico de egreso,diarreas en menores de 5 anos,2012-03-01,4,2,6
MONTERO,diagnostico de egreso,diarreas en menores de 5 anos,2012-03-01,33,22,55
ORURO,diagnostico de egreso,diarreas en menores de 5 anos,2012-03-01,18,17,35
PADILLA,diagnostico de egreso,diarreas en menores de 5 anos,2012-03-01,1,1,2
PAILON,diagnostico de egreso,diarreas en menores de 5 anos,2012-03-01,3,5,8
PALOS BLANCOS,diagnostico de egreso,diarreas en menores de 5 anos,2012-03-01,1,0,1
PATACAMAYA,diagnostico de egreso,diarreas en menores de 5 anos,2012-03-01,1,0,1
PORTACHUELO,diagnostico de egreso,diarreas en menores de 5 anos,2012-03-01,17,9,26
POTOSI,diagnostico de egreso,diarreas en menores de 5 anos,2012-03-01,12,16,28
PUERTO SUAREZ,diagnostico de egreso,diarreas en menores de 5 anos,2012-03-01,4,0,4
PUERTO VILLARROEL,diagnostico de egreso,diarreas en menores de 5 anos,2012-03-01,2,2,4
PUNATA,diagnostico de egreso,diarreas en menores de 5 anos,2012-03-01,3,0,3
QUILLACOLLO,diagnostico de egreso,diarreas en menores de 5 anos,2012-03-01,2,0,2
RIBERALTA,diagnostico de egreso,diarreas en menores de 5 anos,2012-03-01,23,17,40
ROBORE,diagnostico de egreso,diarreas en menores de 5 anos,2012-03-01,2,1,3
RURRENABAQUE,diagnostico de egreso,diarreas en menores de 5 anos,2012-03-01,1,1,2
SACABA,diagnostico de egreso,diarreas en menores de 5 anos,2012-03-01,4,0,4
SAN BORJA,diagnostico de egreso,diarreas en menores de 5 anos,2012-03-01,1,0,1
SAN CARLOS,diagnostico de egreso,diarreas en menores de 5 anos,2012-03-01,3,2,5
SAN IGNACIO,diagnostico de egreso,diarreas en menores de 5 anos,2012-03-01,0,1,1
SAN IGNACIO DE VELASCO,diagnostico de egreso,diarreas en menores de 5 anos,2012-03-01,9,13,22
SAN JULIAN,diagnostico de egreso,diarreas en menores de 5 anos,2012-03-01,23,19,42
SAN LUCAS,diagnostico de egreso,diarreas en menores de 5 anos,2012-03-01,0,1,1
SAN MIGUEL DE VELASCO,diagnostico de egreso,diarreas en menores de 5 anos,2012-03-01,4,1,5
SAN PEDRO,diagnostico de egreso,diarreas en menores de 5 anos,2012-03-01,8,4,12
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,diarreas en menores de 5 anos,2012-03-01,194,168,362
SANTA ROSA DEL SARA,diagnostico de egreso,diarreas en menores de 5 anos,2012-03-01,0,1,1
SHINAOTA,diagnostico de egreso,diarreas en menores de 5 anos,2012-03-01,8,11,19
SUCRE,diagnostico de egreso,diarreas en menores de 5 anos,2012-03-01,14,18,32
TARIJA,diagnostico de egreso,diarreas en menores de 5 anos,2012-03-01,9,7,16
TIPUANI,diagnostico de egreso,diarreas en menores de 5 anos,2012-03-01,1,0,1
TRINIDAD,diagnostico de egreso,diarreas en menores de 5 anos,2012-03-01,41,32,73
TUPIZA,diagnostico de egreso,diarreas en menores de 5 anos,2012-03-01,2,0,2
URIONDO (A. CONCEPCION),diagnostico de egreso,diarreas en menores de 5 anos,2012-03-01,5,7,12
UYUNI,diagnostico de egreso,diarreas en menores de 5 anos,2012-03-01,1,0,1
VALLEGRANDE,diagnostico de egreso,diarreas en menores de 5 anos,2012-03-01,2,0,2
VIACHA,diagnostico de egreso,diarreas en menores de 5 anos,2012-03-01,7,3,10
VILLA MONTES,diagnostico de egreso,diarreas en menores de 5 anos,2012-03-01,4,9,13
VILLA TUNARI,diagnostico de egreso,diarreas en menores de 5 anos,2012-03-01,5,8,13
VILLAZON,diagnostico de egreso,diarreas en menores de 5 anos,2012-03-01,2,4,6
VINTO,diagnostico de egreso,diarreas en menores de 5 anos,2012-03-01,5,2,7
WARNES,diagnostico de egreso,diarreas en menores de 5 anos,2012-03-01,11,2,13
YACUIBA,diagnostico de egreso,diarreas en menores de 5 anos,2012-03-01,14,17,31
YAPACANI,diagnostico de egreso,diarreas en menores de 5 anos,2012-03-01,7,8,15
ACHACACHI,diagnostico de egreso,diarreas en menores de 5 anos,2012-04-01,1,0,1
ASCENCION DE GUARAYOS,diagnostico de egreso,diarreas en menores de 5 anos,2012-04-01,1,1,2
ATOCHA,diagnostico de egreso,diarreas en menores de 5 anos,2012-04-01,5,0,5
AZURDUY,diagnostico de egreso,diarreas en menores de 5 anos,2012-04-01,5,3,8
BERMEJO,diagnostico de egreso,diarreas en menores de 5 anos,2012-04-01,26,21,47
BETANZOS,diagnostico de egreso,diarreas en menores de 5 anos,2012-04-01,1,1,2
BUENA VISTA,diagnostico de egreso,diarreas en menores de 5 anos,2012-04-01,1,0,1
CABEZAS,diagnostico de egreso,diarreas en menores de 5 anos,2012-04-01,1,0,1
CAMIRI,diagnostico de egreso,diarreas en menores de 5 anos,2012-04-01,5,0,5
CAPINOTA,diagnostico de egreso,diarreas en menores de 5 anos,2012-04-01,1,0,1
CARANAVI,diagnostico de egreso,diarreas en menores de 5 anos,2012-04-01,0,4,4
CARMEN RIVERO TORREZ,diagnostico de egreso,diarreas en menores de 5 anos,2012-04-01,0,1,1
CHALLAPATA,diagnostico de egreso,diarreas en menores de 5 anos,2012-04-01,1,2,3
CHARAGUA,diagnostico de egreso,diarreas en menores de 5 anos,2012-04-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),diagnostico de egreso,diarreas en menores de 5 anos,2012-04-01,2,1,3
CKOCHAS,diagnostico de egreso,diarreas en menores de 5 anos,2012-04-01,4,0,4
COBIJA,diagnostico de egreso,diarreas en menores de 5 anos,2012-04-01,11,13,24
COCHABAMBA,diagnostico de egreso,diarreas en menores de 5 anos,2012-04-01,97,79,176
COLCAPIRHUA,diagnostico de egreso,diarreas en menores de 5 anos,2012-04-01,1,1,2
COMARAPA,diagnostico de egreso,diarreas en menores de 5 anos,2012-04-01,1,1,2
COROICO,diagnostico de egreso,diarreas en menores de 5 anos,2012-04-01,0,3,3
CULPINA,diagnostico de egreso,diarreas en menores de 5 anos,2012-04-01,1,0,1
EL ALTO,diagnostico de egreso,diarreas en menores de 5 anos,2012-04-01,139,117,256
EL TORNO,diagnostico de egreso,diarreas en menores de 5 anos,2012-04-01,0,1,1
GUAYARAMERIN,diagnostico de egreso,diarreas en menores de 5 anos,2012-04-01,9,11,20
HUANUNI,diagnostico de egreso,diarreas en menores de 5 anos,2012-04-01,3,1,4
IRUPANA (VILLA DE LANZA),diagnostico de egreso,diarreas en menores de 5 anos,2012-04-01,1,1,2
LA PAZ,diagnostico de egreso,diarreas en menores de 5 anos,2012-04-01,38,66,104
LAGUNILLAS,diagnostico de egreso,diarreas en menores de 5 anos,2012-04-01,0,2,2
LLALLAGUA,diagnostico de egreso,diarreas en menores de 5 anos,2012-04-01,3,0,3
MAIRANA,diagnostico de egreso,diarreas en menores de 5 anos,2012-04-01,1,0,1
MECAPACA,diagnostico de egreso,diarreas en menores de 5 anos,2012-04-01,4,3,7
MOJOCOYA,diagnostico de egreso,diarreas en menores de 5 anos,2012-04-01,3,4,7
MONTEAGUDO,diagnostico de egreso,diarreas en menores de 5 anos,2012-04-01,2,2,4
MONTERO,diagnostico de egreso,diarreas en menores de 5 anos,2012-04-01,26,18,44
ORURO,diagnostico de egreso,diarreas en menores de 5 anos,2012-04-01,26,22,48
PAILON,diagnostico de egreso,diarreas en menores de 5 anos,2012-04-01,2,0,2
PALOS BLANCOS,diagnostico de egreso,diarreas en menores de 5 anos,2012-04-01,0,1,1
PORTACHUELO,diagnostico de egreso,diarreas en menores de 5 anos,2012-04-01,7,6,13
POTOSI,diagnostico de egreso,diarreas en menores de 5 anos,2012-04-01,12,14,26
PUERTO SUAREZ,diagnostico de egreso,diarreas en menores de 5 anos,2012-04-01,2,1,3
PUNATA,diagnostico de egreso,diarreas en menores de 5 anos,2012-04-01,1,1,2
QUILLACOLLO,diagnostico de egreso,diarreas en menores de 5 anos,2012-04-01,1,3,4
REYES,diagnostico de egreso,diarreas en menores de 5 anos,2012-04-01,1,0,1
RIBERALTA,diagnostico de egreso,diarreas en menores de 5 anos,2012-04-01,6,7,13
ROBORE,diagnostico de egreso,diarreas en menores de 5 anos,2012-04-01,1,1,2
RURRENABAQUE,diagnostico de egreso,diarreas en menores de 5 anos,2012-04-01,1,2,3
SACABA,diagnostico de egreso,diarreas en menores de 5 anos,2012-04-01,2,0,2
SAMAIPATA,diagnostico de egreso,diarreas en menores de 5 anos,2012-04-01,1,1,2
SAN BORJA,diagnostico de egreso,diarreas en menores de 5 anos,2012-04-01,3,0,3
SAN CARLOS,diagnostico de egreso,diarreas en menores de 5 anos,2012-04-01,4,7,11
SAN IGNACIO,diagnostico de egreso,diarreas en menores de 5 anos,2012-04-01,2,2,4
SAN IGNACIO DE VELASCO,diagnostico de egreso,diarreas en menores de 5 anos,2012-04-01,10,6,16
SAN JOAQUIN,diagnostico de egreso,diarreas en menores de 5 anos,2012-04-01,0,1,1
SAN JOSE DE CHIQUITOS,diagnostico de egreso,diarreas en menores de 5 anos,2012-04-01,1,0,1
SAN JULIAN,diagnostico de egreso,diarreas en menores de 5 anos,2012-04-01,18,11,29
SAN LUCAS,diagnostico de egreso,diarreas en menores de 5 anos,2012-04-01,1,2,3
SAN MATIAS,diagnostico de egreso,diarreas en menores de 5 anos,2012-04-01,1,2,3
SAN MIGUEL DE VELASCO,diagnostico de egreso,diarreas en menores de 5 anos,2012-04-01,1,1,2
SAN PABLO DE LIPEZ,diagnostico de egreso,diarreas en menores de 5 anos,2012-04-01,2,0,2
SAN PEDRO,diagnostico de egreso,diarreas en menores de 5 anos,2012-04-01,8,8,16
SANTA ANA,diagnostico de egreso,diarreas en menores de 5 anos,2012-04-01,1,1,2
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,diarreas en menores de 5 anos,2012-04-01,119,133,252
SANTA ROSA,diagnostico de egreso,diarreas en menores de 5 anos,2012-04-01,0,1,1
SANTA ROSA DEL SARA,diagnostico de egreso,diarreas en menores de 5 anos,2012-04-01,1,1,2
