municipality,group,variable,month,Niñas(os) de 1 año que reciben alimento complementario,TOTAL
CHOQUE COTA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,10,10
CHUA COCANI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,24,24
CHULUMANI (V. DE LA LIBERTAD),micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,40,40
CHUMA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,90,90
CHUQUIHUTA AYLLU JUCUMANI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,117,117
CKOCHAS,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,202,202
CLIZA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,269,269
COBIJA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,372,372
COCAPATA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,254,254
COCHABAMBA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,1825,1825
COIPASA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,1,1
COLCAPIRHUA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,244,244
"COLCHA ""K""",micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,152,152
COLLANA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,39,39
COLOMI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,234,234
COLPA BELGICA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,18,18
COLQUECHACA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,571,571
COLQUENCHA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,136,136
COLQUIRI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,72,72
COMANCHE,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,26,26
COMARAPA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,60,60
COMBAYA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,30,30
CONCEPCION,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,14,14
COPACABANA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,62,62
CORIPATA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,158,158
CORO CORO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,10,10
CORQUE,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,67,67
COTAGAITA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,290,290
COTOCA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,62,62
CRUZ DE MACHACAMARCA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,4,4
CUATRO CAÑADAS,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,14,14
CUCHUMUELA (V. G. VILLARROEL),micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,24,24
CUEVO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,49,49
CULPINA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,241,241
CURAHUARA DE CARANGAS,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,62,62
CURVA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,28,28
DESAGUADERO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,47,47
EL ALTO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,14,14
EL CHORO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,38,38
EL PUENTE(STC),micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,126,126
EL PUENTE(TJA),micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,177,177
EL TORNO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,5,5
EL VILLAR,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,29,29
ENTRE RIOS TRJ,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,377,377
ENTRE RIOS CBBA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,527,527
ESCARA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,5,5
ESCOMA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,43,43
EUCALIPTUS,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,60,60
FERNANDEZ ALONSO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,155,155
FILADELFIA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,101,101
GENERAL SAAVEDRA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,32,32
GRAL. J.J. PEREZ (CHARAZANI),micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,111,111
GUANAY,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,71,71
GUAQUI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,67,67
GUAYARAMERIN,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,472,472
GUTIERREZ,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,83,83
HUACARETA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,114,114
HUACAYA (VILLA DE HUACAYA),micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,32,32
HUANUNI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,177,177
HUAYLLAMARCA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,42,42
HUMANATA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,41,41
ICHOCA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,46,46
ICLA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,106,106
INCAHUASI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,171,171
INQUISIVI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,80,80
IRUPANA (VILLA DE LANZA),micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,1,1
IXIAMAS,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,53,53
JESUS DE MACHACA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,103,103
LA ASUNTA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,232,232
LA GUARDIA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,76,76
LA PAZ,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,256,256
LA RIVERA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,3,3
LAGUNILLAS,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,2,2
LAJA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,282,282
LAS CARRERAS,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,58,58
LICOMA PAMPA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,32,32
LLALLAGUA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,639,639
LLICA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,34,34
LORETO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,15,15
LURIBAY,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,90,90
MACHACAMARCA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,56,56
MACHARETI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,24,24
MAGDALENA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,1,1
MALLA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,21,21
MAPIRI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,100,100
MECAPACA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,34,34
MINEROS,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,140,140
MIZQUE,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,414,414
MOCOMOCO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,122,122
MOJINETE,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,6,6
MOJOCOYA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,95,95
MONTEAGUDO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,345,345
MONTERO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,35,35
MORO MORO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,5,5
MOROCHATA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,136,136
NACEBE (SANTA ROSA DEL ABUNA),micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,34,34
NAZACARA DE PACAJES,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,9,9
OCURI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,195,195
OKINAWA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,86,86
OMEREQUE,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,79,79
ORURO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,1160,1160
PADCAYA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,71,71
PADILLA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,14,14
PAILON,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,3,3
PALCA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,109,109
PAMPA GRANDE,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,14,14
PAPEL PAMPA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,68,68
PASORAPA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,33,33
PATACAMAYA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,266,266
PAZÑA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,55,55
PELECHUCO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,77,77
POCOATA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,323,323
POCONA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,159,159
POJO (CBBA),micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,1,1
POOPO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,71,71
PORCO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,183,183
POROMA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,206,206
PORONGO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,75,75
PORTACHUELO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,16,16
PORVENIR,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,82,82
POSTRER VALLE,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,15,15
POTOSI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,2613,2613
PRESTO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,93,93
PUCARA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,15,15
PUCARANI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,328,328
PUERTO CARABUCO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,60,60
PUERTO GONZALO MORENO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,131,131
PUERTO SUAREZ,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,179,179
PUERTO VILLARROEL,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,592,592
PUNA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,239,239
PUNATA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,95,95
QUIABAYA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,32,32
QUILLACOLLO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,735,735
QUIME,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,77,77
QUIRUSILLAS,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,13,13
RAVELO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,241,241
REYES,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,1,1
RIBERALTA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,209,209
ROBORE,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,166,166
RURRENABAQUE,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,3,3
SABAYA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,46,46
SACABA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,1567,1567
SACABAMBA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,41,41
SACACA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,228,228
SAIPINA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,62,62
SALINAS DE GARCI MENDOZA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,94,94
SAMAIPATA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,114,114
SAN AGUSTIN,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,21,21
SAN ANDRES,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,3,3
SAN ANDRES DE MACHACA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,17,17
SAN ANTONIO DE ESMORUCO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,21,21
SAN BENITO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,122,122
SAN BORJA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,666,666
SAN CARLOS,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,20,20
SAN IGNACIO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,18,18
SAN IGNACIO DE VELASCO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,490,490
SAN JAVIER(STC),micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,172,172
SAN JOAQUIN,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,9,9
SAN JOSE DE CHIQUITOS,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,13,13
SAN JUAN DE YAPACANI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,25,25
SAN JULIAN,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,143,143
SAN LORENZO(TJA),micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,131,131
SAN LUCAS,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,470,470
SAN MIGUEL DE VELASCO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,4,4
SAN PABLO DE LIPEZ,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,36,36
SAN PEDRO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,206,206
SAN PEDRO DE BUENA VISTA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,411,411
SAN PEDRO DE CURAHUARA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,25,25
SAN PEDRO DE QUEMES,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,8,8
SAN PEDRO DE TIQUINA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,40,40
SAN PEDRO(PND),micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,23,23
SAN RAFAEL,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,61,61
SAN RAMON BENI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,16,16
SAN RAMON SCZ,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,115,115
SANTA ANA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,44,44
SANTA CRUZ DE LA SIERRA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,2198,2198
SANTA ROSA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,1,1
SANTA ROSA DEL SARA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,78,78
SANTIAGO DE CALLAPA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,38,38
SANTIAGO DE HUARI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,100,100
SANTIAGO DE HUATA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,30,30
SANTIAGO DE MACHACA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,32,32
SANTIVAÑES,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,65,65
SANTUARIO DE QUILLACAS,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,63,63
SAPAHAQUI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,82,82
SENA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,128,128
SHINAOTA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,146,146
SICA SICA (VILLA AROMA),micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,109,109
SICAYA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,66,66
SIPE SIPE,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,541,541
SOPACHUY,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,79,79
SORACACHI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,159,159
SORATA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,26,26
SUCRE,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,659,659
TACACHI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,7,7
TACACOMA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,55,55
TACOBAMBA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,135,135
TACOPAYA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,28,28
TAHUA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,6,6
TAPACARI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,356,356
TARABUCO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,172,172
TARACO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,9,9
TARATA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,85,85
TARIJA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,377,377
TARVITA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,107,107
TEOPONTE,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,21,21
TIAWANACU,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,11,11
TINGUIPAYA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,302,302
TIPUANI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,90,90
TIQUIPAYA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,356,356
TIRAQUE (CBBA),micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,124,124
TOCO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,88,88
TOLATA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,36,36
TOLEDO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,43,43
TOMAVE,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,193,193
TOMINA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,59,59
TORO TORO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,66,66
TOTORA(CBBA),micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,89,89
TOTORA(ORR),micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,40,40
TRIGAL,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,16,16
TRINIDAD,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,558,558
TUPIZA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,527,527
