municipality,group,variable,month,RN con corte tardío de Cordón Umbilical,TOTAL
PAMPA AULLAGAS,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,1,1
PAPEL PAMPA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,1,1
PELECHUCO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,1,1
POCOATA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,11,11
POCONA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,8,8
POJO (CBBA),atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,3,3
POOPO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,1,1
PORCO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,11,11
POROMA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,4,4
PORVENIR,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,1,1
POTOSI,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,128,128
PRESTO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,5,5
PUCARANI,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,9,9
PUERTO ACOSTA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,5,5
PUERTO CARABUCO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,5,5
PUERTO GONZALO MORENO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,4,4
PUERTO RICO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,6,6
PUERTO VILLARROEL,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,6,6
PUNA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,7,7
PUNATA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,57,57
QUILLACOLLO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,11,11
QUIME,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,4,4
QUIRUSILLAS,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,1,1
RAVELO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,6,6
REYES,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,14,14
RIBERALTA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,221,221
ROBORE,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,16,16
SABAYA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,4,4
SACABA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,12,12
SACABAMBA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,1,1
SACACA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,10,10
SALINAS DE GARCI MENDOZA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,4,4
SAMAIPATA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,2,2
SAN ANDRES,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,2,2
SAN ANTONIO DE ESMORUCO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,1,1
SAN BENITO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,2,2
SAN BORJA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,4,4
SAN BUENA VENTURA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,2,2
SAN IGNACIO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,2,2
SAN IGNACIO DE VELASCO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,56,56
SAN JAVIER(STC),atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,25,25
SAN JULIAN,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,50,50
SAN LORENZO(PND),atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,4,4
SAN LUCAS,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,18,18
SAN MATIAS,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,2,2
SAN MIGUEL DE VELASCO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,21,21
SAN PEDRO DE BUENA VISTA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,8,8
SAN PEDRO DE CURAHUARA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,2,2
SAN PEDRO DE MACHA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,14,14
SAN PEDRO DE TIQUINA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,3,3
SAN RAMON SCZ,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,7,7
SANTA ANA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,38,38
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,147,147
SANTIAGO DE HUARI,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,4,4
SANTIAGO DE HUATA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,1,1
SANTIAGO DE MACHACA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,1,1
SANTIVAÑES,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,4,4
SAPAHAQUI,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,6,6
SENA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,5,5
SHINAOTA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,9,9
SICA SICA (VILLA AROMA),atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,5,5
SICAYA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,1,1
SIPE SIPE,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,53,53
SOPACHUY,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,2,2
SORACACHI,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,2,2
SORATA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,1,1
SUCRE,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,118,118
TACACOMA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,1,1
TACOBAMBA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,1,1
TACOPAYA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,3,3
TAPACARI,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,3,3
TARABUCO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,9,9
TARACO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,2,2
TARATA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,3,3
TARIJA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,12,12
TARVITA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,14,14
TIAHUANACU,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,3,3
TINGUIPAYA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,3,3
TIPUANI,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,10,10
TIQUIPAYA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,33,33
TIRAQUE (CBBA),atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,1,1
TOLATA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,2,2
TOLEDO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,1,1
TOMAVE,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,2,2
TOMINA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,5,5
TORO TORO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,8,8
TOTORA(CBBA),atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,1,1
TOTORA(ORR),atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,2,2
TRINIDAD,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,5,5
TUPIZA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,52,52
TURCO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,2,2
UNCIA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,19,19
URUBICHA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,7,7
UYUNI,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,1,1
VACAS,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,1,1
VILA VILA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,5,5
VILLA CHARCAS,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,9,9
VILLA MONTES,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,1,1
VILLA NUEVA (LOMA ALTA),atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,2,2
VILLA RIVERO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,3,3
VILLA SERRANO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,3,3
VILLA TUNARI,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,36,36
VILLA VACA GUZMAN (MUYUPAMPA),atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,6,6
VILLAZON,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,44,44
VINTO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,35,35
VITICHI,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,2,2
WALDO BALLIVIAN,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,3,3
WARNES,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,1,1
YACO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,2,2
YACUIBA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,4,4
YAMPARAEZ,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,2,2
YANACACHI,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,2,2
YOCALLA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,1,1
YOTALA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,3,3
ZUDAÑEZ,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,7,7
ACACIO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-02-01,2,2
ACHACACHI,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-02-01,30,30
ACHOCALLA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-02-01,16,16
AIQUILE,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-02-01,18,18
ALCALA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-02-01,1,1
ALTO BENI,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-02-01,1,1
ANDAMARCA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-02-01,4,4
ANZALDO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-02-01,1,1
APOLO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-02-01,7,7
ARAMPAMPA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-02-01,1,1
ARBIETO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-02-01,4,4
ARQUE,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-02-01,2,2
ASCENCION DE GUARAYOS,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-02-01,32,32
ATOCHA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-02-01,6,6
AUCAPATA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-02-01,1,1
AYATA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-02-01,4,4
AYO AYO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-02-01,1,1
AZURDUY,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-02-01,7,7
BATALLAS,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-02-01,2,2
BAURES,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-02-01,2,2
BELLA FLOR,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-02-01,2,2
BERMEJO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-02-01,22,22
BETANZOS,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-02-01,23,23
BOLIVAR,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-02-01,4,4
BOYUIBE,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-02-01,4,4
CAIROMA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-02-01,6,6
"CAIZA ""D""",atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-02-01,9,9
CAJUATA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-02-01,16,16
CALAMARCA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-02-01,8,8
CAMARGO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-02-01,8,8
CAMATAQUI (C. VILLA ABECIA),atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-02-01,1,1
CAPINOTA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-02-01,12,12
CAQUIAVIRI,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-02-01,2,2
CARACOLLO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-02-01,6,6
CARANAVI,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-02-01,1,1
CARAPARI,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-02-01,3,3
CARIPUYO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-02-01,4,4
CHALLAPATA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-02-01,2,2
CHAQUI,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-02-01,2,2
CHARAGUA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-02-01,8,8
CHAYANTA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-02-01,9,9
CHIMORE,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-02-01,5,5
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-02-01,21,21
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-02-01,6,6
CKOCHAS,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-02-01,3,3
CLIZA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-02-01,11,11
COBIJA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-02-01,12,12
COCAPATA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-02-01,6,6
COCHABAMBA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-02-01,7,7
"COLCHA ""K""",atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-02-01,4,4
COLLANA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-02-01,1,1
COLOMI,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-02-01,2,2
COLQUECHACA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-02-01,10,10
COLQUENCHA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-02-01,5,5
COLQUIRI,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-02-01,4,4
COPACABANA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-02-01,10,10
CORIPATA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-02-01,12,12
COROICO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-02-01,19,19
CORQUE,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-02-01,2,2
COTAGAITA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-02-01,7,7
CUCHUMUELA (V. G. VILLARROEL),atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-02-01,2,2
CUEVO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-02-01,1,1
CULPINA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-02-01,15,15
DESAGUADERO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-02-01,2,2
EL ALTO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-02-01,220,220
