,group,variable,month,REUMÁTICAS CANTIDAD,REUMÁTICAS CANTIDAD,TOTALES,TOTALES,TOTALES
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,1,10,1,10,11
COMBAYA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,7,3,7,3,10
COPACABANA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,6,8,6,8,14
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,5,3,5,3,8
DESAGUADERO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,4,9,4,9,13
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,62,144,62,144,206
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,0,11,0,11,11
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,69,73,69,73,142
EL VILLAR,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,0,1,0,1,1
ENTRE RIOS CBBA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,3,0,3,0,3
EUCALIPTUS,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,4,13,4,13,17
FERNANDEZ ALONSO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,5,6,5,6,11
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,1,3,1,3,4
GRAL. J.J. PEREZ (CHARAZANI),"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,11,12,11,12,23
GUANAY,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,0,1,0,1,1
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,0,1,0,1,1
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,4,4,4,4,8
HUACAYA (VILLA DE HUACAYA),"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,2,11,2,11,13
HUANUNI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,1,1,1,1,2
HUAYLLAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,2,0,2,0,2
HUMANATA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,2,3,2,3,5
ICLA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,5,3,5,3,8
INCAHUASI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,2,1,2,1,3
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,11,22,11,22,33
JESUS DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,5,18,5,18,23
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,4,0,4,0,4
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,49,125,49,125,174
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,0,1,0,1,1
MACHARETI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,3,3,3,3,6
MIZQUE,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,1,2,1,2,3
MOCOMOCO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,4,5,4,5,9
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,4,17,4,17,21
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,0,2,0,2,2
MORO MORO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,6,14,6,14,20
MOROCHATA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,2,1,2,1,3
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,108,133,108,133,241
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,10,14,10,14,24
PALCA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,2,2,2,2,4
PALOS BLANCOS,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,2,0,2,0,2
PAPEL PAMPA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,6,17,6,17,23
POROMA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,3,14,3,14,17
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,20,14,20,14,34
POSTRER VALLE,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,3,1,3,1,4
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,3,10,3,10,13
PRESTO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,8,0,8,0,8
PUCARA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,1,7,1,7,8
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,23,31,23,31,54
PUERTO CARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,3,7,3,7,10
PUERTO GONZALO MORENO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,4,2,4,2,6
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,1,2,1,2,3
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,1,10,1,10,11
QUIME,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,0,1,0,1,1
QUIRUSILLAS,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,1,0,1,0,1
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,16,14,16,14,30
SABAYA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,1,2,1,2,3
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,9,8,9,8,17
SACABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,11,22,11,22,33
SACACA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,0,1,0,1,1
SAIPINA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,1,0,1,0,1
SAN ANDRES DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,2,0,2,0,2
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,23,43,23,43,66
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,21,31,21,31,52
SAN JAVIER(STC),"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,1,2,1,2,3
SAN JOAQUIN,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,0,3,0,3,3
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,2,19,2,19,21
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,1,1,1,1,2
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,4,4,4,4,8
SAN PABLO DE LIPEZ,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,1,1,1,1,2
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,0,5,0,5,5
SAN PEDRO DE CURAHUARA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,0,1,0,1,1
SAN PEDRO DE QUEMES,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,2,1,2,1,3
SAN RAFAEL,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,1,9,1,9,10
SAN RAMON BENI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,0,2,0,2,2
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,432,46,432,46,478
SANTIAGO DE CALLAPA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,2,1,2,1,3
SANTIAGO DE HUARI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,0,3,0,3,3
SANTIAGO DE HUATA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,0,6,0,6,6
SAPAHAQUI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,3,11,3,11,14
SICA SICA (VILLA AROMA),"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,1,2,1,2,3
SIPE SIPE,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,0,3,0,3,3
SORACACHI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,0,2,0,2,2
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,9,10,9,10,19
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,50,112,50,112,162
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,12,39,12,39,51
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,7,8,7,8,15
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,5,12,5,12,17
TEOPONTE,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,3,3,3,3,6
TIPUANI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,0,1,0,1,1
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,0,1,0,1,1
TOCO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,9,20,9,20,29
TOLATA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,1,1,1,1,2
TOLEDO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,0,2,0,2,2
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,3,11,3,11,14
TOTORA(ORR),"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,1,0,1,0,1
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,23,43,23,43,66
URIONDO (A. CONCEPCION),"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,0,3,0,3,3
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,0,9,0,9,9
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,9,4,9,4,13
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,0,7,0,7,7
VILA VILA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,0,1,0,1,1
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,5,7,5,7,12
VILLA NUEVA (LOMA ALTA),"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,7,3,7,3,10
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,1,3,1,3,4
VILLA SERRANO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,22,37,22,37,59
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,4,3,4,3,7
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,2,6,2,6,8
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,37,45,37,45,82
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,1,2,1,2,3
YACO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,3,2,3,2,5
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,72,67,72,67,139
YANACACHI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,1,3,1,3,4
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,14,31,14,31,45
YOCALLA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,6,8,6,8,14
ZUDAÑEZ,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,2,5,2,5,7
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-02-01,37,48,37,48,85
ACHOCALLA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-02-01,1,1,1,1,2
ALALAY,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-02-01,0,1,0,1,1
ANCORAIMES,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-02-01,5,14,5,14,19
ANDAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-02-01,1,5,1,5,6
ANTEQUERA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-02-01,9,0,9,0,9
APOLO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-02-01,6,15,6,15,21
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-02-01,0,2,0,2,2
ARBIETO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-02-01,23,1,23,1,24
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-02-01,5,11,5,11,16
AUCAPATA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-02-01,1,5,1,5,6
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-02-01,1,2,1,2,3
BATALLAS,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-02-01,7,17,7,17,24
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-02-01,2,1,2,1,3
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-02-01,6,16,6,16,22
BOLPEBRA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-02-01,2,0,2,0,2
BUENA VISTA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-02-01,2,2,2,2,4
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-02-01,16,8,16,8,24
CAIROMA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-02-01,0,1,0,1,1
CALAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-02-01,3,4,3,4,7
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-02-01,13,26,13,26,39
CAMATAQUI (C. VILLA ABECIA),"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-02-01,1,5,1,5,6
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-02-01,14,27,14,27,41
CAQUIAVIRI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-02-01,4,9,4,9,13
CARAPARI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-02-01,0,1,0,1,1
CATACORA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-02-01,3,1,3,1,4
CHARAGUA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-02-01,3,1,3,1,4
CHULUMANI (V. DE LA LIBERTAD),"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-02-01,5,10,5,10,15
CHUMA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-02-01,1,6,1,6,7
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-02-01,4,9,4,9,13
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-02-01,7,12,7,12,19
COCAPATA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-02-01,0,1,0,1,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-02-01,84,250,84,250,334
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-02-01,0,2,0,2,2
"COLCHA ""K""","enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-02-01,0,2,0,2,2
COLQUENCHA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-02-01,5,22,5,22,27
COLQUIRI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-02-01,3,1,3,1,4
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-02-01,6,17,6,17,23
COMBAYA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-02-01,1,2,1,2,3
COPACABANA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-02-01,8,13,8,13,21
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-02-01,6,6,6,6,12
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-02-01,6,1,6,1,7
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-02-01,17,12,17,12,29
CURAHUARA DE CARANGAS,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-02-01,5,6,5,6,11
DESAGUADERO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-02-01,8,6,8,6,14
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-02-01,46,91,46,91,137
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-02-01,2,5,2,5,7
EL PUENTE(TJA),"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-02-01,0,1,0,1,1
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-02-01,23,34,23,34,57
EL VILLAR,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-02-01,2,2,2,2,4
ENTRE RIOS CBBA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-02-01,3,4,3,4,7
ESCOMA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-02-01,23,2,23,2,25
ESMERALDA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-02-01,0,1,0,1,1
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-02-01,2,2,2,2,4
GRAL. J.J. PEREZ (CHARAZANI),"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-02-01,10,24,10,24,34
GUANAY,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-02-01,7,22,7,22,29
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-02-01,55,37,55,37,92
GUTIERREZ,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-02-01,2,2,2,2,4
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-02-01,2,4,2,4,6
HUANUNI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-02-01,2,4,2,4,6
HUARINA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-02-01,5,2,5,2,7
HUAYLLAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-02-01,0,2,0,2,2
HUMANATA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-02-01,2,4,2,4,6
ICLA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-02-01,3,12,3,12,15
INCAHUASI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-02-01,8,11,8,11,19
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-02-01,2,13,2,13,15
JESUS DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-02-01,4,2,4,2,6
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-02-01,3,6,3,6,9
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-02-01,51,120,51,120,171
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-02-01,0,1,0,1,1
MACHACAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-02-01,0,1,0,1,1
MACHARETI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-02-01,5,1,5,1,6
MAGDALENA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-02-01,0,2,0,2,2
MAIRANA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-02-01,2,2,2,2,4
MECAPACA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-02-01,5,3,5,3,8
MIZQUE,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-02-01,2,6,2,6,8
MOJOCOYA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-02-01,1,0,1,0,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-02-01,6,21,6,21,27
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-02-01,2,2,2,2,4
MORO MORO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-02-01,1,4,1,4,5
MOROCHATA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-02-01,3,1,3,1,4
NACEBE (SANTA ROSA DEL ABUNA),"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-02-01,2,0,2,0,2
NUEVO MANOA (NUEVA ESPERANZA),"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-02-01,1,0,1,0,1
OMEREQUE,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-02-01,2,2,2,2,4
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-02-01,125,191,125,191,316
PADCAYA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-02-01,0,1,0,1,1
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-02-01,14,23,14,23,37
PALOS BLANCOS,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-02-01,1,1,1,1,2
PAPEL PAMPA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-02-01,10,18,10,18,28
PAZÑA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-02-01,0,3,0,3,3
PELECHUCO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-02-01,1,0,1,0,1
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-02-01,1,0,1,0,1
POROMA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-02-01,2,17,2,17,19
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-02-01,10,7,10,7,17
POSTRER VALLE,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-02-01,0,1,0,1,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-02-01,0,8,0,8,8
