,group,variable,month,EPILEPSIA / CONVULSIONES / ATAQUES CANTIDAD,EPILEPSIA / CONVULSIONES / ATAQUES CANTIDAD,TOTALES,TOTALES,TOTALES
LURIBAY,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-01-01,1,1,1,1,2
MACHARETI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-01-01,2,0,2,0,2
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-01-01,1,1,1,1,2
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-01-01,9,9,9,9,18
MORO MORO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-01-01,0,1,0,1,1
MOROCHATA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-01-01,0,1,0,1,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-01-01,5,4,5,4,9
PADCAYA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-01-01,4,0,4,0,4
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-01-01,3,2,3,2,5
PAMPA AULLAGAS,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-01-01,0,1,0,1,1
PAMPA GRANDE,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-01-01,1,0,1,0,1
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-01-01,0,1,0,1,1
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-01-01,2,0,2,0,2
SABAYA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-01-01,1,0,1,0,1
SACACA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-01-01,1,1,1,1,2
SAIPINA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-01-01,0,1,0,1,1
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-01-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-01-01,3,3,3,3,6
SAN JOAQUIN,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-01-01,2,1,2,1,3
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-01-01,3,1,3,1,4
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-01-01,0,2,0,2,2
SAN RAFAEL,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-01-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-01-01,64,5,64,5,69
SANTIAGO DE HUATA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-01-01,1,0,1,0,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-01-01,25,9,25,9,34
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-01-01,15,16,15,16,31
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-01-01,1,4,1,4,5
TIPUANI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-01-01,1,0,1,0,1
TOLEDO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-01-01,0,1,0,1,1
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-01-01,3,0,3,0,3
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-01-01,1,1,1,1,2
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-01-01,3,4,3,4,7
URIONDO (A. CONCEPCION),"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-01-01,3,0,3,0,3
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-01-01,0,2,0,2,2
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-01-01,1,7,1,7,8
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-01-01,1,0,1,0,1
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-01-01,0,1,0,1,1
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-01-01,1,2,1,2,3
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-01-01,1,1,1,1,2
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-01-01,1,0,1,0,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-01-01,10,8,10,8,18
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-01-01,1,1,1,1,2
ZUDAÑEZ,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-01-01,0,1,0,1,1
ALCALA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-02-01,0,1,0,1,1
ANCORAIMES,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-02-01,1,0,1,0,1
APOLO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-02-01,1,0,1,0,1
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-02-01,2,1,2,1,3
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-02-01,1,0,1,0,1
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-02-01,1,0,1,0,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-02-01,8,4,8,4,12
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-02-01,0,1,0,1,1
BUENA VISTA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-02-01,0,1,0,1,1
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-02-01,0,1,0,1,1
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-02-01,5,7,5,7,12
CARANAVI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-02-01,1,0,1,0,1
CARAPARI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-02-01,0,3,0,3,3
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-02-01,0,1,0,1,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-02-01,0,2,0,2,2
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-02-01,41,26,41,26,67
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-02-01,1,1,1,1,2
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-02-01,1,3,1,3,4
CUEVO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-02-01,0,1,0,1,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-02-01,18,25,18,25,43
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-02-01,1,0,1,0,1
EL PUENTE(TJA),"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-02-01,1,1,1,1,2
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-02-01,2,0,2,0,2
EL VILLAR,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-02-01,1,1,1,1,2
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-02-01,8,8,8,8,16
FERNANDEZ ALONSO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-02-01,1,0,1,0,1
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-02-01,2,3,2,3,5
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-02-01,1,1,1,1,2
ICLA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-02-01,0,1,0,1,1
INCAHUASI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-02-01,2,3,2,3,5
JESUS DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-02-01,1,0,1,0,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-02-01,4,0,4,0,4
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-02-01,57,49,57,49,106
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-02-01,0,1,0,1,1
MACHARETI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-02-01,1,3,1,3,4
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-02-01,1,1,1,1,2
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-02-01,23,11,23,11,34
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-02-01,2,1,2,1,3
PADCAYA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-02-01,0,1,0,1,1
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-02-01,6,2,6,2,8
PALOS BLANCOS,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-02-01,1,0,1,0,1
PAMPA GRANDE,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-02-01,1,1,1,1,2
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-02-01,0,1,0,1,1
POSTRER VALLE,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-02-01,0,1,0,1,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-02-01,2,5,2,5,7
PUCARA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-02-01,1,0,1,0,1
PUERTO CARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-02-01,0,1,0,1,1
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-02-01,0,1,0,1,1
REYES,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-02-01,3,1,3,1,4
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-02-01,2,1,2,1,3
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-02-01,10,6,10,6,16
SAMAIPATA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-02-01,1,0,1,0,1
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-02-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-02-01,6,2,6,2,8
SAN JAVIER(STC),"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-02-01,1,0,1,0,1
SAN JOAQUIN,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-02-01,14,12,14,12,26
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-02-01,0,1,0,1,1
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-02-01,6,1,6,1,7
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-02-01,0,1,0,1,1
SAN RAMON BENI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-02-01,2,2,2,2,4
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-02-01,80,2,80,2,82
SANTA ROSA DEL SARA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-02-01,2,0,2,0,2
SENA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-02-01,0,1,0,1,1
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-02-01,0,1,0,1,1
SIPE SIPE,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-02-01,0,1,0,1,1
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-02-01,1,0,1,0,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-02-01,27,19,27,19,46
TAPACARI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-02-01,2,0,2,0,2
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-02-01,1,0,1,0,1
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-02-01,46,54,46,54,100
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-02-01,1,1,1,1,2
TITO YUPANQUI (PARQUIPUJIO),"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-02-01,2,0,2,0,2
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-02-01,1,0,1,0,1
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-02-01,1,1,1,1,2
URIONDO (A. CONCEPCION),"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-02-01,1,1,1,1,2
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-02-01,0,1,0,1,1
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-02-01,4,3,4,3,7
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-02-01,1,0,1,0,1
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-02-01,1,2,1,2,3
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-02-01,0,1,0,1,1
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-02-01,1,1,1,1,2
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-02-01,0,1,0,1,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-02-01,12,9,12,9,21
ZUDAÑEZ,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-02-01,0,1,0,1,1
ALCALA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-03-01,0,1,0,1,1
ALTO BENI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-03-01,1,0,1,0,1
ANCORAIMES,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-03-01,1,0,1,0,1
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-03-01,1,0,1,0,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-03-01,4,3,4,3,7
BOYUIBE,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-03-01,0,2,0,2,2
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-03-01,0,1,0,1,1
CAIROMA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-03-01,0,1,0,1,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-03-01,0,1,0,1,1
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-03-01,8,9,8,9,17
CARAPARI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-03-01,1,2,1,2,3
CHARAGUA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-03-01,1,0,1,0,1
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-03-01,1,0,1,0,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-03-01,0,1,0,1,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-03-01,59,85,59,85,144
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-03-01,1,0,1,0,1
COLQUENCHA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-03-01,1,0,1,0,1
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-03-01,0,1,0,1,1
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-03-01,0,2,0,2,2
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-03-01,0,4,0,4,4
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-03-01,49,40,49,40,89
EL PUENTE(TJA),"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-03-01,0,2,0,2,2
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-03-01,3,7,3,7,10
ENTRE RIOS CBBA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-03-01,1,2,1,2,3
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-03-01,0,4,0,4,4
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-03-01,0,1,0,1,1
HUMANATA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-03-01,1,0,1,0,1
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-03-01,1,1,1,1,2
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-03-01,1,0,1,0,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-03-01,54,54,54,54,108
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-03-01,2,2,2,2,4
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-03-01,1,1,1,1,2
MACHARETI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-03-01,0,1,0,1,1
MECAPACA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-03-01,0,1,0,1,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-03-01,0,1,0,1,1
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-03-01,30,9,30,9,39
MOROCHATA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-03-01,1,0,1,0,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-03-01,3,6,3,6,9
PADCAYA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-03-01,1,0,1,0,1
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-03-01,7,1,7,1,8
PALCA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-03-01,0,1,0,1,1
PAMPA GRANDE,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-03-01,1,1,1,1,2
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-03-01,1,0,1,0,1
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-03-01,1,0,1,0,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-03-01,5,0,5,0,5
PUERTO CARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-03-01,0,1,0,1,1
PUERTO SILES,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-03-01,1,1,1,1,2
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-03-01,1,2,1,2,3
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-03-01,0,1,0,1,1
QUIME,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-03-01,1,0,1,0,1
REYES,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-03-01,1,2,1,2,3
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-03-01,2,2,2,2,4
