,group,variable,month,EPISODIOS DEPRESIVOS / ANSIEDAD CANTIDAD,EPISODIOS DEPRESIVOS / ANSIEDAD CANTIDAD,TOTALES,TOTALES,TOTALES
SACACA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-01-01,1,0,1,0,1
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-01-01,2,6,2,6,8
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-01-01,4,2,4,2,6
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-01-01,0,2,0,2,2
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-01-01,174,11,174,11,185
SIPE SIPE,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-01-01,0,1,0,1,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-01-01,11,35,11,35,46
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-01-01,10,49,10,49,59
TEOPONTE,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-01-01,0,4,0,4,4
TIPUANI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-01-01,0,1,0,1,1
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-01-01,10,18,10,18,28
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-01-01,6,1,6,1,7
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-01-01,0,3,0,3,3
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-01-01,0,1,0,1,1
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-01-01,3,5,3,5,8
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-01-01,2,3,2,3,5
ZUDAÑEZ,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-01-01,2,1,2,1,3
ALCALA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-02-01,1,0,1,0,1
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-02-01,1,2,1,2,3
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-02-01,0,4,0,4,4
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-02-01,7,12,7,12,19
CARMEN RIVERO TORREZ,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-02-01,0,2,0,2,2
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-02-01,1,2,1,2,3
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-02-01,36,75,36,75,111
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-02-01,1,8,1,8,9
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-02-01,4,9,4,9,13
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-02-01,0,1,0,1,1
GUTIERREZ,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-02-01,1,0,1,0,1
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-02-01,0,4,0,4,4
HUANUNI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-02-01,0,1,0,1,1
HUARINA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-02-01,0,1,0,1,1
HUMANATA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-02-01,1,0,1,0,1
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-02-01,0,1,0,1,1
JESUS DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-02-01,0,2,0,2,2
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-02-01,1,3,1,3,4
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-02-01,37,81,37,81,118
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-02-01,2,1,2,1,3
MOROCHATA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-02-01,0,1,0,1,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-02-01,4,5,4,5,9
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-02-01,0,2,0,2,2
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-02-01,1,3,1,3,4
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-02-01,0,7,0,7,7
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-02-01,2,1,2,1,3
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-02-01,3,1,3,1,4
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-02-01,0,1,0,1,1
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-02-01,0,9,0,9,9
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-02-01,1,14,1,14,15
SAN JOAQUIN,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-02-01,0,1,0,1,1
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-02-01,0,2,0,2,2
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-02-01,2,0,2,0,2
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-02-01,2,5,2,5,7
SAN RAMON BENI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-02-01,2,6,2,6,8
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-02-01,180,13,180,13,193
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-02-01,0,1,0,1,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-02-01,11,9,11,9,20
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-02-01,35,91,35,91,126
TOLATA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-02-01,0,1,0,1,1
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-02-01,0,2,0,2,2
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-02-01,0,1,0,1,1
VACAS,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-02-01,1,0,1,0,1
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-02-01,1,0,1,0,1
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-02-01,12,7,12,7,19
VILLA SERRANO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-02-01,1,2,1,2,3
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-02-01,1,3,1,3,4
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-02-01,0,1,0,1,1
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-02-01,0,1,0,1,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-02-01,3,0,3,0,3
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-02-01,0,2,0,2,2
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-03-01,1,0,1,0,1
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-03-01,1,3,1,3,4
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-03-01,1,0,1,0,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-03-01,2,3,2,3,5
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-03-01,1,1,1,1,2
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-03-01,0,1,0,1,1
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-03-01,1,9,1,9,10
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-03-01,0,1,0,1,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-03-01,62,167,62,167,229
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-03-01,0,4,0,4,4
COLOMI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-03-01,1,0,1,0,1
CORIPATA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-03-01,0,1,0,1,1
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-03-01,2,5,2,5,7
DESAGUADERO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-03-01,1,0,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-03-01,6,14,6,14,20
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-03-01,0,2,0,2,2
EL VILLAR,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-03-01,0,2,0,2,2
GRAL. J.J. PEREZ (CHARAZANI),"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-03-01,1,0,1,0,1
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-03-01,0,1,0,1,1
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-03-01,1,4,1,4,5
ICLA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-03-01,1,2,1,2,3
INCAHUASI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-03-01,2,6,2,6,8
JESUS DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-03-01,2,1,2,1,3
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-03-01,1,1,1,1,2
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-03-01,47,133,47,133,180
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-03-01,0,1,0,1,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-03-01,1,2,1,2,3
OMEREQUE,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-03-01,1,1,1,1,2
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-03-01,3,11,3,11,14
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-03-01,0,1,0,1,1
PALCA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-03-01,1,0,1,0,1
PALOS BLANCOS,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-03-01,1,0,1,0,1
PAMPA GRANDE,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-03-01,1,0,1,0,1
PASORAPA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-03-01,0,1,0,1,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-03-01,0,1,0,1,1
PUCARA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-03-01,0,2,0,2,2
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-03-01,5,4,5,4,9
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-03-01,4,1,4,1,5
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-03-01,3,1,3,1,4
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-03-01,0,1,0,1,1
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-03-01,0,1,0,1,1
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-03-01,0,2,0,2,2
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-03-01,1,3,1,3,4
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-03-01,1,2,1,2,3
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-03-01,0,5,0,5,5
SAN JOAQUIN,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-03-01,0,2,0,2,2
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-03-01,1,0,1,0,1
SAN JULIAN,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-03-01,0,1,0,1,1
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-03-01,1,1,1,1,2
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-03-01,0,2,0,2,2
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-03-01,217,42,217,42,259
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-03-01,24,87,24,87,111
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-03-01,0,2,0,2,2
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-03-01,38,64,38,64,102
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-03-01,0,3,0,3,3
TEOPONTE,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-03-01,0,3,0,3,3
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-03-01,0,1,0,1,1
TOMAVE,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-03-01,1,1,1,1,2
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-03-01,5,9,5,9,14
VACAS,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-03-01,0,1,0,1,1
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-03-01,0,5,0,5,5
VILLA SERRANO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-03-01,0,2,0,2,2
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-03-01,0,1,0,1,1
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-03-01,0,1,0,1,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-03-01,3,1,3,1,4
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-03-01,1,1,1,1,2
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-04-01,0,3,0,3,3
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-04-01,0,1,0,1,1
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-04-01,2,0,2,0,2
CAMATAQUI (C. VILLA ABECIA),"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-04-01,0,1,0,1,1
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-04-01,0,5,0,5,5
CAPINOTA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-04-01,0,1,0,1,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-04-01,14,16,14,16,30
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-04-01,79,206,79,206,285
COIPASA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-04-01,0,1,0,1,1
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-04-01,0,3,0,3,3
COLOMI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-04-01,0,1,0,1,1
COLQUECHACA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-04-01,1,1,1,1,2
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-04-01,0,1,0,1,1
COPACABANA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-04-01,0,2,0,2,2
CORIPATA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-04-01,0,1,0,1,1
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-04-01,1,2,1,2,3
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-04-01,10,13,10,13,23
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-04-01,0,1,0,1,1
EL PUENTE(TJA),"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-04-01,0,1,0,1,1
EL VILLAR,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-04-01,0,2,0,2,2
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-04-01,0,2,0,2,2
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-04-01,0,2,0,2,2
HUMANATA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-04-01,2,0,2,0,2
JESUS DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-04-01,0,1,0,1,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-04-01,0,1,0,1,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-04-01,110,282,110,282,392
MINEROS,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-04-01,0,1,0,1,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-04-01,1,1,1,1,2
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-04-01,0,1,0,1,1
MORO MORO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-04-01,0,1,0,1,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-04-01,6,9,6,9,15
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-04-01,0,2,0,2,2
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-04-01,1,0,1,0,1
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-04-01,0,1,0,1,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-04-01,1,5,1,5,6
PUERTO RICO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-04-01,0,1,0,1,1
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-04-01,0,1,0,1,1
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-04-01,1,2,1,2,3
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-04-01,4,2,4,2,6
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-04-01,1,1,1,1,2
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-04-01,1,0,1,0,1
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-04-01,0,2,0,2,2
SAMAIPATA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-04-01,1,1,1,1,2
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-04-01,0,1,0,1,1
SAN BUENA VENTURA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-04-01,0,1,0,1,1
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-04-01,3,2,3,2,5
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-04-01,3,5,3,5,8
SAN JAVIER(STC),"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-04-01,0,1,0,1,1
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-04-01,0,2,0,2,2
SAN JULIAN,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-04-01,2,1,2,1,3
