,group,variable,month,SOBREPESO EN MAYORES DE 5 AÑOS CANTIDAD,SOBREPESO EN MAYORES DE 5 AÑOS CANTIDAD,TOTALES,TOTALES,TOTALES
NUEVO MANOA (NUEVA ESPERANZA),"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-01-01,0,1,0,1,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-01-01,8,7,8,7,15
PADCAYA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-01-01,8,5,8,5,13
PAZÑA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-01-01,0,1,0,1,1
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-01-01,12,62,12,62,74
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-01-01,1,0,1,0,1
PUCARA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-01-01,0,1,0,1,1
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-01-01,8,15,8,15,23
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-01-01,0,1,0,1,1
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-01-01,0,4,0,4,4
SABAYA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-01-01,6,7,6,7,13
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-01-01,1,5,1,5,6
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-01-01,0,1,0,1,1
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-01-01,0,2,0,2,2
SAN PABLO DE LIPEZ,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-01-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-01-01,93,36,93,36,129
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-01-01,4,39,4,39,43
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-01-01,2,13,2,13,15
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-01-01,14,44,14,44,58
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-01-01,0,2,0,2,2
TEOPONTE,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-01-01,4,0,4,0,4
TIPUANI,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-01-01,5,25,5,25,30
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-01-01,2,1,2,1,3
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-01-01,1,0,1,0,1
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-01-01,11,21,11,21,32
URIONDO (A. CONCEPCION),"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-01-01,1,0,1,0,1
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-01-01,4,4,4,4,8
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-01-01,4,11,4,11,15
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-01-01,0,12,0,12,12
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-01-01,0,2,0,2,2
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-01-01,3,3,3,3,6
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-01-01,0,5,0,5,5
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-01-01,3,9,3,9,12
YANACACHI,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-01-01,0,3,0,3,3
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-01-01,0,1,0,1,1
APOLO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-02-01,1,0,1,0,1
ARBIETO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-02-01,1,0,1,0,1
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-02-01,3,6,3,6,9
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-02-01,0,1,0,1,1
BATALLAS,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-02-01,6,8,6,8,14
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-02-01,1,1,1,1,2
CAJUATA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-02-01,14,2,14,2,16
CALACOTO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-02-01,1,1,1,1,2
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-02-01,1,0,1,0,1
CARANAVI,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-02-01,0,1,0,1,1
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-02-01,0,4,0,4,4
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-02-01,34,82,34,82,116
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-02-01,1,0,1,0,1
COLOMI,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-02-01,2,1,2,1,3
COPACABANA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-02-01,1,0,1,0,1
CORO CORO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-02-01,1,0,1,0,1
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-02-01,13,27,13,27,40
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-02-01,1,5,1,5,6
CULPINA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-02-01,1,0,1,0,1
DESAGUADERO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-02-01,1,0,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-02-01,18,101,18,101,119
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-02-01,0,8,0,8,8
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-02-01,5,8,5,8,13
ENTRE RIOS CBBA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-02-01,11,13,11,13,24
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-02-01,3,0,3,0,3
GRAL. J.J. PEREZ (CHARAZANI),"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-02-01,0,2,0,2,2
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-02-01,1,8,1,8,9
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-02-01,1,3,1,3,4
JESUS DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-02-01,0,1,0,1,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-02-01,1,3,1,3,4
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-02-01,45,210,45,210,255
MACHARETI,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-02-01,0,2,0,2,2
MIZQUE,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-02-01,1,3,1,3,4
MOCOMOCO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-02-01,7,8,7,8,15
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-02-01,2,7,2,7,9
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-02-01,1,9,1,9,10
MORO MORO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-02-01,0,12,0,12,12
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-02-01,7,12,7,12,19
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-02-01,4,15,4,15,19
PORONGO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-02-01,1,0,1,0,1
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-02-01,0,46,0,46,46
POSTRER VALLE,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-02-01,0,2,0,2,2
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-02-01,2,11,2,11,13
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-02-01,0,1,0,1,1
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-02-01,0,2,0,2,2
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-02-01,0,3,0,3,3
SABAYA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-02-01,10,0,10,0,10
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-02-01,1,27,1,27,28
SAMAIPATA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-02-01,2,0,2,0,2
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-02-01,0,9,0,9,9
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-02-01,0,2,0,2,2
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-02-01,0,10,0,10,10
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-02-01,71,34,71,34,105
SANTIAGO DE HUATA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-02-01,0,2,0,2,2
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-02-01,33,26,33,26,59
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-02-01,0,3,0,3,3
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-02-01,1,73,1,73,74
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-02-01,0,1,0,1,1
TARATA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-02-01,0,1,0,1,1
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-02-01,14,31,14,31,45
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-02-01,0,2,0,2,2
TEOPONTE,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-02-01,0,2,0,2,2
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-02-01,3,5,3,5,8
TIRAQUE (CBBA),"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-02-01,0,1,0,1,1
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-02-01,2,1,2,1,3
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-02-01,0,1,0,1,1
URIONDO (A. CONCEPCION),"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-02-01,0,1,0,1,1
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-02-01,2,1,2,1,3
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-02-01,12,33,12,33,45
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-02-01,0,1,0,1,1
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-02-01,21,50,21,50,71
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-02-01,1,0,1,0,1
ZUDAÑEZ,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-02-01,0,2,0,2,2
BATALLAS,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-03-01,4,7,4,7,11
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-03-01,1,0,1,0,1
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-03-01,1,2,1,2,3
CAJUATA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-03-01,0,4,0,4,4
CARACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-03-01,0,2,0,2,2
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-03-01,0,5,0,5,5
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-03-01,57,149,57,149,206
COLOMI,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-03-01,0,1,0,1,1
COLQUENCHA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-03-01,0,1,0,1,1
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-03-01,21,32,21,32,53
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-03-01,6,3,6,3,9
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-03-01,37,139,37,139,176
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-03-01,1,1,1,1,2
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-03-01,2,6,2,6,8
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-03-01,10,3,10,3,13
EUCALIPTUS,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-03-01,0,2,0,2,2
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-03-01,2,0,2,0,2
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-03-01,0,1,0,1,1
GUTIERREZ,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-03-01,0,1,0,1,1
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-03-01,1,0,1,0,1
HUANUNI,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-03-01,1,5,1,5,6
INQUISIVI,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-03-01,0,1,0,1,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-03-01,0,1,0,1,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-03-01,87,321,87,321,408
MACHACAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-03-01,8,5,8,5,13
MOCOMOCO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-03-01,0,8,0,8,8
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-03-01,1,2,1,2,3
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-03-01,2,11,2,11,13
MOROCHATA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-03-01,2,1,2,1,3
NUEVO MANOA (NUEVA ESPERANZA),"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-03-01,0,1,0,1,1
OMEREQUE,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-03-01,1,0,1,0,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-03-01,14,37,14,37,51
PADCAYA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-03-01,0,5,0,5,5
PAZÑA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-03-01,0,2,0,2,2
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-03-01,1,1,1,1,2
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-03-01,11,56,11,56,67
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-03-01,6,15,6,15,21
PUERTO QUIJARRO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-03-01,0,4,0,4,4
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-03-01,3,3,3,3,6
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-03-01,4,1,4,1,5
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-03-01,1,5,1,5,6
QUIME,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-03-01,0,3,0,3,3
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-03-01,1,0,1,0,1
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-03-01,11,68,11,68,79
SAMAIPATA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-03-01,0,1,0,1,1
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-03-01,0,1,0,1,1
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-03-01,0,2,0,2,2
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-03-01,0,1,0,1,1
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-03-01,0,3,0,3,3
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-03-01,2,6,2,6,8
SAN RAMON BENI,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-03-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-03-01,88,58,88,58,146
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-03-01,2,137,2,137,139
SIPE SIPE,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-03-01,2,3,2,3,5
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-03-01,20,70,20,70,90
TACACOMA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-03-01,0,1,0,1,1
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-03-01,12,66,12,66,78
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-03-01,0,3,0,3,3
TEOPONTE,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-03-01,10,23,10,23,33
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-03-01,3,0,3,0,3
TOTORA(ORR),"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-03-01,0,1,0,1,1
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-03-01,6,5,6,5,11
URIONDO (A. CONCEPCION),"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-03-01,6,0,6,0,6
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-03-01,3,1,3,1,4
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-03-01,5,24,5,24,29
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-03-01,1,2,1,2,3
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-03-01,6,4,6,4,10
