,group,variable,month,CÁNCER CERVICOUTERINO CANTIDAD,CÁNCER CERVICOUTERINO CANTIDAD,TOTALES,TOTALES,TOTALES
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-02-01,0,3,0,3,3
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-02-01,0,2,0,2,2
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-02-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-02-01,0,1,0,1,1
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-02-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-02-01,0,19,0,19,19
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-02-01,0,12,0,12,12
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-02-01,0,2,0,2,2
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-02-01,0,2,0,2,2
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-02-01,0,1,0,1,1
VILA VILA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-02-01,0,1,0,1,1
VILLA SERRANO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-02-01,0,1,0,1,1
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-02-01,0,1,0,1,1
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-03-01,0,1,0,1,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-03-01,0,118,0,118,118
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-03-01,0,1,0,1,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-03-01,0,19,0,19,19
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-03-01,0,1,0,1,1
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-03-01,0,4,0,4,4
INQUISIVI,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-03-01,0,1,0,1,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-03-01,0,96,0,96,96
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-03-01,0,3,0,3,3
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-03-01,0,1,0,1,1
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-03-01,0,3,0,3,3
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-03-01,0,12,0,12,12
SAMAIPATA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-03-01,0,2,0,2,2
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-03-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-03-01,0,1,0,1,1
SAN JUAN DE YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-03-01,0,1,0,1,1
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-03-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-03-01,0,13,0,13,13
SIPE SIPE,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-03-01,0,4,0,4,4
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-03-01,0,1,0,1,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-03-01,0,17,0,17,17
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-03-01,0,6,0,6,6
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-03-01,0,1,0,1,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-03-01,0,3,0,3,3
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-03-01,0,1,0,1,1
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-03-01,0,1,0,1,1
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-03-01,0,2,0,2,2
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-03-01,0,1,0,1,1
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-03-01,0,1,0,1,1
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-04-01,0,1,0,1,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-04-01,0,1,0,1,1
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-04-01,0,1,0,1,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-04-01,0,1,0,1,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-04-01,0,67,0,67,67
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-04-01,0,1,0,1,1
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-04-01,0,1,0,1,1
CUATRO CAÑADAS,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-04-01,0,2,0,2,2
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-04-01,0,13,0,13,13
EL VILLAR,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-04-01,0,1,0,1,1
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-04-01,0,3,0,3,3
INCAHUASI,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-04-01,0,1,0,1,1
JESUS DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-04-01,0,1,0,1,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-04-01,0,2,0,2,2
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-04-01,0,73,0,73,73
MACHACAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-04-01,0,2,0,2,2
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-04-01,0,3,0,3,3
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-04-01,0,4,0,4,4
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-04-01,0,1,0,1,1
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-04-01,0,2,0,2,2
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-04-01,0,2,0,2,2
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-04-01,0,1,0,1,1
SAN JULIAN,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-04-01,0,1,0,1,1
SANTA ANA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-04-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-04-01,0,27,0,27,27
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-04-01,0,10,0,10,10
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-04-01,0,3,0,3,3
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-04-01,0,1,0,1,1
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-04-01,0,1,0,1,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-04-01,0,7,0,7,7
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-04-01,0,3,0,3,3
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-04-01,0,1,0,1,1
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-04-01,0,2,0,2,2
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-04-01,0,2,0,2,2
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-04-01,0,1,0,1,1
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-04-01,0,1,0,1,1
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-05-01,0,3,0,3,3
ACHOCALLA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-05-01,0,1,0,1,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-05-01,0,2,0,2,2
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-05-01,0,1,0,1,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-05-01,0,43,0,43,43
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-05-01,0,1,0,1,1
CORIPATA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-05-01,0,1,0,1,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-05-01,0,23,0,23,23
EL VILLAR,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-05-01,0,1,0,1,1
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-05-01,0,1,0,1,1
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-05-01,0,2,0,2,2
INQUISIVI,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-05-01,0,1,0,1,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-05-01,0,57,0,57,57
MACHARETI,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-05-01,0,1,0,1,1
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-05-01,0,22,0,22,22
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-05-01,0,4,0,4,4
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-05-01,0,2,0,2,2
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-05-01,0,5,0,5,5
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-05-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-05-01,0,3,0,3,3
SAN JULIAN,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-05-01,0,2,0,2,2
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-05-01,0,32,0,32,32
SICA SICA (VILLA AROMA),"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-05-01,0,1,0,1,1
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-05-01,0,1,0,1,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-05-01,0,10,0,10,10
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-05-01,0,25,0,25,25
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-05-01,0,1,0,1,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-05-01,0,5,0,5,5
VACAS,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-05-01,0,1,0,1,1
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-05-01,0,2,0,2,2
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-05-01,0,1,0,1,1
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-05-01,0,1,0,1,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-05-01,0,1,0,1,1
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-05-01,0,6,0,6,6
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-06-01,0,6,0,6,6
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-06-01,0,1,0,1,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-06-01,0,1,0,1,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-06-01,0,76,0,76,76
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-06-01,0,1,0,1,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-06-01,0,12,0,12,12
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-06-01,0,1,0,1,1
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-06-01,0,2,0,2,2
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-06-01,0,1,0,1,1
JESUS DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-06-01,0,1,0,1,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-06-01,0,104,0,104,104
LURIBAY,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-06-01,0,1,0,1,1
MAIRANA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-06-01,0,4,0,4,4
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-06-01,0,1,0,1,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-06-01,0,7,0,7,7
PAILON,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-06-01,0,1,0,1,1
PAPEL PAMPA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-06-01,0,2,0,2,2
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-06-01,0,5,0,5,5
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-06-01,0,1,0,1,1
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-06-01,0,6,0,6,6
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-06-01,0,1,0,1,1
SAMAIPATA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-06-01,0,5,0,5,5
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-06-01,0,1,0,1,1
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-06-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-06-01,0,1,0,1,1
SAN JULIAN,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-06-01,0,2,0,2,2
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-06-01,0,35,0,35,35
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-06-01,0,101,0,101,101
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-06-01,0,8,0,8,8
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-06-01,0,1,0,1,1
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-06-01,0,2,0,2,2
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-06-01,0,1,0,1,1
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-06-01,0,1,0,1,1
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-07-01,0,2,0,2,2
CAIROMA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-07-01,0,1,0,1,1
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-07-01,0,2,0,2,2
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-07-01,0,2,0,2,2
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-07-01,0,91,0,91,91
CORIPATA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-07-01,0,1,0,1,1
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-07-01,0,1,0,1,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-07-01,0,12,0,12,12
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-07-01,0,3,0,3,3
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-07-01,0,1,0,1,1
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-07-01,0,2,0,2,2
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-07-01,0,61,0,61,61
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-07-01,0,1,0,1,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-07-01,0,7,0,7,7
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-07-01,0,1,0,1,1
POJO (CBBA),"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-07-01,0,2,0,2,2
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-07-01,0,7,0,7,7
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-07-01,0,5,0,5,5
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-07-01,0,1,0,1,1
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-07-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-07-01,0,2,0,2,2
SAN JULIAN,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-07-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-07-01,0,21,0,21,21
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-07-01,0,25,0,25,25
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-07-01,0,1,0,1,1
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-07-01,0,3,0,3,3
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-07-01,0,4,0,4,4
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-07-01,0,1,0,1,1
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-07-01,0,1,0,1,1
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-07-01,0,1,0,1,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-07-01,0,1,0,1,1
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-08-01,0,1,0,1,1
BAURES,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-08-01,0,1,0,1,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-08-01,0,3,0,3,3
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-08-01,0,2,0,2,2
CAJUATA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-08-01,0,1,0,1,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-08-01,0,4,0,4,4
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-08-01,0,65,0,65,65
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-08-01,0,2,0,2,2
CUATRO CAÑADAS,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-08-01,0,1,0,1,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-08-01,0,12,0,12,12
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-08-01,0,1,0,1,1
EL VILLAR,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-08-01,0,1,0,1,1
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-08-01,0,1,0,1,1
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-08-01,0,1,0,1,1
ICLA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-08-01,0,1,0,1,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-08-01,0,1,0,1,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-08-01,0,81,0,81,81
MIZQUE,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-08-01,0,1,0,1,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-08-01,0,2,0,2,2
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-08-01,0,1,0,1,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-08-01,0,7,0,7,7
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-08-01,0,1,0,1,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-08-01,0,1,0,1,1
