,group,variable,month,CÁNCER OTROS CANTIDAD,CÁNCER OTROS CANTIDAD,TOTALES,TOTALES,TOTALES
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-02-01,1,0,1,0,1
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-02-01,1,2,1,2,3
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-02-01,2,0,2,0,2
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-02-01,70,100,70,100,170
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-02-01,4,14,4,14,18
GUANAY,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-02-01,0,1,0,1,1
HUANUNI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-02-01,0,1,0,1,1
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-02-01,0,1,0,1,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-02-01,30,43,30,43,73
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-02-01,0,2,0,2,2
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-02-01,0,1,0,1,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-02-01,2,7,2,7,9
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-02-01,2,1,2,1,3
PRESTO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-02-01,0,1,0,1,1
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-02-01,1,0,1,0,1
REYES,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-02-01,0,1,0,1,1
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-02-01,2,1,2,1,3
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-02-01,1,0,1,0,1
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-02-01,1,0,1,0,1
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-02-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-02-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-02-01,133,51,133,51,184
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-02-01,79,25,79,25,104
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-02-01,2,9,2,9,11
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-02-01,0,1,0,1,1
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-02-01,0,1,0,1,1
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-02-01,2,0,2,0,2
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-02-01,0,1,0,1,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-02-01,43,48,43,48,91
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-02-01,1,1,1,1,2
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-03-01,0,3,0,3,3
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-03-01,1,1,1,1,2
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-03-01,1,0,1,0,1
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-03-01,5,4,5,4,9
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-03-01,0,1,0,1,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-03-01,1,0,1,0,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-03-01,240,420,240,420,660
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-03-01,1,0,1,0,1
COPACABANA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-03-01,0,1,0,1,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-03-01,6,3,6,3,9
EUCALIPTUS,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-03-01,1,0,1,0,1
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-03-01,3,0,3,0,3
GUANAY,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-03-01,0,1,0,1,1
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-03-01,8,8,8,8,16
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-03-01,0,1,0,1,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-03-01,48,71,48,71,119
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-03-01,0,1,0,1,1
MACHACAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-03-01,1,0,1,0,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-03-01,0,1,0,1,1
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-03-01,0,1,0,1,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-03-01,4,6,4,6,10
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-03-01,0,2,0,2,2
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-03-01,1,1,1,1,2
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-03-01,1,0,1,0,1
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-03-01,1,1,1,1,2
QUIME,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-03-01,0,3,0,3,3
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-03-01,3,0,3,0,3
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-03-01,1,0,1,0,1
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-03-01,2,0,2,0,2
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-03-01,1,0,1,0,1
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-03-01,0,2,0,2,2
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-03-01,0,1,0,1,1
SAN JOAQUIN,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-03-01,0,1,0,1,1
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-03-01,0,1,0,1,1
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-03-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-03-01,185,68,185,68,253
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-03-01,50,61,50,61,111
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-03-01,16,34,16,34,50
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-03-01,1,1,1,1,2
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-03-01,0,1,0,1,1
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-03-01,0,2,0,2,2
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-03-01,0,1,0,1,1
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-03-01,0,1,0,1,1
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-03-01,0,1,0,1,1
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-03-01,0,1,0,1,1
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-03-01,1,1,1,1,2
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-03-01,0,1,0,1,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-03-01,3,2,3,2,5
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-04-01,1,1,1,1,2
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-04-01,1,1,1,1,2
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-04-01,1,0,1,0,1
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-04-01,2,3,2,3,5
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-04-01,228,500,228,500,728
COLQUENCHA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-04-01,1,0,1,0,1
CORO CORO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-04-01,0,1,0,1,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-04-01,2,6,2,6,8
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-04-01,2,1,2,1,3
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-04-01,54,52,54,52,106
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-04-01,0,1,0,1,1
MACHACAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-04-01,3,2,3,2,5
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-04-01,1,1,1,1,2
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-04-01,2,0,2,0,2
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-04-01,3,10,3,10,13
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-04-01,0,1,0,1,1
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-04-01,0,1,0,1,1
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-04-01,0,1,0,1,1
QUIME,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-04-01,0,1,0,1,1
REYES,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-04-01,1,0,1,0,1
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-04-01,1,0,1,0,1
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-04-01,1,1,1,1,2
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-04-01,1,0,1,0,1
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-04-01,0,1,0,1,1
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-04-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-04-01,0,1,0,1,1
SAN JULIAN,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-04-01,1,0,1,0,1
SANTA ANA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-04-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-04-01,154,50,154,50,204
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-04-01,1,0,1,0,1
SIPE SIPE,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-04-01,1,1,1,1,2
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-04-01,83,69,83,69,152
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-04-01,6,12,6,12,18
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-04-01,1,3,1,3,4
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-04-01,5,5,5,5,10
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-04-01,2,4,2,4,6
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-04-01,1,0,1,0,1
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-04-01,0,1,0,1,1
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-04-01,0,1,0,1,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-04-01,9,1,9,1,10
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-04-01,1,2,1,2,3
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-05-01,0,1,0,1,1
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-05-01,1,0,1,0,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-05-01,0,2,0,2,2
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-05-01,2,2,2,2,4
CARANAVI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-05-01,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-05-01,0,1,0,1,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-05-01,183,441,183,441,624
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-05-01,1,4,1,4,5
COLQUENCHA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-05-01,0,1,0,1,1
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-05-01,2,0,2,0,2
COPACABANA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-05-01,1,0,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-05-01,3,6,3,6,9
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-05-01,1,0,1,0,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-05-01,34,152,34,152,186
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-05-01,1,1,1,1,2
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-05-01,5,12,5,12,17
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-05-01,0,1,0,1,1
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-05-01,0,1,0,1,1
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-05-01,0,2,0,2,2
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-05-01,0,3,0,3,3
REYES,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-05-01,17,70,17,70,87
SANTA ANA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-05-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-05-01,133,76,133,76,209
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-05-01,0,1,0,1,1
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-05-01,1,0,1,0,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-05-01,92,43,92,43,135
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-05-01,0,2,0,2,2
TARATA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-05-01,1,0,1,0,1
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-05-01,13,47,13,47,60
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-05-01,15,15,15,15,30
VACAS,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-05-01,0,1,0,1,1
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-05-01,3,5,3,5,8
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-05-01,1,0,1,0,1
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-05-01,1,1,1,1,2
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-05-01,2,3,2,3,5
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-05-01,3,3,3,3,6
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-05-01,3,2,3,2,5
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-06-01,0,1,0,1,1
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-06-01,0,1,0,1,1
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-06-01,1,0,1,0,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-06-01,0,2,0,2,2
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-06-01,0,1,0,1,1
CARANAVI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-06-01,0,1,0,1,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-06-01,1,1,1,1,2
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-06-01,183,375,183,375,558
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-06-01,4,2,4,2,6
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-06-01,3,6,3,6,9
ESCOMA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-06-01,1,1,1,1,2
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-06-01,1,0,1,0,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-06-01,36,110,36,110,146
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-06-01,1,1,1,1,2
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-06-01,12,8,12,8,20
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-06-01,0,3,0,3,3
POOPO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-06-01,0,1,0,1,1
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-06-01,2,3,2,3,5
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-06-01,0,5,0,5,5
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-06-01,0,1,0,1,1
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-06-01,0,1,0,1,1
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-06-01,2,2,2,2,4
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-06-01,0,1,0,1,1
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-06-01,0,1,0,1,1
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-06-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-06-01,1,0,1,0,1
SAN JULIAN,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-06-01,1,0,1,0,1
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-06-01,1,1,1,1,2
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-06-01,173,108,173,108,281
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-06-01,95,57,95,57,152
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-06-01,2,0,2,0,2
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-06-01,13,6,13,6,19
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-06-01,0,1,0,1,1
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-06-01,1,0,1,0,1
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-06-01,5,3,5,3,8
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-06-01,1,0,1,0,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-06-01,3,2,3,2,5
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-07-01,1,0,1,0,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-07-01,0,3,0,3,3
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-07-01,4,2,4,2,6
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-07-01,245,504,245,504,749
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-07-01,0,1,0,1,1
CUATRO CAÑADAS,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-07-01,0,1,0,1,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-07-01,3,6,3,6,9
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-07-01,135,92,135,92,227
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-07-01,2,1,2,1,3
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-07-01,10,13,10,13,23
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-07-01,1,0,1,0,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-07-01,1,8,1,8,9
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-07-01,3,2,3,2,5
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-07-01,1,2,1,2,3
SAMAIPATA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-07-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-07-01,174,68,174,68,242
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-07-01,1,1,1,1,2
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-07-01,201,243,201,243,444
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-07-01,0,1,0,1,1
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-07-01,6,10,6,10,16
