,group,variable,month,HABITO DE FUMAR CANTIDAD,HABITO DE FUMAR CANTIDAD,TOTALES,TOTALES,TOTALES
INCAHUASI,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-02-01,14,0,14,0,14
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-02-01,3,5,3,5,8
MACHARETI,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-02-01,0,1,0,1,1
PORONGO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-02-01,1,0,1,0,1
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-02-01,1,0,1,0,1
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-02-01,1,1,1,1,2
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-02-01,0,1,0,1,1
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-02-01,2,0,2,0,2
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-02-01,2,0,2,0,2
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-02-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-02-01,9,3,9,3,12
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-02-01,20,5,20,5,25
SANTA ROSA DEL SARA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-02-01,1,0,1,0,1
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-02-01,1,0,1,0,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-02-01,9,4,9,4,13
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-02-01,45,10,45,10,55
TEOPONTE,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-02-01,1,0,1,0,1
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-02-01,14,2,14,2,16
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-02-01,1,0,1,0,1
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-02-01,1,0,1,0,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-03-01,0,1,0,1,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-03-01,9,0,9,0,9
COLOMI,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-03-01,1,0,1,0,1
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-03-01,1,0,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-03-01,2,1,2,1,3
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-03-01,1,0,1,0,1
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-03-01,2,0,2,0,2
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-03-01,7,0,7,0,7
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-03-01,4,0,4,0,4
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-03-01,4,3,4,3,7
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-03-01,1,0,1,0,1
PADCAYA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-03-01,2,0,2,0,2
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-03-01,3,0,3,0,3
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-03-01,1,0,1,0,1
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-03-01,2,0,2,0,2
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-03-01,0,47,0,47,47
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-03-01,17,6,17,6,23
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-03-01,19,10,19,10,29
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-03-01,1,0,1,0,1
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-03-01,4,0,4,0,4
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-03-01,1,0,1,0,1
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-03-01,1,0,1,0,1
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-03-01,1,0,1,0,1
SAN RAMON BENI,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-03-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-03-01,7,3,7,3,10
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-03-01,21,10,21,10,31
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-03-01,12,4,12,4,16
TAPACARI,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-03-01,0,2,0,2,2
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-03-01,61,10,61,10,71
TEOPONTE,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-03-01,5,4,5,4,9
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-03-01,1,0,1,0,1
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-03-01,4,0,4,0,4
URIONDO (A. CONCEPCION),"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-03-01,1,0,1,0,1
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-03-01,1,1,1,1,2
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-03-01,30,20,30,20,50
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-04-01,1,0,1,0,1
CAPINOTA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-04-01,2,0,2,0,2
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-04-01,10,6,10,6,16
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-04-01,20,9,20,9,29
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-04-01,3,0,3,0,3
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-04-01,5,2,5,2,7
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-04-01,203,101,203,101,304
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-04-01,1,0,1,0,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-04-01,2,1,2,1,3
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-04-01,3,3,3,3,6
MAGDALENA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-04-01,1,0,1,0,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-04-01,2,0,2,0,2
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-04-01,0,1,0,1,1
PADCAYA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-04-01,1,0,1,0,1
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-04-01,5,0,5,0,5
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-04-01,1,0,1,0,1
PUERTO RICO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-04-01,50,19,50,19,69
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-04-01,2,0,2,0,2
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-04-01,15,5,15,5,20
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-04-01,12,8,12,8,20
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-04-01,13,6,13,6,19
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-04-01,5,0,5,0,5
SAN ANDRES,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-04-01,2,0,2,0,2
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-04-01,4,0,4,0,4
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-04-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-04-01,16,3,16,3,19
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-04-01,40,10,40,10,50
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-04-01,2,2,2,2,4
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-04-01,2,0,2,0,2
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-04-01,4,0,4,0,4
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-04-01,10,0,10,0,10
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-04-01,0,1,0,1,1
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-04-01,9,1,9,1,10
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-04-01,27,0,27,0,27
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-05-01,46,27,46,27,73
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-05-01,0,1,0,1,1
BOLPEBRA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-05-01,5,5,5,5,10
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-05-01,8,9,8,9,17
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-05-01,32,11,32,11,43
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-05-01,2,0,2,0,2
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-05-01,1,0,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-05-01,0,1,0,1,1
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-05-01,1,0,1,0,1
INCAHUASI,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-05-01,7,0,7,0,7
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-05-01,68,50,68,50,118
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-05-01,1,0,1,0,1
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-05-01,1,0,1,0,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-05-01,0,2,0,2,2
PALCA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-05-01,1,1,1,1,2
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-05-01,0,29,0,29,29
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-05-01,1,0,1,0,1
PUERTO RICO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-05-01,70,19,70,19,89
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-05-01,8,0,8,0,8
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-05-01,3,1,3,1,4
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-05-01,8,0,8,0,8
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-05-01,1,0,1,0,1
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-05-01,5,0,5,0,5
SAN JULIAN,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-05-01,1,0,1,0,1
SAN LORENZO(PND),"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-05-01,1,0,1,0,1
SAN RAMON BENI,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-05-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-05-01,13,4,13,4,17
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-05-01,2,0,2,0,2
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-05-01,1,0,1,0,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-05-01,1,1,1,1,2
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-05-01,115,8,115,8,123
TEOPONTE,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-05-01,2,1,2,1,3
TOTORA(CBBA),"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-05-01,2,0,2,0,2
URIONDO (A. CONCEPCION),"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-05-01,1,0,1,0,1
VACAS,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-05-01,1,0,1,0,1
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-05-01,36,17,36,17,53
VITICHI,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-05-01,3,0,3,0,3
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-05-01,9,12,9,12,21
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-06-01,3,0,3,0,3
ALTO BENI,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-06-01,1,0,1,0,1
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-06-01,62,19,62,19,81
BELLA FLOR,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-06-01,1,0,1,0,1
BOLPEBRA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-06-01,10,8,10,8,18
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-06-01,4,1,4,1,5
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-06-01,97,10,97,10,107
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-06-01,1,0,1,0,1
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-06-01,0,1,0,1,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-06-01,1,0,1,0,1
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-06-01,1,0,1,0,1
ENTRE RIOS CBBA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-06-01,17,6,17,6,23
ICLA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-06-01,1,0,1,0,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-06-01,25,37,25,37,62
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-06-01,2,0,2,0,2
LORETO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-06-01,1,1,1,1,2
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-06-01,3,0,3,0,3
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-06-01,4,1,4,1,5
MORO MORO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-06-01,1,0,1,0,1
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-06-01,1,0,1,0,1
POSTRER VALLE,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-06-01,1,0,1,0,1
PUERTO GONZALO MORENO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-06-01,3,0,3,0,3
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-06-01,2,0,2,0,2
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-06-01,1,0,1,0,1
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-06-01,9,4,9,4,13
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-06-01,6,4,6,4,10
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-06-01,2,0,2,0,2
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-06-01,1,0,1,0,1
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-06-01,3,0,3,0,3
SANTA ANA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-06-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-06-01,82,53,82,53,135
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-06-01,2,1,2,1,3
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-06-01,1,0,1,0,1
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-06-01,1,0,1,0,1
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-06-01,1,0,1,0,1
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-06-01,10,0,10,0,10
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-06-01,1,0,1,0,1
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-06-01,2,0,2,0,2
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-06-01,12,10,12,10,22
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-06-01,31,46,31,46,77
BOLPEBRA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-07-01,3,3,3,3,6
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-07-01,10,12,10,12,22
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-07-01,1,0,1,0,1
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-07-01,1,0,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-07-01,4,0,4,0,4
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-07-01,1,0,1,0,1
ENTRE RIOS CBBA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-07-01,10,4,10,4,14
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-07-01,2,1,2,1,3
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-07-01,1,1,1,1,2
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-07-01,14,21,14,21,35
MAGDALENA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-07-01,0,1,0,1,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-07-01,1,0,1,0,1
MORO MORO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-07-01,2,0,2,0,2
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-07-01,2,0,2,0,2
PAZÑA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-07-01,1,0,1,0,1
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-07-01,1,0,1,0,1
PUERTO GONZALO MORENO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-07-01,1,1,1,1,2
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-07-01,9,5,9,5,14
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-07-01,10,1,10,1,11
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-07-01,1,1,1,1,2
QUIME,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-07-01,0,1,0,1,1
REYES,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-07-01,6,2,6,2,8
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-07-01,9,4,9,4,13
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-07-01,4,2,4,2,6
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-07-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-07-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-07-01,238,148,238,148,386
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-07-01,15,5,15,5,20
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-07-01,32,14,32,14,46
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-07-01,3,0,3,0,3
TOTORA(CBBA),"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-07-01,3,0,3,0,3
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-07-01,1,0,1,0,1
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-07-01,50,23,50,23,73
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-07-01,1,9,1,9,10
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-08-01,3,0,3,0,3
BELLA FLOR,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-08-01,1,0,1,0,1
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-08-01,57,33,57,33,90
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-08-01,20,4,20,4,24
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-08-01,7,12,7,12,19
