,group,variable,month,PERSONAS CON DISCAPACIDAD CANTIDAD,PERSONAS CON DISCAPACIDAD CANTIDAD,TOTALES,TOTALES,TOTALES
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-01-01,7,0,7,0,7
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-01-01,2,0,2,0,2
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-01-01,0,2,0,2,2
SAN JAVIER(STC),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-01-01,15,12,15,12,27
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-01-01,7,6,7,6,13
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-01-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-01-01,5,2,5,2,7
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-01-01,1,0,1,0,1
SIPE SIPE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-01-01,0,1,0,1,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-01-01,2,3,2,3,5
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-01-01,50,66,50,66,116
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-01-01,0,2,0,2,2
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-01-01,3,0,3,0,3
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-01-01,17,0,17,0,17
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-01-01,7,10,7,10,17
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-01-01,1,0,1,0,1
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-01-01,0,1,0,1,1
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-01-01,3,0,3,0,3
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-01-01,0,1,0,1,1
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-01-01,0,1,0,1,1
ACACIO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-02-01,1,1,1,1,2
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-02-01,1,1,1,1,2
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-02-01,0,2,0,2,2
BUENA VISTA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-02-01,1,0,1,0,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-02-01,0,1,0,1,1
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-02-01,0,1,0,1,1
CAPINOTA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-02-01,1,0,1,0,1
CHIMORE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-02-01,1,0,1,0,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-02-01,1,1,1,1,2
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-02-01,60,81,60,81,141
CUEVO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-02-01,2,2,2,2,4
CURAHUARA DE CARANGAS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-02-01,1,0,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-02-01,4,4,4,4,8
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-02-01,1,0,1,0,1
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-02-01,2,0,2,0,2
ESCOMA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-02-01,2,1,2,1,3
FILADELFIA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-02-01,1,0,1,0,1
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-02-01,25,20,25,20,45
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-02-01,4,2,4,2,6
HUARINA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-02-01,2,0,2,0,2
JESUS DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-02-01,0,2,0,2,2
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-02-01,0,3,0,3,3
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-02-01,4,4,4,4,8
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-02-01,6,1,6,1,7
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-02-01,8,1,8,1,9
NUEVO MANOA (NUEVA ESPERANZA),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-02-01,0,1,0,1,1
PADCAYA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-02-01,0,1,0,1,1
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-02-01,1,0,1,0,1
POSTRER VALLE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-02-01,0,1,0,1,1
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-02-01,1,0,1,0,1
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-02-01,1,0,1,0,1
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-02-01,0,3,0,3,3
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-02-01,6,5,6,5,11
SACACA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-02-01,0,1,0,1,1
SAMAIPATA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-02-01,1,0,1,0,1
SAN BUENA VENTURA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-02-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-02-01,3,0,3,0,3
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-02-01,4,3,4,3,7
SAN RAMON BENI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-02-01,4,2,4,2,6
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-02-01,2,3,2,3,5
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-02-01,1,2,1,2,3
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-02-01,0,1,0,1,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-02-01,3,4,3,4,7
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-02-01,38,75,38,75,113
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-02-01,3,4,3,4,7
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-02-01,17,0,17,0,17
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-02-01,3,3,3,3,6
UNCIA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-02-01,1,0,1,0,1
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-02-01,2,1,2,1,3
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-02-01,5,2,5,2,7
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-02-01,3,3,3,3,6
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-02-01,2,0,2,0,2
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-02-01,4,7,4,7,11
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-03-01,2,1,2,1,3
BATALLAS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-03-01,1,0,1,0,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-03-01,11,11,11,11,22
BUENA VISTA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-03-01,3,0,3,0,3
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-03-01,1,0,1,0,1
CHARAGUA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-03-01,1,0,1,0,1
CHIMORE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-03-01,1,1,1,1,2
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-03-01,79,98,79,98,177
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-03-01,1,0,1,0,1
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-03-01,0,1,0,1,1
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-03-01,1,0,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-03-01,11,8,11,8,19
ESCOMA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-03-01,2,1,2,1,3
EXALTACION,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-03-01,1,0,1,0,1
FILADELFIA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-03-01,1,0,1,0,1
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-03-01,0,3,0,3,3
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-03-01,2,1,2,1,3
JESUS DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-03-01,1,1,1,1,2
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-03-01,3,3,3,3,6
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-03-01,5,6,5,6,11
MACHACAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-03-01,1,0,1,0,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-03-01,1,0,1,0,1
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-03-01,16,10,16,10,26
NUEVO MANOA (NUEVA ESPERANZA),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-03-01,0,1,0,1,1
PADCAYA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-03-01,1,2,1,2,3
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-03-01,1,0,1,0,1
POROMA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-03-01,1,0,1,0,1
PORONGO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-03-01,0,1,0,1,1
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-03-01,1,0,1,0,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-03-01,1,0,1,0,1
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-03-01,1,1,1,1,2
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-03-01,0,1,0,1,1
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-03-01,0,2,0,2,2
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-03-01,17,12,17,12,29
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-03-01,3,3,3,3,6
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-03-01,4,0,4,0,4
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-03-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-03-01,2,0,2,0,2
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-03-01,0,1,0,1,1
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-03-01,1,0,1,0,1
SAN PEDRO DE BUENA VISTA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-03-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-03-01,0,3,0,3,3
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-03-01,3,1,3,1,4
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-03-01,0,1,0,1,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-03-01,11,8,11,8,19
TAPACARI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-03-01,0,1,0,1,1
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-03-01,46,75,46,75,121
TEOPONTE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-03-01,1,0,1,0,1
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-03-01,0,3,0,3,3
TOCO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-03-01,1,0,1,0,1
TOMAVE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-03-01,3,1,3,1,4
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-03-01,3,4,3,4,7
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-03-01,3,4,3,4,7
UNCIA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-03-01,0,1,0,1,1
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-03-01,1,0,1,0,1
VILA VILA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-03-01,0,1,0,1,1
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-03-01,3,4,3,4,7
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-03-01,1,0,1,0,1
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-03-01,3,1,3,1,4
VITICHI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-03-01,1,0,1,0,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-03-01,30,27,30,27,57
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-03-01,8,6,8,6,14
AYOPAYA (V. DE INDEPENDENCIA),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-04-01,1,0,1,0,1
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-04-01,1,3,1,3,4
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-04-01,14,6,14,6,20
BUENA VISTA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-04-01,2,0,2,0,2
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-04-01,1,0,1,0,1
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-04-01,2,0,2,0,2
CARAPARI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-04-01,1,0,1,0,1
CARMEN RIVERO TORREZ,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-04-01,1,0,1,0,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-04-01,1,0,1,0,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-04-01,76,88,76,88,164
COIPASA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-04-01,1,4,1,4,5
COLQUENCHA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-04-01,1,0,1,0,1
COLQUIRI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-04-01,1,0,1,0,1
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-04-01,2,0,2,0,2
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-04-01,46,32,46,32,78
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-04-01,0,1,0,1,1
ESCOMA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-04-01,2,1,2,1,3
FILADELFIA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-04-01,0,1,0,1,1
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-04-01,13,17,13,17,30
ICLA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-04-01,1,0,1,0,1
JESUS DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-04-01,1,3,1,3,4
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-04-01,0,1,0,1,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-04-01,2,4,2,4,6
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-04-01,4,6,4,6,10
MACHACAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-04-01,1,0,1,0,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-04-01,2,2,2,2,4
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-04-01,3,3,3,3,6
MORO MORO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-04-01,1,0,1,0,1
MOROCHATA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-04-01,1,0,1,0,1
PADCAYA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-04-01,2,3,2,3,5
PAZÑA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-04-01,1,0,1,0,1
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-04-01,1,0,1,0,1
POROMA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-04-01,0,1,0,1,1
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-04-01,1,0,1,0,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-04-01,7,8,7,8,15
PUERTO RICO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-04-01,1,1,1,1,2
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-04-01,1,1,1,1,2
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-04-01,1,0,1,0,1
REYES,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-04-01,6,4,6,4,10
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-04-01,19,12,19,12,31
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-04-01,0,1,0,1,1
SAN ANDRES,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-04-01,1,0,1,0,1
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-04-01,1,1,1,1,2
SAN BUENA VENTURA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-04-01,1,0,1,0,1
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-04-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-04-01,1,0,1,0,1
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-04-01,2,3,2,3,5
SAN JULIAN,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-04-01,2,0,2,0,2
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-04-01,0,2,0,2,2
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-04-01,1,2,1,2,3
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-04-01,5,6,5,6,11
SICA SICA (VILLA AROMA),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-04-01,1,0,1,0,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-04-01,3,1,3,1,4
TACOPAYA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-04-01,2,0,2,0,2
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-04-01,127,128,127,128,255
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-04-01,1,0,1,0,1
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-04-01,2,1,2,1,3
TORO TORO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-04-01,1,0,1,0,1
TOTORA(ORR),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-04-01,1,0,1,0,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-04-01,0,1,0,1,1
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-04-01,5,2,5,2,7
VACAS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-04-01,1,2,1,2,3
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-04-01,2,0,2,0,2
VILA VILA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-04-01,0,2,0,2,2
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-04-01,2,0,2,0,2
