,group,variable,month,ABUSO DE ALCOHOL CANTIDAD,ABUSO DE ALCOHOL CANTIDAD,TOTALES,TOTALES,TOTALES
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-01-01,2,0,2,0,2
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-01-01,1,0,1,0,1
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-01-01,2,0,2,0,2
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-01-01,1,0,1,0,1
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-01-01,1,0,1,0,1
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-01-01,2,0,2,0,2
SAMAIPATA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-01-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-01-01,8,2,8,2,10
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-01-01,1,0,1,0,1
SAN RAMON BENI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-01-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-01-01,11,1,11,1,12
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-01-01,2,0,2,0,2
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-01-01,31,2,31,2,33
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-01-01,41,17,41,17,58
TOLATA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-01-01,1,0,1,0,1
TRIGAL,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-01-01,0,1,0,1,1
URIONDO (A. CONCEPCION),"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-01-01,2,0,2,0,2
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-01-01,1,0,1,0,1
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-01-01,3,1,3,1,4
VILLA SERRANO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-01-01,1,0,1,0,1
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-01-01,8,0,8,0,8
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-01-01,4,1,4,1,5
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-01-01,2,0,2,0,2
YUNCHARA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-01-01,2,0,2,0,2
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-02-01,2,0,2,0,2
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-02-01,1,0,1,0,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-02-01,1,0,1,0,1
BOLPEBRA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-02-01,2,0,2,0,2
BOYUIBE,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-02-01,1,0,1,0,1
CAIROMA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-02-01,1,3,1,3,4
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-02-01,5,0,5,0,5
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-02-01,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-02-01,0,1,0,1,1
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-02-01,1,0,1,0,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-02-01,7,0,7,0,7
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-02-01,3,1,3,1,4
COPACABANA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-02-01,2,0,2,0,2
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-02-01,2,0,2,0,2
CUEVO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-02-01,1,1,1,1,2
DESAGUADERO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-02-01,2,0,2,0,2
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-02-01,18,0,18,0,18
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-02-01,1,0,1,0,1
EL VILLAR,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-02-01,1,1,1,1,2
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-02-01,3,0,3,0,3
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-02-01,1,0,1,0,1
GUTIERREZ,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-02-01,1,0,1,0,1
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-02-01,7,0,7,0,7
HUANUNI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-02-01,0,1,0,1,1
INCAHUASI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-02-01,4,0,4,0,4
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-02-01,1,0,1,0,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-02-01,44,22,44,22,66
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-02-01,2,1,2,1,3
MACHARETI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-02-01,6,0,6,0,6
MAGDALENA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-02-01,1,0,1,0,1
MECAPACA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-02-01,2,0,2,0,2
MINEROS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-02-01,0,1,0,1,1
MIZQUE,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-02-01,1,0,1,0,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-02-01,2,0,2,0,2
MORO MORO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-02-01,1,0,1,0,1
OMEREQUE,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-02-01,1,0,1,0,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-02-01,8,3,8,3,11
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-02-01,0,1,0,1,1
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-02-01,1,0,1,0,1
POSTRER VALLE,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-02-01,1,0,1,0,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-02-01,13,6,13,6,19
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-02-01,1,0,1,0,1
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-02-01,1,0,1,0,1
QUIRUSILLAS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-02-01,0,1,0,1,1
SABAYA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-02-01,6,0,6,0,6
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-02-01,3,1,3,1,4
SACABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-02-01,4,2,4,2,6
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-02-01,4,0,4,0,4
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-02-01,2,4,2,4,6
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-02-01,2,0,2,0,2
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-02-01,1,0,1,0,1
SAN PEDRO DE TIQUINA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-02-01,1,1,1,1,2
SAN RAMON BENI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-02-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-02-01,18,5,18,5,23
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-02-01,10,0,10,0,10
SANTA ROSA DEL SARA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-02-01,2,0,2,0,2
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-02-01,1,0,1,0,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-02-01,28,2,28,2,30
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-02-01,2,0,2,0,2
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-02-01,102,36,102,36,138
TEOPONTE,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-02-01,2,0,2,0,2
TRIGAL,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-02-01,1,1,1,1,2
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-02-01,9,2,9,2,11
UNCIA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-02-01,2,0,2,0,2
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-02-01,3,0,3,0,3
VILLA SERRANO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-02-01,1,0,1,0,1
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-02-01,2,0,2,0,2
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-02-01,2,0,2,0,2
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-02-01,1,1,1,1,2
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-02-01,2,0,2,0,2
ZUDAÑEZ,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-02-01,3,0,3,0,3
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-03-01,0,1,0,1,1
ALALAY,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-03-01,1,0,1,0,1
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-03-01,0,1,0,1,1
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-03-01,0,1,0,1,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-03-01,1,1,1,1,2
BOLPEBRA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-03-01,1,0,1,0,1
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-03-01,1,0,1,0,1
CAIROMA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-03-01,2,0,2,0,2
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-03-01,2,0,2,0,2
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-03-01,1,0,1,0,1
CARAPARI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-03-01,1,0,1,0,1
CATACORA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-03-01,1,0,1,0,1
CKOCHAS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-03-01,2,0,2,0,2
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-03-01,1,1,1,1,2
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-03-01,2,0,2,0,2
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-03-01,16,12,16,12,28
COLPA BELGICA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-03-01,1,0,1,0,1
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-03-01,2,0,2,0,2
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-03-01,12,2,12,2,14
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-03-01,1,0,1,0,1
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-03-01,1,0,1,0,1
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-03-01,1,1,1,1,2
FERNANDEZ ALONSO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-03-01,1,0,1,0,1
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-03-01,0,1,0,1,1
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-03-01,1,0,1,0,1
HUANUNI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-03-01,1,0,1,0,1
ICLA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-03-01,1,0,1,0,1
INCAHUASI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-03-01,2,0,2,0,2
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-03-01,2,0,2,0,2
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-03-01,70,25,70,25,95
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-03-01,2,0,2,0,2
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-03-01,2,2,2,2,4
MACHARETI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-03-01,1,0,1,0,1
MAGDALENA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-03-01,1,0,1,0,1
MAIRANA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-03-01,1,0,1,0,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-03-01,2,0,2,0,2
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-03-01,4,0,4,0,4
PADCAYA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-03-01,3,0,3,0,3
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-03-01,1,0,1,0,1
PAZÑA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-03-01,3,0,3,0,3
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-03-01,4,0,4,0,4
POROMA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-03-01,1,0,1,0,1
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-03-01,2,0,2,0,2
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-03-01,9,3,9,3,12
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-03-01,1,0,1,0,1
PUERTO QUIJARRO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-03-01,5,0,5,0,5
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-03-01,1,0,1,0,1
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-03-01,6,0,6,0,6
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-03-01,1,0,1,0,1
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-03-01,3,0,3,0,3
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-03-01,3,0,3,0,3
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-03-01,5,1,5,1,6
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-03-01,3,1,3,1,4
SACACA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-03-01,1,0,1,0,1
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-03-01,4,0,4,0,4
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-03-01,4,1,4,1,5
SAN JAVIER(STC),"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-03-01,2,0,2,0,2
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-03-01,0,3,0,3,3
SAN RAMON BENI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-03-01,3,1,3,1,4
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-03-01,28,12,28,12,40
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-03-01,21,5,21,5,26
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-03-01,1,0,1,0,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-03-01,30,5,30,5,35
TAPACARI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-03-01,2,2,2,2,4
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-03-01,176,66,176,66,242
TEOPONTE,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-03-01,3,0,3,0,3
TOMAVE,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-03-01,2,0,2,0,2
TRIGAL,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-03-01,1,0,1,0,1
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-03-01,9,2,9,2,11
VACAS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-03-01,1,0,1,0,1
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-03-01,1,1,1,1,2
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-03-01,1,0,1,0,1
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-03-01,17,3,17,3,20
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-03-01,1,0,1,0,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-03-01,18,23,18,23,41
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-03-01,4,1,4,1,5
ZUDAÑEZ,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-03-01,1,0,1,0,1
ALTO BENI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-04-01,1,0,1,0,1
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-04-01,3,0,3,0,3
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-04-01,1,0,1,0,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-04-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-04-01,1,0,1,0,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-04-01,13,6,13,6,19
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-04-01,0,1,0,1,1
COPACABANA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-04-01,2,0,2,0,2
CORQUE,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-04-01,0,1,0,1,1
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-04-01,5,0,5,0,5
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-04-01,2,0,2,0,2
CUATRO CAÑADAS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-04-01,1,0,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-04-01,23,2,23,2,25
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-04-01,1,1,1,1,2
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-04-01,4,3,4,3,7
EUREKA (SANTOS MERCADO),"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-04-01,2,1,2,1,3
EXALTACION,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-04-01,1,0,1,0,1
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-04-01,5,1,5,1,6
GUTIERREZ,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-04-01,1,0,1,0,1
INCAHUASI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-04-01,2,0,2,0,2
INQUISIVI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-04-01,1,0,1,0,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-04-01,3,1,3,1,4
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-04-01,56,23,56,23,79
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-04-01,3,0,3,0,3
MACHARETI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-04-01,1,0,1,0,1
MECAPACA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-04-01,1,0,1,0,1
MINEROS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-04-01,0,1,0,1,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-04-01,2,1,2,1,3
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-04-01,1,2,1,2,3
