,group,variable,month,CARDIOVASCULARES CANTIDAD,CARDIOVASCULARES CANTIDAD,TOTALES,TOTALES,TOTALES
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-01-01,1,1,1,1,2
MORO MORO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-01-01,4,9,4,9,13
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-01-01,31,45,31,45,76
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-01-01,4,8,4,8,12
PALCA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-01-01,2,2,2,2,4
PALOS BLANCOS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-01-01,3,0,3,0,3
PAZÑA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-01-01,0,1,0,1,1
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-01-01,1,0,1,0,1
POSTRER VALLE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-01-01,4,1,4,1,5
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-01-01,6,9,6,9,15
PUCARA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-01-01,1,5,1,5,6
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-01-01,1,0,1,0,1
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-01-01,2,0,2,0,2
QUIME,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-01-01,0,2,0,2,2
QUIRUSILLAS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-01-01,3,2,3,2,5
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-01-01,4,5,4,5,9
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-01-01,3,5,3,5,8
SACACA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-01-01,0,1,0,1,1
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-01-01,1,4,1,4,5
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-01-01,3,5,3,5,8
SAN JAVIER(STC),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-01-01,6,4,6,4,10
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-01-01,0,1,0,1,1
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-01-01,0,1,0,1,1
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-01-01,3,2,3,2,5
SAN PABLO DE LIPEZ,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-01-01,1,0,1,0,1
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-01-01,3,2,3,2,5
SAN PEDRO DE BUENA VISTA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-01-01,1,0,1,0,1
SAN RAMON BENI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-01-01,1,2,1,2,3
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-01-01,53,51,53,51,104
SANTIAGO DE CALLAPA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-01-01,1,0,1,0,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-01-01,71,117,71,117,188
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-01-01,7,8,7,8,15
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-01-01,19,2,19,2,21
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-01-01,3,1,3,1,4
TIPUANI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-01-01,2,1,2,1,3
TOCO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-01-01,1,0,1,0,1
TOLATA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-01-01,2,4,2,4,6
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-01-01,1,3,1,3,4
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-01-01,4,11,4,11,15
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-01-01,71,81,71,81,152
URIONDO (A. CONCEPCION),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-01-01,1,0,1,0,1
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-01-01,1,3,1,3,4
VILA VILA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-01-01,0,1,0,1,1
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-01-01,8,3,8,3,11
VILLA SERRANO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-01-01,9,10,9,10,19
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-01-01,0,2,0,2,2
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-01-01,3,0,3,0,3
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-01-01,10,12,10,12,22
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-01-01,1,0,1,0,1
YACO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-01-01,0,1,0,1,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-01-01,26,15,26,15,41
YANACACHI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-01-01,1,0,1,0,1
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-01-01,0,10,0,10,10
ZUDAÑEZ,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-01-01,2,4,2,4,6
ACHOCALLA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,0,1,0,1,1
ANCORAIMES,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,1,0,1,0,1
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,1,2,1,2,3
ARBIETO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,1,0,1,0,1
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,3,4,3,4,7
BATALLAS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,0,1,0,1,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,64,15,64,15,79
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,2,0,2,0,2
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,3,8,3,8,11
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,7,10,7,10,17
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,7,3,7,3,10
CARANAVI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,0,1,0,1,1
CARMEN RIVERO TORREZ,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,1,0,1,0,1
CHARAGUA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,5,1,5,1,6
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,0,3,0,3,3
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,2,0,2,0,2
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,15,17,15,17,32
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,3,8,3,8,11
COPACABANA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,1,2,1,2,3
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,1,1,1,1,2
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,2,2,2,2,4
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,7,2,7,2,9
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,52,57,52,57,109
EL CHORO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,0,1,0,1,1
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,1,0,1,0,1
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,1,3,1,3,4
ENTRE RIOS CBBA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,1,2,1,2,3
ESMERALDA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,0,1,0,1,1
GUANAY,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,2,0,2,0,2
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,0,7,0,7,7
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,1,3,1,3,4
ICLA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,2,9,2,9,11
INCAHUASI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,2,7,2,7,9
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,2,1,2,1,3
JESUS DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,1,0,1,0,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,0,5,0,5,5
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,80,74,80,74,154
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,2,2,2,2,4
MACHACAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,1,1,1,1,2
MAGDALENA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,1,1,1,1,2
MAIRANA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,1,1,1,1,2
MINEROS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,0,2,0,2,2
MIZQUE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,0,1,0,1,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,3,3,3,3,6
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,4,5,4,5,9
MORO MORO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,2,0,2,0,2
NACEBE (SANTA ROSA DEL ABUNA),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,2,0,2,0,2
OMEREQUE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,2,2,2,2,4
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,37,34,37,34,71
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,6,5,6,5,11
PALCA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,0,2,0,2,2
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,5,2,5,2,7
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,4,9,4,9,13
PUCARA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,0,1,0,1,1
PUERTO CARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,0,1,0,1,1
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,8,7,8,7,15
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,1,1,1,1,2
QUIME,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,0,1,0,1,1
QUIRUSILLAS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,4,5,4,5,9
REYES,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,4,2,4,2,6
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,4,16,4,16,20
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,6,9,6,9,15
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,9,8,9,8,17
SAIPINA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,1,0,1,0,1
SAMAIPATA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,2,2,2,2,4
SAN ANDRES DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,1,0,1,0,1
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,2,1,2,1,3
SAN BUENA VENTURA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,1,0,1,0,1
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,13,7,13,7,20
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,18,19,18,19,37
SAN JAVIER(STC),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,15,26,15,26,41
SAN JOAQUIN,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,19,15,19,15,34
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,1,5,1,5,6
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,12,24,12,24,36
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,0,1,0,1,1
SAN PABLO DE LIPEZ,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,1,0,1,0,1
SAN RAMON BENI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,0,4,0,4,4
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,96,39,96,39,135
SAPAHAQUI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,1,0,1,0,1
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,1,0,1,0,1
SIPE SIPE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,1,0,1,0,1
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,0,1,0,1,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,65,124,65,124,189
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,2,2,2,2,4
TARACO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,1,0,1,0,1
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,15,8,15,8,23
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,2,0,2,0,2
TEOPONTE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,1,0,1,0,1
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,1,2,1,2,3
TOLATA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,1,1,1,1,2
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,2,5,2,5,7
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,3,7,3,7,10
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,37,41,37,41,78
URIONDO (A. CONCEPCION),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,2,0,2,0,2
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,2,3,2,3,5
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,1,0,1,0,1
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,8,5,8,5,13
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,1,1,1,1,2
VILLA SERRANO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,2,2,2,2,4
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,1,0,1,0,1
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,0,1,0,1,1
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,0,1,0,1,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,14,11,14,11,25
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,2,9,2,9,11
ZUDAÑEZ,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-02-01,12,11,12,11,23
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,1,0,1,0,1
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,6,5,6,5,11
APOLO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,1,0,1,0,1
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,1,1,1,1,2
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,10,8,10,8,18
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,3,1,3,1,4
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,16,19,16,19,35
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,2,4,2,4,6
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,4,3,4,3,7
CAJUATA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,1,0,1,0,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,15,11,15,11,26
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,3,8,3,8,11
CARMEN RIVERO TORREZ,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,0,1,0,1,1
CATACORA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,0,1,0,1,1
CHARAGUA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,3,1,3,1,4
CHULUMANI (V. DE LA LIBERTAD),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,3,1,3,1,4
CKOCHAS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,1,0,1,0,1
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,0,1,0,1,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,163,218,163,218,381
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,1,3,1,3,4
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,9,9,9,9,18
COPACABANA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,0,10,0,10,10
CORIPATA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,3,1,3,1,4
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,2,2,2,2,4
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,2,0,2,0,2
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,11,5,11,5,16
DESAGUADERO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,0,1,0,1,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,94,108,94,108,202
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,4,1,4,1,5
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,5,7,5,7,12
EL VILLAR,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,0,2,0,2,2
ENTRE RIOS CBBA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,0,1,0,1,1
FERNANDEZ ALONSO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,0,1,0,1,1
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,1,0,1,0,1
GUANAY,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,1,2,1,2,3
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,59,59,59,59,118
ICLA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,0,1,0,1,1
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,2,1,2,1,3
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,2,3,2,3,5
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,143,156,143,156,299
MACHACAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,5,5,5,5,10
MINEROS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,0,1,0,1,1
MIZQUE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,1,1,1,1,2
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,8,13,8,13,21
