,group,variable,month,DIABETES MELLITUS I - II CANTIDAD,DIABETES MELLITUS I - II CANTIDAD,TOTALES,TOTALES,TOTALES
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-01-01,2,7,2,7,9
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-01-01,8,11,8,11,19
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-01-01,122,202,122,202,324
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-01-01,1,2,1,2,3
LURIBAY,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-01-01,1,0,1,0,1
MACHARETI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-01-01,0,3,0,3,3
MAGDALENA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-01-01,1,2,1,2,3
MAIRANA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-01-01,6,2,6,2,8
MINEROS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-01-01,0,2,0,2,2
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-01-01,2,3,2,3,5
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-01-01,27,71,27,71,98
MORO MORO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-01-01,1,1,1,1,2
OKINAWA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-01-01,0,2,0,2,2
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-01-01,123,244,123,244,367
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-01-01,5,4,5,4,9
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-01-01,31,62,31,62,93
POSTRER VALLE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-01-01,5,4,5,4,9
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-01-01,13,15,13,15,28
PUCARA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-01-01,0,1,0,1,1
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-01-01,1,0,1,0,1
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-01-01,1,7,1,7,8
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-01-01,1,0,1,0,1
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-01-01,0,1,0,1,1
QUIRUSILLAS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-01-01,0,1,0,1,1
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-01-01,1,11,1,11,12
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-01-01,4,6,4,6,10
SACACA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-01-01,0,1,0,1,1
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-01-01,12,22,12,22,34
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-01-01,15,46,15,46,61
SAN JAVIER(STC),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-01-01,1,7,1,7,8
SAN JOAQUIN,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-01-01,0,1,0,1,1
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-01-01,0,1,0,1,1
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-01-01,0,8,0,8,8
SAN RAFAEL,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-01-01,1,2,1,2,3
SAN RAMON BENI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-01-01,1,1,1,1,2
SANTA ANA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-01-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-01-01,539,32,539,32,571
SANTIAGO DE CALLAPA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-01-01,1,2,1,2,3
SANTIAGO DE HUATA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-01-01,1,1,1,1,2
SAPAHAQUI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-01-01,0,1,0,1,1
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-01-01,1,7,1,7,8
SIPE SIPE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-01-01,0,1,0,1,1
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-01-01,0,3,0,3,3
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-01-01,43,53,43,53,96
TACACOMA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-01-01,0,1,0,1,1
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-01-01,3,5,3,5,8
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-01-01,20,21,20,21,41
TEOPONTE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-01-01,1,1,1,1,2
TOLATA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-01-01,0,1,0,1,1
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-01-01,1,2,1,2,3
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-01-01,5,10,5,10,15
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-01-01,17,14,17,14,31
URIONDO (A. CONCEPCION),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-01-01,1,0,1,0,1
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-01-01,2,3,2,3,5
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-01-01,13,20,13,20,33
VILLA NUEVA (LOMA ALTA),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-01-01,0,1,0,1,1
VILLA SERRANO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-01-01,2,6,2,6,8
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-01-01,1,9,1,9,10
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-01-01,2,5,2,5,7
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-01-01,10,9,10,9,19
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-01-01,45,42,45,42,87
YANACACHI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-01-01,1,1,1,1,2
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-01-01,13,22,13,22,35
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,2,2,2,2,4
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,0,4,0,4,4
APOLO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,2,2,2,2,4
ARBIETO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,1,0,1,0,1
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,0,2,0,2,2
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,1,0,1,0,1
BATALLAS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,1,0,1,0,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,12,19,12,19,31
BOYUIBE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,0,2,0,2,2
BUENA VISTA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,0,4,0,4,4
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,8,8,8,8,16
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,4,12,4,12,16
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,38,49,38,49,87
CARAPARI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,0,1,0,1,1
CARMEN RIVERO TORREZ,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,3,2,3,2,5
CHARAGUA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,0,3,0,3,3
CHULUMANI (V. DE LA LIBERTAD),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,0,1,0,1,1
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,5,8,5,8,13
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,10,14,10,14,24
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,158,210,158,210,368
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,3,4,3,4,7
COLPA BELGICA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,2,0,2,0,2
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,7,16,7,16,23
COPACABANA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,0,1,0,1,1
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,1,1,1,1,2
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,1,2,1,2,3
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,10,14,10,14,24
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,58,115,58,115,173
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,7,28,7,28,35
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,2,4,2,4,6
FERNANDEZ ALONSO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,0,1,0,1,1
FILADELFIA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,1,0,1,0,1
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,0,7,0,7,7
GUANAY,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,2,4,2,4,6
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,11,26,11,26,37
GUTIERREZ,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,0,1,0,1,1
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,0,1,0,1,1
HUANUNI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,0,1,0,1,1
INCAHUASI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,0,3,0,3,3
INQUISIVI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,0,1,0,1,1
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,0,2,0,2,2
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,4,5,4,5,9
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,130,248,130,248,378
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,0,3,0,3,3
LURIBAY,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,1,0,1,0,1
MACHACAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,0,3,0,3,3
MACHARETI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,2,0,2,0,2
MAGDALENA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,0,2,0,2,2
MAIRANA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,5,1,5,1,6
MIZQUE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,1,0,1,0,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,2,4,2,4,6
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,9,27,9,27,36
NUEVO MANOA (NUEVA ESPERANZA),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,0,1,0,1,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,112,257,112,257,369
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,1,1,1,1,2
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,22,43,22,43,65
POSTRER VALLE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,0,1,0,1,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,19,2,19,2,21
PUERTO QUIJARRO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,1,0,1,0,1
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,9,15,9,15,24
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,0,6,0,6,6
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,9,15,9,15,24
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,0,1,0,1,1
QUIRUSILLAS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,1,1,1,1,2
REYES,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,14,18,14,18,32
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,9,7,9,7,16
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,2,3,2,3,5
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,8,5,8,5,13
SACACA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,0,1,0,1,1
SAIPINA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,1,1,1,1,2
SAMAIPATA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,0,10,0,10,10
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,1,0,1,0,1
SAN BUENA VENTURA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,0,1,0,1,1
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,9,8,9,8,17
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,23,64,23,64,87
SAN JAVIER(STC),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,1,9,1,9,10
SAN JOAQUIN,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,71,88,71,88,159
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,1,1,1,1,2
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,3,2,3,2,5
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,2,0,2,0,2
SAN RAFAEL,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,2,3,2,3,5
SAN RAMON BENI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,3,5,3,5,8
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,516,49,516,49,565
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,3,1,3,1,4
SANTA ROSA DEL SARA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,0,2,0,2,2
SANTIAGO DE HUATA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,1,0,1,0,1
SENA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,1,0,1,0,1
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,0,9,0,9,9
SIPE SIPE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,0,1,0,1,1
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,2,2,2,2,4
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,65,144,65,144,209
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,0,1,0,1,1
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,9,5,9,5,14
TEOPONTE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,0,2,0,2,2
TIPUANI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,0,1,0,1,1
TOLATA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,1,1,1,1,2
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,10,23,10,23,33
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,15,9,15,9,24
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,2,4,2,4,6
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,13,28,13,28,41
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,0,2,0,2,2
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,6,16,6,16,22
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,0,2,0,2,2
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,1,4,1,4,5
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,7,20,7,20,27
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,33,36,33,36,69
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-02-01,11,6,11,6,17
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,2,2,2,2,4
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,0,2,0,2,2
ALTO BENI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,1,0,1,0,1
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,0,2,0,2,2
ARBIETO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,2,1,2,1,3
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,5,3,5,3,8
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,1,1,1,1,2
BATALLAS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,0,1,0,1,1
BAURES,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,0,1,0,1,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,26,56,26,56,82
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,1,0,1,0,1
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,1,7,1,7,8
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,4,5,4,5,9
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,66,69,66,69,135
CARANAVI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,0,2,0,2,2
CARMEN RIVERO TORREZ,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,4,2,4,2,6
